codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
26290,47.99A,4,44.416667,4.766667
26290,47.99A,4,44.45,4.716667
26290,70.3A,2,44.416667,4.766667
26290,70.3A,2,44.45,4.716667
26290,55.3A,16,44.416667,4.766667
26290,55.3A,16,44.45,4.716667
26290,43.22A,6,44.416667,4.766667
26290,43.22A,6,44.45,4.716667
26290,41.10A,2,44.416667,4.766667
26290,41.10A,2,44.45,4.716667
26290,93.0D,2,44.416667,4.766667
26290,93.0D,2,44.45,4.716667
26290,02.10Z,6,44.416667,4.766667
26290,02.10Z,6,44.45,4.716667
26290,01.11Z,14,44.416667,4.766667
26290,01.11Z,14,44.45,4.716667
26290,00.97,6,44.416667,4.766667
26290,00.97,6,44.45,4.716667
26290,49.41A,2,44.416667,4.766667
26290,49.41A,2,44.45,4.716667
26290,68.20A,16,44.416667,4.766667
26290,68.20A,16,44.45,4.716667
26290,01.50,2,44.416667,4.766667
26290,01.50,2,44.45,4.716667
26290,55.60,4,44.416667,4.766667
26290,55.60,4,44.45,4.716667
26290,56.30Z,8,44.416667,4.766667
26290,56.30Z,8,44.45,4.716667
26290,15.8D,2,44.416667,4.766667
26290,15.8D,2,44.45,4.716667
26290,56.21Z,2,44.416667,4.766667
26290,56.21Z,2,44.45,4.716667
26290,62.11,2,44.416667,4.766667
26290,62.11,2,44.45,4.716667
26290,01.47Z,2,44.416667,4.766667
26290,01.47Z,2,44.45,4.716667
26290,15.13,2,44.416667,4.766667
26290,15.13,2,44.45,4.716667
26290,93.19Z,10,44.416667,4.766667
26290,93.19Z,10,44.45,4.716667
26290,92.5C,6,44.416667,4.766667
26290,92.5C,6,44.45,4.716667
26290,90.01Z,2,44.416667,4.766667
26290,90.01Z,2,44.45,4.716667
26290,47.82Z,2,44.416667,4.766667
26290,47.82Z,2,44.45,4.716667
26290,56.10C,2,44.416667,4.766667
26290,56.10C,2,44.45,4.716667
26290,81.30Z,6,44.416667,4.766667
26290,81.30Z,6,44.45,4.716667
26290,84.11Z,8,44.416667,4.766667
26290,84.11Z,8,44.45,4.716667
26290,63.3Z,4,44.416667,4.766667
26290,63.3Z,4,44.45,4.716667
26290,"",2,44.416667,4.766667
26290,"",2,44.45,4.716667
26290,55.20Z,28,44.416667,4.766667
26290,55.20Z,28,44.45,4.716667
26290,87.01,2,44.416667,4.766667
26290,87.01,2,44.45,4.716667
26290,94.11Z,4,44.416667,4.766667
26290,94.11Z,4,44.45,4.716667
26290,93.12Z,2,44.416667,4.766667
26290,93.12Z,2,44.45,4.716667
26290,56.29B,2,44.416667,4.766667
26290,56.29B,2,44.45,4.716667
26290,67.09,2,44.416667,4.766667
26290,67.09,2,44.45,4.716667
26290,01.24Z,2,44.416667,4.766667
26290,01.24Z,2,44.45,4.716667
26290,02.20Z,4,44.416667,4.766667
26290,02.20Z,4,44.45,4.716667
26290,55.4B,2,44.416667,4.766667
26290,55.4B,2,44.45,4.716667
26290,68.32B,2,44.416667,4.766667
26290,68.32B,2,44.45,4.716667
26290,74.1J,2,44.416667,4.766667
26290,74.1J,2,44.45,4.716667
26290,47.22Z,2,44.416667,4.766667
26290,47.22Z,2,44.45,4.716667
26290,74.20Z,4,44.416667,4.766667
26290,74.20Z,4,44.45,4.716667
26290,56.10A,24,44.416667,4.766667
26290,56.10A,24,44.45,4.716667
26290,64.30Z,2,44.416667,4.766667
26290,64.30Z,2,44.45,4.716667
26290,86.90D,2,44.416667,4.766667
26290,86.90D,2,44.45,4.716667
26290,82.19Z,2,44.416667,4.766667
26290,82.19Z,2,44.45,4.716667
26290,31.09B,2,44.416667,4.766667
26290,31.09B,2,44.45,4.716667
26290,55.30Z,2,44.416667,4.766667
26290,55.30Z,2,44.45,4.716667
26290,94.99Z,22,44.416667,4.766667
