codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
27380,47.99A,40,49.383333,1.35
27380,47.99A,40,49.35,1.333333
27380,47.99A,40,49.35,1.366667
27380,47.99A,40,49.316667,1.283333
27380,47.99A,40,49.366667,1.35
27380,47.99A,40,49.333333,1.3
27380,47.99A,40,49.366667,1.383333
27380,47.99A,40,"",""
27380,47.99A,40,49.3,1.266667
27380,47.99A,40,49.316667,1.316667
27380,01.11Z,90,49.383333,1.35
27380,01.11Z,90,49.35,1.333333
27380,01.11Z,90,49.35,1.366667
27380,01.11Z,90,49.316667,1.283333
27380,01.11Z,90,49.366667,1.35
27380,01.11Z,90,49.333333,1.3
27380,01.11Z,90,49.366667,1.383333
27380,01.11Z,90,"",""
27380,01.11Z,90,49.3,1.266667
27380,01.11Z,90,49.316667,1.316667
27380,68.20A,20,49.383333,1.35
27380,68.20A,20,49.35,1.333333
27380,68.20A,20,49.35,1.366667
27380,68.20A,20,49.316667,1.283333
27380,68.20A,20,49.366667,1.35
27380,68.20A,20,49.333333,1.3
27380,68.20A,20,49.366667,1.383333
27380,68.20A,20,"",""
27380,68.20A,20,49.3,1.266667
27380,68.20A,20,49.316667,1.316667
27380,43.34Z,30,49.383333,1.35
27380,43.34Z,30,49.35,1.333333
27380,43.34Z,30,49.35,1.366667
27380,43.34Z,30,49.316667,1.283333
27380,43.34Z,30,49.366667,1.35
27380,43.34Z,30,49.333333,1.3
27380,43.34Z,30,49.366667,1.383333
27380,43.34Z,30,"",""
27380,43.34Z,30,49.3,1.266667
27380,43.34Z,30,49.316667,1.316667
27380,38.11Z,10,49.383333,1.35
27380,38.11Z,10,49.35,1.333333
27380,38.11Z,10,49.35,1.366667
27380,38.11Z,10,49.316667,1.283333
27380,38.11Z,10,49.366667,1.35
27380,38.11Z,10,49.333333,1.3
27380,38.11Z,10,49.366667,1.383333
27380,38.11Z,10,"",""
27380,38.11Z,10,49.3,1.266667
27380,38.11Z,10,49.316667,1.316667
27380,84.11Z,10,49.383333,1.35
27380,84.11Z,10,49.35,1.333333
27380,84.11Z,10,49.35,1.366667
27380,84.11Z,10,49.316667,1.283333
27380,84.11Z,10,49.366667,1.35
27380,84.11Z,10,49.333333,1.3
27380,84.11Z,10,49.366667,1.383333
27380,84.11Z,10,"",""
27380,84.11Z,10,49.3,1.266667
27380,84.11Z,10,49.316667,1.316667
27380,90.0A,10,49.383333,1.35
27380,90.0A,10,49.35,1.333333
27380,90.0A,10,49.35,1.366667
27380,90.0A,10,49.316667,1.283333
27380,90.0A,10,49.366667,1.35
27380,90.0A,10,49.333333,1.3
27380,90.0A,10,49.366667,1.383333
27380,90.0A,10,"",""
27380,90.0A,10,49.3,1.266667
27380,90.0A,10,49.316667,1.316667
27380,77.14,10,49.383333,1.35
27380,77.14,10,49.35,1.333333
27380,77.14,10,49.35,1.366667
27380,77.14,10,49.316667,1.283333
27380,77.14,10,49.366667,1.35
27380,77.14,10,49.333333,1.3
27380,77.14,10,49.366667,1.383333
27380,77.14,10,"",""
27380,77.14,10,49.3,1.266667
27380,77.14,10,49.316667,1.316667
27380,43.39Z,10,49.383333,1.35
27380,43.39Z,10,49.35,1.333333
27380,43.39Z,10,49.35,1.366667
27380,43.39Z,10,49.316667,1.283333
27380,43.39Z,10,49.366667,1.35
