codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
27600,72.2Z,9,49.166667,1.283333
27600,72.2Z,9,49.15,1.4
27600,72.2Z,9,49.133333,1.3
27600,72.2Z,9,49.166667,1.316667
27600,72.2Z,9,49.15,1.333333
27600,72.2Z,9,49.166667,1.333333
27600,72.2Z,9,49.183333,1.266667
27600,72.2Z,9,49.1,1.333333
27600,72.2Z,9,"",""
27600,71.3G,9,49.166667,1.283333
27600,71.3G,9,49.15,1.4
27600,71.3G,9,49.133333,1.3
27600,71.3G,9,49.166667,1.316667
27600,71.3G,9,49.15,1.333333
27600,71.3G,9,49.166667,1.333333
27600,71.3G,9,49.183333,1.266667
27600,71.3G,9,49.1,1.333333
27600,71.3G,9,"",""
27600,06.01,9,49.166667,1.283333
27600,06.01,9,49.15,1.4
27600,06.01,9,49.133333,1.3
27600,06.01,9,49.166667,1.316667
27600,06.01,9,49.15,1.333333
27600,06.01,9,49.166667,1.333333
27600,06.01,9,49.183333,1.266667
27600,06.01,9,49.1,1.333333
27600,06.01,9,"",""
27600,70.1C,9,49.166667,1.283333
27600,70.1C,9,49.15,1.4
27600,70.1C,9,49.133333,1.3
27600,70.1C,9,49.166667,1.316667
27600,70.1C,9,49.15,1.333333
27600,70.1C,9,49.166667,1.333333
27600,70.1C,9,49.183333,1.266667
27600,70.1C,9,49.1,1.333333
27600,70.1C,9,"",""
27600,51.6N,18,49.166667,1.283333
27600,51.6N,18,49.15,1.4
27600,51.6N,18,49.133333,1.3
27600,51.6N,18,49.166667,1.316667
27600,51.6N,18,49.15,1.333333
27600,51.6N,18,49.166667,1.333333
27600,51.6N,18,49.183333,1.266667
27600,51.6N,18,49.1,1.333333
27600,51.6N,18,"",""
27600,92.3H,9,49.166667,1.283333
27600,92.3H,9,49.15,1.4
27600,92.3H,9,49.133333,1.3
27600,92.3H,9,49.166667,1.316667
27600,92.3H,9,49.15,1.333333
27600,92.3H,9,49.166667,1.333333
27600,92.3H,9,49.183333,1.266667
27600,92.3H,9,49.1,1.333333
27600,92.3H,9,"",""
27600,81.21,9,49.166667,1.283333
27600,81.21,9,49.15,1.4
27600,81.21,9,49.133333,1.3
27600,81.21,9,49.166667,1.316667
27600,81.21,9,49.15,1.333333
27600,81.21,9,49.166667,1.333333
27600,81.21,9,49.183333,1.266667
27600,81.21,9,49.1,1.333333
27600,81.21,9,"",""
27600,67.08,9,49.166667,1.283333
27600,67.08,9,49.15,1.4
27600,67.08,9,49.133333,1.3
27600,67.08,9,49.166667,1.316667
27600,67.08,9,49.15,1.333333
27600,67.08,9,49.166667,1.333333
27600,67.08,9,49.183333,1.266667
27600,67.08,9,49.1,1.333333
27600,67.08,9,"",""
27600,64.25,9,49.166667,1.283333
27600,64.25,9,49.15,1.4
27600,64.25,9,49.133333,1.3
27600,64.25,9,49.166667,1.316667
27600,64.25,9,49.15,1.333333
27600,64.25,9,49.166667,1.333333
27600,64.25,9,49.183333,1.266667
27600,64.25,9,49.1,1.333333
27600,64.25,9,"",""
27600,45.2V,9,49.166667,1.283333
27600,45.2V,9,49.15,1.4
27600,45.2V,9,49.133333,1.3
27600,45.2V,9,49.166667,1.316667
27600,45.2V,9,49.15,1.333333
27600,45.2V,9,49.166667,1.333333
27600,45.2V,9,49.183333,1.266667
27600,45.2V,9,49.1,1.333333
27600,45.2V,9,"",""
27600,70.2A,9,49.166667,1.283333
27600,70.2A,9,49.15,1.4
27600,70.2A,9,49.133333,1.3
27600,70.2A,9,49.166667,1.316667
27600,70.2A,9,49.15,1.333333
27600,70.2A,9,49.166667,1.333333
27600,70.2A,9,49.183333,1.266667
27600,70.2A,9,49.1,1.333333
27600,70.2A,9,"",""
