codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
27700,47.99A,56,49.216667,1.4
27700,47.99A,56,49.25,1.35
27700,47.99A,56,49.25,1.416667
27700,47.99A,56,49.25,1.333333
27700,47.99A,56,49.283333,1.333333
27700,47.99A,56,49.183333,1.466667
27700,47.99A,56,49.25,1.483333
27700,47.99A,56,49.216667,1.466667
27700,47.99A,56,49.3,1.4
27700,47.99A,56,"",""
27700,47.99A,56,49.283333,1.466667
27700,47.99A,56,49.216667,1.383333
27700,47.99A,56,49.216667,1.383333
27700,47.99A,56,49.233333,1.35
27700,43.22A,14,49.216667,1.4
27700,43.22A,14,49.25,1.35
27700,43.22A,14,49.25,1.416667
27700,43.22A,14,49.25,1.333333
27700,43.22A,14,49.283333,1.333333
27700,43.22A,14,49.183333,1.466667
27700,43.22A,14,49.25,1.483333
27700,43.22A,14,49.216667,1.466667
27700,43.22A,14,49.3,1.4
27700,43.22A,14,"",""
27700,43.22A,14,49.283333,1.466667
27700,43.22A,14,49.216667,1.383333
27700,43.22A,14,49.216667,1.383333
27700,43.22A,14,49.233333,1.35
27700,01.11Z,56,49.216667,1.4
27700,01.11Z,56,49.25,1.35
27700,01.11Z,56,49.25,1.416667
27700,01.11Z,56,49.25,1.333333
27700,01.11Z,56,49.283333,1.333333
27700,01.11Z,56,49.183333,1.466667
27700,01.11Z,56,49.25,1.483333
27700,01.11Z,56,49.216667,1.466667
27700,01.11Z,56,49.3,1.4
27700,01.11Z,56,"",""
27700,01.11Z,56,49.283333,1.466667
27700,01.11Z,56,49.216667,1.383333
27700,01.11Z,56,49.216667,1.383333
27700,01.11Z,56,49.233333,1.35
27700,68.20A,42,49.216667,1.4
27700,68.20A,42,49.25,1.35
27700,68.20A,42,49.25,1.416667
27700,68.20A,42,49.25,1.333333
27700,68.20A,42,49.283333,1.333333
27700,68.20A,42,49.183333,1.466667
27700,68.20A,42,49.25,1.483333
27700,68.20A,42,49.216667,1.466667
27700,68.20A,42,49.3,1.4
27700,68.20A,42,"",""
27700,68.20A,42,49.283333,1.466667
27700,68.20A,42,49.216667,1.383333
27700,68.20A,42,49.216667,1.383333
27700,68.20A,42,49.233333,1.35
27700,64.49,14,49.216667,1.4
27700,64.49,14,49.25,1.35
27700,64.49,14,49.25,1.416667
27700,64.49,14,49.25,1.333333
27700,64.49,14,49.283333,1.333333
27700,64.49,14,49.183333,1.466667
27700,64.49,14,49.25,1.483333
27700,64.49,14,49.216667,1.466667
27700,64.49,14,49.3,1.4
27700,64.49,14,"",""
27700,64.49,14,49.283333,1.466667
27700,64.49,14,49.216667,1.383333
27700,64.49,14,49.216667,1.383333
27700,64.49,14,49.233333,1.35
27700,49.32Z,14,49.216667,1.4
27700,49.32Z,14,49.25,1.35
27700,49.32Z,14,49.25,1.416667
27700,49.32Z,14,49.25,1.333333
27700,49.32Z,14,49.283333,1.333333
27700,49.32Z,14,49.183333,1.466667
27700,49.32Z,14,49.25,1.483333
27700,49.32Z,14,49.216667,1.466667
27700,49.32Z,14,49.3,1.4
27700,49.32Z,14,"",""
27700,49.32Z,14,49.283333,1.466667
27700,49.32Z,14,49.216667,1.383333
27700,49.32Z,14,49.216667,1.383333
27700,49.32Z,14,49.233333,1.35
27700,55.60,28,49.216667,1.4
27700,55.60,28,49.25,1.35
27700,55.60,28,49.25,1.416667
27700,55.60,28,49.25,1.333333
27700,55.60,28,49.283333,1.333333
27700,55.60,28,49.183333,1.466667
27700,55.60,28,49.25,1.483333
27700,55.60,28,49.216667,1.466667
27700,55.60,28,49.3,1.4
27700,55.60,28,"",""
27700,55.60,28,49.283333,1.466667
27700,55.60,28,49.216667,1.383333
27700,55.60,28,49.216667,1.383333
27700,55.60,28,49.233333,1.35
27700,45.4J,14,49.216667,1.4
27700,45.4J,14,49.25,1.35
27700,45.4J,14,49.25,1.416667
27700,45.4J,14,49.25,1.333333
27700,45.4J,14,49.283333,1.333333
27700,45.4J,14,49.183333,1.466667
27700,45.4J,14,49.25,1.483333
27700,45.4J,14,49.216667,1.466667
27700,45.4J,14,49.3,1.4
27700,45.4J,14,"",""
27700,45.4J,14,49.283333,1.466667
27700,45.4J,14,49.216667,1.383333
27700,45.4J,14,49.216667,1.383333
27700,45.4J,14,49.233333,1.35
27700,01.47Z,28,49.216667,1.4
27700,01.47Z,28,49.25,1.35
27700,01.47Z,28,49.25,1.416667
27700,01.47Z,28,49.25,1.333333
27700,01.47Z,28,49.283333,1.333333
27700,01.47Z,28,49.183333,1.466667
27700,01.47Z,28,49.25,1.483333
27700,01.47Z,28,49.216667,1.466667
27700,01.47Z,28,49.3,1.4
27700,01.47Z,28,"",""
27700,01.47Z,28,49.283333,1.466667
27700,01.47Z,28,49.216667,1.383333
27700,01.47Z,28,49.216667,1.383333
27700,01.47Z,28,49.233333,1.35
27700,81.22Z,14,49.216667,1.4
27700,81.22Z,14,49.25,1.35
27700,81.22Z,14,49.25,1.416667
27700,81.22Z,14,49.25,1.333333
27700,81.22Z,14,49.283333,1.333333
27700,81.22Z,14,49.183333,1.466667
27700,81.22Z,14,49.25,1.483333
27700,81.22Z,14,49.216667,1.466667
27700,81.22Z,14,49.3,1.4
27700,81.22Z,14,"",""
27700,81.22Z,14,49.283333,1.466667
27700,81.22Z,14,49.216667,1.383333
27700,81.22Z,14,49.216667,1.383333
27700,81.22Z,14,49.233333,1.35
27700,81.29B,14,49.216667,1.4
27700,81.29B,14,49.25,1.35
27700,81.29B,14,49.25,1.416667
27700,81.29B,14,49.25,1.333333
27700,81.29B,14,49.283333,1.333333
27700,81.29B,14,49.183333,1.466667
27700,81.29B,14,49.25,1.483333
27700,81.29B,14,49.216667,1.466667
27700,81.29B,14,49.3,1.4
27700,81.29B,14,"",""
27700,81.29B,14,49.283333,1.466667
27700,81.29B,14,49.216667,1.383333
27700,81.29B,14,49.216667,1.383333
27700,81.29B,14,49.233333,1.35
27700,64.20Z,28,49.216667,1.4
27700,64.20Z,28,49.25,1.35
27700,64.20Z,28,49.25,1.416667
27700,64.20Z,28,49.25,1.333333
27700,64.20Z,28,49.283333,1.333333
27700,64.20Z,28,49.183333,1.466667
27700,64.20Z,28,49.25,1.483333
27700,64.20Z,28,49.216667,1.466667
27700,64.20Z,28,49.3,1.4
27700,64.20Z,28,"",""
