codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
28150,67.05,40,48.25,1.75
28150,67.05,40,48.266667,1.633333
28150,67.05,40,48.283333,1.566667
28150,67.05,40,48.233333,1.6
28150,67.05,40,48.233333,1.55
28150,67.05,40,48.216667,1.716667
28150,67.05,40,48.25,1.566667
28150,67.05,40,"",""
28150,67.05,40,48.283333,1.716667
28150,67.05,40,48.316667,1.583333
28150,67.05,40,48.35,1.766667
28150,67.05,40,48.3,1.783333
28150,67.05,40,48.266667,1.55
28150,67.05,40,48.316667,1.783333
28150,67.05,40,48.216667,1.65
28150,67.05,40,48.3,1.5
28150,67.05,40,48.333333,1.7
28150,67.05,40,"",""
28150,67.05,40,48.166667,1.616667
28150,67.05,40,48.333333,1.666667
28150,93.0D,20,48.25,1.75
28150,93.0D,20,48.266667,1.633333
28150,93.0D,20,48.283333,1.566667
28150,93.0D,20,48.233333,1.6
28150,93.0D,20,48.233333,1.55
28150,93.0D,20,48.216667,1.716667
28150,93.0D,20,48.25,1.566667
28150,93.0D,20,"",""
28150,93.0D,20,48.283333,1.716667
28150,93.0D,20,48.316667,1.583333
28150,93.0D,20,48.35,1.766667
28150,93.0D,20,48.3,1.783333
28150,93.0D,20,48.266667,1.55
28150,93.0D,20,48.316667,1.783333
28150,93.0D,20,48.216667,1.65
28150,93.0D,20,48.3,1.5
28150,93.0D,20,48.333333,1.7
28150,93.0D,20,"",""
28150,93.0D,20,48.166667,1.616667
28150,93.0D,20,48.333333,1.666667
28150,64.49,20,48.25,1.75
28150,64.49,20,48.266667,1.633333
28150,64.49,20,48.283333,1.566667
28150,64.49,20,48.233333,1.6
28150,64.49,20,48.233333,1.55
28150,64.49,20,48.216667,1.716667
28150,64.49,20,48.25,1.566667
28150,64.49,20,"",""
28150,64.49,20,48.283333,1.716667
28150,64.49,20,48.316667,1.583333
28150,64.49,20,48.35,1.766667
28150,64.49,20,48.3,1.783333
28150,64.49,20,48.266667,1.55
28150,64.49,20,48.316667,1.783333
28150,64.49,20,48.216667,1.65
28150,64.49,20,48.3,1.5
28150,64.49,20,48.333333,1.7
28150,64.49,20,"",""
28150,64.49,20,48.166667,1.616667
28150,64.49,20,48.333333,1.666667
28150,55.60,60,48.25,1.75
28150,55.60,60,48.266667,1.633333
28150,55.60,60,48.283333,1.566667
28150,55.60,60,48.233333,1.6
28150,55.60,60,48.233333,1.55
28150,55.60,60,48.216667,1.716667
28150,55.60,60,48.25,1.566667
28150,55.60,60,"",""
28150,55.60,60,48.283333,1.716667
28150,55.60,60,48.316667,1.583333
28150,55.60,60,48.35,1.766667
28150,55.60,60,48.3,1.783333
28150,55.60,60,48.266667,1.55
28150,55.60,60,48.316667,1.783333
28150,55.60,60,48.216667,1.65
28150,55.60,60,48.3,1.5
28150,55.60,60,48.333333,1.7
28150,55.60,60,"",""
28150,55.60,60,48.166667,1.616667
28150,55.60,60,48.333333,1.666667
28150,70.2B,40,48.25,1.75
28150,70.2B,40,48.266667,1.633333
28150,70.2B,40,48.283333,1.566667
28150,70.2B,40,48.233333,1.6
28150,70.2B,40,48.233333,1.55
28150,70.2B,40,48.216667,1.716667
28150,70.2B,40,48.25,1.566667
28150,70.2B,40,"",""
28150,70.2B,40,48.283333,1.716667
28150,70.2B,40,48.316667,1.583333
28150,70.2B,40,48.35,1.766667
28150,70.2B,40,48.3,1.783333
28150,70.2B,40,48.266667,1.55
28150,70.2B,40,48.316667,1.783333
28150,70.2B,40,48.216667,1.65
28150,70.2B,40,48.3,1.5
28150,70.2B,40,48.333333,1.7
28150,70.2B,40,"",""
28150,70.2B,40,48.166667,1.616667
28150,70.2B,40,48.333333,1.666667
28150,55.4B,20,48.25,1.75
28150,55.4B,20,48.266667,1.633333
28150,55.4B,20,48.283333,1.566667
28150,55.4B,20,48.233333,1.6
28150,55.4B,20,48.233333,1.55
28150,55.4B,20,48.216667,1.716667
28150,55.4B,20,48.25,1.566667
28150,55.4B,20,"",""
28150,55.4B,20,48.283333,1.716667
28150,55.4B,20,48.316667,1.583333
28150,55.4B,20,48.35,1.766667
28150,55.4B,20,48.3,1.783333
28150,55.4B,20,48.266667,1.55
28150,55.4B,20,48.316667,1.783333
28150,55.4B,20,48.216667,1.65
28150,55.4B,20,48.3,1.5
28150,55.4B,20,48.333333,1.7
28150,55.4B,20,"",""
28150,55.4B,20,48.166667,1.616667
28150,55.4B,20,48.333333,1.666667
28150,26.7Z,20,48.25,1.75
28150,26.7Z,20,48.266667,1.633333
28150,26.7Z,20,48.283333,1.566667
28150,26.7Z,20,48.233333,1.6
28150,26.7Z,20,48.233333,1.55
28150,26.7Z,20,48.216667,1.716667
28150,26.7Z,20,48.25,1.566667
28150,26.7Z,20,"",""
28150,26.7Z,20,48.283333,1.716667
28150,26.7Z,20,48.316667,1.583333
28150,26.7Z,20,48.35,1.766667
28150,26.7Z,20,48.3,1.783333
28150,26.7Z,20,48.266667,1.55
