codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
28320,64.49,5,48.516667,1.7
28320,64.49,5,48.566667,1.666667
28320,64.49,5,48.533333,1.7
28320,64.49,5,48.55,1.733333
28320,64.49,5,"",""
28320,45.4J,5,48.516667,1.7
28320,45.4J,5,48.566667,1.666667
28320,45.4J,5,48.533333,1.7
28320,45.4J,5,48.55,1.733333
28320,45.4J,5,"",""
28320,77.14,5,48.516667,1.7
28320,77.14,5,48.566667,1.666667
28320,77.14,5,48.533333,1.7
28320,77.14,5,48.55,1.733333
28320,77.14,5,"",""
28320,36.1G,5,48.516667,1.7
28320,36.1G,5,48.566667,1.666667
28320,36.1G,5,48.533333,1.7
28320,36.1G,5,48.55,1.733333
28320,36.1G,5,"",""
28320,55.71,5,48.516667,1.7
28320,55.71,5,48.566667,1.666667
28320,55.71,5,48.533333,1.7
28320,55.71,5,48.55,1.733333
28320,55.71,5,"",""
28320,91.3E,10,48.516667,1.7
28320,91.3E,10,48.566667,1.666667
28320,91.3E,10,48.533333,1.7
28320,91.3E,10,48.55,1.733333
28320,91.3E,10,"",""
28320,70.2C,5,48.516667,1.7
28320,70.2C,5,48.566667,1.666667
28320,70.2C,5,48.533333,1.7
28320,70.2C,5,48.55,1.733333
28320,70.2C,5,"",""
28320,34.06,5,48.516667,1.7
28320,34.06,5,48.566667,1.666667
28320,34.06,5,48.533333,1.7
28320,34.06,5,48.55,1.733333
28320,34.06,5,"",""
28320,67.04,5,48.516667,1.7
28320,67.04,5,48.566667,1.666667
28320,67.04,5,48.533333,1.7
28320,67.04,5,48.55,1.733333
28320,67.04,5,"",""
28320,01.1A,10,48.516667,1.7
28320,01.1A,10,48.566667,1.666667
28320,01.1A,10,48.533333,1.7
28320,01.1A,10,48.55,1.733333
28320,01.1A,10,"",""
28320,45.2V,5,48.516667,1.7
28320,45.2V,5,48.566667,1.666667
28320,45.2V,5,48.533333,1.7
28320,45.2V,5,48.55,1.733333
28320,45.2V,5,"",""
