codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
28340,33.03,7,48.666667,0.85
28340,33.03,7,48.65,0.933333
28340,33.03,7,48.6,0.933333
28340,33.03,7,48.616667,0.916667
28340,33.03,7,48.616667,0.916667
28340,33.03,7,48.65,0.866667
28340,33.03,7,48.683333,0.9
28340,64.23,7,48.666667,0.85
28340,64.23,7,48.65,0.933333
28340,64.23,7,48.6,0.933333
28340,64.23,7,48.616667,0.916667
28340,64.23,7,48.616667,0.916667
28340,64.23,7,48.65,0.866667
28340,64.23,7,48.683333,0.9
28340,01.16,7,48.666667,0.85
28340,01.16,7,48.65,0.933333
28340,01.16,7,48.6,0.933333
28340,01.16,7,48.616667,0.916667
28340,01.16,7,48.616667,0.916667
28340,01.16,7,48.65,0.866667
28340,01.16,7,48.683333,0.9
28340,49.05,7,48.666667,0.85
28340,49.05,7,48.65,0.933333
28340,49.05,7,48.6,0.933333
28340,49.05,7,48.616667,0.916667
28340,49.05,7,48.616667,0.916667
28340,49.05,7,48.65,0.866667
28340,49.05,7,48.683333,0.9
28340,01.2G,7,48.666667,0.85
28340,01.2G,7,48.65,0.933333
28340,01.2G,7,48.6,0.933333
28340,01.2G,7,48.616667,0.916667
28340,01.2G,7,48.616667,0.916667
28340,01.2G,7,48.65,0.866667
28340,01.2G,7,48.683333,0.9
28340,74.1G,7,48.666667,0.85
28340,74.1G,7,48.65,0.933333
28340,74.1G,7,48.6,0.933333
28340,74.1G,7,48.616667,0.916667
28340,74.1G,7,48.616667,0.916667
28340,74.1G,7,48.65,0.866667
28340,74.1G,7,48.683333,0.9
28340,65.06,7,48.666667,0.85
28340,65.06,7,48.65,0.933333
28340,65.06,7,48.6,0.933333
28340,65.06,7,48.616667,0.916667
28340,65.06,7,48.616667,0.916667
28340,65.06,7,48.65,0.866667
28340,65.06,7,48.683333,0.9
28340,55.73,14,48.666667,0.85
28340,55.73,14,48.65,0.933333
28340,55.73,14,48.6,0.933333
28340,55.73,14,48.616667,0.916667
28340,55.73,14,48.616667,0.916667
28340,55.73,14,48.65,0.866667
28340,55.73,14,48.683333,0.9
28340,81.21,7,48.666667,0.85
28340,81.21,7,48.65,0.933333
28340,81.21,7,48.6,0.933333
28340,81.21,7,48.616667,0.916667
28340,81.21,7,48.616667,0.916667
28340,81.21,7,48.65,0.866667
28340,81.21,7,48.683333,0.9
28340,70.2C,7,48.666667,0.85
28340,70.2C,7,48.65,0.933333
28340,70.2C,7,48.6,0.933333
28340,70.2C,7,48.616667,0.916667
28340,70.2C,7,48.616667,0.916667
28340,70.2C,7,48.65,0.866667
28340,70.2C,7,48.683333,0.9
28340,67.07,14,48.666667,0.85
28340,67.07,14,48.65,0.933333
28340,67.07,14,48.6,0.933333
28340,67.07,14,48.616667,0.916667
28340,67.07,14,48.616667,0.916667
28340,67.07,14,48.65,0.866667
28340,67.07,14,48.683333,0.9
28340,21.04,7,48.666667,0.85
28340,21.04,7,48.65,0.933333
28340,21.04,7,48.6,0.933333
28340,21.04,7,48.616667,0.916667
28340,21.04,7,48.616667,0.916667
28340,21.04,7,48.65,0.866667
28340,21.04,7,48.683333,0.9
28340,01.1A,7,48.666667,0.85
28340,01.1A,7,48.65,0.933333
28340,01.1A,7,48.6,0.933333
28340,01.1A,7,48.616667,0.916667
28340,01.1A,7,48.616667,0.916667
28340,01.1A,7,48.65,0.866667
28340,01.1A,7,48.683333,0.9
28340,84.12,7,48.666667,0.85
28340,84.12,7,48.65,0.933333
28340,84.12,7,48.6,0.933333
28340,84.12,7,48.616667,0.916667
28340,84.12,7,48.616667,0.916667
28340,84.12,7,48.65,0.866667
28340,84.12,7,48.683333,0.9
28340,65.01,7,48.666667,0.85
28340,65.01,7,48.65,0.933333
28340,65.01,7,48.6,0.933333
28340,65.01,7,48.616667,0.916667
28340,65.01,7,48.616667,0.916667
28340,65.01,7,48.65,0.866667
28340,65.01,7,48.683333,0.9
28340,52.6D,7,48.666667,0.85
28340,52.6D,7,48.65,0.933333
28340,52.6D,7,48.6,0.933333
28340,52.6D,7,48.616667,0.916667
28340,52.6D,7,48.616667,0.916667
28340,52.6D,7,48.65,0.866667
28340,52.6D,7,48.683333,0.9
