codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
29150,47.99A,150,48.183333,-4.066667
29150,47.99A,150,48.216667,-4.066667
29150,47.99A,150,48.216667,-4.166667
29150,47.99A,150,48.2,-4.083333
29150,47.99A,150,48.166667,-4.133333
29150,58.19Z,10,48.183333,-4.066667
29150,58.19Z,10,48.216667,-4.066667
29150,58.19Z,10,48.216667,-4.166667
29150,58.19Z,10,48.2,-4.083333
29150,58.19Z,10,48.166667,-4.133333
29150,48.04,5,48.183333,-4.066667
29150,48.04,5,48.216667,-4.066667
29150,48.04,5,48.216667,-4.166667
29150,48.04,5,48.2,-4.083333
29150,48.04,5,48.166667,-4.133333
29150,45.3H,5,48.183333,-4.066667
29150,45.3H,5,48.216667,-4.066667
29150,45.3H,5,48.216667,-4.166667
29150,45.3H,5,48.2,-4.083333
29150,45.3H,5,48.166667,-4.133333
29150,64.11,35,48.183333,-4.066667
29150,64.11,35,48.216667,-4.066667
29150,64.11,35,48.216667,-4.166667
29150,64.11,35,48.2,-4.083333
29150,64.11,35,48.166667,-4.133333
29150,55.3A,120,48.183333,-4.066667
29150,55.3A,120,48.216667,-4.066667
29150,55.3A,120,48.216667,-4.166667
29150,55.3A,120,48.2,-4.083333
29150,55.3A,120,48.166667,-4.133333
29150,65.12Z,5,48.183333,-4.066667
29150,65.12Z,5,48.216667,-4.066667
29150,65.12Z,5,48.216667,-4.166667
29150,65.12Z,5,48.2,-4.083333
29150,65.12Z,5,48.166667,-4.133333
29150,43.22A,45,48.183333,-4.066667
29150,43.22A,45,48.216667,-4.066667
29150,43.22A,45,48.216667,-4.166667
29150,43.22A,45,48.2,-4.083333
29150,43.22A,45,48.166667,-4.133333
29150,47.04,5,48.183333,-4.066667
29150,47.04,5,48.216667,-4.066667
29150,47.04,5,48.216667,-4.166667
29150,47.04,5,48.2,-4.083333
29150,47.04,5,48.166667,-4.133333
29150,67.05,15,48.183333,-4.066667
29150,67.05,15,48.216667,-4.066667
29150,67.05,15,48.216667,-4.166667
29150,67.05,15,48.2,-4.083333
29150,67.05,15,48.166667,-4.133333
29150,93.0D,25,48.183333,-4.066667
29150,93.0D,25,48.216667,-4.066667
29150,93.0D,25,48.216667,-4.166667
29150,93.0D,25,48.2,-4.083333
29150,93.0D,25,48.166667,-4.133333
29150,11.01Z,10,48.183333,-4.066667
29150,11.01Z,10,48.216667,-4.066667
29150,11.01Z,10,48.216667,-4.166667
29150,11.01Z,10,48.2,-4.083333
29150,11.01Z,10,48.166667,-4.133333
29150,02.10Z,10,48.183333,-4.066667
29150,02.10Z,10,48.216667,-4.066667
29150,02.10Z,10,48.216667,-4.166667
29150,02.10Z,10,48.2,-4.083333
29150,02.10Z,10,48.166667,-4.133333
29150,14.39Z,5,48.183333,-4.066667
29150,14.39Z,5,48.216667,-4.066667
29150,14.39Z,5,48.216667,-4.166667
29150,14.39Z,5,48.2,-4.083333
29150,14.39Z,5,48.166667,-4.133333
29150,01.11Z,70,48.183333,-4.066667
29150,01.11Z,70,48.216667,-4.066667
29150,01.11Z,70,48.216667,-4.166667
29150,01.11Z,70,48.2,-4.083333
29150,01.11Z,70,48.166667,-4.133333
29150,47.79Z,20,48.183333,-4.066667
29150,47.79Z,20,48.216667,-4.066667
29150,47.79Z,20,48.216667,-4.166667
29150,47.79Z,20,48.2,-4.083333
29150,47.79Z,20,48.166667,-4.133333
29150,00.97,5,48.183333,-4.066667
29150,00.97,5,48.216667,-4.066667
29150,00.97,5,48.216667,-4.166667
29150,00.97,5,48.2,-4.083333
29150,00.97,5,48.166667,-4.133333
29150,52.3A,5,48.183333,-4.066667
29150,52.3A,5,48.216667,-4.066667
29150,52.3A,5,48.216667,-4.166667
29150,52.3A,5,48.2,-4.083333
29150,52.3A,5,48.166667,-4.133333
29150,77.01,5,48.183333,-4.066667
29150,77.01,5,48.216667,-4.066667
29150,77.01,5,48.216667,-4.166667
29150,77.01,5,48.2,-4.083333
29150,77.01,5,48.166667,-4.133333
29150,49.41A,15,48.183333,-4.066667
29150,49.41A,15,48.216667,-4.066667
29150,49.41A,15,48.216667,-4.166667
29150,49.41A,15,48.2,-4.083333
29150,49.41A,15,48.166667,-4.133333
29150,65.02,5,48.183333,-4.066667
29150,65.02,5,48.216667,-4.066667
29150,65.02,5,48.216667,-4.166667
29150,65.02,5,48.2,-4.083333
29150,65.02,5,48.166667,-4.133333
29150,52.4Z,15,48.183333,-4.066667
29150,52.4Z,15,48.216667,-4.066667
29150,52.4Z,15,48.216667,-4.166667
29150,52.4Z,15,48.2,-4.083333
29150,52.4Z,15,48.166667,-4.133333
29150,95.29Z,20,48.183333,-4.066667
29150,95.29Z,20,48.216667,-4.066667
29150,95.29Z,20,48.216667,-4.166667
29150,95.29Z,20,48.2,-4.083333
29150,95.29Z,20,48.166667,-4.133333
29150,92.3A,25,48.183333,-4.066667
29150,92.3A,25,48.216667,-4.066667
29150,92.3A,25,48.216667,-4.166667
29150,92.3A,25,48.2,-4.083333
29150,92.3A,25,48.166667,-4.133333
29150,64.23,5,48.183333,-4.066667
29150,64.23,5,48.216667,-4.066667
29150,64.23,5,48.216667,-4.166667
29150,64.23,5,48.2,-4.083333
29150,64.23,5,48.166667,-4.133333
29150,68.20A,340,48.183333,-4.066667
29150,68.20A,340,48.216667,-4.066667
29150,68.20A,340,48.216667,-4.166667
29150,68.20A,340,48.2,-4.083333
29150,68.20A,340,48.166667,-4.133333
29150,05.0A,70,48.183333,-4.066667
29150,05.0A,70,48.216667,-4.066667
29150,05.0A,70,48.216667,-4.166667
29150,05.0A,70,48.2,-4.083333
29150,05.0A,70,48.166667,-4.133333
29150,64.49,20,48.183333,-4.066667
29150,64.49,20,48.216667,-4.066667
29150,64.49,20,48.216667,-4.166667
29150,64.49,20,48.2,-4.083333
29150,64.49,20,48.166667,-4.133333
29150,55.40,15,48.183333,-4.066667
29150,55.40,15,48.216667,-4.066667
29150,55.40,15,48.216667,-4.166667
29150,55.40,15,48.2,-4.083333
29150,55.40,15,48.166667,-4.133333
29150,85.1E,5,48.183333,-4.066667
29150,85.1E,5,48.216667,-4.066667
29150,85.1E,5,48.216667,-4.166667
29150,85.1E,5,48.2,-4.083333
29150,85.1E,5,48.166667,-4.133333
29150,60.2E,20,48.183333,-4.066667
29150,60.2E,20,48.216667,-4.066667
29150,60.2E,20,48.216667,-4.166667
29150,60.2E,20,48.2,-4.083333
29150,60.2E,20,48.166667,-4.133333
29150,49.32Z,75,48.183333,-4.066667
29150,49.32Z,75,48.216667,-4.066667
29150,49.32Z,75,48.216667,-4.166667
29150,49.32Z,75,48.2,-4.083333
29150,49.32Z,75,48.166667,-4.133333
29150,45.3E,10,48.183333,-4.066667
29150,45.3E,10,48.216667,-4.066667
29150,45.3E,10,48.216667,-4.166667
29150,45.3E,10,48.2,-4.083333
29150,45.3E,10,48.166667,-4.133333
29150,53.05,5,48.183333,-4.066667
29150,53.05,5,48.216667,-4.066667
29150,53.05,5,48.216667,-4.166667
29150,53.05,5,48.2,-4.083333
29150,53.05,5,48.166667,-4.133333
29150,55.60,85,48.183333,-4.066667
29150,55.60,85,48.216667,-4.066667
29150,55.60,85,48.216667,-4.166667
29150,55.60,85,48.2,-4.083333
29150,55.60,85,48.166667,-4.133333
29150,45.2J,20,48.183333,-4.066667
29150,45.2J,20,48.216667,-4.066667
29150,45.2J,20,48.216667,-4.166667
29150,45.2J,20,48.2,-4.083333
29150,45.2J,20,48.166667,-4.133333
29150,56.30Z,155,48.183333,-4.066667
29150,56.30Z,155,48.216667,-4.066667
29150,56.30Z,155,48.216667,-4.166667
29150,56.30Z,155,48.2,-4.083333
29150,56.30Z,155,48.166667,-4.133333
29150,15.8D,5,48.183333,-4.066667
29150,15.8D,5,48.216667,-4.066667
29150,15.8D,5,48.216667,-4.166667
29150,15.8D,5,48.2,-4.083333
29150,15.8D,5,48.166667,-4.133333
29150,64.1C,10,48.183333,-4.066667
29150,64.1C,10,48.216667,-4.066667
29150,64.1C,10,48.216667,-4.166667
29150,64.1C,10,48.2,-4.083333
29150,64.1C,10,48.166667,-4.133333
29150,32.99Z,5,48.183333,-4.066667
29150,32.99Z,5,48.216667,-4.066667
29150,32.99Z,5,48.216667,-4.166667
29150,32.99Z,5,48.2,-4.083333
29150,32.99Z,5,48.166667,-4.133333
29150,15.8B,25,48.183333,-4.066667
29150,15.8B,25,48.216667,-4.066667
29150,15.8B,25,48.216667,-4.166667
29150,15.8B,25,48.2,-4.083333
29150,15.8B,25,48.166667,-4.133333
29150,36.00Z,5,48.183333,-4.066667
29150,36.00Z,5,48.216667,-4.066667
29150,36.00Z,5,48.216667,-4.166667
29150,36.00Z,5,48.2,-4.083333
29150,36.00Z,5,48.166667,-4.133333
29150,49.01,10,48.183333,-4.066667
29150,49.01,10,48.216667,-4.066667
29150,49.01,10,48.216667,-4.166667
29150,49.01,10,48.2,-4.083333
29150,49.01,10,48.166667,-4.133333
29150,95.11Z,20,48.183333,-4.066667
29150,95.11Z,20,48.216667,-4.066667
29150,95.11Z,20,48.216667,-4.166667
29150,95.11Z,20,48.2,-4.083333
29150,95.11Z,20,48.166667,-4.133333
29150,62.11,5,48.183333,-4.066667
29150,62.11,5,48.216667,-4.066667
29150,62.11,5,48.216667,-4.166667
29150,62.11,5,48.2,-4.083333
29150,62.11,5,48.166667,-4.133333
29150,85.1C,5,48.183333,-4.066667
29150,85.1C,5,48.216667,-4.066667
29150,85.1C,5,48.216667,-4.166667
29150,85.1C,5,48.2,-4.083333
29150,85.1C,5,48.166667,-4.133333
29150,47.77Z,25,48.183333,-4.066667
29150,47.77Z,25,48.216667,-4.066667
29150,47.77Z,25,48.216667,-4.166667
29150,47.77Z,25,48.2,-4.083333
29150,47.77Z,25,48.166667,-4.133333
29150,50.2Z,15,48.183333,-4.066667
29150,50.2Z,15,48.216667,-4.066667
29150,50.2Z,15,48.216667,-4.166667
29150,50.2Z,15,48.2,-4.083333
29150,50.2Z,15,48.166667,-4.133333
29150,46.49Z,15,48.183333,-4.066667
29150,46.49Z,15,48.216667,-4.066667
29150,46.49Z,15,48.216667,-4.166667
29150,46.49Z,15,48.2,-4.083333
29150,46.49Z,15,48.166667,-4.133333
29150,01.47Z,15,48.183333,-4.066667
29150,01.47Z,15,48.216667,-4.066667
29150,01.47Z,15,48.216667,-4.166667
29150,01.47Z,15,48.2,-4.083333
29150,01.47Z,15,48.166667,-4.133333
29150,45.4J,5,48.183333,-4.066667
29150,45.4J,5,48.216667,-4.066667
29150,45.4J,5,48.216667,-4.166667
29150,45.4J,5,48.2,-4.083333
29150,45.4J,5,48.166667,-4.133333
29150,52.4V,5,48.183333,-4.066667
29150,52.4V,5,48.216667,-4.066667
29150,52.4V,5,48.216667,-4.166667
29150,52.4V,5,48.2,-4.083333
29150,52.4V,5,48.166667,-4.133333
29150,81.22Z,35,48.183333,-4.066667
29150,81.22Z,35,48.216667,-4.066667
29150,81.22Z,35,48.216667,-4.166667
29150,81.22Z,35,48.2,-4.083333
29150,81.22Z,35,48.166667,-4.133333
29150,43.34Z,70,48.183333,-4.066667
29150,43.34Z,70,48.216667,-4.066667
29150,43.34Z,70,48.216667,-4.166667
29150,43.34Z,70,48.2,-4.083333
29150,43.34Z,70,48.166667,-4.133333
29150,80.4D,15,48.183333,-4.066667
29150,80.4D,15,48.216667,-4.066667
29150,80.4D,15,48.216667,-4.166667
29150,80.4D,15,48.2,-4.083333
29150,80.4D,15,48.166667,-4.133333
29150,22.1G,5,48.183333,-4.066667
29150,22.1G,5,48.216667,-4.066667
29150,22.1G,5,48.216667,-4.166667
29150,22.1G,5,48.2,-4.083333
29150,22.1G,5,48.166667,-4.133333
29150,93.19Z,20,48.183333,-4.066667
29150,93.19Z,20,48.216667,-4.066667
29150,93.19Z,20,48.216667,-4.166667
29150,93.19Z,20,48.2,-4.083333
29150,93.19Z,20,48.166667,-4.133333
29150,81.29B,5,48.183333,-4.066667
29150,81.29B,5,48.216667,-4.066667
29150,81.29B,5,48.216667,-4.166667
29150,81.29B,5,48.2,-4.083333
29150,81.29B,5,48.166667,-4.133333
29150,93.0N,10,48.183333,-4.066667
29150,93.0N,10,48.216667,-4.066667
29150,93.0N,10,48.216667,-4.166667
29150,93.0N,10,48.2,-4.083333
29150,93.0N,10,48.166667,-4.133333
29150,52.4X,15,48.183333,-4.066667
29150,52.4X,15,48.216667,-4.066667
29150,52.4X,15,48.216667,-4.166667
29150,52.4X,15,48.2,-4.083333
29150,52.4X,15,48.166667,-4.133333
29150,25.61Z,5,48.183333,-4.066667
29150,25.61Z,5,48.216667,-4.066667
29150,25.61Z,5,48.216667,-4.166667
29150,25.61Z,5,48.2,-4.083333
29150,25.61Z,5,48.166667,-4.133333
29150,17.5C,5,48.183333,-4.066667
29150,17.5C,5,48.216667,-4.066667
29150,17.5C,5,48.216667,-4.166667
29150,17.5C,5,48.2,-4.083333
29150,17.5C,5,48.166667,-4.133333
29150,42.91Z,5,48.183333,-4.066667
29150,42.91Z,5,48.216667,-4.066667
