codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
29241,47.99A,40,48.7,-3.65
29241,33.20A,5,48.7,-3.65
29241,64.11,12,48.7,-3.65
29241,70.3A,2,48.7,-3.65
29241,15.8P,1,48.7,-3.65
29241,55.3A,13,48.7,-3.65
29241,65.12Z,4,48.7,-3.65
29241,43.22A,15,48.7,-3.65
29241,47.04,3,48.7,-3.65
29241,64.40,2,48.7,-3.65
29241,93.0D,8,48.7,-3.65
29241,02.10Z,5,48.7,-3.65
29241,01.11Z,19,48.7,-3.65
29241,00.97,2,48.7,-3.65
29241,23.19Z,1,48.7,-3.65
29241,47.79Z,2,48.7,-3.65
29241,46.23Z,3,48.7,-3.65
29241,77.01,2,48.7,-3.65
29241,65.02,3,48.7,-3.65
29241,49.41A,6,48.7,-3.65
29241,95.29Z,7,48.7,-3.65
29241,52.4Z,5,48.7,-3.65
29241,64.23,2,48.7,-3.65
29241,92.3A,1,48.7,-3.65
29241,43.99A,1,48.7,-3.65
29241,68.20A,17,48.7,-3.65
29241,64.49,12,48.7,-3.65
29241,51.3J,3,48.7,-3.65
29241,85.1E,1,48.7,-3.65
29241,55.40,2,48.7,-3.65
29241,49.32Z,10,48.7,-3.65
29241,45.3E,3,48.7,-3.65
29241,55.60,13,48.7,-3.65
29241,45.2J,1,48.7,-3.65
29241,56.30Z,23,48.7,-3.65
29241,15.8D,3,48.7,-3.65
29241,80.30Z,1,48.7,-3.65
29241,32.99Z,1,48.7,-3.65
29241,15.8B,1,48.7,-3.65
29241,01.2E,1,48.7,-3.65
29241,52.21Z,2,48.7,-3.65
29241,29.1D,1,48.7,-3.65
29241,49.01,1,48.7,-3.65
29241,95.11Z,8,48.7,-3.65
29241,56.21Z,2,48.7,-3.65
29241,62.11,5,48.7,-3.65
29241,85.1C,2,48.7,-3.65
29241,46.49Z,1,48.7,-3.65
29241,50.2Z,8,48.7,-3.65
29241,47.77Z,1,48.7,-3.65
29241,45.4J,6,48.7,-3.65
29241,78.20Z,3,48.7,-3.65
29241,01.47Z,6,48.7,-3.65
29241,13.30Z,1,48.7,-3.65
29241,52.4V,2,48.7,-3.65
29241,43.34Z,20,48.7,-3.65
29241,95.21Z,1,48.7,-3.65
29241,80.4D,2,48.7,-3.65
29241,93.19Z,2,48.7,-3.65
29241,15.9J,1,48.7,-3.65
29241,93.0N,2,48.7,-3.65
29241,52.4X,3,48.7,-3.65
29241,64.20Z,15,48.7,-3.65
29241,20.1B,1,48.7,-3.65
29241,87.10A,1,48.7,-3.65
29241,25.12Z,1,48.7,-3.65
29241,86.90E,38,48.7,-3.65
29241,01.43Z,3,48.7,-3.65
29241,90.01Z,6,48.7,-3.65
29241,71.3G,3,48.7,-3.65
29241,85.31Z,3,48.7,-3.65
29241,46.73B,1,48.7,-3.65
29241,71.20A,6,48.7,-3.65
29241,29.3C,1,48.7,-3.65
29241,38.11Z,1,48.7,-3.65
29241,43.32B,6,48.7,-3.65
29241,47.82Z,4,48.7,-3.65
29241,80.4C,1,48.7,-3.65
29241,01.07,1,48.7,-3.65
29241,77.12Z,1,48.7,-3.65
29241,52.2G,1,48.7,-3.65
29241,94.91Z,4,48.7,-3.65
29241,47.75Z,1,48.7,-3.65
29241,56.10C,19,48.7,-3.65
29241,74.10Z,6,48.7,-3.65
29241,74.90A,2,48.7,-3.65
29241,52.4R,1,48.7,-3.65
29241,43.91A,5,48.7,-3.65
29241,82.11Z,1,48.7,-3.65
29241,93.13Z,2,48.7,-3.65
29241,81.30Z,15,48.7,-3.65
29241,64.41,2,48.7,-3.65
29241,25.72Z,1,48.7,-3.65
29241,86.10Z,2,48.7,-3.65
29241,01.4B,5,48.7,-3.65
29241,84.11Z,24,48.7,-3.65
29241,43.99B,1,48.7,-3.65
29241,50.1Z,3,48.7,-3.65
29241,52.7C,3,48.7,-3.65
29241,63.3Z,1,48.7,-3.65
29241,10.13B,2,48.7,-3.65
29241,66.30Z,3,48.7,-3.65
29241,92.11,1,48.7,-3.65
29241,64.45,6,48.7,-3.65
29241,"",1,48.7,-3.65
29241,45.4D,1,48.7,-3.65
29241,70.2B,1,48.7,-3.65
29241,95.11,1,48.7,-3.65
29241,85.1G,5,48.7,-3.65
29241,77.14,3,48.7,-3.65
29241,01.3Z,23,48.7,-3.65
29241,01.4A,4,48.7,-3.65
29241,43.39Z,2,48.7,-3.65
29241,87.01,8,48.7,-3.65
29241,55.20Z,6,48.7,-3.65
29241,93.12Z,20,48.7,-3.65
29241,43.22B,2,48.7,-3.65
29241,94.11Z,1,48.7,-3.65
29241,03.30,1,48.7,-3.65
29241,43.32A,25,48.7,-3.65
29241,01.2G,2,48.7,-3.65
29241,46.42Z,1,48.7,-3.65
29241,56.29B,6,48.7,-3.65
29241,00.10,1,48.7,-3.65
29241,60.07,1,48.7,-3.65
29241,25.62B,3,48.7,-3.65
29241,72.19Z,1,48.7,-3.65
29241,67.09,1,48.7,-3.65
29241,58.06,1,48.7,-3.65
29241,57.11,2,48.7,-3.65
29241,74.30Z,2,48.7,-3.65
29241,51.1A,2,48.7,-3.65
29241,96.03Z,5,48.7,-3.65
29241,47.11B,1,48.7,-3.65
29241,36.1G,1,48.7,-3.65
29241,79.11Z,1,48.7,-3.65
29241,52.2A,2,48.7,-3.65
29241,64.19Z,10,48.7,-3.65
29241,65.06,2,48.7,-3.65
29241,45.2L,1,48.7,-3.65
29241,59.20Z,2,48.7,-3.65
29241,43.32C,2,48.7,-3.65
29241,87.06,1,48.7,-3.65
29241,55.70,2,48.7,-3.65
29241,65.2E,5,48.7,-3.65
29241,01.24Z,2,48.7,-3.65
29241,13.92Z,1,48.7,-3.65
29241,86.23Z,10,48.7,-3.65
29241,02.20Z,2,48.7,-3.65
29241,49.39A,1,48.7,-3.65
29241,55.4B,21,48.7,-3.65
29241,62.42,1,48.7,-3.65
29241,71.12A,1,48.7,-3.65
29241,22.2J,1,48.7,-3.65
29241,52.6E,9,48.7,-3.65
29241,28.7E,1,48.7,-3.65
29241,41.07,1,48.7,-3.65
29241,10.85Z,1,48.7,-3.65
29241,26.7Z,1,48.7,-3.65
29241,47.74Z,3,48.7,-3.65
29241,97.22,1,48.7,-3.65
29241,74.1J,13,48.7,-3.65
29241,43.33Z,8,48.7,-3.65
29241,20.41Z,3,48.7,-3.65
29241,47.22Z,3,48.7,-3.65
29241,14.1A,3,48.7,-3.65
29241,64.12,2,48.7,-3.65
29241,74.20Z,3,48.7,-3.65
29241,01.80,1,48.7,-3.65
29241,64.30Z,2,48.7,-3.65
29241,56.10A,24,48.7,-3.65
29241,47.11D,9,48.7,-3.65
29241,86.90D,71,48.7,-3.65
29241,82.19Z,5,48.7,-3.65
29241,96.02A,24,48.7,-3.65
29241,51.1R,1,48.7,-3.65
29241,46.19B,13,48.7,-3.65
29241,01.25Z,1,48.7,-3.65
29241,78.02,6,48.7,-3.65
29241,31.09B,7,48.7,-3.65
29241,47.23Z,3,48.7,-3.65
29241,77.31Z,2,48.7,-3.65
29241,55.3B,1,48.7,-3.65
29241,57.04,2,48.7,-3.65
29241,46.69B,1,48.7,-3.65
29241,69.12,3,48.7,-3.65
29241,45.3A,4,48.7,-3.65
29241,73.12Z,2,48.7,-3.65
29241,85.42Z,1,48.7,-3.65
29241,64.24,3,48.7,-3.65
29241,01.00,1,48.7,-3.65
29241,70.1C,2,48.7,-3.65
29241,52.4E,1,48.7,-3.65
29241,58.11,1,48.7,-3.65
29241,10.89Z,2,48.7,-3.65
29241,43.91B,13,48.7,-3.65
29241,29.4D,1,48.7,-3.65
29241,94.99Z,53,48.7,-3.65
29241,67.2Z,6,48.7,-3.65
29241,15.09,1,48.7,-3.65
29241,47.76Z,14,48.7,-3.65
29241,70.10Z,4,48.7,-3.65
29241,49.31Z,1,48.7,-3.65
29241,08.11Z,1,48.7,-3.65
29241,14.13Z,1,48.7,-3.65
29241,77.29Z,1,48.7,-3.65
29241,10.51A,1,48.7,-3.65
29241,82.06,2,48.7,-3.65
29241,79.90Z,1,48.7,-3.65
29241,82.99Z,8,48.7,-3.65
29241,41.10C,1,48.7,-3.65
29241,47.21Z,2,48.7,-3.65
29241,02.20,2,48.7,-3.65
29241,32.20Z,2,48.7,-3.65
29241,47.59A,2,48.7,-3.65
29241,23.41Z,2,48.7,-3.65
29241,45.3F,1,48.7,-3.65
29241,79.06,1,48.7,-3.65
29241,52.7A,2,48.7,-3.65
29241,63.12Z,1,48.7,-3.65
29241,33.15Z,3,48.7,-3.65
29241,39.02,4,48.7,-3.65
29241,56.29A,1,48.7,-3.65
29241,38.50,5,48.7,-3.65
29241,49.10Z,2,48.7,-3.65
29241,90.04Z,1,48.7,-3.65
29241,51.1T,1,48.7,-3.65
29241,25.50B,1,48.7,-3.65
29241,51.3S,2,48.7,-3.65
29241,01.30Z,2,48.7,-3.65
29241,86.22C,2,48.7,-3.65
29241,47.52B,1,48.7,-3.65
29241,52.2J,1,48.7,-3.65
29241,67.01,4,48.7,-3.65
29241,47.78C,7,48.7,-3.65
29241,92.3H,2,48.7,-3.65
29241,02.0B,2,48.7,-3.65
29241,52.10A,2,48.7,-3.65
29241,46.63Z,1,48.7,-3.65
29241,71.4B,1,48.7,-3.65
29241,64.14,1,48.7,-3.65
29241,47.72A,6,48.7,-3.65
29241,74.8A,1,48.7,-3.65
29241,63.11Z,1,48.7,-3.65
29241,64.47,3,48.7,-3.65
29241,45.4M,2,48.7,-3.65
29241,00.00Z,4,48.7,-3.65
29241,87.03,4,48.7,-3.65
29241,47.78A,7,48.7,-3.65
29241,60.10Z,2,48.7,-3.65
29241,69.23,1,48.7,-3.65
29241,45.4A,2,48.7,-3.65
29241,46.34Z,1,48.7,-3.65
29241,62.43,5,48.7,-3.65
29241,46.21Z,2,48.7,-3.65
29241,45.2P,1,48.7,-3.65
29241,55.73,18,48.7,-3.65
29241,85.3J,1,48.7,-3.65
29241,77.03,1,48.7,-3.65
29241,62.01Z,4,48.7,-3.65
29241,85.1H,1,48.7,-3.65
29241,55.71,10,48.7,-3.65
29241,01.50Z,18,48.7,-3.65
29241,10.71B,3,48.7,-3.65
29241,46.18Z,1,48.7,-3.65
29241,35.01,6,48.7,-3.65
29241,46.33Z,4,48.7,-3.65
29241,84.12Z,1,48.7,-3.65
29241,01.45Z,2,48.7,-3.65
29241,81.21,19,48.7,-3.65
29241,64.30,4,48.7,-3.65
29241,95.23Z,1,48.7,-3.65
29241,52.3E,2,48.7,-3.65
29241,77.12,1,48.7,-3.65
29241,55.2E,1,48.7,-3.65
29241,43.31Z,9,48.7,-3.65
29241,47.62Z,2,48.7,-3.65
29241,85.53Z,5,48.7,-3.65
29241,51.4S,1,48.7,-3.65
29241,43.99D,3,48.7,-3.65
29241,47.54Z,1,48.7,-3.65
29241,22.22Z,1,48.7,-3.65
29241,45.4C,3,48.7,-3.65
29241,70.2C,31,48.7,-3.65
29241,11.05Z,1,48.7,-3.65
29241,47.24Z,1,48.7,-3.65
29241,57.01,2,48.7,-3.65
29241,47.71Z,13,48.7,-3.65
29241,77.06,1,48.7,-3.65
29241,90.03A,12,48.7,-3.65
29241,66.0G,1,48.7,-3.65
29241,45.1A,2,48.7,-3.65
29241,74.6Z,2,48.7,-3.65
