codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
29250,47.99A,12,48.666667,-4.066667
29250,47.99A,12,48.7,-4.033333
29250,47.99A,12,48.683333,-3.983333
29250,47.99A,12,48.666667,-4.05
29250,55.3A,16,48.666667,-4.066667
29250,55.3A,16,48.7,-4.033333
29250,55.3A,16,48.683333,-3.983333
29250,55.3A,16,48.666667,-4.05
29250,43.22A,4,48.666667,-4.066667
29250,43.22A,4,48.7,-4.033333
29250,43.22A,4,48.683333,-3.983333
29250,43.22A,4,48.666667,-4.05
29250,93.0D,4,48.666667,-4.066667
29250,93.0D,4,48.7,-4.033333
29250,93.0D,4,48.683333,-3.983333
29250,93.0D,4,48.666667,-4.05
29250,02.10Z,8,48.666667,-4.066667
29250,02.10Z,8,48.7,-4.033333
29250,02.10Z,8,48.683333,-3.983333
29250,02.10Z,8,48.666667,-4.05
29250,01.11Z,32,48.666667,-4.066667
29250,01.11Z,32,48.7,-4.033333
29250,01.11Z,32,48.683333,-3.983333
29250,01.11Z,32,48.666667,-4.05
29250,49.41A,8,48.666667,-4.066667
29250,49.41A,8,48.7,-4.033333
29250,49.41A,8,48.683333,-3.983333
29250,49.41A,8,48.666667,-4.05
29250,65.02,4,48.666667,-4.066667
29250,65.02,4,48.7,-4.033333
29250,65.02,4,48.683333,-3.983333
29250,65.02,4,48.666667,-4.05
29250,68.20A,4,48.666667,-4.066667
29250,68.20A,4,48.7,-4.033333
29250,68.20A,4,48.683333,-3.983333
29250,68.20A,4,48.666667,-4.05
29250,60.2E,8,48.666667,-4.066667
29250,60.2E,8,48.7,-4.033333
29250,60.2E,8,48.683333,-3.983333
29250,60.2E,8,48.666667,-4.05
29250,55.60,4,48.666667,-4.066667
29250,55.60,4,48.7,-4.033333
29250,55.60,4,48.683333,-3.983333
29250,55.60,4,48.666667,-4.05
29250,56.30Z,36,48.666667,-4.066667
29250,56.30Z,36,48.7,-4.033333
29250,56.30Z,36,48.683333,-3.983333
29250,56.30Z,36,48.666667,-4.05
29250,15.8B,4,48.666667,-4.066667
29250,15.8B,4,48.7,-4.033333
29250,15.8B,4,48.683333,-3.983333
29250,15.8B,4,48.666667,-4.05
29250,46.11Z,4,48.666667,-4.066667
29250,46.11Z,4,48.7,-4.033333
29250,46.11Z,4,48.683333,-3.983333
29250,46.11Z,4,48.666667,-4.05
29250,01.47Z,80,48.666667,-4.066667
29250,01.47Z,80,48.7,-4.033333
29250,01.47Z,80,48.683333,-3.983333
29250,01.47Z,80,48.666667,-4.05
29250,45.4J,4,48.666667,-4.066667
29250,45.4J,4,48.7,-4.033333
29250,45.4J,4,48.683333,-3.983333
29250,45.4J,4,48.666667,-4.05
29250,43.34Z,4,48.666667,-4.066667
29250,43.34Z,4,48.7,-4.033333
29250,43.34Z,4,48.683333,-3.983333
29250,43.34Z,4,48.666667,-4.05
29250,93.19Z,4,48.666667,-4.066667
29250,93.19Z,4,48.7,-4.033333
29250,93.19Z,4,48.683333,-3.983333
29250,93.19Z,4,48.666667,-4.05
29250,90.01Z,8,48.666667,-4.066667
29250,90.01Z,8,48.7,-4.033333
29250,90.01Z,8,48.683333,-3.983333
29250,90.01Z,8,48.666667,-4.05
29250,01.43Z,4,48.666667,-4.066667
29250,01.43Z,4,48.7,-4.033333
29250,01.43Z,4,48.683333,-3.983333
29250,01.43Z,4,48.666667,-4.05
29250,86.90E,4,48.666667,-4.066667
29250,86.90E,4,48.7,-4.033333
29250,86.90E,4,48.683333,-3.983333
29250,86.90E,4,48.666667,-4.05
29250,29.3C,4,48.666667,-4.066667
29250,29.3C,4,48.7,-4.033333
29250,29.3C,4,48.683333,-3.983333
29250,29.3C,4,48.666667,-4.05
29250,47.82Z,4,48.666667,-4.066667
29250,47.82Z,4,48.7,-4.033333
29250,47.82Z,4,48.683333,-3.983333
29250,47.82Z,4,48.666667,-4.05
29250,38.31Z,4,48.666667,-4.066667
29250,38.31Z,4,48.7,-4.033333
29250,38.31Z,4,48.683333,-3.983333
29250,38.31Z,4,48.666667,-4.05
29250,74.10Z,4,48.666667,-4.066667
29250,74.10Z,4,48.7,-4.033333
29250,74.10Z,4,48.683333,-3.983333
29250,74.10Z,4,48.666667,-4.05
29250,56.10C,4,48.666667,-4.066667
29250,56.10C,4,48.7,-4.033333
29250,56.10C,4,48.683333,-3.983333
29250,56.10C,4,48.666667,-4.05
29250,43.91A,4,48.666667,-4.066667
29250,43.91A,4,48.7,-4.033333
29250,43.91A,4,48.683333,-3.983333
29250,43.91A,4,48.666667,-4.05
29250,81.30Z,4,48.666667,-4.066667
29250,81.30Z,4,48.7,-4.033333
29250,81.30Z,4,48.683333,-3.983333
29250,81.30Z,4,48.666667,-4.05
29250,84.11Z,16,48.666667,-4.066667
29250,84.11Z,16,48.7,-4.033333
29250,84.11Z,16,48.683333,-3.983333
29250,84.11Z,16,48.666667,-4.05
29250,50.1Z,4,48.666667,-4.066667
29250,50.1Z,4,48.7,-4.033333
29250,50.1Z,4,48.683333,-3.983333
29250,50.1Z,4,48.666667,-4.05
29250,70.2B,8,48.666667,-4.066667
29250,70.2B,8,48.7,-4.033333
29250,70.2B,8,48.683333,-3.983333
29250,70.2B,8,48.666667,-4.05
29250,01.3Z,44,48.666667,-4.066667
29250,01.3Z,44,48.7,-4.033333
29250,01.3Z,44,48.683333,-3.983333
29250,01.3Z,44,48.666667,-4.05
29250,01.4A,4,48.666667,-4.066667
29250,01.4A,4,48.7,-4.033333
29250,01.4A,4,48.683333,-3.983333
29250,01.4A,4,48.666667,-4.05
29250,55.20Z,4,48.666667,-4.066667
29250,55.20Z,4,48.7,-4.033333
29250,55.20Z,4,48.683333,-3.983333
29250,55.20Z,4,48.666667,-4.05
