codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
30110,64.11,14,44.183333,4
30110,64.11,14,44.25,3.966667
30110,64.11,14,44.2,4.033333
30110,64.11,14,44.2,4.066667
30110,64.11,14,44.2,3.95
30110,64.11,14,44.216667,4.033333
30110,64.11,14,44.216667,3.983333
30110,95.29Z,28,44.183333,4
30110,95.29Z,28,44.25,3.966667
30110,95.29Z,28,44.2,4.033333
30110,95.29Z,28,44.2,4.066667
30110,95.29Z,28,44.2,3.95
30110,95.29Z,28,44.216667,4.033333
30110,95.29Z,28,44.216667,3.983333
30110,92.3A,21,44.183333,4
30110,92.3A,21,44.25,3.966667
30110,92.3A,21,44.2,4.033333
30110,92.3A,21,44.2,4.066667
30110,92.3A,21,44.2,3.95
30110,92.3A,21,44.216667,4.033333
30110,92.3A,21,44.216667,3.983333
30110,68.20A,14,44.183333,4
30110,68.20A,14,44.25,3.966667
30110,68.20A,14,44.2,4.033333
30110,68.20A,14,44.2,4.066667
30110,68.20A,14,44.2,3.95
30110,68.20A,14,44.216667,4.033333
30110,68.20A,14,44.216667,3.983333
30110,55.40,7,44.183333,4
30110,55.40,7,44.25,3.966667
30110,55.40,7,44.2,4.033333
30110,55.40,7,44.2,4.066667
30110,55.40,7,44.2,3.95
30110,55.40,7,44.216667,4.033333
30110,55.40,7,44.216667,3.983333
30110,45.3E,7,44.183333,4
30110,45.3E,7,44.25,3.966667
30110,45.3E,7,44.2,4.033333
30110,45.3E,7,44.2,4.066667
30110,45.3E,7,44.2,3.95
30110,45.3E,7,44.216667,4.033333
30110,45.3E,7,44.216667,3.983333
30110,56.21Z,14,44.183333,4
30110,56.21Z,14,44.25,3.966667
30110,56.21Z,14,44.2,4.033333
30110,56.21Z,14,44.2,4.066667
30110,56.21Z,14,44.2,3.95
30110,56.21Z,14,44.216667,4.033333
30110,56.21Z,14,44.216667,3.983333
30110,62.11,14,44.183333,4
30110,62.11,14,44.25,3.966667
30110,62.11,14,44.2,4.033333
30110,62.11,14,44.2,4.066667
30110,62.11,14,44.2,3.95
30110,62.11,14,44.216667,4.033333
30110,62.11,14,44.216667,3.983333
30110,43.34Z,7,44.183333,4
30110,43.34Z,7,44.25,3.966667
30110,43.34Z,7,44.2,4.033333
30110,43.34Z,7,44.2,4.066667
30110,43.34Z,7,44.2,3.95
30110,43.34Z,7,44.216667,4.033333
30110,43.34Z,7,44.216667,3.983333
30110,93.19Z,7,44.183333,4
30110,93.19Z,7,44.25,3.966667
30110,93.19Z,7,44.2,4.033333
30110,93.19Z,7,44.2,4.066667
30110,93.19Z,7,44.2,3.95
30110,93.19Z,7,44.216667,4.033333
30110,93.19Z,7,44.216667,3.983333
30110,64.20Z,7,44.183333,4
30110,64.20Z,7,44.25,3.966667
30110,64.20Z,7,44.2,4.033333
30110,64.20Z,7,44.2,4.066667
30110,64.20Z,7,44.2,3.95
30110,64.20Z,7,44.216667,4.033333
30110,64.20Z,7,44.216667,3.983333
30110,90.01Z,28,44.183333,4
30110,90.01Z,28,44.25,3.966667
30110,90.01Z,28,44.2,4.033333
30110,90.01Z,28,44.2,4.066667
30110,90.01Z,28,44.2,3.95
30110,90.01Z,28,44.216667,4.033333
30110,90.01Z,28,44.216667,3.983333
30110,86.90E,7,44.183333,4
30110,86.90E,7,44.25,3.966667
30110,86.90E,7,44.2,4.033333
30110,86.90E,7,44.2,4.066667
30110,86.90E,7,44.2,3.95
30110,86.90E,7,44.216667,4.033333
30110,86.90E,7,44.216667,3.983333
30110,77.10,7,44.183333,4
30110,77.10,7,44.25,3.966667
30110,77.10,7,44.2,4.033333
30110,77.10,7,44.2,4.066667
30110,77.10,7,44.2,3.95
30110,77.10,7,44.216667,4.033333
30110,77.10,7,44.216667,3.983333
30110,74.10Z,7,44.183333,4
30110,74.10Z,7,44.25,3.966667
30110,74.10Z,7,44.2,4.033333
30110,74.10Z,7,44.2,4.066667
30110,74.10Z,7,44.2,3.95
30110,74.10Z,7,44.216667,4.033333
30110,74.10Z,7,44.216667,3.983333
30110,81.30Z,42,44.183333,4
30110,81.30Z,42,44.25,3.966667
30110,81.30Z,42,44.2,4.033333
30110,81.30Z,42,44.2,4.066667
30110,81.30Z,42,44.2,3.95
30110,81.30Z,42,44.216667,4.033333
30110,81.30Z,42,44.216667,3.983333
30110,84.11Z,21,44.183333,4
30110,84.11Z,21,44.25,3.966667
30110,84.11Z,21,44.2,4.033333
30110,84.11Z,21,44.2,4.066667
30110,84.11Z,21,44.2,3.95
30110,84.11Z,21,44.216667,4.033333
30110,84.11Z,21,44.216667,3.983333
30110,01.21Z,42,44.183333,4
30110,01.21Z,42,44.25,3.966667
30110,01.21Z,42,44.2,4.033333
30110,01.21Z,42,44.2,4.066667
30110,01.21Z,42,44.2,3.95
30110,01.21Z,42,44.216667,4.033333
30110,01.21Z,42,44.216667,3.983333
30110,77.14,7,44.183333,4
30110,77.14,7,44.25,3.966667
30110,77.14,7,44.2,4.033333
30110,77.14,7,44.2,4.066667
30110,77.14,7,44.2,3.95
30110,77.14,7,44.216667,4.033333
30110,77.14,7,44.216667,3.983333
30110,43.39Z,28,44.183333,4
30110,43.39Z,28,44.25,3.966667
30110,43.39Z,28,44.2,4.033333
30110,43.39Z,28,44.2,4.066667
30110,43.39Z,28,44.2,3.95
30110,43.39Z,28,44.216667,4.033333
30110,43.39Z,28,44.216667,3.983333
30110,43.12B,7,44.183333,4
30110,43.12B,7,44.25,3.966667
30110,43.12B,7,44.2,4.033333
30110,43.12B,7,44.2,4.066667
30110,43.12B,7,44.2,3.95
30110,43.12B,7,44.216667,4.033333
30110,43.12B,7,44.216667,3.983333
30110,55.20Z,21,44.183333,4
30110,55.20Z,21,44.25,3.966667
30110,55.20Z,21,44.2,4.033333
30110,55.20Z,21,44.2,4.066667
30110,55.20Z,21,44.2,3.95
30110,55.20Z,21,44.216667,4.033333
30110,55.20Z,21,44.216667,3.983333
30110,93.12Z,7,44.183333,4
30110,93.12Z,7,44.25,3.966667
30110,93.12Z,7,44.2,4.033333
30110,93.12Z,7,44.2,4.066667
30110,93.12Z,7,44.2,3.95
30110,93.12Z,7,44.216667,4.033333
30110,93.12Z,7,44.216667,3.983333
30110,43.32A,14,44.183333,4
30110,43.32A,14,44.25,3.966667
30110,43.32A,14,44.2,4.033333
30110,43.32A,14,44.2,4.066667
30110,43.32A,14,44.2,3.95
