codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
30131,47.99A,1,44,4.783333
30131,64.11,3,44,4.783333
30131,55.3A,5,44,4.783333
30131,65.12Z,1,44,4.783333
30131,43.22A,2,44,4.783333
30131,93.0D,3,44,4.783333
30131,43.11Z,1,44,4.783333
30131,01.11Z,2,44,4.783333
30131,47.79Z,2,44,4.783333
30131,52.3A,1,44,4.783333
30131,64.23,2,44,4.783333
30131,52.4Z,1,44,4.783333
30131,55.40,2,44,4.783333
30131,68.20A,7,44,4.783333
30131,64.49,2,44,4.783333
30131,45.3E,1,44,4.783333
30131,55.60,9,44,4.783333
30131,56.30Z,3,44,4.783333
30131,15.8B,1,44,4.783333
30131,56.21Z,1,44,4.783333
30131,62.11,4,44,4.783333
30131,85.1C,2,44,4.783333
30131,47.52A,1,44,4.783333
30131,43.34Z,3,44,4.783333
30131,64.20Z,2,44,4.783333
30131,86.90E,13,44,4.783333
30131,90.01Z,4,44,4.783333
30131,47.82Z,3,44,4.783333
30131,56.10C,9,44,4.783333
30131,15.9G,1,44,4.783333
30131,74.10Z,1,44,4.783333
30131,87.20A,1,44,4.783333
30131,81.30Z,8,44,4.783333
30131,84.11Z,10,44,4.783333
30131,20.42Z,2,44,4.783333
30131,63.3Z,1,44,4.783333
30131,01.21Z,21,44,4.783333
30131,55.2C,1,44,4.783333
30131,95.22Z,1,44,4.783333
30131,70.2B,1,44,4.783333
30131,85.1G,7,44,4.783333
30131,43.39Z,2,44,4.783333
30131,01.3Z,2,44,4.783333
30131,55.20Z,7,44,4.783333
30131,93.12Z,4,44,4.783333
30131,25.2H,1,44,4.783333
30131,11.02B,1,44,4.783333
30131,74.30Z,1,44,4.783333
30131,47.11B,2,44,4.783333
30131,96.03Z,4,44,4.783333
30131,47.11C,1,44,4.783333
30131,70.1F,1,44,4.783333
30131,65.06,4,44,4.783333
30131,01.24Z,3,44,4.783333
30131,02.20Z,3,44,4.783333
30131,86.23Z,1,44,4.783333
30131,55.4B,4,44,4.783333
30131,52.6E,4,44,4.783333
30131,47.74Z,1,44,4.783333
30131,74.1J,7,44,4.783333
30131,68.32B,1,44,4.783333
30131,43.33Z,4,44,4.783333
30131,47.22Z,3,44,4.783333
30131,64.12,1,44,4.783333
30131,56.10A,15,44,4.783333
30131,86.90D,21,44,4.783333
30131,96.02A,9,44,4.783333
30131,82.19Z,1,44,4.783333
30131,46.19B,8,44,4.783333
30131,55.3B,3,44,4.783333
30131,78.02,1,44,4.783333
30131,45.3A,1,44,4.783333
30131,85.42Z,1,44,4.783333
30131,55.30Z,8,44,4.783333
30131,94.99Z,22,44,4.783333
30131,79.90Z,3,44,4.783333
30131,47.59A,1,44,4.783333
30131,23.41Z,2,44,4.783333
30131,79.06,1,44,4.783333
30131,02.0D,2,44,4.783333
30131,67.01,4,44,4.783333
30131,47.78C,3,44,4.783333
30131,74.8A,1,44,4.783333
30131,01.1G,2,44,4.783333
30131,87.03,2,44,4.783333
30131,47.64Z,2,44,4.783333
30131,77.21Z,2,44,4.783333
30131,55.73,1,44,4.783333
30131,52.2L,1,44,4.783333
30131,55.71,1,44,4.783333
30131,81.21,2,44,4.783333
30131,47.26Z,2,44,4.783333
30131,91.3E,1,44,4.783333
30131,51.4S,1,44,4.783333
30131,43.31Z,1,44,4.783333
30131,45.4C,2,44,4.783333
30131,70.2C,6,44,4.783333
30131,90.03A,4,44,4.783333
30131,45.1A,2,44,4.783333
30131,16.29Z,2,44,4.783333
30131,46.90Z,1,44,4.783333
30131,86.21Z,8,44,4.783333
30131,52.24B,1,44,4.783333
30131,96.02B,3,44,4.783333
30131,52.2C,2,44,4.783333
30131,47.73Z,2,44,4.783333
30131,80.06,1,44,4.783333
30131,74.8K,1,44,4.783333
30131,47.81Z,1,44,4.783333
30131,68.31Z,8,44,4.783333
30131,85.59A,2,44,4.783333
30131,85.59B,1,44,4.783333
30131,43.99C,11,44,4.783333
30131,52.5Z,1,44,4.783333
30131,70.21Z,2,44,4.783333
30131,10.71C,4,44,4.783333
30131,47.51Z,1,44,4.783333
30131,01.61Z,7,44,4.783333
30131,82.92Z,1,44,4.783333
30131,45.20A,8,44,4.783333
30131,90.0B,1,44,4.783333
30131,67.04,4,44,4.783333
30131,92.6A,1,44,4.783333
30131,55.10Z,3,44,4.783333
30131,96.09Z,5,44,4.783333
30131,60.09,1,44,4.783333
30131,32.50A,1,44,4.783333
30131,13.99Z,1,44,4.783333
30131,80.10Z,1,44,4.783333
30131,81.21Z,3,44,4.783333
30131,74.2C,2,44,4.783333
30131,35.11Z,1,44,4.783333
