codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
30133,47.99A,47,"",""
30133,58.19Z,1,"",""
30133,33.20A,1,"",""
30133,70.3A,34,"",""
30133,64.11,60,"",""
30133,87.30A,2,"",""
30133,61.10Z,3,"",""
30133,55.3A,177,"",""
30133,65.12Z,5,"",""
30133,46.45Z,9,"",""
30133,95.12Z,1,"",""
30133,43.22A,43,"",""
30133,74.09,1,"",""
30133,41.10A,10,"",""
30133,26.2A,2,"",""
30133,64.40,4,"",""
30133,67.05,1,"",""
30133,93.0D,11,"",""
30133,02.10Z,1,"",""
30133,84.11,2,"",""
30133,01.11Z,6,"",""
30133,47.79Z,6,"",""
30133,65.02,5,"",""
30133,49.41A,2,"",""
30133,77.01,2,"",""
30133,95.29Z,20,"",""
30133,52.4Z,64,"",""
30133,43.99A,4,"",""
30133,92.3A,2,"",""
30133,64.23,2,"",""
30133,47.65Z,3,"",""
30133,46.36Z,1,"",""
30133,64.49,41,"",""
30133,05.0A,31,"",""
30133,68.20A,488,"",""
30133,51.3A,5,"",""
30133,55.40,5,"",""
30133,85.1E,3,"",""
30133,51.3J,7,"",""
30133,49.32Z,23,"",""
30133,45.3E,9,"",""
30133,60.2E,5,"",""
30133,46.46Z,1,"",""
30133,18.1Z,1,"",""
30133,55.60,18,"",""
30133,36.6E,1,"",""
30133,52.22Z,2,"",""
30133,45.2J,3,"",""
30133,56.30Z,75,"",""
30133,15.8D,2,"",""
30133,86.22A,1,"",""
30133,18.20Z,1,"",""
30133,80.30Z,1,"",""
30133,64.1C,1,"",""
30133,32.99Z,6,"",""
30133,74.5A,1,"",""
30133,36.2C,1,"",""
30133,15.8B,14,"",""
30133,72.2Z,1,"",""
30133,49.01,1,"",""
30133,36.00Z,2,"",""
30133,52.21Z,2,"",""
30133,56.21Z,27,"",""
30133,95.11Z,4,"",""
30133,62.11,44,"",""
30133,85.1C,3,"",""
30133,46.49Z,24,"",""
30133,64.44,2,"",""
30133,47.77Z,6,"",""
30133,92.3J,2,"",""
30133,50.2Z,3,"",""
30133,45.4J,10,"",""
30133,47.52A,8,"",""
30133,11.07B,1,"",""
30133,78.20Z,1,"",""
30133,73.20Z,3,"",""
30133,81.22Z,11,"",""
30133,52.4V,5,"",""
30133,52.4Y,1,"",""
30133,43.34Z,60,"",""
30133,80.4D,3,"",""
30133,95.21Z,1,"",""
30133,93.19Z,16,"",""
30133,81.29B,6,"",""
30133,17.4A,1,"",""
30133,93.0N,3,"",""
30133,79.02,1,"",""
30133,42.91Z,2,"",""
30133,92.5C,1,"",""
30133,52.4X,3,"",""
30133,47.02,1,"",""
30133,64.20Z,35,"",""
30133,86.90E,90,"",""
30133,90.01Z,34,"",""
30133,17.5G,2,"",""
30133,74.3B,1,"",""
30133,46.71Z,8,"",""
30133,52.29B,2,"",""
30133,01.43Z,7,"",""
30133,71.3G,1,"",""
30133,85.31Z,1,"",""
30133,38.11Z,4,"",""
30133,46.73B,1,"",""
30133,59.13,1,"",""
30133,82.20Z,1,"",""
30133,71.20A,1,"",""
30133,77.10,1,"",""
30133,47.82Z,94,"",""
30133,43.32B,9,"",""
30133,80.4C,1,"",""
30133,52.2G,17,"",""
30133,47.75Z,8,"",""
30133,77.12Z,2,"",""
30133,94.91Z,1,"",""
30133,56.10C,346,"",""
30133,52.4R,8,"",""
30133,74.10Z,15,"",""
30133,32.03,5,"",""
30133,74.90A,3,"",""
30133,33.20C,1,"",""
30133,82.11Z,8,"",""
30133,93.13Z,2,"",""
30133,55.4C,1,"",""
30133,61.1A,1,"",""
30133,81.30Z,12,"",""
30133,64.41,2,"",""
30133,49.05,1,"",""
30133,86.10Z,1,"",""
30133,45.4L,1,"",""
30133,50.4Z,2,"",""
30133,01.4B,4,"",""
30133,43.99B,1,"",""
30133,84.11Z,13,"",""
30133,20.42Z,4,"",""
30133,50.1Z,9,"",""
30133,52.7C,1,"",""
30133,79.12Z,2,"",""
30133,35.13Z,1,"",""
30133,46.12B,1,"",""
30133,55.2C,11,"",""
30133,01.21Z,29,"",""
30133,66.30Z,12,"",""
30133,10.13B,2,"",""
30133,"",10,"",""
30133,95.22Z,3,"",""
30133,45.4D,3,"",""
30133,64.45,7,"",""
30133,18.2D,1,"",""
30133,71.2C,2,"",""
30133,85.1G,15,"",""
30133,77.14,3,"",""
30133,92.1J,1,"",""
30133,33.11Z,1,"",""
30133,43.39Z,23,"",""
30133,96.16,1,"",""
30133,22.29B,1,"",""
30133,10.52Z,2,"",""
30133,01.4A,1,"",""
30133,55.20Z,26,"",""
30133,87.01,3,"",""
30133,94.11Z,7,"",""
30133,93.12Z,42,"",""
30133,43.22B,13,"",""
30133,13.11,1,"",""
30133,43.29B,1,"",""
30133,69.22,1,"",""
30133,43.32A,32,"",""
30133,46.42Z,17,"",""
30133,00.10,15,"",""
30133,56.29B,5,"",""
30133,00.30,1,"",""
30133,44.42,1,"",""
30133,93.11Z,8,"",""
30133,58.12,1,"",""
30133,60.07,1,"",""
30133,72.5Z,1,"",""
30133,67.09,2,"",""
30133,74.1G,6,"",""
30133,72.19Z,2,"",""
30133,74.30Z,4,"",""
30133,47.11B,28,"",""
30133,70.1F,8,"",""
30133,96.03Z,15,"",""
30133,47.11C,19,"",""
30133,38.32Z,1,"",""
30133,79.11Z,5,"",""
30133,36.1G,2,"",""
30133,52.2P,14,"",""
30133,46.66Z,1,"",""
30133,52.2A,16,"",""
30133,47.61Z,6,"",""
30133,86.10,15,"",""
30133,64.19Z,15,"",""
30133,46.41Z,2,"",""
30133,71.1Z,1,"",""
30133,65.06,4,"",""
30133,59.20Z,1,"",""
30133,45.2L,1,"",""
30133,87.06,5,"",""
30133,43.32C,1,"",""
30133,13.92Z,8,"",""
30133,55.70,4,"",""
30133,01.24Z,1,"",""
30133,02.20Z,5,"",""
30133,86.23Z,26,"",""
30133,57.07,2,"",""
30133,49.39A,1,"",""
30133,55.4B,28,"",""
30133,03.21Z,2,"",""
30133,71.12A,2,"",""
30133,46.17B,1,"",""
30133,22.2J,1,"",""
30133,86.08,1,"",""
30133,52.6E,30,"",""
30133,96.25,1,"",""
30133,10.85Z,7,"",""
30133,47.74Z,3,"",""
30133,74.1J,92,"",""
30133,43.33Z,15,"",""
30133,68.32B,1,"",""
30133,47.22Z,27,"",""
30133,64.12,6,"",""
30133,74.20Z,27,"",""
30133,16.10B,2,"",""
30133,01.80,1,"",""
30133,56.10A,416,"",""
30133,47.11D,7,"",""
30133,64.30Z,9,"",""
30133,51.3T,1,"",""
30133,82.19Z,11,"",""
30133,51.1R,22,"",""
30133,86.90D,158,"",""
30133,96.02A,57,"",""
30133,65.2F,1,"",""
30133,46.19B,92,"",""
30133,71.2A,4,"",""
30133,55.3B,128,"",""
30133,47.23Z,22,"",""
30133,31.09B,6,"",""
30133,78.02,2,"",""
30133,01.25Z,2,"",""
30133,45.3A,11,"",""
30133,63.05,6,"",""
30133,73.12Z,3,"",""
30133,69.12,1,"",""
30133,46.69B,1,"",""
30133,33.19Z,2,"",""
30133,55.1E,1,"",""
30133,64.24,6,"",""
30133,52.4E,7,"",""
30133,70.1C,6,"",""
30133,46.76Z,4,"",""
30133,01.00,1,"",""
30133,55.30Z,24,"",""
30133,94.12Z,3,"",""
30133,10.89Z,1,"",""
30133,29.2C,1,"",""
30133,50.10Z,6,"",""
30133,87.04,4,"",""
30133,15.5F,2,"",""
30133,47.53Z,2,"",""
30133,26.51A,2,"",""
30133,72.2A,1,"",""
30133,94.99Z,90,"",""
30133,81.11,51,"",""
30133,67.2Z,3,"",""
30133,14.13Z,10,"",""
30133,77.29Z,7,"",""
30133,70.10Z,33,"",""
30133,47.76Z,8,"",""
30133,62.45,6,"",""
30133,85.60Z,1,"",""
30133,82.06,1,"",""
30133,47.21Z,16,"",""
30133,82.99Z,16,"",""
30133,41.10C,1,"",""
30133,47.59A,5,"",""
30133,79.90Z,4,"",""
30133,46.37Z,1,"",""
30133,23.41Z,2,"",""
30133,80.4A,2,"",""
30133,78.10Z,2,"",""
30133,79.06,20,"",""
30133,15.12Z,13,"",""
30133,86.06,8,"",""
30133,63.12Z,4,"",""
30133,45.3F,3,"",""
30133,33.15Z,53,"",""
30133,46.16Z,2,"",""
30133,93.21Z,23,"",""
30133,15.8A,1,"",""
30133,94.20Z,5,"",""
30133,90.04Z,5,"",""
30133,38.50,5,"",""
30133,49.10Z,1,"",""
30133,51.1T,8,"",""
30133,23.70Z,2,"",""
30133,58.12Z,1,"",""
30133,51.9A,2,"",""
30133,51.3S,3,"",""
30133,58.29B,1,"",""
30133,86.22C,6,"",""
30133,47.52B,1,"",""
30133,47.43Z,1,"",""
30133,59.02,1,"",""
30133,67.01,163,"",""
30133,52.2J,12,"",""
30133,47.78C,92,"",""
30133,92.3H,11,"",""
30133,66.19B,4,"",""
30133,35.1B,2,"",""
30133,02.0B,1,"",""
30133,71.4B,27,"",""
30133,64.14,3,"",""
30133,67.03,1,"",""
30133,47.72A,65,"",""
30133,74.8A,2,"",""
30133,75.1E,2,"",""
30133,63.11Z,1,"",""
30133,00.00Z,27,"",""
30133,64.47,16,"",""
30133,45.4M,10,"",""
30133,87.03,15,"",""
30133,01.1G,2,"",""
30133,54.03,23,"",""
30133,69.23,5,"",""
30133,46.34Z,5,"",""
30133,47.78A,8,"",""
30133,82.30Z,7,"",""
30133,74.7Z,8,"",""
30133,60.10Z,3,"",""
30133,45.4A,1,"",""
30133,47.64Z,71,"",""
30133,62.43,13,"",""
30133,70.1A,2,"",""
30133,77.21Z,27,"",""
30133,55.73,18,"",""
30133,77.03,2,"",""
30133,85.3J,1,"",""
30133,62.01Z,17,"",""
30133,52.2L,7,"",""
30133,49.03,1,"",""
30133,55.71,8,"",""
30133,41.10B,1,"",""
30133,43.29A,1,"",""
30133,55.12,2,"",""
30133,42.99Z,2,"",""
30133,10.82Z,3,"",""
30133,51.3G,1,"",""
30133,62.41,27,"",""
30133,46.18Z,11,"",""
30133,10.71B,22,"",""
30133,01.50Z,1,"",""
30133,01.22Z,1,"",""
30133,70.01,1,"",""
30133,77.34Z,3,"",""
30133,28.1A,1,"",""
30133,84.12Z,2,"",""
30133,59.14Z,3,"",""
30133,77.12,2,"",""
30133,81.21,19,"",""
30133,01.45Z,1,"",""
30133,52.3E,1,"",""
30133,62.12,1,"",""
30133,95.23Z,1,"",""
30133,64.30,2,"",""
30133,52.7F,1,"",""
30133,77.40Z,1,"",""
30133,55.2E,3,"",""
30133,96.24,1,"",""
30133,87.90A,2,"",""
30133,36.1J,1,"",""
30133,51.4S,10,"",""
30133,47.62Z,21,"",""
30133,43.31Z,28,"",""
30133,47.26Z,13,"",""
30133,85.53Z,23,"",""
30133,91.3E,11,"",""
30133,43.99D,6,"",""
30133,28.3C,1,"",""
30133,45.4C,4,"",""
30133,47.54Z,1,"",""
30133,03.12Z,1,"",""
30133,70.2C,112,"",""
30133,47.24Z,15,"",""
30133,92.3K,1,"",""
30133,95.24Z,2,"",""
30133,02.40Z,1,"",""
30133,47.71Z,255,"",""
30133,62.22,2,"",""
30133,51.1L,3,"",""
30133,90.03A,11,"",""
30133,51.5L,2,"",""
30133,67.06,3,"",""
30133,74.6Z,1,"",""
30133,45.1A,1,"",""
30133,16.29Z,3,"",""
30133,77.39Z,6,"",""
30133,81.10Z,99,"",""
30133,61.90Z,4,"",""
30133,46.90Z,13,"",""
30133,46.15Z,4,"",""
30133,60.2B,1,"",""
30133,87.08,10,"",""
30133,36.20,2,"",""
30133,45.31Z,1,"",""
30133,49.39B,4,"",""
30133,47.78B,1,"",""
30133,86.21Z,50,"",""
30133,96.02B,39,"",""
30133,47.19B,17,"",""
30133,55.10,3,"",""
30133,70.1B,1,"",""
30133,85.3D,1,"",""
30133,63.1D,1,"",""
30133,85.52Z,9,"",""
30133,45.2A,1,"",""
30133,64.48,3,"",""
30133,93.0E,3,"",""
30133,52.2C,14,"",""
30133,71.11Z,16,"",""
30133,79.01,9,"",""
30133,47.73Z,10,"",""
30133,80.06,18,"",""
30133,51.10Z,1,"",""
30133,74.8K,14,"",""
30133,77.02,1,"",""
30133,45.32Z,1,"",""
30133,87.07,4,"",""
30133,28.13Z,1,"",""
30133,15.1E,2,"",""
30133,47.81Z,88,"",""
30133,20.5A,1,"",""
30133,10.71D,5,"",""
30133,86.90A,11,"",""
30133,74.4B,4,"",""
30133,57.08,1,"",""
30133,49.50Z,1,"",""
30133,46.14Z,7,"",""
30133,15.2Z,3,"",""
30133,46.69C,4,"",""
30133,68.31Z,129,"",""
30133,51.6G,1,"",""
30133,01.42Z,6,"",""
30133,88.10A,7,"",""
30133,64.22,2,"",""
30133,56.10B,1,"",""
30133,10.1Z,1,"",""
30133,85.59B,15,"",""
30133,85.59A,13,"",""
30133,57.10,4,"",""
30133,17.4B,2,"",""
30133,93.0H,2,"",""
30133,01.26Z,1,"",""
30133,19.2Z,2,"",""
30133,22.29A,1,"",""
30133,62.44,21,"",""
30133,80.08,5,"",""
30133,03.10,1,"",""
30133,33.14Z,1,"",""
30133,43.99C,37,"",""
30133,44.39,1,"",""
30133,19.3Z,1,"",""
