codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31150,47.99A,145,43.716667,1.383333
31150,47.99A,145,43.716667,1.433333
31150,47.99A,145,43.7,1.366667
31150,47.99A,145,43.683333,1.4
31150,47.99A,145,43.733333,1.416667
31150,33.20A,15,43.716667,1.383333
31150,33.20A,15,43.716667,1.433333
31150,33.20A,15,43.7,1.366667
31150,33.20A,15,43.683333,1.4
31150,33.20A,15,43.733333,1.416667
31150,71.3E,5,43.716667,1.383333
31150,71.3E,5,43.716667,1.433333
31150,71.3E,5,43.7,1.366667
31150,71.3E,5,43.683333,1.4
31150,71.3E,5,43.733333,1.416667
31150,58.19Z,5,43.716667,1.383333
31150,58.19Z,5,43.716667,1.433333
31150,58.19Z,5,43.7,1.366667
31150,58.19Z,5,43.683333,1.4
31150,58.19Z,5,43.733333,1.416667
31150,70.3A,30,43.716667,1.383333
31150,70.3A,30,43.716667,1.433333
31150,70.3A,30,43.7,1.366667
31150,70.3A,30,43.683333,1.4
31150,70.3A,30,43.733333,1.416667
31150,64.11,5,43.716667,1.383333
31150,64.11,5,43.716667,1.433333
31150,64.11,5,43.7,1.366667
31150,64.11,5,43.683333,1.4
31150,64.11,5,43.733333,1.416667
31150,55.3A,25,43.716667,1.383333
31150,55.3A,25,43.716667,1.433333
31150,55.3A,25,43.7,1.366667
31150,55.3A,25,43.683333,1.4
31150,55.3A,25,43.733333,1.416667
31150,46.45Z,5,43.716667,1.383333
31150,46.45Z,5,43.716667,1.433333
31150,46.45Z,5,43.7,1.366667
31150,46.45Z,5,43.683333,1.4
31150,46.45Z,5,43.733333,1.416667
31150,43.22A,35,43.716667,1.383333
31150,43.22A,35,43.716667,1.433333
31150,43.22A,35,43.7,1.366667
31150,43.22A,35,43.683333,1.4
31150,43.22A,35,43.733333,1.416667
31150,47.04,5,43.716667,1.383333
31150,47.04,5,43.716667,1.433333
31150,47.04,5,43.7,1.366667
31150,47.04,5,43.683333,1.4
31150,47.04,5,43.733333,1.416667
31150,32.2B,5,43.716667,1.383333
31150,32.2B,5,43.716667,1.433333
31150,32.2B,5,43.7,1.366667
31150,32.2B,5,43.683333,1.4
31150,32.2B,5,43.733333,1.416667
31150,41.10A,10,43.716667,1.383333
31150,41.10A,10,43.716667,1.433333
31150,41.10A,10,43.7,1.366667
31150,41.10A,10,43.683333,1.4
31150,41.10A,10,43.733333,1.416667
31150,93.0D,30,43.716667,1.383333
31150,93.0D,30,43.716667,1.433333
31150,93.0D,30,43.7,1.366667
31150,93.0D,30,43.683333,1.4
31150,93.0D,30,43.733333,1.416667
31150,01.11Z,115,43.716667,1.383333
31150,01.11Z,115,43.716667,1.433333
31150,01.11Z,115,43.7,1.366667
31150,01.11Z,115,43.683333,1.4
31150,01.11Z,115,43.733333,1.416667
31150,47.79Z,20,43.716667,1.383333
31150,47.79Z,20,43.716667,1.433333
31150,47.79Z,20,43.7,1.366667
31150,47.79Z,20,43.683333,1.4
31150,47.79Z,20,43.733333,1.416667
31150,52.3A,5,43.716667,1.383333
31150,52.3A,5,43.716667,1.433333
31150,52.3A,5,43.7,1.366667
31150,52.3A,5,43.683333,1.4
31150,52.3A,5,43.733333,1.416667
31150,49.41A,25,43.716667,1.383333
31150,49.41A,25,43.716667,1.433333
31150,49.41A,25,43.7,1.366667
31150,49.41A,25,43.683333,1.4
31150,49.41A,25,43.733333,1.416667
31150,77.01,5,43.716667,1.383333
31150,77.01,5,43.716667,1.433333
31150,77.01,5,43.7,1.366667
31150,77.01,5,43.683333,1.4
31150,77.01,5,43.733333,1.416667
31150,65.02,15,43.716667,1.383333
31150,65.02,15,43.716667,1.433333
31150,65.02,15,43.7,1.366667
31150,65.02,15,43.683333,1.4
31150,65.02,15,43.733333,1.416667
31150,95.29Z,40,43.716667,1.383333
31150,95.29Z,40,43.716667,1.433333
31150,95.29Z,40,43.7,1.366667
31150,95.29Z,40,43.683333,1.4
31150,95.29Z,40,43.733333,1.416667
31150,92.3A,5,43.716667,1.383333
31150,92.3A,5,43.716667,1.433333
31150,92.3A,5,43.7,1.366667
31150,92.3A,5,43.683333,1.4
31150,92.3A,5,43.733333,1.416667
31150,47.65Z,5,43.716667,1.383333
31150,47.65Z,5,43.716667,1.433333
31150,47.65Z,5,43.7,1.366667
31150,47.65Z,5,43.683333,1.4
31150,47.65Z,5,43.733333,1.416667
31150,52.4Z,5,43.716667,1.383333
31150,52.4Z,5,43.716667,1.433333
31150,52.4Z,5,43.7,1.366667
31150,52.4Z,5,43.683333,1.4
31150,52.4Z,5,43.733333,1.416667
31150,43.99A,5,43.716667,1.383333
31150,43.99A,5,43.716667,1.433333
31150,43.99A,5,43.7,1.366667
31150,43.99A,5,43.683333,1.4
31150,43.99A,5,43.733333,1.416667
31150,68.20A,450,43.716667,1.383333
31150,68.20A,450,43.716667,1.433333
31150,68.20A,450,43.7,1.366667
31150,68.20A,450,43.683333,1.4
31150,68.20A,450,43.733333,1.416667
31150,45.3E,15,43.716667,1.383333
31150,45.3E,15,43.716667,1.433333
31150,45.3E,15,43.7,1.366667
31150,45.3E,15,43.683333,1.4
31150,45.3E,15,43.733333,1.416667
31150,49.32Z,100,43.716667,1.383333
31150,49.32Z,100,43.716667,1.433333
31150,49.32Z,100,43.7,1.366667
31150,49.32Z,100,43.683333,1.4
31150,49.32Z,100,43.733333,1.416667
31150,46.46Z,20,43.716667,1.383333
31150,46.46Z,20,43.716667,1.433333
31150,46.46Z,20,43.7,1.366667
31150,46.46Z,20,43.683333,1.4
31150,46.46Z,20,43.733333,1.416667
31150,60.2E,25,43.716667,1.383333
31150,60.2E,25,43.716667,1.433333
31150,60.2E,25,43.7,1.366667
31150,60.2E,25,43.683333,1.4
31150,60.2E,25,43.733333,1.416667
31150,55.60,65,43.716667,1.383333
31150,55.60,65,43.716667,1.433333
31150,55.60,65,43.7,1.366667
31150,55.60,65,43.683333,1.4
31150,55.60,65,43.733333,1.416667
31150,86.22A,80,43.716667,1.383333
31150,86.22A,80,43.716667,1.433333
31150,86.22A,80,43.7,1.366667
31150,86.22A,80,43.683333,1.4
31150,86.22A,80,43.733333,1.416667
31150,56.30Z,30,43.716667,1.383333
31150,56.30Z,30,43.716667,1.433333
31150,56.30Z,30,43.7,1.366667
31150,56.30Z,30,43.683333,1.4
31150,56.30Z,30,43.733333,1.416667
31150,32.99Z,15,43.716667,1.383333
31150,32.99Z,15,43.716667,1.433333
31150,32.99Z,15,43.7,1.366667
31150,32.99Z,15,43.683333,1.4
31150,32.99Z,15,43.733333,1.416667
31150,15.8B,10,43.716667,1.383333
31150,15.8B,10,43.716667,1.433333
31150,15.8B,10,43.7,1.366667
31150,15.8B,10,43.683333,1.4
31150,15.8B,10,43.733333,1.416667
31150,72.2Z,15,43.716667,1.383333
31150,72.2Z,15,43.716667,1.433333
31150,72.2Z,15,43.7,1.366667
31150,72.2Z,15,43.683333,1.4
31150,72.2Z,15,43.733333,1.416667
31150,52.21Z,10,43.716667,1.383333
31150,52.21Z,10,43.716667,1.433333
31150,52.21Z,10,43.7,1.366667
31150,52.21Z,10,43.683333,1.4
31150,52.21Z,10,43.733333,1.416667
31150,36.00Z,10,43.716667,1.383333
31150,36.00Z,10,43.716667,1.433333
31150,36.00Z,10,43.7,1.366667
31150,36.00Z,10,43.683333,1.4
31150,36.00Z,10,43.733333,1.416667
31150,49.01,5,43.716667,1.383333
31150,49.01,5,43.716667,1.433333
31150,49.01,5,43.7,1.366667
31150,49.01,5,43.683333,1.4
31150,49.01,5,43.733333,1.416667
31150,56.21Z,35,43.716667,1.383333
31150,56.21Z,35,43.716667,1.433333
31150,56.21Z,35,43.7,1.366667
31150,56.21Z,35,43.683333,1.4
31150,56.21Z,35,43.733333,1.416667
31150,52.29A,5,43.716667,1.383333
31150,52.29A,5,43.716667,1.433333
31150,52.29A,5,43.7,1.366667
31150,52.29A,5,43.683333,1.4
31150,52.29A,5,43.733333,1.416667
31150,95.11Z,15,43.716667,1.383333
31150,95.11Z,15,43.716667,1.433333
31150,95.11Z,15,43.7,1.366667
31150,95.11Z,15,43.683333,1.4
31150,95.11Z,15,43.733333,1.416667
31150,17.29Z,5,43.716667,1.383333
31150,17.29Z,5,43.716667,1.433333
31150,17.29Z,5,43.7,1.366667
31150,17.29Z,5,43.683333,1.4
31150,17.29Z,5,43.733333,1.416667
31150,85.1C,115,43.716667,1.383333
31150,85.1C,115,43.716667,1.433333
31150,85.1C,115,43.7,1.366667
31150,85.1C,115,43.683333,1.4
31150,85.1C,115,43.733333,1.416667
31150,20.4Z,5,43.716667,1.383333
31150,20.4Z,5,43.716667,1.433333
31150,20.4Z,5,43.7,1.366667
31150,20.4Z,5,43.683333,1.4
31150,20.4Z,5,43.733333,1.416667
31150,50.2Z,10,43.716667,1.383333
31150,50.2Z,10,43.716667,1.433333
31150,50.2Z,10,43.7,1.366667
31150,50.2Z,10,43.683333,1.4
31150,50.2Z,10,43.733333,1.416667
31150,46.49Z,15,43.716667,1.383333
31150,46.49Z,15,43.716667,1.433333
31150,46.49Z,15,43.7,1.366667
31150,46.49Z,15,43.683333,1.4
31150,46.49Z,15,43.733333,1.416667
31150,78.20Z,10,43.716667,1.383333
31150,78.20Z,10,43.716667,1.433333
31150,78.20Z,10,43.7,1.366667
31150,78.20Z,10,43.683333,1.4
31150,78.20Z,10,43.733333,1.416667
31150,45.4J,30,43.716667,1.383333
31150,45.4J,30,43.716667,1.433333
31150,45.4J,30,43.7,1.366667
31150,45.4J,30,43.683333,1.4
31150,45.4J,30,43.733333,1.416667
31150,77.32Z,5,43.716667,1.383333
31150,77.32Z,5,43.716667,1.433333
31150,77.32Z,5,43.7,1.366667
31150,77.32Z,5,43.683333,1.4
31150,77.32Z,5,43.733333,1.416667
31150,73.20Z,10,43.716667,1.383333
31150,73.20Z,10,43.716667,1.433333
31150,73.20Z,10,43.7,1.366667
31150,73.20Z,10,43.683333,1.4
31150,73.20Z,10,43.733333,1.416667
31150,81.22Z,10,43.716667,1.383333
31150,81.22Z,10,43.716667,1.433333
31150,81.22Z,10,43.7,1.366667
31150,81.22Z,10,43.683333,1.4
31150,81.22Z,10,43.733333,1.416667
31150,43.34Z,80,43.716667,1.383333
31150,43.34Z,80,43.716667,1.433333
31150,43.34Z,80,43.7,1.366667
31150,43.34Z,80,43.683333,1.4
31150,43.34Z,80,43.733333,1.416667
31150,80.4D,5,43.716667,1.383333
31150,80.4D,5,43.716667,1.433333
31150,80.4D,5,43.7,1.366667
31150,80.4D,5,43.683333,1.4
31150,80.4D,5,43.733333,1.416667
31150,88.99A,5,43.716667,1.383333
31150,88.99A,5,43.716667,1.433333
31150,88.99A,5,43.7,1.366667
31150,88.99A,5,43.683333,1.4
31150,88.99A,5,43.733333,1.416667
31150,80.20Z,5,43.716667,1.383333
31150,80.20Z,5,43.716667,1.433333
31150,80.20Z,5,43.7,1.366667
31150,80.20Z,5,43.683333,1.4
31150,80.20Z,5,43.733333,1.416667
31150,93.19Z,20,43.716667,1.383333
31150,93.19Z,20,43.716667,1.433333
31150,93.19Z,20,43.7,1.366667
31150,93.19Z,20,43.683333,1.4
31150,93.19Z,20,43.733333,1.416667
31150,21.02,5,43.716667,1.383333
31150,21.02,5,43.716667,1.433333
31150,21.02,5,43.7,1.366667
31150,21.02,5,43.683333,1.4
31150,21.02,5,43.733333,1.416667
31150,25.61Z,10,43.716667,1.383333
31150,25.61Z,10,43.716667,1.433333
31150,25.61Z,10,43.7,1.366667
31150,25.61Z,10,43.683333,1.4
31150,25.61Z,10,43.733333,1.416667
31150,52.4X,5,43.716667,1.383333
31150,52.4X,5,43.716667,1.433333
31150,52.4X,5,43.7,1.366667
31150,52.4X,5,43.683333,1.4
31150,52.4X,5,43.733333,1.416667
31150,64.20Z,65,43.716667,1.383333
31150,64.20Z,65,43.716667,1.433333
31150,64.20Z,65,43.7,1.366667
31150,64.20Z,65,43.683333,1.4
31150,64.20Z,65,43.733333,1.416667
31150,46.13Z,5,43.716667,1.383333
31150,46.13Z,5,43.716667,1.433333
31150,46.13Z,5,43.7,1.366667
31150,46.13Z,5,43.683333,1.4
31150,46.13Z,5,43.733333,1.416667
31150,86.90E,380,43.716667,1.383333
31150,86.90E,380,43.716667,1.433333
31150,86.90E,380,43.7,1.366667
31150,86.90E,380,43.683333,1.4
31150,86.90E,380,43.733333,1.416667
31150,52.29B,20,43.716667,1.383333
31150,52.29B,20,43.716667,1.433333
31150,52.29B,20,43.7,1.366667
31150,52.29B,20,43.683333,1.4
31150,52.29B,20,43.733333,1.416667
31150,90.01Z,75,43.716667,1.383333
31150,90.01Z,75,43.716667,1.433333
31150,90.01Z,75,43.7,1.366667
31150,90.01Z,75,43.683333,1.4
31150,90.01Z,75,43.733333,1.416667
31150,71.3G,10,43.716667,1.383333
