codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31290,90.01Z,20,43.433333,1.65
31290,90.01Z,20,43.4,1.733333
31290,90.01Z,20,43.4,1.65
31290,90.01Z,20,43.416667,1.75
31290,90.01Z,20,43.45,1.733333
31290,90.01Z,20,"",""
31290,90.01Z,20,"",""
31290,90.01Z,20,43.475,1.733333
31290,90.01Z,20,43.416667,1.783333
31290,90.01Z,20,43.383333,1.716667
31290,90.01Z,20,43.433333,1.7
31290,90.01Z,20,43.366667,1.716667
31290,90.01Z,20,43.45,1.683333
31290,90.01Z,20,43.433333,1.783333
31290,90.01Z,20,43.341667,1.716667
31290,90.01Z,20,43.383333,1.683333
31290,90.01Z,20,43.4,1.8
31290,90.01Z,20,43.45,1.733333
31290,90.01Z,20,43.35,1.733333
31290,90.01Z,20,"",""
31290,01.43Z,20,43.433333,1.65
31290,01.43Z,20,43.4,1.733333
31290,01.43Z,20,43.4,1.65
31290,01.43Z,20,43.416667,1.75
31290,01.43Z,20,43.45,1.733333
31290,01.43Z,20,"",""
31290,01.43Z,20,"",""
31290,01.43Z,20,43.475,1.733333
31290,01.43Z,20,43.416667,1.783333
31290,01.43Z,20,43.383333,1.716667
31290,01.43Z,20,43.433333,1.7
31290,01.43Z,20,43.366667,1.716667
31290,01.43Z,20,43.45,1.683333
31290,01.43Z,20,43.433333,1.783333
31290,01.43Z,20,43.341667,1.716667
31290,01.43Z,20,43.383333,1.683333
31290,01.43Z,20,43.4,1.8
31290,01.43Z,20,43.45,1.733333
31290,01.43Z,20,43.35,1.733333
31290,01.43Z,20,"",""
31290,84.11Z,40,43.433333,1.65
31290,84.11Z,40,43.4,1.733333
31290,84.11Z,40,43.4,1.65
31290,84.11Z,40,43.416667,1.75
31290,84.11Z,40,43.45,1.733333
31290,84.11Z,40,"",""
31290,84.11Z,40,"",""
31290,84.11Z,40,43.475,1.733333
31290,84.11Z,40,43.416667,1.783333
31290,84.11Z,40,43.383333,1.716667
31290,84.11Z,40,43.433333,1.7
31290,84.11Z,40,43.366667,1.716667
31290,84.11Z,40,43.45,1.683333
31290,84.11Z,40,43.433333,1.783333
31290,84.11Z,40,43.341667,1.716667
31290,84.11Z,40,43.383333,1.683333
31290,84.11Z,40,43.4,1.8
31290,84.11Z,40,43.45,1.733333
31290,84.11Z,40,43.35,1.733333
31290,84.11Z,40,"",""
31290,86.12,20,43.433333,1.65
31290,86.12,20,43.4,1.733333
31290,86.12,20,43.4,1.65
31290,86.12,20,43.416667,1.75
31290,86.12,20,43.45,1.733333
31290,86.12,20,"",""
31290,86.12,20,"",""
31290,86.12,20,43.475,1.733333
31290,86.12,20,43.416667,1.783333
31290,86.12,20,43.383333,1.716667
31290,86.12,20,43.433333,1.7
31290,86.12,20,43.366667,1.716667
31290,86.12,20,43.45,1.683333
31290,86.12,20,43.433333,1.783333
31290,86.12,20,43.341667,1.716667
31290,86.12,20,43.383333,1.683333
