codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31330,43.22A,7,43.783333,1.216667
31330,43.22A,7,43.783333,1.3
31330,43.22A,7,43.733333,1.316667
31330,43.22A,7,"",""
31330,43.22A,7,43.75,1.183333
31330,43.22A,7,"",""
31330,43.22A,7,"43,77","1,29"
31330,01.11Z,14,43.783333,1.216667
31330,01.11Z,14,43.783333,1.3
31330,01.11Z,14,43.733333,1.316667
31330,01.11Z,14,"",""
31330,01.11Z,14,43.75,1.183333
31330,01.11Z,14,"",""
31330,01.11Z,14,"43,77","1,29"
31330,56.30Z,7,43.783333,1.216667
31330,56.30Z,7,43.783333,1.3
31330,56.30Z,7,43.733333,1.316667
31330,56.30Z,7,"",""
31330,56.30Z,7,43.75,1.183333
31330,56.30Z,7,"",""
31330,56.30Z,7,"43,77","1,29"
31330,36.00Z,7,43.783333,1.216667
31330,36.00Z,7,43.783333,1.3
31330,36.00Z,7,43.733333,1.316667
31330,36.00Z,7,"",""
31330,36.00Z,7,43.75,1.183333
31330,36.00Z,7,"",""
31330,36.00Z,7,"43,77","1,29"
31330,95.11Z,7,43.783333,1.216667
31330,95.11Z,7,43.783333,1.3
31330,95.11Z,7,43.733333,1.316667
31330,95.11Z,7,"",""
31330,95.11Z,7,43.75,1.183333
31330,95.11Z,7,"",""
31330,95.11Z,7,"43,77","1,29"
31330,43.34Z,21,43.783333,1.216667
31330,43.34Z,21,43.783333,1.3
31330,43.34Z,21,43.733333,1.316667
31330,43.34Z,21,"",""
31330,43.34Z,21,43.75,1.183333
31330,43.34Z,21,"",""
31330,43.34Z,21,"43,77","1,29"
31330,90.01Z,14,43.783333,1.216667
31330,90.01Z,14,43.783333,1.3
31330,90.01Z,14,43.733333,1.316667
31330,90.01Z,14,"",""
31330,90.01Z,14,43.75,1.183333
31330,90.01Z,14,"",""
31330,90.01Z,14,"43,77","1,29"
31330,74.3B,7,43.783333,1.216667
31330,74.3B,7,43.783333,1.3
31330,74.3B,7,43.733333,1.316667
31330,74.3B,7,"",""
31330,74.3B,7,43.75,1.183333
31330,74.3B,7,"",""
31330,74.3B,7,"43,77","1,29"
31330,74.90A,21,43.783333,1.216667
31330,74.90A,21,43.783333,1.3
31330,74.90A,21,43.733333,1.316667
31330,74.90A,21,"",""
31330,74.90A,21,43.75,1.183333
31330,74.90A,21,"",""
31330,74.90A,21,"43,77","1,29"
31330,74.10Z,7,43.783333,1.216667
31330,74.10Z,7,43.783333,1.3
31330,74.10Z,7,43.733333,1.316667
31330,74.10Z,7,"",""
31330,74.10Z,7,43.75,1.183333
31330,74.10Z,7,"",""
31330,74.10Z,7,"43,77","1,29"
31330,82.11Z,7,43.783333,1.216667
31330,82.11Z,7,43.783333,1.3
31330,82.11Z,7,43.733333,1.316667
31330,82.11Z,7,"",""
31330,82.11Z,7,43.75,1.183333
31330,82.11Z,7,"",""
31330,82.11Z,7,"43,77","1,29"
31330,84.11Z,28,43.783333,1.216667
31330,84.11Z,28,43.783333,1.3
31330,84.11Z,28,43.733333,1.316667
31330,84.11Z,28,"",""
31330,84.11Z,28,43.75,1.183333
31330,84.11Z,28,"",""
31330,84.11Z,28,"43,77","1,29"
31330,95.22Z,7,43.783333,1.216667
31330,95.22Z,7,43.783333,1.3
31330,95.22Z,7,43.733333,1.316667
31330,95.22Z,7,"",""
31330,95.22Z,7,43.75,1.183333
31330,95.22Z,7,"",""
31330,95.22Z,7,"43,77","1,29"
31330,43.39Z,7,43.783333,1.216667
31330,43.39Z,7,43.783333,1.3
31330,43.39Z,7,43.733333,1.316667
31330,43.39Z,7,"",""
31330,43.39Z,7,43.75,1.183333
31330,43.39Z,7,"",""
31330,43.39Z,7,"43,77","1,29"
31330,72.11Z,7,43.783333,1.216667
31330,72.11Z,7,43.783333,1.3
31330,72.11Z,7,43.733333,1.316667
31330,72.11Z,7,"",""
31330,72.11Z,7,43.75,1.183333
31330,72.11Z,7,"",""
31330,72.11Z,7,"43,77","1,29"
31330,93.12Z,21,43.783333,1.216667
31330,93.12Z,21,43.783333,1.3
31330,93.12Z,21,43.733333,1.316667
31330,93.12Z,21,"",""
31330,93.12Z,21,43.75,1.183333
31330,93.12Z,21,"",""
31330,93.12Z,21,"43,77","1,29"
31330,43.32A,7,43.783333,1.216667
31330,43.32A,7,43.783333,1.3
31330,43.32A,7,43.733333,1.316667
31330,43.32A,7,"",""
31330,43.32A,7,43.75,1.183333
31330,43.32A,7,"",""
31330,43.32A,7,"43,77","1,29"
31330,25.62B,7,43.783333,1.216667
31330,25.62B,7,43.783333,1.3
31330,25.62B,7,43.733333,1.316667
31330,25.62B,7,"",""
31330,25.62B,7,43.75,1.183333
31330,25.62B,7,"",""
31330,25.62B,7,"43,77","1,29"
31330,47.61Z,7,43.783333,1.216667
31330,47.61Z,7,43.783333,1.3
31330,47.61Z,7,43.733333,1.316667
31330,47.61Z,7,"",""
31330,47.61Z,7,43.75,1.183333
31330,47.61Z,7,"",""
31330,47.61Z,7,"43,77","1,29"
31330,86.10,7,43.783333,1.216667
31330,86.10,7,43.783333,1.3
31330,86.10,7,43.733333,1.316667
31330,86.10,7,"",""
31330,86.10,7,43.75,1.183333
31330,86.10,7,"",""
31330,86.10,7,"43,77","1,29"
31330,47.74Z,7,43.783333,1.216667
31330,47.74Z,7,43.783333,1.3
31330,47.74Z,7,43.733333,1.316667
31330,47.74Z,7,"",""
31330,47.74Z,7,43.75,1.183333
31330,47.74Z,7,"",""
31330,47.74Z,7,"43,77","1,29"
31330,74.20Z,14,43.783333,1.216667
31330,74.20Z,14,43.783333,1.3
31330,74.20Z,14,43.733333,1.316667
31330,74.20Z,14,"",""
31330,74.20Z,14,43.75,1.183333
31330,74.20Z,14,"",""
31330,74.20Z,14,"43,77","1,29"
31330,56.10A,7,43.783333,1.216667
31330,56.10A,7,43.783333,1.3
31330,56.10A,7,43.733333,1.316667
31330,56.10A,7,"",""
31330,56.10A,7,43.75,1.183333
31330,56.10A,7,"",""
31330,56.10A,7,"43,77","1,29"
31330,82.19Z,14,43.783333,1.216667
31330,82.19Z,14,43.783333,1.3
31330,82.19Z,14,43.733333,1.316667
31330,82.19Z,14,"",""
31330,82.19Z,14,43.75,1.183333
31330,82.19Z,14,"",""
31330,82.19Z,14,"43,77","1,29"
31330,86.90D,14,43.783333,1.216667
31330,86.90D,14,43.783333,1.3
31330,86.90D,14,43.733333,1.316667
31330,86.90D,14,"",""
31330,86.90D,14,43.75,1.183333
31330,86.90D,14,"",""
31330,86.90D,14,"43,77","1,29"
31330,46.19B,7,43.783333,1.216667
31330,46.19B,7,43.783333,1.3
31330,46.19B,7,43.733333,1.316667
31330,46.19B,7,"",""
31330,46.19B,7,43.75,1.183333
31330,46.19B,7,"",""
31330,46.19B,7,"43,77","1,29"
31330,46.69B,7,43.783333,1.216667
31330,46.69B,7,43.783333,1.3
31330,46.69B,7,43.733333,1.316667
31330,46.69B,7,"",""
31330,46.69B,7,43.75,1.183333
31330,46.69B,7,"",""
31330,46.69B,7,"43,77","1,29"
31330,94.99Z,42,43.783333,1.216667
31330,94.99Z,42,43.783333,1.3
31330,94.99Z,42,43.733333,1.316667
31330,94.99Z,42,"",""
31330,94.99Z,42,43.75,1.183333
31330,94.99Z,42,"",""
31330,94.99Z,42,"43,77","1,29"
31330,47.59A,7,43.783333,1.216667
31330,47.59A,7,43.783333,1.3
31330,47.59A,7,43.733333,1.316667
31330,47.59A,7,"",""
31330,47.59A,7,43.75,1.183333
31330,47.59A,7,"",""
31330,47.59A,7,"43,77","1,29"
31330,47.78C,7,43.783333,1.216667
31330,47.78C,7,43.783333,1.3
31330,47.78C,7,43.733333,1.316667
31330,47.78C,7,"",""
31330,47.78C,7,43.75,1.183333
31330,47.78C,7,"",""
31330,47.78C,7,"43,77","1,29"
31330,74.7Z,7,43.783333,1.216667
31330,74.7Z,7,43.783333,1.3
31330,74.7Z,7,43.733333,1.316667
31330,74.7Z,7,"",""
31330,74.7Z,7,43.75,1.183333
31330,74.7Z,7,"",""
31330,74.7Z,7,"43,77","1,29"
31330,55.73,7,43.783333,1.216667
31330,55.73,7,43.783333,1.3
31330,55.73,7,43.733333,1.316667
31330,55.73,7,"",""
