codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31370,01.11Z,208,43.366667,1.116667
31370,01.11Z,208,43.366667,1.016667
31370,01.11Z,208,43.466667,1.066667
31370,01.11Z,208,43.416667,1.116667
31370,01.11Z,208,43.416667,1.183333
31370,01.11Z,208,43.416667,1.066667
31370,01.11Z,208,43.45,1.066667
31370,01.11Z,208,43.35,1.016667
31370,01.11Z,208,43.416667,1.033333
31370,01.11Z,208,43.4,1.016667
31370,01.11Z,208,43.383333,1.066667
31370,01.11Z,208,43.433333,1.066667
31370,01.11Z,208,43.35,1.116667
31370,01.11Z,208,43.433333,1.05
31370,01.11Z,208,43.383333,1.183333
31370,01.11Z,208,43.466667,1.116667
31370,95.29Z,16,43.366667,1.116667
31370,95.29Z,16,43.366667,1.016667
31370,95.29Z,16,43.466667,1.066667
31370,95.29Z,16,43.416667,1.116667
31370,95.29Z,16,43.416667,1.183333
31370,95.29Z,16,43.416667,1.066667
31370,95.29Z,16,43.45,1.066667
31370,95.29Z,16,43.35,1.016667
31370,95.29Z,16,43.416667,1.033333
31370,95.29Z,16,43.4,1.016667
31370,95.29Z,16,43.383333,1.066667
31370,95.29Z,16,43.433333,1.066667
31370,95.29Z,16,43.35,1.116667
31370,95.29Z,16,43.433333,1.05
31370,95.29Z,16,43.383333,1.183333
31370,95.29Z,16,43.466667,1.116667
31370,60.01,16,43.366667,1.116667
31370,60.01,16,43.366667,1.016667
31370,60.01,16,43.466667,1.066667
31370,60.01,16,43.416667,1.116667
31370,60.01,16,43.416667,1.183333
31370,60.01,16,43.416667,1.066667
31370,60.01,16,43.45,1.066667
31370,60.01,16,43.35,1.016667
31370,60.01,16,43.416667,1.033333
31370,60.01,16,43.4,1.016667
31370,60.01,16,43.383333,1.066667
31370,60.01,16,43.433333,1.066667
31370,60.01,16,43.35,1.116667
31370,60.01,16,43.433333,1.05
31370,60.01,16,43.383333,1.183333
31370,60.01,16,43.466667,1.116667
31370,68.20A,16,43.366667,1.116667
31370,68.20A,16,43.366667,1.016667
31370,68.20A,16,43.466667,1.066667
31370,68.20A,16,43.416667,1.116667
31370,68.20A,16,43.416667,1.183333
31370,68.20A,16,43.416667,1.066667
31370,68.20A,16,43.45,1.066667
31370,68.20A,16,43.35,1.016667
31370,68.20A,16,43.416667,1.033333
31370,68.20A,16,43.4,1.016667
31370,68.20A,16,43.383333,1.066667
31370,68.20A,16,43.433333,1.066667
31370,68.20A,16,43.35,1.116667
31370,68.20A,16,43.433333,1.05
31370,68.20A,16,43.383333,1.183333
31370,68.20A,16,43.466667,1.116667
31370,32.99Z,16,43.366667,1.116667
31370,32.99Z,16,43.366667,1.016667
31370,32.99Z,16,43.466667,1.066667
31370,32.99Z,16,43.416667,1.116667
31370,32.99Z,16,43.416667,1.183333
31370,32.99Z,16,43.416667,1.066667
31370,32.99Z,16,43.45,1.066667
31370,32.99Z,16,43.35,1.016667
31370,32.99Z,16,43.416667,1.033333
31370,32.99Z,16,43.4,1.016667
31370,32.99Z,16,43.383333,1.066667
31370,32.99Z,16,43.433333,1.066667
31370,32.99Z,16,43.35,1.116667
31370,32.99Z,16,43.433333,1.05
31370,32.99Z,16,43.383333,1.183333
31370,32.99Z,16,43.466667,1.116667
31370,43.34Z,16,43.366667,1.116667
31370,43.34Z,16,43.366667,1.016667
31370,43.34Z,16,43.466667,1.066667
31370,43.34Z,16,43.416667,1.116667
31370,43.34Z,16,43.416667,1.183333
31370,43.34Z,16,43.416667,1.066667
31370,43.34Z,16,43.45,1.066667
31370,43.34Z,16,43.35,1.016667
31370,43.34Z,16,43.416667,1.033333
31370,43.34Z,16,43.4,1.016667
31370,43.34Z,16,43.383333,1.066667
31370,43.34Z,16,43.433333,1.066667
31370,43.34Z,16,43.35,1.116667
