codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31380,47.99A,72,43.716667,1.5
31380,47.99A,72,43.683333,1.583333
31380,47.99A,72,43.7,1.616667
31380,47.99A,72,43.733333,1.633333
31380,47.99A,72,43.716667,1.566667
31380,47.99A,72,43.7,1.633333
31380,47.99A,72,43.783333,1.533333
31380,47.99A,72,43.716667,1.6
31380,47.99A,72,43.733333,1.6
31380,47.99A,72,43.716667,1.566667
31380,47.99A,72,43.733333,1.516667
31380,47.99A,72,43.716667,1.666667
31380,55.3A,12,43.716667,1.5
31380,55.3A,12,43.683333,1.583333
31380,55.3A,12,43.7,1.616667
31380,55.3A,12,43.733333,1.633333
31380,55.3A,12,43.716667,1.566667
31380,55.3A,12,43.7,1.633333
31380,55.3A,12,43.783333,1.533333
31380,55.3A,12,43.716667,1.6
31380,55.3A,12,43.733333,1.6
31380,55.3A,12,43.716667,1.566667
31380,55.3A,12,43.733333,1.516667
31380,55.3A,12,43.716667,1.666667
31380,43.22A,60,43.716667,1.5
31380,43.22A,60,43.683333,1.583333
31380,43.22A,60,43.7,1.616667
31380,43.22A,60,43.733333,1.633333
31380,43.22A,60,43.716667,1.566667
31380,43.22A,60,43.7,1.633333
31380,43.22A,60,43.783333,1.533333
31380,43.22A,60,43.716667,1.6
31380,43.22A,60,43.733333,1.6
31380,43.22A,60,43.716667,1.566667
31380,43.22A,60,43.733333,1.516667
31380,43.22A,60,43.716667,1.666667
31380,01.11Z,36,43.716667,1.5
31380,01.11Z,36,43.683333,1.583333
31380,01.11Z,36,43.7,1.616667
31380,01.11Z,36,43.733333,1.633333
31380,01.11Z,36,43.716667,1.566667
31380,01.11Z,36,43.7,1.633333
31380,01.11Z,36,43.783333,1.533333
31380,01.11Z,36,43.716667,1.6
31380,01.11Z,36,43.733333,1.6
31380,01.11Z,36,43.716667,1.566667
31380,01.11Z,36,43.733333,1.516667
31380,01.11Z,36,43.716667,1.666667
31380,92.3A,12,43.716667,1.5
31380,92.3A,12,43.683333,1.583333
31380,92.3A,12,43.7,1.616667
31380,92.3A,12,43.733333,1.633333
31380,92.3A,12,43.716667,1.566667
31380,92.3A,12,43.7,1.633333
31380,92.3A,12,43.783333,1.533333
31380,92.3A,12,43.716667,1.6
31380,92.3A,12,43.733333,1.6
31380,92.3A,12,43.716667,1.566667
31380,92.3A,12,43.733333,1.516667
31380,92.3A,12,43.716667,1.666667
31380,68.20A,60,43.716667,1.5
31380,68.20A,60,43.683333,1.583333
31380,68.20A,60,43.7,1.616667
31380,68.20A,60,43.733333,1.633333
31380,68.20A,60,43.716667,1.566667
31380,68.20A,60,43.7,1.633333
31380,68.20A,60,43.783333,1.533333
31380,68.20A,60,43.716667,1.6
31380,68.20A,60,43.733333,1.6
31380,68.20A,60,43.716667,1.566667
31380,68.20A,60,43.733333,1.516667
31380,68.20A,60,43.716667,1.666667
31380,56.30Z,24,43.716667,1.5
31380,56.30Z,24,43.683333,1.583333
31380,56.30Z,24,43.7,1.616667
31380,56.30Z,24,43.733333,1.633333
31380,56.30Z,24,43.716667,1.566667
31380,56.30Z,24,43.7,1.633333
31380,56.30Z,24,43.783333,1.533333
31380,56.30Z,24,43.716667,1.6
31380,56.30Z,24,43.733333,1.6
31380,56.30Z,24,43.716667,1.566667
31380,56.30Z,24,43.733333,1.516667
31380,56.30Z,24,43.716667,1.666667
31380,52.21Z,12,43.716667,1.5
31380,52.21Z,12,43.683333,1.583333
31380,52.21Z,12,43.7,1.616667
31380,52.21Z,12,43.733333,1.633333
31380,52.21Z,12,43.716667,1.566667
31380,52.21Z,12,43.7,1.633333
31380,52.21Z,12,43.783333,1.533333
31380,52.21Z,12,43.716667,1.6
31380,52.21Z,12,43.733333,1.6
31380,52.21Z,12,43.716667,1.566667
31380,52.21Z,12,43.733333,1.516667
31380,52.21Z,12,43.716667,1.666667
31380,36.00Z,12,43.716667,1.5
31380,36.00Z,12,43.683333,1.583333
31380,36.00Z,12,43.7,1.616667
31380,36.00Z,12,43.733333,1.633333
31380,36.00Z,12,43.716667,1.566667
31380,36.00Z,12,43.7,1.633333
31380,36.00Z,12,43.783333,1.533333
31380,36.00Z,12,43.716667,1.6
31380,36.00Z,12,43.733333,1.6
31380,36.00Z,12,43.716667,1.566667
31380,36.00Z,12,43.733333,1.516667
31380,36.00Z,12,43.716667,1.666667
31380,62.11,36,43.716667,1.5
31380,62.11,36,43.683333,1.583333
31380,62.11,36,43.7,1.616667
31380,62.11,36,43.733333,1.633333
31380,62.11,36,43.716667,1.566667
31380,62.11,36,43.7,1.633333
31380,62.11,36,43.783333,1.533333
31380,62.11,36,43.716667,1.6
31380,62.11,36,43.733333,1.6
31380,62.11,36,43.716667,1.566667
31380,62.11,36,43.733333,1.516667
31380,62.11,36,43.716667,1.666667
31380,43.34Z,36,43.716667,1.5
31380,43.34Z,36,43.683333,1.583333
31380,43.34Z,36,43.7,1.616667
31380,43.34Z,36,43.733333,1.633333
31380,43.34Z,36,43.716667,1.566667
31380,43.34Z,36,43.7,1.633333
31380,43.34Z,36,43.783333,1.533333
31380,43.34Z,36,43.716667,1.6
31380,43.34Z,36,43.733333,1.6
31380,43.34Z,36,43.716667,1.566667
31380,43.34Z,36,43.733333,1.516667
31380,43.34Z,36,43.716667,1.666667
31380,64.20Z,12,43.716667,1.5
31380,64.20Z,12,43.683333,1.583333
31380,64.20Z,12,43.7,1.616667
31380,64.20Z,12,43.733333,1.633333
