codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31520,64.11,1,43.55,1.466667
31520,43.22A,2,43.55,1.466667
31520,01.11Z,5,43.55,1.466667
31520,68.20A,1,43.55,1.466667
31520,49.32Z,2,43.55,1.466667
31520,95.11Z,1,43.55,1.466667
31520,43.34Z,1,43.55,1.466667
31520,90.01Z,4,43.55,1.466667
31520,84.11Z,1,43.55,1.466667
31520,01.3Z,3,43.55,1.466667
31520,55.20Z,1,43.55,1.466667
31520,43.32A,1,43.55,1.466667
31520,58.12,1,43.55,1.466667
31520,72.19Z,1,43.55,1.466667
31520,52.6E,1,43.55,1.466667
31520,82.19Z,1,43.55,1.466667
31520,43.31Z,1,43.55,1.466667
31520,18.2C,1,43.55,1.466667
31520,68.31Z,1,43.55,1.466667
31520,45.20A,3,43.55,1.466667
31520,92.3F,1,43.55,1.466667
31520,01.49Z,1,43.55,1.466667
31520,86.90F,1,43.55,1.466667
31520,62.09Z,1,43.55,1.466667
31520,88.99B,1,43.55,1.466667
31520,47.89Z,1,43.55,1.466667
31520,68.20B,1,43.55,1.466667
