codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
31530,47.99A,12,43.65,1.1
31530,47.99A,12,43.65,1.166667
31530,47.99A,12,43.633333,1.166667
31530,47.99A,12,"43,67","1,2"
31530,47.99A,12,"",""
31530,47.99A,12,43.716667,1.166667
31530,47.99A,12,"",""
31530,47.99A,12,43.7,1.25
31530,47.99A,12,43.683333,1.2
31530,47.99A,12,43.683333,1.15
31530,47.99A,12,43.7,1.216667
31530,47.99A,12,"",""
31530,70.3A,12,43.65,1.1
31530,70.3A,12,43.65,1.166667
31530,70.3A,12,43.633333,1.166667
31530,70.3A,12,"43,67","1,2"
31530,70.3A,12,"",""
31530,70.3A,12,43.716667,1.166667
31530,70.3A,12,"",""
31530,70.3A,12,43.7,1.25
31530,70.3A,12,43.683333,1.2
31530,70.3A,12,43.683333,1.15
31530,70.3A,12,43.7,1.216667
31530,70.3A,12,"",""
31530,01.11Z,48,43.65,1.1
31530,01.11Z,48,43.65,1.166667
31530,01.11Z,48,43.633333,1.166667
31530,01.11Z,48,"43,67","1,2"
31530,01.11Z,48,"",""
31530,01.11Z,48,43.716667,1.166667
31530,01.11Z,48,"",""
31530,01.11Z,48,43.7,1.25
31530,01.11Z,48,43.683333,1.2
31530,01.11Z,48,43.683333,1.15
31530,01.11Z,48,43.7,1.216667
31530,01.11Z,48,"",""
31530,49.32Z,12,43.65,1.1
31530,49.32Z,12,43.65,1.166667
31530,49.32Z,12,43.633333,1.166667
31530,49.32Z,12,"43,67","1,2"
31530,49.32Z,12,"",""
31530,49.32Z,12,43.716667,1.166667
31530,49.32Z,12,"",""
31530,49.32Z,12,43.7,1.25
31530,49.32Z,12,43.683333,1.2
31530,49.32Z,12,43.683333,1.15
31530,49.32Z,12,43.7,1.216667
31530,49.32Z,12,"",""
31530,45.4J,24,43.65,1.1
31530,45.4J,24,43.65,1.166667
31530,45.4J,24,43.633333,1.166667
31530,45.4J,24,"43,67","1,2"
31530,45.4J,24,"",""
31530,45.4J,24,43.716667,1.166667
31530,45.4J,24,"",""
31530,45.4J,24,43.7,1.25
31530,45.4J,24,43.683333,1.2
31530,45.4J,24,43.683333,1.15
31530,45.4J,24,43.7,1.216667
31530,45.4J,24,"",""
31530,81.22Z,12,43.65,1.1
31530,81.22Z,12,43.65,1.166667
31530,81.22Z,12,43.633333,1.166667
31530,81.22Z,12,"43,67","1,2"
31530,81.22Z,12,"",""
31530,81.22Z,12,43.716667,1.166667
31530,81.22Z,12,"",""
31530,81.22Z,12,43.7,1.25
31530,81.22Z,12,43.683333,1.2
31530,81.22Z,12,43.683333,1.15
31530,81.22Z,12,43.7,1.216667
31530,81.22Z,12,"",""
31530,43.34Z,12,43.65,1.1
31530,43.34Z,12,43.65,1.166667
31530,43.34Z,12,43.633333,1.166667
31530,43.34Z,12,"43,67","1,2"
31530,43.34Z,12,"",""
31530,43.34Z,12,43.716667,1.166667
31530,43.34Z,12,"",""
31530,43.34Z,12,43.7,1.25
31530,43.34Z,12,43.683333,1.2
31530,43.34Z,12,43.683333,1.15
31530,43.34Z,12,43.7,1.216667
31530,43.34Z,12,"",""
31530,64.20Z,12,43.65,1.1
31530,64.20Z,12,43.65,1.166667
31530,64.20Z,12,43.633333,1.166667
31530,64.20Z,12,"43,67","1,2"
31530,64.20Z,12,"",""
31530,64.20Z,12,43.716667,1.166667
31530,64.20Z,12,"",""
31530,64.20Z,12,43.7,1.25
31530,64.20Z,12,43.683333,1.2
31530,64.20Z,12,43.683333,1.15
31530,64.20Z,12,43.7,1.216667
31530,64.20Z,12,"",""
31530,43.32B,12,43.65,1.1
31530,43.32B,12,43.65,1.166667
31530,43.32B,12,43.633333,1.166667
31530,43.32B,12,"43,67","1,2"
31530,43.32B,12,"",""
31530,43.32B,12,43.716667,1.166667
31530,43.32B,12,"",""
31530,43.32B,12,43.7,1.25
31530,43.32B,12,43.683333,1.2
31530,43.32B,12,43.683333,1.15
31530,43.32B,12,43.7,1.216667
31530,43.32B,12,"",""
31530,56.10C,12,43.65,1.1
31530,56.10C,12,43.65,1.166667
31530,56.10C,12,43.633333,1.166667
31530,56.10C,12,"43,67","1,2"
31530,56.10C,12,"",""
31530,56.10C,12,43.716667,1.166667
31530,56.10C,12,"",""
31530,56.10C,12,43.7,1.25
31530,56.10C,12,43.683333,1.2
31530,56.10C,12,43.683333,1.15
31530,56.10C,12,43.7,1.216667
31530,56.10C,12,"",""
31530,86.10Z,12,43.65,1.1
31530,86.10Z,12,43.65,1.166667
31530,86.10Z,12,43.633333,1.166667
31530,86.10Z,12,"43,67","1,2"
31530,86.10Z,12,"",""
31530,86.10Z,12,43.716667,1.166667
31530,86.10Z,12,"",""
31530,86.10Z,12,43.7,1.25
31530,86.10Z,12,43.683333,1.2
31530,86.10Z,12,43.683333,1.15
31530,86.10Z,12,43.7,1.216667
31530,86.10Z,12,"",""
31530,84.11Z,12,43.65,1.1
31530,84.11Z,12,43.65,1.166667
31530,84.11Z,12,43.633333,1.166667
31530,84.11Z,12,"43,67","1,2"
31530,84.11Z,12,"",""
31530,84.11Z,12,43.716667,1.166667
31530,84.11Z,12,"",""
31530,84.11Z,12,43.7,1.25
31530,84.11Z,12,43.683333,1.2
31530,84.11Z,12,43.683333,1.15
31530,84.11Z,12,43.7,1.216667
31530,84.11Z,12,"",""
31530,93.12Z,24,43.65,1.1
31530,93.12Z,24,43.65,1.166667
31530,93.12Z,24,43.633333,1.166667
31530,93.12Z,24,"43,67","1,2"
31530,93.12Z,24,"",""
31530,93.12Z,24,43.716667,1.166667
31530,93.12Z,24,"",""
31530,93.12Z,24,43.7,1.25
31530,93.12Z,24,43.683333,1.2
31530,93.12Z,24,43.683333,1.15
31530,93.12Z,24,43.7,1.216667
31530,93.12Z,24,"",""
31530,74.1G,12,43.65,1.1
31530,74.1G,12,43.65,1.166667
31530,74.1G,12,43.633333,1.166667
31530,74.1G,12,"43,67","1,2"
31530,74.1G,12,"",""
31530,74.1G,12,43.716667,1.166667
