codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
32110,47.99A,16,43.816667,-0.083333
32110,47.99A,16,43.733333,-0.016667
32110,47.99A,16,43.716667,-0.016667
32110,47.99A,16,43.733333,-
32110,47.99A,16,43.716667,-0.066667
32110,47.99A,16,43.733333,-0.1
32110,47.99A,16,43.766667,-0.033333
32110,47.99A,16,43.75,-0.116667
32110,47.99A,16,43.733333,-0.133333
32110,47.99A,16,43.733333,0.016667
32110,47.99A,16,43.8,-0.116667
32110,47.99A,16,43.733333,-0.1
32110,47.99A,16,43.75,0.033333
32110,47.99A,16,43.783333,-0.066667
32110,47.99A,16,43.7,0.016667
32110,47.99A,16,43.75,-0.066667
32110,43.22A,32,43.816667,-0.083333
32110,43.22A,32,43.733333,-0.016667
32110,43.22A,32,43.716667,-0.016667
32110,43.22A,32,43.733333,-
32110,43.22A,32,43.716667,-0.066667
32110,43.22A,32,43.733333,-0.1
32110,43.22A,32,43.766667,-0.033333
32110,43.22A,32,43.75,-0.116667
32110,43.22A,32,43.733333,-0.133333
32110,43.22A,32,43.733333,0.016667
32110,43.22A,32,43.8,-0.116667
32110,43.22A,32,43.733333,-0.1
32110,43.22A,32,43.75,0.033333
32110,43.22A,32,43.783333,-0.066667
32110,43.22A,32,43.7,0.016667
32110,43.22A,32,43.75,-0.066667
32110,93.0D,32,43.816667,-0.083333
32110,93.0D,32,43.733333,-0.016667
32110,93.0D,32,43.716667,-0.016667
32110,93.0D,32,43.733333,-
32110,93.0D,32,43.716667,-0.066667
32110,93.0D,32,43.733333,-0.1
32110,93.0D,32,43.766667,-0.033333
32110,93.0D,32,43.75,-0.116667
32110,93.0D,32,43.733333,-0.133333
32110,93.0D,32,43.733333,0.016667
32110,93.0D,32,43.8,-0.116667
32110,93.0D,32,43.733333,-0.1
32110,93.0D,32,43.75,0.033333
32110,93.0D,32,43.783333,-0.066667
32110,93.0D,32,43.7,0.016667
32110,93.0D,32,43.75,-0.066667
32110,02.10Z,16,43.816667,-0.083333
32110,02.10Z,16,43.733333,-0.016667
32110,02.10Z,16,43.716667,-0.016667
32110,02.10Z,16,43.733333,-
32110,02.10Z,16,43.716667,-0.066667
32110,02.10Z,16,43.733333,-0.1
32110,02.10Z,16,43.766667,-0.033333
32110,02.10Z,16,43.75,-0.116667
32110,02.10Z,16,43.733333,-0.133333
32110,02.10Z,16,43.733333,0.016667
32110,02.10Z,16,43.8,-0.116667
32110,02.10Z,16,43.733333,-0.1
32110,02.10Z,16,43.75,0.033333
32110,02.10Z,16,43.783333,-0.066667
32110,02.10Z,16,43.7,0.016667
32110,02.10Z,16,43.75,-0.066667
32110,01.11Z,256,43.816667,-0.083333
32110,01.11Z,256,43.733333,-0.016667
32110,01.11Z,256,43.716667,-0.016667
32110,01.11Z,256,43.733333,-
32110,01.11Z,256,43.716667,-0.066667
32110,01.11Z,256,43.733333,-0.1
32110,01.11Z,256,43.766667,-0.033333
32110,01.11Z,256,43.75,-0.116667
32110,01.11Z,256,43.733333,-0.133333
32110,01.11Z,256,43.733333,0.016667
32110,01.11Z,256,43.8,-0.116667
32110,01.11Z,256,43.733333,-0.1
32110,01.11Z,256,43.75,0.033333
32110,01.11Z,256,43.783333,-0.066667
32110,01.11Z,256,43.7,0.016667
32110,01.11Z,256,43.75,-0.066667
32110,47.79Z,16,43.816667,-0.083333
32110,47.79Z,16,43.733333,-0.016667
32110,47.79Z,16,43.716667,-0.016667
32110,47.79Z,16,43.733333,-
32110,47.79Z,16,43.716667,-0.066667
32110,47.79Z,16,43.733333,-0.1
32110,47.79Z,16,43.766667,-0.033333
32110,47.79Z,16,43.75,-0.116667
32110,47.79Z,16,43.733333,-0.133333
32110,47.79Z,16,43.733333,0.016667
32110,47.79Z,16,43.8,-0.116667
32110,47.79Z,16,43.733333,-0.1
32110,47.79Z,16,43.75,0.033333
32110,47.79Z,16,43.783333,-0.066667
32110,47.79Z,16,43.7,0.016667
32110,47.79Z,16,43.75,-0.066667
32110,49.41A,16,43.816667,-0.083333
32110,49.41A,16,43.733333,-0.016667
32110,49.41A,16,43.716667,-0.016667
