codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
32240,01.11Z,60,43.85,-0.15
32240,01.11Z,60,43.9,-0.15
32240,01.11Z,60,43.866667,-0.066667
32240,01.11Z,60,43.9,-0.2
32240,01.11Z,60,43.866667,-0.1
32240,01.11Z,60,"",""
32240,01.11Z,60,43.833333,-0.183333
32240,01.11Z,60,43.783333,-0.15
32240,01.11Z,60,43.816667,-0.15
32240,01.11Z,60,43.85,-0.183333
32240,68.20A,20,43.85,-0.15
32240,68.20A,20,43.9,-0.15
32240,68.20A,20,43.866667,-0.066667
32240,68.20A,20,43.9,-0.2
32240,68.20A,20,43.866667,-0.1
32240,68.20A,20,"",""
32240,68.20A,20,43.833333,-0.183333
32240,68.20A,20,43.783333,-0.15
32240,68.20A,20,43.816667,-0.15
32240,68.20A,20,43.85,-0.183333
32240,01.47Z,10,43.85,-0.15
32240,01.47Z,10,43.9,-0.15
32240,01.47Z,10,43.866667,-0.066667
32240,01.47Z,10,43.9,-0.2
32240,01.47Z,10,43.866667,-0.1
32240,01.47Z,10,"",""
32240,01.47Z,10,43.833333,-0.183333
32240,01.47Z,10,43.783333,-0.15
32240,01.47Z,10,43.816667,-0.15
32240,01.47Z,10,43.85,-0.183333
32240,74.10Z,10,43.85,-0.15
32240,74.10Z,10,43.9,-0.15
32240,74.10Z,10,43.866667,-0.066667
32240,74.10Z,10,43.9,-0.2
32240,74.10Z,10,43.866667,-0.1
32240,74.10Z,10,"",""
32240,74.10Z,10,43.833333,-0.183333
32240,74.10Z,10,43.783333,-0.15
32240,74.10Z,10,43.816667,-0.15
32240,74.10Z,10,43.85,-0.183333
32240,43.91A,10,43.85,-0.15
32240,43.91A,10,43.9,-0.15
32240,43.91A,10,43.866667,-0.066667
32240,43.91A,10,43.9,-0.2
32240,43.91A,10,43.866667,-0.1
32240,43.91A,10,"",""
32240,43.91A,10,43.833333,-0.183333
32240,43.91A,10,43.783333,-0.15
32240,43.91A,10,43.816667,-0.15
32240,43.91A,10,43.85,-0.183333
32240,84.11Z,10,43.85,-0.15
32240,84.11Z,10,43.9,-0.15
32240,84.11Z,10,43.866667,-0.066667
32240,84.11Z,10,43.9,-0.2
32240,84.11Z,10,43.866667,-0.1
32240,84.11Z,10,"",""
32240,84.11Z,10,43.833333,-0.183333
32240,84.11Z,10,43.783333,-0.15
32240,84.11Z,10,43.816667,-0.15
32240,84.11Z,10,43.85,-0.183333
32240,70.2B,10,43.85,-0.15
32240,70.2B,10,43.9,-0.15
32240,70.2B,10,43.866667,-0.066667
32240,70.2B,10,43.9,-0.2
32240,70.2B,10,43.866667,-0.1
32240,70.2B,10,"",""
32240,70.2B,10,43.833333,-0.183333
32240,70.2B,10,43.783333,-0.15
32240,70.2B,10,43.816667,-0.15
32240,70.2B,10,43.85,-0.183333
32240,01.3Z,20,43.85,-0.15
32240,01.3Z,20,43.9,-0.15
32240,01.3Z,20,43.866667,-0.066667
32240,01.3Z,20,43.9,-0.2
32240,01.3Z,20,43.866667,-0.1
32240,01.3Z,20,"",""
32240,01.3Z,20,43.833333,-0.183333
32240,01.3Z,20,43.783333,-0.15
32240,01.3Z,20,43.816667,-0.15
32240,01.3Z,20,43.85,-0.183333
32240,20.41Z,10,43.85,-0.15
32240,20.41Z,10,43.9,-0.15
32240,20.41Z,10,43.866667,-0.066667
32240,20.41Z,10,43.9,-0.2
32240,20.41Z,10,43.866667,-0.1
32240,20.41Z,10,"",""
32240,20.41Z,10,43.833333,-0.183333
32240,20.41Z,10,43.783333,-0.15
32240,20.41Z,10,43.816667,-0.15
32240,20.41Z,10,43.85,-0.183333
32240,56.10A,10,43.85,-0.15
32240,56.10A,10,43.9,-0.15
32240,56.10A,10,43.866667,-0.066667
32240,56.10A,10,43.9,-0.2
32240,56.10A,10,43.866667,-0.1
32240,56.10A,10,"",""
32240,56.10A,10,43.833333,-0.183333
32240,56.10A,10,43.783333,-0.15
32240,56.10A,10,43.816667,-0.15
32240,56.10A,10,43.85,-0.183333
32240,86.90D,10,43.85,-0.15
32240,86.90D,10,43.9,-0.15
32240,86.90D,10,43.866667,-0.066667
32240,86.90D,10,43.9,-0.2
32240,86.90D,10,43.866667,-0.1
32240,86.90D,10,"",""
32240,86.90D,10,43.833333,-0.183333
32240,86.90D,10,43.783333,-0.15
32240,86.90D,10,43.816667,-0.15
32240,86.90D,10,43.85,-0.183333
32240,66.0E,10,43.85,-0.15
32240,66.0E,10,43.9,-0.15
32240,66.0E,10,43.866667,-0.066667
32240,66.0E,10,43.9,-0.2
32240,66.0E,10,43.866667,-0.1
32240,66.0E,10,"",""
32240,66.0E,10,43.833333,-0.183333
32240,66.0E,10,43.783333,-0.15
32240,66.0E,10,43.816667,-0.15
32240,66.0E,10,43.85,-0.183333
32240,01.50Z,10,43.85,-0.15
32240,01.50Z,10,43.9,-0.15
32240,01.50Z,10,43.866667,-0.066667
32240,01.50Z,10,43.9,-0.2
32240,01.50Z,10,43.866667,-0.1
32240,01.50Z,10,"",""
32240,01.50Z,10,43.833333,-0.183333
32240,01.50Z,10,43.783333,-0.15
32240,01.50Z,10,43.816667,-0.15
32240,01.50Z,10,43.85,-0.183333
32240,01.2A,10,43.85,-0.15
32240,01.2A,10,43.9,-0.15
32240,01.2A,10,43.866667,-0.066667
32240,01.2A,10,43.9,-0.2
32240,01.2A,10,43.866667,-0.1
32240,01.2A,10,"",""
32240,01.2A,10,43.833333,-0.183333
32240,01.2A,10,43.783333,-0.15
32240,01.2A,10,43.816667,-0.15
32240,01.2A,10,43.85,-0.183333
32240,01.41Z,20,43.85,-0.15
32240,01.41Z,20,43.9,-0.15
32240,01.41Z,20,43.866667,-0.066667
32240,01.41Z,20,43.9,-0.2
32240,01.41Z,20,43.866667,-0.1
32240,01.41Z,20,"",""
32240,01.41Z,20,43.833333,-0.183333
32240,01.41Z,20,43.783333,-0.15
32240,01.41Z,20,43.816667,-0.15
32240,01.41Z,20,43.85,-0.183333
32240,01.42Z,50,43.85,-0.15
32240,01.42Z,50,43.9,-0.15
32240,01.42Z,50,43.866667,-0.066667
32240,01.42Z,50,43.9,-0.2
32240,01.42Z,50,43.866667,-0.1
32240,01.42Z,50,"",""
32240,01.42Z,50,43.833333,-0.183333
32240,01.42Z,50,43.783333,-0.15
32240,01.42Z,50,43.816667,-0.15
32240,01.42Z,50,43.85,-0.183333
32240,43.99C,10,43.85,-0.15
32240,43.99C,10,43.9,-0.15
32240,43.99C,10,43.866667,-0.066667
32240,43.99C,10,43.9,-0.2
32240,43.99C,10,43.866667,-0.1
32240,43.99C,10,"",""
32240,43.99C,10,43.833333,-0.183333
32240,43.99C,10,43.783333,-0.15
32240,43.99C,10,43.816667,-0.15
32240,43.99C,10,43.85,-0.183333
32240,01.49Z,10,43.85,-0.15
32240,01.49Z,10,43.9,-0.15
32240,01.49Z,10,43.866667,-0.066667
32240,01.49Z,10,43.9,-0.2
32240,01.49Z,10,43.866667,-0.1
32240,01.49Z,10,"",""
32240,01.49Z,10,43.833333,-0.183333
32240,01.49Z,10,43.783333,-0.15
32240,01.49Z,10,43.816667,-0.15
32240,01.49Z,10,43.85,-0.183333
32240,01.1A,60,43.85,-0.15
32240,01.1A,60,43.9,-0.15
32240,01.1A,60,43.866667,-0.066667
32240,01.1A,60,43.9,-0.2
32240,01.1A,60,43.866667,-0.1
32240,01.1A,60,"",""
32240,01.1A,60,43.833333,-0.183333
32240,01.1A,60,43.783333,-0.15
32240,01.1A,60,43.816667,-0.15
32240,01.1A,60,43.85,-0.183333
32240,16.10A,10,43.85,-0.15
32240,16.10A,10,43.9,-0.15
32240,16.10A,10,43.866667,-0.066667
32240,16.10A,10,43.9,-0.2
32240,16.10A,10,43.866667,-0.1
32240,16.10A,10,"",""
32240,16.10A,10,43.833333,-0.183333
32240,16.10A,10,43.783333,-0.15
32240,16.10A,10,43.816667,-0.15
32240,16.10A,10,43.85,-0.183333
32240,64.25,10,43.85,-0.15
32240,64.25,10,43.9,-0.15
32240,64.25,10,43.866667,-0.066667
32240,64.25,10,43.9,-0.2
32240,64.25,10,43.866667,-0.1
32240,64.25,10,"",""
32240,64.25,10,43.833333,-0.183333
32240,64.25,10,43.783333,-0.15
32240,64.25,10,43.816667,-0.15
32240,64.25,10,43.85,-0.183333
32240,88.99B,10,43.85,-0.15
32240,88.99B,10,43.9,-0.15
32240,88.99B,10,43.866667,-0.066667
32240,88.99B,10,43.9,-0.2
32240,88.99B,10,43.866667,-0.1
32240,88.99B,10,"",""
32240,88.99B,10,43.833333,-0.183333
32240,88.99B,10,43.783333,-0.15
32240,88.99B,10,43.816667,-0.15
32240,88.99B,10,43.85,-0.183333
32240,93.29Z,10,43.85,-0.15
32240,93.29Z,10,43.9,-0.15
32240,93.29Z,10,43.866667,-0.066667
32240,93.29Z,10,43.9,-0.2
32240,93.29Z,10,43.866667,-0.1
32240,93.29Z,10,"",""
32240,93.29Z,10,43.833333,-0.183333
32240,93.29Z,10,43.783333,-0.15
32240,93.29Z,10,43.816667,-0.15
32240,93.29Z,10,43.85,-0.183333
32240,68.20B,30,43.85,-0.15
32240,68.20B,30,43.9,-0.15
32240,68.20B,30,43.866667,-0.066667
32240,68.20B,30,43.9,-0.2
32240,68.20B,30,43.866667,-0.1
32240,68.20B,30,"",""
32240,68.20B,30,43.833333,-0.183333
32240,68.20B,30,43.783333,-0.15
32240,68.20B,30,43.816667,-0.15
32240,68.20B,30,43.85,-0.183333
