codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
32330,67.05,5,43.9,0.283333
32330,67.05,5,43.916667,0.233333
32330,67.05,5,43.9,0.216667
32330,67.05,5,43.883333,0.25
32330,67.05,5,43.85,0.233333
32330,01.11Z,35,43.9,0.283333
32330,01.11Z,35,43.916667,0.233333
32330,01.11Z,35,43.9,0.216667
32330,01.11Z,35,43.883333,0.25
32330,01.11Z,35,43.85,0.233333
32330,68.20A,10,43.9,0.283333
32330,68.20A,10,43.916667,0.233333
32330,68.20A,10,43.9,0.216667
32330,68.20A,10,43.883333,0.25
32330,68.20A,10,43.85,0.233333
32330,56.30Z,5,43.9,0.283333
32330,56.30Z,5,43.916667,0.233333
32330,56.30Z,5,43.9,0.216667
32330,56.30Z,5,43.883333,0.25
32330,56.30Z,5,43.85,0.233333
32330,36.00Z,5,43.9,0.283333
32330,36.00Z,5,43.916667,0.233333
32330,36.00Z,5,43.9,0.216667
32330,36.00Z,5,43.883333,0.25
32330,36.00Z,5,43.85,0.233333
32330,45.4J,10,43.9,0.283333
32330,45.4J,10,43.916667,0.233333
32330,45.4J,10,43.9,0.216667
32330,45.4J,10,43.883333,0.25
32330,45.4J,10,43.85,0.233333
32330,43.34Z,5,43.9,0.283333
32330,43.34Z,5,43.916667,0.233333
32330,43.34Z,5,43.9,0.216667
32330,43.34Z,5,43.883333,0.25
32330,43.34Z,5,43.85,0.233333
32330,56.10C,5,43.9,0.283333
32330,56.10C,5,43.916667,0.233333
32330,56.10C,5,43.9,0.216667
32330,56.10C,5,43.883333,0.25
32330,56.10C,5,43.85,0.233333
32330,64.42,5,43.9,0.283333
32330,64.42,5,43.916667,0.233333
32330,64.42,5,43.9,0.216667
32330,64.42,5,43.883333,0.25
32330,64.42,5,43.85,0.233333
32330,84.11Z,15,43.9,0.283333
32330,84.11Z,15,43.916667,0.233333
32330,84.11Z,15,43.9,0.216667
32330,84.11Z,15,43.883333,0.25
32330,84.11Z,15,43.85,0.233333
32330,43.39Z,10,43.9,0.283333
32330,43.39Z,10,43.916667,0.233333
32330,43.39Z,10,43.9,0.216667
32330,43.39Z,10,43.883333,0.25
32330,43.39Z,10,43.85,0.233333
32330,01.4A,5,43.9,0.283333
32330,01.4A,5,43.916667,0.233333
32330,01.4A,5,43.9,0.216667
32330,01.4A,5,43.883333,0.25
32330,01.4A,5,43.85,0.233333
32330,55.20Z,5,43.9,0.283333
32330,55.20Z,5,43.916667,0.233333
32330,55.20Z,5,43.9,0.216667
32330,55.20Z,5,43.883333,0.25
32330,55.20Z,5,43.85,0.233333
32330,93.12Z,10,43.9,0.283333
32330,93.12Z,10,43.916667,0.233333
32330,93.12Z,10,43.9,0.216667
32330,93.12Z,10,43.883333,0.25
32330,93.12Z,10,43.85,0.233333
32330,74.1G,10,43.9,0.283333
32330,74.1G,10,43.916667,0.233333
32330,74.1G,10,43.9,0.216667
32330,74.1G,10,43.883333,0.25
32330,74.1G,10,43.85,0.233333
32330,52.2P,5,43.9,0.283333
32330,52.2P,5,43.916667,0.233333
32330,52.2P,5,43.9,0.216667
32330,52.2P,5,43.883333,0.25
32330,52.2P,5,43.85,0.233333
32330,86.10,5,43.9,0.283333
32330,86.10,5,43.916667,0.233333
32330,86.10,5,43.9,0.216667
32330,86.10,5,43.883333,0.25
32330,86.10,5,43.85,0.233333
32330,65.06,5,43.9,0.283333
32330,65.06,5,43.916667,0.233333
32330,65.06,5,43.9,0.216667
32330,65.06,5,43.883333,0.25
32330,65.06,5,43.85,0.233333
32330,43.33Z,10,43.9,0.283333
32330,43.33Z,10,43.916667,0.233333
32330,43.33Z,10,43.9,0.216667
32330,43.33Z,10,43.883333,0.25
32330,43.33Z,10,43.85,0.233333
32330,86.90D,5,43.9,0.283333
32330,86.90D,5,43.916667,0.233333
32330,86.90D,5,43.9,0.216667
32330,86.90D,5,43.883333,0.25
32330,86.90D,5,43.85,0.233333
32330,94.99Z,20,43.9,0.283333
32330,94.99Z,20,43.916667,0.233333
32330,94.99Z,20,43.9,0.216667
32330,94.99Z,20,43.883333,0.25
32330,94.99Z,20,43.85,0.233333
32330,02.20,5,43.9,0.283333
32330,02.20,5,43.916667,0.233333
32330,02.20,5,43.9,0.216667
32330,02.20,5,43.883333,0.25
32330,02.20,5,43.85,0.233333
32330,82.99Z,5,43.9,0.283333
32330,82.99Z,5,43.916667,0.233333
32330,82.99Z,5,43.9,0.216667
32330,82.99Z,5,43.883333,0.25
32330,82.99Z,5,43.85,0.233333
32330,47.52B,5,43.9,0.283333
32330,47.52B,5,43.916667,0.233333
32330,47.52B,5,43.9,0.216667
32330,47.52B,5,43.883333,0.25
