codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
32360,55.3A,7,43.716667,0.5
32360,55.3A,7,43.733333,0.566667
32360,55.3A,7,43.75,0.516667
32360,55.3A,7,43.766667,0.516667
32360,55.3A,7,43.766667,0.466667
32360,55.3A,7,43.716667,0.533333
32360,55.3A,7,43.733333,0.45
32360,01.11Z,112,43.716667,0.5
32360,01.11Z,112,43.733333,0.566667
32360,01.11Z,112,43.75,0.516667
32360,01.11Z,112,43.766667,0.516667
32360,01.11Z,112,43.766667,0.466667
32360,01.11Z,112,43.716667,0.533333
32360,01.11Z,112,43.733333,0.45
32360,46.23Z,7,43.716667,0.5
32360,46.23Z,7,43.733333,0.566667
32360,46.23Z,7,43.75,0.516667
32360,46.23Z,7,43.766667,0.516667
32360,46.23Z,7,43.766667,0.466667
32360,46.23Z,7,43.716667,0.533333
32360,46.23Z,7,43.733333,0.45
32360,95.29Z,7,43.716667,0.5
32360,95.29Z,7,43.733333,0.566667
32360,95.29Z,7,43.75,0.516667
32360,95.29Z,7,43.766667,0.516667
32360,95.29Z,7,43.766667,0.466667
32360,95.29Z,7,43.716667,0.533333
32360,95.29Z,7,43.733333,0.45
32360,68.20A,28,43.716667,0.5
32360,68.20A,28,43.733333,0.566667
32360,68.20A,28,43.75,0.516667
32360,68.20A,28,43.766667,0.516667
32360,68.20A,28,43.766667,0.466667
32360,68.20A,28,43.716667,0.533333
32360,68.20A,28,43.733333,0.45
32360,62.11,7,43.716667,0.5
32360,62.11,7,43.733333,0.566667
32360,62.11,7,43.75,0.516667
32360,62.11,7,43.766667,0.516667
32360,62.11,7,43.766667,0.466667
32360,62.11,7,43.716667,0.533333
32360,62.11,7,43.733333,0.45
32360,01.47Z,14,43.716667,0.5
32360,01.47Z,14,43.733333,0.566667
32360,01.47Z,14,43.75,0.516667
32360,01.47Z,14,43.766667,0.516667
32360,01.47Z,14,43.766667,0.466667
32360,01.47Z,14,43.716667,0.533333
32360,01.47Z,14,43.733333,0.45
32360,93.0N,7,43.716667,0.5
32360,93.0N,7,43.733333,0.566667
32360,93.0N,7,43.75,0.516667
32360,93.0N,7,43.766667,0.516667
32360,93.0N,7,43.766667,0.466667
32360,93.0N,7,43.716667,0.533333
32360,93.0N,7,43.733333,0.45
32360,90.01Z,14,43.716667,0.5
32360,90.01Z,14,43.733333,0.566667
32360,90.01Z,14,43.75,0.516667
32360,90.01Z,14,43.766667,0.516667
32360,90.01Z,14,43.766667,0.466667
32360,90.01Z,14,43.716667,0.533333
32360,90.01Z,14,43.733333,0.45
32360,84.11Z,7,43.716667,0.5
32360,84.11Z,7,43.733333,0.566667
32360,84.11Z,7,43.75,0.516667
32360,84.11Z,7,43.766667,0.516667
32360,84.11Z,7,43.766667,0.466667
32360,84.11Z,7,43.716667,0.533333
32360,84.11Z,7,43.733333,0.45
32360,43.39Z,14,43.716667,0.5
32360,43.39Z,14,43.733333,0.566667
32360,43.39Z,14,43.75,0.516667
32360,43.39Z,14,43.766667,0.516667
32360,43.39Z,14,43.766667,0.466667
32360,43.39Z,14,43.716667,0.533333
