codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33113,47.99A,5,44.433333,-0.483333
33113,47.99A,5,44.433333,-0.466667
33113,47.99A,5,44.5,-0.516667
33113,47.99A,5,"",""
33113,47.99A,5,44.383333,-0.45
33113,55.3A,5,44.433333,-0.483333
33113,55.3A,5,44.433333,-0.466667
33113,55.3A,5,44.5,-0.516667
33113,55.3A,5,"",""
33113,55.3A,5,44.383333,-0.45
33113,43.22A,5,44.433333,-0.483333
33113,43.22A,5,44.433333,-0.466667
33113,43.22A,5,44.5,-0.516667
33113,43.22A,5,"",""
33113,43.22A,5,44.383333,-0.45
33113,93.0D,5,44.433333,-0.483333
33113,93.0D,5,44.433333,-0.466667
33113,93.0D,5,44.5,-0.516667
33113,93.0D,5,"",""
33113,93.0D,5,44.383333,-0.45
33113,02.10Z,15,44.433333,-0.483333
33113,02.10Z,15,44.433333,-0.466667
33113,02.10Z,15,44.5,-0.516667
33113,02.10Z,15,"",""
33113,02.10Z,15,44.383333,-0.45
33113,01.11Z,5,44.433333,-0.483333
33113,01.11Z,5,44.433333,-0.466667
33113,01.11Z,5,44.5,-0.516667
33113,01.11Z,5,"",""
33113,01.11Z,5,44.383333,-0.45
33113,68.20A,5,44.433333,-0.483333
33113,68.20A,5,44.433333,-0.466667
33113,68.20A,5,44.5,-0.516667
33113,68.20A,5,"",""
33113,68.20A,5,44.383333,-0.45
33113,49.32Z,5,44.433333,-0.483333
33113,49.32Z,5,44.433333,-0.466667
33113,49.32Z,5,44.5,-0.516667
33113,49.32Z,5,"",""
33113,49.32Z,5,44.383333,-0.45
33113,56.30Z,5,44.433333,-0.483333
33113,56.30Z,5,44.433333,-0.466667
33113,56.30Z,5,44.5,-0.516667
33113,56.30Z,5,"",""
33113,56.30Z,5,44.383333,-0.45
33113,56.21Z,5,44.433333,-0.483333
33113,56.21Z,5,44.433333,-0.466667
33113,56.21Z,5,44.5,-0.516667
33113,56.21Z,5,"",""
33113,56.21Z,5,44.383333,-0.45
33113,01.47Z,10,44.433333,-0.483333
33113,01.47Z,10,44.433333,-0.466667
33113,01.47Z,10,44.5,-0.516667
33113,01.47Z,10,"",""
33113,01.47Z,10,44.383333,-0.45
33113,93.0N,5,44.433333,-0.483333
33113,93.0N,5,44.433333,-0.466667
33113,93.0N,5,44.5,-0.516667
33113,93.0N,5,"",""
33113,93.0N,5,44.383333,-0.45
33113,47.82Z,5,44.433333,-0.483333
