codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33126,47.99A,20,44.933333,-0.316667
33126,47.99A,20,44.95,-0.3
33126,47.99A,20,44.933333,-0.316667
33126,47.99A,20,44.916667,-0.266667
33126,33.20A,4,44.933333,-0.316667
33126,33.20A,4,44.95,-0.3
33126,33.20A,4,44.933333,-0.316667
33126,33.20A,4,44.916667,-0.266667
33126,43.22A,16,44.933333,-0.316667
33126,43.22A,16,44.95,-0.3
33126,43.22A,16,44.933333,-0.316667
33126,43.22A,16,44.916667,-0.266667
33126,01.11Z,16,44.933333,-0.316667
33126,01.11Z,16,44.95,-0.3
33126,01.11Z,16,44.933333,-0.316667
33126,01.11Z,16,44.916667,-0.266667
33126,00.97,20,44.933333,-0.316667
33126,00.97,20,44.95,-0.3
33126,00.97,20,44.933333,-0.316667
33126,00.97,20,44.916667,-0.266667
33126,49.41A,8,44.933333,-0.316667
33126,49.41A,8,44.95,-0.3
33126,49.41A,8,44.933333,-0.316667
33126,49.41A,8,44.916667,-0.266667
33126,65.02,4,44.933333,-0.316667
33126,65.02,4,44.95,-0.3
33126,65.02,4,44.933333,-0.316667
33126,65.02,4,44.916667,-0.266667
33126,95.29Z,4,44.933333,-0.316667
33126,95.29Z,4,44.95,-0.3
33126,95.29Z,4,44.933333,-0.316667
33126,95.29Z,4,44.916667,-0.266667
33126,51.3J,4,44.933333,-0.316667
33126,51.3J,4,44.95,-0.3
33126,51.3J,4,44.933333,-0.316667
33126,51.3J,4,44.916667,-0.266667
33126,68.20A,20,44.933333,-0.316667
33126,68.20A,20,44.95,-0.3
33126,68.20A,20,44.933333,-0.316667
33126,68.20A,20,44.916667,-0.266667
33126,01.50,4,44.933333,-0.316667
33126,01.50,4,44.95,-0.3
33126,01.50,4,44.933333,-0.316667
33126,01.50,4,44.916667,-0.266667
33126,45.3E,4,44.933333,-0.316667
33126,45.3E,4,44.95,-0.3
33126,45.3E,4,44.933333,-0.316667
33126,45.3E,4,44.916667,-0.266667
33126,49.32Z,8,44.933333,-0.316667
33126,49.32Z,8,44.95,-0.3
33126,49.32Z,8,44.933333,-0.316667
33126,49.32Z,8,44.916667,-0.266667
33126,55.60,8,44.933333,-0.316667
33126,55.60,8,44.95,-0.3
33126,55.60,8,44.933333,-0.316667
33126,55.60,8,44.916667,-0.266667
33126,43.34Z,16,44.933333,-0.316667
33126,43.34Z,16,44.95,-0.3
33126,43.34Z,16,44.933333,-0.316667
33126,43.34Z,16,44.916667,-0.266667
33126,81.29B,4,44.933333,-0.316667
33126,81.29B,4,44.95,-0.3
33126,81.29B,4,44.933333,-0.316667
33126,81.29B,4,44.916667,-0.266667
33126,87.10A,4,44.933333,-0.316667
33126,87.10A,4,44.95,-0.3
33126,87.10A,4,44.933333,-0.316667
33126,87.10A,4,44.916667,-0.266667
33126,25.12Z,4,44.933333,-0.316667
33126,25.12Z,4,44.95,-0.3
33126,25.12Z,4,44.933333,-0.316667
33126,25.12Z,4,44.916667,-0.266667
33126,90.01Z,8,44.933333,-0.316667
33126,90.01Z,8,44.95,-0.3
33126,90.01Z,8,44.933333,-0.316667
33126,90.01Z,8,44.916667,-0.266667
33126,01.43Z,4,44.933333,-0.316667
33126,01.43Z,4,44.95,-0.3
33126,01.43Z,4,44.933333,-0.316667
33126,01.43Z,4,44.916667,-0.266667
33126,47.82Z,4,44.933333,-0.316667
33126,47.82Z,4,44.95,-0.3
33126,47.82Z,4,44.933333,-0.316667
33126,47.82Z,4,44.916667,-0.266667
33126,43.32B,12,44.933333,-0.316667
33126,43.32B,12,44.95,-0.3
33126,43.32B,12,44.933333,-0.316667
33126,43.32B,12,44.916667,-0.266667
33126,15.9G,8,44.933333,-0.316667
33126,15.9G,8,44.95,-0.3
33126,15.9G,8,44.933333,-0.316667
33126,15.9G,8,44.916667,-0.266667
33126,56.10C,16,44.933333,-0.316667
33126,56.10C,16,44.95,-0.3
33126,56.10C,16,44.933333,-0.316667
33126,56.10C,16,44.916667,-0.266667
33126,82.11Z,4,44.933333,-0.316667
33126,82.11Z,4,44.95,-0.3
33126,82.11Z,4,44.933333,-0.316667
33126,82.11Z,4,44.916667,-0.266667
33126,43.91A,4,44.933333,-0.316667
33126,43.91A,4,44.95,-0.3
33126,43.91A,4,44.933333,-0.316667
33126,43.91A,4,44.916667,-0.266667
33126,45.4L,4,44.933333,-0.316667
33126,45.4L,4,44.95,-0.3
33126,45.4L,4,44.933333,-0.316667
33126,45.4L,4,44.916667,-0.266667
33126,43.99B,8,44.933333,-0.316667
33126,43.99B,8,44.95,-0.3
33126,43.99B,8,44.933333,-0.316667
33126,43.99B,8,44.916667,-0.266667
33126,84.11Z,24,44.933333,-0.316667
33126,84.11Z,24,44.95,-0.3
33126,84.11Z,24,44.933333,-0.316667
33126,84.11Z,24,44.916667,-0.266667
33126,01.21Z,96,44.933333,-0.316667
33126,01.21Z,96,44.95,-0.3
33126,01.21Z,96,44.933333,-0.316667
33126,01.21Z,96,44.916667,-0.266667
33126,"",4,44.933333,-0.316667
33126,"",4,44.95,-0.3
33126,"",4,44.933333,-0.316667
33126,"",4,44.916667,-0.266667
33126,70.2B,8,44.933333,-0.316667
33126,70.2B,8,44.95,-0.3
33126,70.2B,8,44.933333,-0.316667
33126,70.2B,8,44.916667,-0.266667
33126,77.14,4,44.933333,-0.316667
33126,77.14,4,44.95,-0.3
33126,77.14,4,44.933333,-0.316667
33126,77.14,4,44.916667,-0.266667
33126,01.3Z,16,44.933333,-0.316667
33126,01.3Z,16,44.95,-0.3
33126,01.3Z,16,44.933333,-0.316667
33126,01.3Z,16,44.916667,-0.266667
33126,43.39Z,8,44.933333,-0.316667
33126,43.39Z,8,44.95,-0.3
33126,43.39Z,8,44.933333,-0.316667
33126,43.39Z,8,44.916667,-0.266667
33126,93.12Z,16,44.933333,-0.316667
33126,93.12Z,16,44.95,-0.3
33126,93.12Z,16,44.933333,-0.316667
33126,93.12Z,16,44.916667,-0.266667
33126,43.22B,4,44.933333,-0.316667
33126,43.22B,4,44.95,-0.3
33126,43.22B,4,44.933333,-0.316667
33126,43.22B,4,44.916667,-0.266667
33126,43.32A,8,44.933333,-0.316667
33126,43.32A,8,44.95,-0.3
33126,43.32A,8,44.933333,-0.316667
33126,43.32A,8,44.916667,-0.266667
33126,11.02B,4,44.933333,-0.316667
33126,11.02B,4,44.95,-0.3
33126,11.02B,4,44.933333,-0.316667
33126,11.02B,4,44.916667,-0.266667
33126,74.1G,4,44.933333,-0.316667
33126,74.1G,4,44.95,-0.3
33126,74.1G,4,44.933333,-0.316667
33126,74.1G,4,44.916667,-0.266667
33126,74.30Z,8,44.933333,-0.316667
33126,74.30Z,8,44.95,-0.3
33126,74.30Z,8,44.933333,-0.316667
33126,74.30Z,8,44.916667,-0.266667
33126,52.6E,4,44.933333,-0.316667
33126,52.6E,4,44.95,-0.3
33126,52.6E,4,44.933333,-0.316667
