codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33130,47.99A,1,44.8,-0.533333
33130,55.3A,5,44.8,-0.533333
33130,41.10A,1,44.8,-0.533333
33130,02.10Z,5,44.8,-0.533333
33130,01.11Z,2,44.8,-0.533333
33130,00.97,1,44.8,-0.533333
33130,95.29Z,1,44.8,-0.533333
33130,64.23,1,44.8,-0.533333
33130,68.20A,12,44.8,-0.533333
33130,55.40,1,44.8,-0.533333
33130,55.60,1,44.8,-0.533333
33130,56.30Z,1,44.8,-0.533333
33130,95.11Z,1,44.8,-0.533333
33130,56.21Z,1,44.8,-0.533333
33130,50.2Z,1,44.8,-0.533333
33130,01.47Z,3,44.8,-0.533333
33130,47.52A,1,44.8,-0.533333
33130,81.22Z,1,44.8,-0.533333
33130,43.34Z,1,44.8,-0.533333
33130,93.19Z,5,44.8,-0.533333
33130,81.29B,1,44.8,-0.533333
33130,93.0N,2,44.8,-0.533333
33130,64.20Z,6,44.8,-0.533333
33130,86.90E,1,44.8,-0.533333
33130,90.01Z,2,44.8,-0.533333
33130,51.5C,1,44.8,-0.533333
33130,01.43Z,1,44.8,-0.533333
33130,43.32B,1,44.8,-0.533333
33130,56.10C,6,44.8,-0.533333
33130,74.10Z,1,44.8,-0.533333
33130,74.90A,1,44.8,-0.533333
33130,43.91A,2,44.8,-0.533333
33130,46.44Z,1,44.8,-0.533333
33130,81.30Z,3,44.8,-0.533333
33130,64.41,1,44.8,-0.533333
33130,01.4B,2,44.8,-0.533333
33130,84.11Z,6,44.8,-0.533333
33130,66.30Z,2,44.8,-0.533333
33130,01.21Z,8,44.8,-0.533333
33130,85.1G,1,44.8,-0.533333
33130,43.39Z,5,44.8,-0.533333
33130,01.3Z,2,44.8,-0.533333
33130,93.12Z,2,44.8,-0.533333
33130,43.29B,1,44.8,-0.533333
33130,01.2G,3,44.8,-0.533333
33130,43.32A,1,44.8,-0.533333
33130,25.62B,1,44.8,-0.533333
33130,74.30Z,1,44.8,-0.533333
33130,47.11B,1,44.8,-0.533333
33130,46.17B,1,44.8,-0.533333
33130,52.6E,1,44.8,-0.533333
33130,43.33Z,2,44.8,-0.533333
33130,47.22Z,1,44.8,-0.533333
33130,74.20Z,1,44.8,-0.533333
33130,56.10A,3,44.8,-0.533333
33130,96.02A,1,44.8,-0.533333
33130,82.19Z,3,44.8,-0.533333
33130,86.90D,9,44.8,-0.533333
33130,46.19B,4,44.8,-0.533333
33130,55.3B,1,44.8,-0.533333
33130,31.09B,1,44.8,-0.533333
33130,94.99Z,5,44.8,-0.533333
33130,81.11,1,44.8,-0.533333
33130,47.59A,1,44.8,-0.533333
33130,01.57,1,44.8,-0.533333
33130,01.63,1,44.8,-0.533333
33130,51.1T,1,44.8,-0.533333
33130,67.01,2,44.8,-0.533333
33130,47.78C,1,44.8,-0.533333
33130,66.19B,1,44.8,-0.533333
33130,01.1G,1,44.8,-0.533333
