codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33150,64.11,1,44.85,-0.533333
33150,55.3A,1,44.85,-0.533333
33150,00.97,1,44.85,-0.533333
33150,01.11Z,3,44.85,-0.533333
33150,95.29Z,1,44.85,-0.533333
33150,01.50,1,44.85,-0.533333
33150,68.20A,4,44.85,-0.533333
33150,45.3E,1,44.85,-0.533333
33150,32.99Z,1,44.85,-0.533333
33150,81.22Z,1,44.85,-0.533333
33150,90.01Z,1,44.85,-0.533333
33150,94.91Z,3,44.85,-0.533333
33150,56.10C,1,44.85,-0.533333
33150,10.32Z,1,44.85,-0.533333
33150,43.91A,1,44.85,-0.533333
33150,01.4B,1,44.85,-0.533333
33150,84.11Z,3,44.85,-0.533333
33150,79.12Z,1,44.85,-0.533333
33150,01.21Z,26,44.85,-0.533333
33150,70.2B,7,44.85,-0.533333
33150,85.1G,1,44.85,-0.533333
33150,01.4A,4,44.85,-0.533333
33150,01.3Z,2,44.85,-0.533333
33150,55.20Z,4,44.85,-0.533333
33150,43.32A,2,44.85,-0.533333
33150,11.02B,1,44.85,-0.533333
33150,56.29B,1,44.85,-0.533333
33150,57.02,1,44.85,-0.533333
33150,01.24Z,3,44.85,-0.533333
33150,01.80,2,44.85,-0.533333
33150,45.3A,1,44.85,-0.533333
33150,94.99Z,2,44.85,-0.533333
33150,01.30Z,1,44.85,-0.533333
33150,47.78C,1,44.85,-0.533333
33150,01.1G,4,44.85,-0.533333
33150,87.03,1,44.85,-0.533333
33150,45.4A,1,44.85,-0.533333
33150,82.30Z,1,44.85,-0.533333
33150,55.73,1,44.85,-0.533333
33150,55.71,1,44.85,-0.533333
33150,42.99Z,1,44.85,-0.533333
33150,01.50Z,2,44.85,-0.533333
33150,91.3E,1,44.85,-0.533333
33150,47.54Z,1,44.85,-0.533333
33150,90.03A,1,44.85,-0.533333
33150,01.2A,2,44.85,-0.533333
33150,47.78B,1,44.85,-0.533333
33150,96.02B,2,44.85,-0.533333
33150,39.08,1,44.85,-0.533333
33150,01.42Z,1,44.85,-0.533333
33150,01.61Z,8,44.85,-0.533333
33150,41.20A,1,44.85,-0.533333
33150,36.1A,1,44.85,-0.533333
33150,96.09Z,1,44.85,-0.533333
33150,77.11A,1,44.85,-0.533333
33150,35.11Z,1,44.85,-0.533333
33150,63.91Z,1,44.85,-0.533333
33150,90.03B,1,44.85,-0.533333
33150,78.30Z,1,44.85,-0.533333
33150,01.1A,3,44.85,-0.533333
33150,47.99B,1,44.85,-0.533333
33150,86.90F,1,44.85,-0.533333
33150,68.32A,1,44.85,-0.533333
33150,70.22Z,1,44.85,-0.533333
33150,88.99B,1,44.85,-0.533333
33150,51.3W,1,44.85,-0.533333
33150,93.29Z,1,44.85,-0.533333
33150,73.11Z,1,44.85,-0.533333
33150,47.89Z,1,44.85,-0.533333
33150,45.2V,1,44.85,-0.533333
33150,70.2A,2,44.85,-0.533333
33150,71.12B,1,44.85,-0.533333
33150,52.6D,1,44.85,-0.533333
33150,68.20B,7,44.85,-0.533333
