codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33240,47.99A,567,45.033333,-0.45
33240,47.99A,567,45.016667,-0.366667
33240,47.99A,567,45.033333,-0.466667
33240,47.99A,567,45.016667,-0.45
33240,47.99A,567,45.016667,-0.416667
33240,47.99A,567,44.991667,-0.441667
33240,47.99A,567,45.033333,-0.45
33240,47.99A,567,45.033333,-0.4
33240,47.99A,567,44.966667,-0.45
33240,47.99A,567,45.016667,-0.4
33240,47.99A,567,44.983333,-0.333333
33240,47.99A,567,44.966667,-0.35
33240,47.99A,567,44.966667,-0.4
33240,47.99A,567,44.95,-0.333333
33240,47.99A,567,45.033333,-0.366667
33240,47.99A,567,45.016667,-0.316667
33240,47.99A,567,45.016667,-0.35
33240,47.99A,567,"",""
33240,47.99A,567,44.983333,-0.383333
33240,47.99A,567,44.966667,-0.366667
33240,47.99A,567,44.95,-0.416667
33240,33.20A,63,45.033333,-0.45
33240,33.20A,63,45.016667,-0.366667
33240,33.20A,63,45.033333,-0.466667
33240,33.20A,63,45.016667,-0.45
33240,33.20A,63,45.016667,-0.416667
33240,33.20A,63,44.991667,-0.441667
33240,33.20A,63,45.033333,-0.45
33240,33.20A,63,45.033333,-0.4
33240,33.20A,63,44.966667,-0.45
33240,33.20A,63,45.016667,-0.4
33240,33.20A,63,44.983333,-0.333333
33240,33.20A,63,44.966667,-0.35
33240,33.20A,63,44.966667,-0.4
33240,33.20A,63,44.95,-0.333333
33240,33.20A,63,45.033333,-0.366667
33240,33.20A,63,45.016667,-0.316667
33240,33.20A,63,45.016667,-0.35
33240,33.20A,63,"",""
33240,33.20A,63,44.983333,-0.383333
33240,33.20A,63,44.966667,-0.366667
33240,33.20A,63,44.95,-0.416667
33240,64.11,357,45.033333,-0.45
33240,64.11,357,45.016667,-0.366667
33240,64.11,357,45.033333,-0.466667
33240,64.11,357,45.016667,-0.45
33240,64.11,357,45.016667,-0.416667
33240,64.11,357,44.991667,-0.441667
33240,64.11,357,45.033333,-0.45
33240,64.11,357,45.033333,-0.4
33240,64.11,357,44.966667,-0.45
33240,64.11,357,45.016667,-0.4
33240,64.11,357,44.983333,-0.333333
33240,64.11,357,44.966667,-0.35
33240,64.11,357,44.966667,-0.4
33240,64.11,357,44.95,-0.333333
33240,64.11,357,45.033333,-0.366667
33240,64.11,357,45.016667,-0.316667
33240,64.11,357,45.016667,-0.35
33240,64.11,357,"",""
33240,64.11,357,44.983333,-0.383333
33240,64.11,357,44.966667,-0.366667
33240,64.11,357,44.95,-0.416667
33240,70.3A,168,45.033333,-0.45
33240,70.3A,168,45.016667,-0.366667
33240,70.3A,168,45.033333,-0.466667
33240,70.3A,168,45.016667,-0.45
33240,70.3A,168,45.016667,-0.416667
33240,70.3A,168,44.991667,-0.441667
33240,70.3A,168,45.033333,-0.45
33240,70.3A,168,45.033333,-0.4
33240,70.3A,168,44.966667,-0.45
33240,70.3A,168,45.016667,-0.4
33240,70.3A,168,44.983333,-0.333333
33240,70.3A,168,44.966667,-0.35
33240,70.3A,168,44.966667,-0.4
33240,70.3A,168,44.95,-0.333333
33240,70.3A,168,45.033333,-0.366667
33240,70.3A,168,45.016667,-0.316667
33240,70.3A,168,45.016667,-0.35
33240,70.3A,168,"",""
33240,70.3A,168,44.983333,-0.383333
33240,70.3A,168,44.966667,-0.366667
33240,70.3A,168,44.95,-0.416667
33240,61.10Z,42,45.033333,-0.45
33240,61.10Z,42,45.016667,-0.366667
33240,61.10Z,42,45.033333,-0.466667
33240,61.10Z,42,45.016667,-0.45
33240,61.10Z,42,45.016667,-0.416667
33240,61.10Z,42,44.991667,-0.441667
33240,61.10Z,42,45.033333,-0.45
33240,61.10Z,42,45.033333,-0.4
33240,61.10Z,42,44.966667,-0.45
33240,61.10Z,42,45.016667,-0.4
33240,61.10Z,42,44.983333,-0.333333
33240,61.10Z,42,44.966667,-0.35
33240,61.10Z,42,44.966667,-0.4
33240,61.10Z,42,44.95,-0.333333
33240,61.10Z,42,45.033333,-0.366667
33240,61.10Z,42,45.016667,-0.316667
33240,61.10Z,42,45.016667,-0.35
33240,61.10Z,42,"",""
33240,61.10Z,42,44.983333,-0.383333
33240,61.10Z,42,44.966667,-0.366667
33240,61.10Z,42,44.95,-0.416667
33240,87.30A,21,45.033333,-0.45
33240,87.30A,21,45.016667,-0.366667
33240,87.30A,21,45.033333,-0.466667
33240,87.30A,21,45.016667,-0.45
33240,87.30A,21,45.016667,-0.416667
33240,87.30A,21,44.991667,-0.441667
33240,87.30A,21,45.033333,-0.45
33240,87.30A,21,45.033333,-0.4
33240,87.30A,21,44.966667,-0.45
33240,87.30A,21,45.016667,-0.4
33240,87.30A,21,44.983333,-0.333333
33240,87.30A,21,44.966667,-0.35
33240,87.30A,21,44.966667,-0.4
33240,87.30A,21,44.95,-0.333333
33240,87.30A,21,45.033333,-0.366667
33240,87.30A,21,45.016667,-0.316667
33240,87.30A,21,45.016667,-0.35
33240,87.30A,21,"",""
33240,87.30A,21,44.983333,-0.383333
33240,87.30A,21,44.966667,-0.366667
33240,87.30A,21,44.95,-0.416667
33240,65.12Z,189,45.033333,-0.45
33240,65.12Z,189,45.016667,-0.366667
33240,65.12Z,189,45.033333,-0.466667
33240,65.12Z,189,45.016667,-0.45
33240,65.12Z,189,45.016667,-0.416667
33240,65.12Z,189,44.991667,-0.441667
33240,65.12Z,189,45.033333,-0.45
33240,65.12Z,189,45.033333,-0.4
33240,65.12Z,189,44.966667,-0.45
33240,65.12Z,189,45.016667,-0.4
33240,65.12Z,189,44.983333,-0.333333
33240,65.12Z,189,44.966667,-0.35
33240,65.12Z,189,44.966667,-0.4
33240,65.12Z,189,44.95,-0.333333
33240,65.12Z,189,45.033333,-0.366667
33240,65.12Z,189,45.016667,-0.316667
33240,65.12Z,189,45.016667,-0.35
33240,65.12Z,189,"",""
33240,65.12Z,189,44.983333,-0.383333
33240,65.12Z,189,44.966667,-0.366667
33240,65.12Z,189,44.95,-0.416667
33240,55.3A,84,45.033333,-0.45
33240,55.3A,84,45.016667,-0.366667
33240,55.3A,84,45.033333,-0.466667
33240,55.3A,84,45.016667,-0.45
33240,55.3A,84,45.016667,-0.416667
33240,55.3A,84,44.991667,-0.441667
33240,55.3A,84,45.033333,-0.45
33240,55.3A,84,45.033333,-0.4
33240,55.3A,84,44.966667,-0.45
33240,55.3A,84,45.016667,-0.4
33240,55.3A,84,44.983333,-0.333333
33240,55.3A,84,44.966667,-0.35
33240,55.3A,84,44.966667,-0.4
33240,55.3A,84,44.95,-0.333333
33240,55.3A,84,45.033333,-0.366667
33240,55.3A,84,45.016667,-0.316667
33240,55.3A,84,45.016667,-0.35
33240,55.3A,84,"",""
33240,55.3A,84,44.983333,-0.383333
33240,55.3A,84,44.966667,-0.366667
33240,55.3A,84,44.95,-0.416667
33240,43.22A,336,45.033333,-0.45
33240,43.22A,336,45.016667,-0.366667
33240,43.22A,336,45.033333,-0.466667
33240,43.22A,336,45.016667,-0.45
33240,43.22A,336,45.016667,-0.416667
33240,43.22A,336,44.991667,-0.441667
33240,43.22A,336,45.033333,-0.45
33240,43.22A,336,45.033333,-0.4
33240,43.22A,336,44.966667,-0.45
33240,43.22A,336,45.016667,-0.4
33240,43.22A,336,44.983333,-0.333333
33240,43.22A,336,44.966667,-0.35
33240,43.22A,336,44.966667,-0.4
33240,43.22A,336,44.95,-0.333333
33240,43.22A,336,45.033333,-0.366667
33240,43.22A,336,45.016667,-0.316667
33240,43.22A,336,45.016667,-0.35
33240,43.22A,336,"",""
33240,43.22A,336,44.983333,-0.383333
33240,43.22A,336,44.966667,-0.366667
33240,43.22A,336,44.95,-0.416667
33240,47.04,21,45.033333,-0.45
