codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33290,47.99A,28,44.95,-0.583333
33290,47.99A,28,44.983333,-0.6
33290,47.99A,28,44.966667,-0.633333
33290,47.99A,28,44.916667,-0.633333
33290,45.20B,4,44.95,-0.583333
33290,45.20B,4,44.983333,-0.6
33290,45.20B,4,44.966667,-0.633333
33290,45.20B,4,44.916667,-0.633333
33290,64.11,8,44.95,-0.583333
33290,64.11,8,44.983333,-0.6
33290,64.11,8,44.966667,-0.633333
33290,64.11,8,44.916667,-0.633333
33290,55.3A,8,44.95,-0.583333
33290,55.3A,8,44.983333,-0.6
33290,55.3A,8,44.966667,-0.633333
33290,55.3A,8,44.916667,-0.633333
33290,43.22A,8,44.95,-0.583333
33290,43.22A,8,44.983333,-0.6
33290,43.22A,8,44.966667,-0.633333
33290,43.22A,8,44.916667,-0.633333
33290,93.0D,4,44.95,-0.583333
33290,93.0D,4,44.983333,-0.6
33290,93.0D,4,44.966667,-0.633333
33290,93.0D,4,44.916667,-0.633333
33290,11.01Z,4,44.95,-0.583333
33290,11.01Z,4,44.983333,-0.6
33290,11.01Z,4,44.966667,-0.633333
33290,11.01Z,4,44.916667,-0.633333
33290,00.97,8,44.95,-0.583333
33290,00.97,8,44.983333,-0.6
33290,00.97,8,44.966667,-0.633333
33290,00.97,8,44.916667,-0.633333
33290,49.41A,4,44.95,-0.583333
33290,49.41A,4,44.983333,-0.6
33290,49.41A,4,44.966667,-0.633333
33290,49.41A,4,44.916667,-0.633333
33290,95.29Z,32,44.95,-0.583333
33290,95.29Z,32,44.983333,-0.6
33290,95.29Z,32,44.966667,-0.633333
33290,95.29Z,32,44.916667,-0.633333
33290,68.20A,96,44.95,-0.583333
33290,68.20A,96,44.983333,-0.6
33290,68.20A,96,44.966667,-0.633333
33290,68.20A,96,44.916667,-0.633333
33290,51.3J,24,44.95,-0.583333
33290,51.3J,24,44.983333,-0.6
33290,51.3J,24,44.966667,-0.633333
33290,51.3J,24,44.916667,-0.633333
33290,49.32Z,12,44.95,-0.583333
33290,49.32Z,12,44.983333,-0.6
33290,49.32Z,12,44.966667,-0.633333
33290,49.32Z,12,44.916667,-0.633333
33290,45.3E,4,44.95,-0.583333
33290,45.3E,4,44.983333,-0.6
33290,45.3E,4,44.966667,-0.633333
33290,45.3E,4,44.916667,-0.633333
33290,55.60,8,44.95,-0.583333
33290,55.60,8,44.983333,-0.6
33290,55.60,8,44.966667,-0.633333
33290,55.60,8,44.916667,-0.633333
33290,15.8B,4,44.95,-0.583333
33290,15.8B,4,44.983333,-0.6
33290,15.8B,4,44.966667,-0.633333
33290,15.8B,4,44.916667,-0.633333
33290,56.21Z,8,44.95,-0.583333
33290,56.21Z,8,44.983333,-0.6
33290,56.21Z,8,44.966667,-0.633333
33290,56.21Z,8,44.916667,-0.633333
33290,62.11,12,44.95,-0.583333
33290,62.11,12,44.983333,-0.6
33290,62.11,12,44.966667,-0.633333
33290,62.11,12,44.916667,-0.633333
33290,85.1C,8,44.95,-0.583333
33290,85.1C,8,44.983333,-0.6
33290,85.1C,8,44.966667,-0.633333
33290,85.1C,8,44.916667,-0.633333
33290,50.2Z,8,44.95,-0.583333
33290,50.2Z,8,44.983333,-0.6
33290,50.2Z,8,44.966667,-0.633333
33290,50.2Z,8,44.916667,-0.633333
33290,45.4J,8,44.95,-0.583333
33290,45.4J,8,44.983333,-0.6
33290,45.4J,8,44.966667,-0.633333
33290,45.4J,8,44.916667,-0.633333
33290,01.47Z,12,44.95,-0.583333
33290,01.47Z,12,44.983333,-0.6
33290,01.47Z,12,44.966667,-0.633333
33290,01.47Z,12,44.916667,-0.633333
33290,47.52A,4,44.95,-0.583333
33290,47.52A,4,44.983333,-0.6
33290,47.52A,4,44.966667,-0.633333
33290,47.52A,4,44.916667,-0.633333
33290,81.22Z,4,44.95,-0.583333
33290,81.22Z,4,44.983333,-0.6
33290,81.22Z,4,44.966667,-0.633333
33290,81.22Z,4,44.916667,-0.633333
33290,43.34Z,8,44.95,-0.583333
33290,43.34Z,8,44.983333,-0.6
33290,43.34Z,8,44.966667,-0.633333
33290,43.34Z,8,44.916667,-0.633333
33290,95.21Z,8,44.95,-0.583333
33290,95.21Z,8,44.983333,-0.6
33290,95.21Z,8,44.966667,-0.633333
33290,95.21Z,8,44.916667,-0.633333
33290,81.29B,4,44.95,-0.583333
33290,81.29B,4,44.983333,-0.6
33290,81.29B,4,44.966667,-0.633333
33290,81.29B,4,44.916667,-0.633333
33290,64.20Z,36,44.95,-0.583333
33290,64.20Z,36,44.983333,-0.6
33290,64.20Z,36,44.966667,-0.633333
33290,64.20Z,36,44.916667,-0.633333
33290,46.13Z,8,44.95,-0.583333
33290,46.13Z,8,44.983333,-0.6
33290,46.13Z,8,44.966667,-0.633333
33290,46.13Z,8,44.916667,-0.633333
33290,90.01Z,20,44.95,-0.583333
33290,90.01Z,20,44.983333,-0.6
33290,90.01Z,20,44.966667,-0.633333
33290,90.01Z,20,44.916667,-0.633333
33290,86.90E,44,44.95,-0.583333
33290,86.90E,44,44.983333,-0.6
33290,86.90E,44,44.966667,-0.633333
33290,86.90E,44,44.916667,-0.633333
33290,82.20Z,4,44.95,-0.583333
33290,82.20Z,4,44.983333,-0.6
33290,82.20Z,4,44.966667,-0.633333
33290,82.20Z,4,44.916667,-0.633333
33290,43.32B,4,44.95,-0.583333
33290,43.32B,4,44.983333,-0.6
33290,43.32B,4,44.966667,-0.633333
33290,43.32B,4,44.916667,-0.633333
33290,80.4C,4,44.95,-0.583333
33290,80.4C,4,44.983333,-0.6
33290,80.4C,4,44.966667,-0.633333
33290,80.4C,4,44.916667,-0.633333
33290,47.82Z,4,44.95,-0.583333
33290,47.82Z,4,44.983333,-0.6
33290,47.82Z,4,44.966667,-0.633333
33290,47.82Z,4,44.916667,-0.633333
33290,47.75Z,4,44.95,-0.583333
33290,47.75Z,4,44.983333,-0.6
33290,47.75Z,4,44.966667,-0.633333
33290,47.75Z,4,44.916667,-0.633333
33290,52.4R,16,44.95,-0.583333
33290,52.4R,16,44.983333,-0.6
33290,52.4R,16,44.966667,-0.633333
33290,52.4R,16,44.916667,-0.633333
33290,56.10C,20,44.95,-0.583333
33290,56.10C,20,44.983333,-0.6
33290,56.10C,20,44.966667,-0.633333
33290,56.10C,20,44.916667,-0.633333
33290,74.10Z,12,44.95,-0.583333
33290,74.10Z,12,44.983333,-0.6
33290,74.10Z,12,44.966667,-0.633333
33290,74.10Z,12,44.916667,-0.633333
33290,43.91A,4,44.95,-0.583333
33290,43.91A,4,44.983333,-0.6
33290,43.91A,4,44.966667,-0.633333
33290,43.91A,4,44.916667,-0.633333
33290,82.11Z,4,44.95,-0.583333
33290,82.11Z,4,44.983333,-0.6
33290,82.11Z,4,44.966667,-0.633333
33290,82.11Z,4,44.916667,-0.633333
33290,81.30Z,16,44.95,-0.583333
33290,81.30Z,16,44.983333,-0.6
33290,81.30Z,16,44.966667,-0.633333
33290,81.30Z,16,44.916667,-0.633333
33290,29.3D,8,44.95,-0.583333
33290,29.3D,8,44.983333,-0.6
33290,29.3D,8,44.966667,-0.633333
33290,29.3D,8,44.916667,-0.633333
33290,01.4B,4,44.95,-0.583333
33290,01.4B,4,44.983333,-0.6
33290,01.4B,4,44.966667,-0.633333
33290,01.4B,4,44.916667,-0.633333
33290,84.11Z,16,44.95,-0.583333
33290,84.11Z,16,44.983333,-0.6
33290,84.11Z,16,44.966667,-0.633333
33290,84.11Z,16,44.916667,-0.633333
33290,71.2E,4,44.95,-0.583333
33290,71.2E,4,44.983333,-0.6
33290,71.2E,4,44.966667,-0.633333
33290,71.2E,4,44.916667,-0.633333
33290,01.21Z,1012,44.95,-0.583333
33290,01.21Z,1012,44.983333,-0.6
33290,01.21Z,1012,44.966667,-0.633333
33290,01.21Z,1012,44.916667,-0.633333
33290,66.30Z,4,44.95,-0.583333
33290,66.30Z,4,44.983333,-0.6
33290,66.30Z,4,44.966667,-0.633333
33290,66.30Z,4,44.916667,-0.633333
33290,45.4D,4,44.95,-0.583333
33290,45.4D,4,44.983333,-0.6
33290,45.4D,4,44.966667,-0.633333
33290,45.4D,4,44.916667,-0.633333
33290,70.2B,24,44.95,-0.583333
33290,70.2B,24,44.983333,-0.6
33290,70.2B,24,44.966667,-0.633333
33290,70.2B,24,44.916667,-0.633333
33290,01.3Z,36,44.95,-0.583333
33290,01.3Z,36,44.983333,-0.6
33290,01.3Z,36,44.966667,-0.633333
33290,01.3Z,36,44.916667,-0.633333
33290,01.4A,24,44.95,-0.583333
33290,01.4A,24,44.983333,-0.6
33290,01.4A,24,44.966667,-0.633333
33290,01.4A,24,44.916667,-0.633333
33290,43.39Z,4,44.95,-0.583333
33290,43.39Z,4,44.983333,-0.6
33290,43.39Z,4,44.966667,-0.633333
33290,43.39Z,4,44.916667,-0.633333
33290,55.20Z,12,44.95,-0.583333
33290,55.20Z,12,44.983333,-0.6
33290,55.20Z,12,44.966667,-0.633333
33290,55.20Z,12,44.916667,-0.633333
33290,93.12Z,32,44.95,-0.583333
33290,93.12Z,32,44.983333,-0.6
33290,93.12Z,32,44.966667,-0.633333
33290,93.12Z,32,44.916667,-0.633333
33290,94.11Z,4,44.95,-0.583333
33290,94.11Z,4,44.983333,-0.6
33290,94.11Z,4,44.966667,-0.633333
33290,94.11Z,4,44.916667,-0.633333
33290,43.32A,12,44.95,-0.583333
33290,43.32A,12,44.983333,-0.6
33290,43.32A,12,44.966667,-0.633333
33290,43.32A,12,44.916667,-0.633333
