codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33530,47.99A,7,44.9,-0.516667
33530,33.20A,2,44.9,-0.516667
33530,46.45Z,1,44.9,-0.516667
33530,43.22A,3,44.9,-0.516667
33530,01.11Z,1,44.9,-0.516667
33530,49.41A,1,44.9,-0.516667
33530,77.01,1,44.9,-0.516667
33530,95.29Z,3,44.9,-0.516667
33530,51.3J,2,44.9,-0.516667
33530,68.20A,16,44.9,-0.516667
33530,45.3E,2,44.9,-0.516667
33530,49.32Z,1,44.9,-0.516667
33530,55.60,1,44.9,-0.516667
33530,36.6E,1,44.9,-0.516667
33530,32.99Z,1,44.9,-0.516667
33530,21.08,1,44.9,-0.516667
33530,50.2Z,1,44.9,-0.516667
33530,47.52A,1,44.9,-0.516667
33530,45.4J,1,44.9,-0.516667
33530,73.20Z,1,44.9,-0.516667
33530,81.22Z,2,44.9,-0.516667
33530,43.34Z,5,44.9,-0.516667
33530,81.29B,1,44.9,-0.516667
33530,64.20Z,1,44.9,-0.516667
33530,25.12Z,1,44.9,-0.516667
33530,90.01Z,2,44.9,-0.516667
33530,43.32B,2,44.9,-0.516667
33530,47.82Z,1,44.9,-0.516667
33530,56.10C,4,44.9,-0.516667
33530,82.11Z,2,44.9,-0.516667
33530,43.91A,1,44.9,-0.516667
33530,64.41,2,44.9,-0.516667
33530,81.30Z,1,44.9,-0.516667
33530,84.11Z,2,44.9,-0.516667
33530,01.21Z,27,44.9,-0.516667
33530,70.2B,1,44.9,-0.516667
33530,01.3Z,1,44.9,-0.516667
33530,43.39Z,1,44.9,-0.516667
33530,55.20Z,1,44.9,-0.516667
33530,93.12Z,1,44.9,-0.516667
33530,43.22B,1,44.9,-0.516667
33530,43.29B,1,44.9,-0.516667
33530,43.32A,3,44.9,-0.516667
33530,74.1G,2,44.9,-0.516667
33530,36.1G,1,44.9,-0.516667
33530,47.11B,1,44.9,-0.516667
33530,65.06,2,44.9,-0.516667
33530,45.2L,1,44.9,-0.516667
33530,71.12A,1,44.9,-0.516667
33530,26.7Z,2,44.9,-0.516667
33530,74.1J,4,44.9,-0.516667
33530,43.33Z,1,44.9,-0.516667
33530,74.20Z,1,44.9,-0.516667
33530,47.22Z,1,44.9,-0.516667
33530,96.02A,8,44.9,-0.516667
33530,82.19Z,1,44.9,-0.516667
33530,46.19B,2,44.9,-0.516667
33530,77.31Z,2,44.9,-0.516667
33530,43.91B,3,44.9,-0.516667
33530,94.99Z,4,44.9,-0.516667
33530,77.29Z,1,44.9,-0.516667
33530,82.99Z,4,44.9,-0.516667
33530,80.4A,1,44.9,-0.516667
33530,51.6N,1,44.9,-0.516667
33530,23.70Z,1,44.9,-0.516667
33530,47.78C,2,44.9,-0.516667
33530,74.05,1,44.9,-0.516667
33530,74.8A,1,44.9,-0.516667
33530,01.1G,18,44.9,-0.516667
33530,87.03,1,44.9,-0.516667
33530,46.34Z,2,44.9,-0.516667
33530,55.73,2,44.9,-0.516667
33530,52.2L,1,44.9,-0.516667
33530,01.70,1,44.9,-0.516667
33530,62.41,1,44.9,-0.516667
33530,43.31Z,3,44.9,-0.516667
33530,03.12Z,1,44.9,-0.516667
33530,45.4C,1,44.9,-0.516667
33530,90.03A,1,44.9,-0.516667
33530,46.61Z,1,44.9,-0.516667
33530,47.78B,2,44.9,-0.516667
33530,01.2A,1,44.9,-0.516667
33530,96.02B,4,44.9,-0.516667
33530,85.52Z,1,44.9,-0.516667
33530,85.3K,1,44.9,-0.516667
33530,71.11Z,1,44.9,-0.516667
33530,74.8K,1,44.9,-0.516667
33530,85.59A,1,44.9,-0.516667
33530,85.59B,4,44.9,-0.516667
33530,22.02,1,44.9,-0.516667
33530,43.99C,9,44.9,-0.516667
33530,52.5Z,1,44.9,-0.516667
33530,70.21Z,1,44.9,-0.516667
33530,15.1F,1,44.9,-0.516667
33530,01.61Z,2,44.9,-0.516667
33530,82.92Z,1,44.9,-0.516667
33530,33.20B,1,44.9,-0.516667
33530,96.04Z,2,44.9,-0.516667
33530,96.09Z,1,44.9,-0.516667
33530,33.12Z,2,44.9,-0.516667
33530,80.10Z,1,44.9,-0.516667
33530,81.21Z,2,44.9,-0.516667
33530,35.11Z,1,44.9,-0.516667
33530,47.91A,2,44.9,-0.516667
33530,46.73A,2,44.9,-0.516667
33530,01.49Z,6,44.9,-0.516667
33530,90.03B,1,44.9,-0.516667
33530,45.11Z,1,44.9,-0.516667
33530,96.23,1,44.9,-0.516667
33530,78.30Z,2,44.9,-0.516667
33530,15.1A,1,44.9,-0.516667
33530,01.1A,1,44.9,-0.516667
33530,52.4H,1,44.9,-0.516667
33530,01.17,4,44.9,-0.516667
33530,86.90F,3,44.9,-0.516667
33530,15.03,1,44.9,-0.516667
33530,70.22Z,2,44.9,-0.516667
33530,71.20B,2,44.9,-0.516667
33530,66.22Z,2,44.9,-0.516667
33530,47.25Z,1,44.9,-0.516667
33530,32.13Z,1,44.9,-0.516667
33530,88.99B,2,44.9,-0.516667
33530,38.40,2,44.9,-0.516667
33530,47.89Z,1,44.9,-0.516667
33530,43.21A,4,44.9,-0.516667
33530,74.90B,2,44.9,-0.516667
33530,55.72,1,44.9,-0.516667
33530,71.12B,1,44.9,-0.516667
33530,52.6D,1,44.9,-0.516667
33530,68.20B,26,44.9,-0.516667
33530,15.8C,2,44.9,-0.516667
33530,74.8F,1,44.9,-0.516667
33530,50.40Z,1,44.9,-0.516667
