codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
33550,47.99A,1224,44.683333,-0.333333
33550,47.99A,1224,44.716667,-0.416667
33550,47.99A,1224,44.683333,-0.366667
33550,47.99A,1224,44.716667,-0.4
33550,47.99A,1224,44.683333,-0.383333
33550,47.99A,1224,44.7,-0.383333
33550,47.99A,1224,44.733333,-0.383333
33550,47.99A,1224,44.7,-0.333333
33550,33.20A,64,44.683333,-0.333333
33550,33.20A,64,44.716667,-0.416667
33550,33.20A,64,44.683333,-0.366667
33550,33.20A,64,44.716667,-0.4
33550,33.20A,64,44.683333,-0.383333
33550,33.20A,64,44.7,-0.383333
33550,33.20A,64,44.733333,-0.383333
33550,33.20A,64,44.7,-0.333333
33550,58.19Z,8,44.683333,-0.333333
33550,58.19Z,8,44.716667,-0.416667
33550,58.19Z,8,44.683333,-0.366667
33550,58.19Z,8,44.716667,-0.4
33550,58.19Z,8,44.683333,-0.383333
33550,58.19Z,8,44.7,-0.383333
33550,58.19Z,8,44.733333,-0.383333
33550,58.19Z,8,44.7,-0.333333
33550,45.20B,16,44.683333,-0.333333
33550,45.20B,16,44.716667,-0.416667
33550,45.20B,16,44.683333,-0.366667
33550,45.20B,16,44.716667,-0.4
33550,45.20B,16,44.683333,-0.383333
33550,45.20B,16,44.7,-0.383333
33550,45.20B,16,44.733333,-0.383333
33550,45.20B,16,44.7,-0.333333
33550,71.3E,8,44.683333,-0.333333
33550,71.3E,8,44.716667,-0.416667
33550,71.3E,8,44.683333,-0.366667
33550,71.3E,8,44.716667,-0.4
33550,71.3E,8,44.683333,-0.383333
33550,71.3E,8,44.7,-0.383333
33550,71.3E,8,44.733333,-0.383333
33550,71.3E,8,44.7,-0.333333
33550,63.99Z,16,44.683333,-0.333333
33550,63.99Z,16,44.716667,-0.416667
33550,63.99Z,16,44.683333,-0.366667
33550,63.99Z,16,44.716667,-0.4
33550,63.99Z,16,44.683333,-0.383333
33550,63.99Z,16,44.7,-0.383333
33550,63.99Z,16,44.733333,-0.383333
33550,63.99Z,16,44.7,-0.333333
33550,64.11,264,44.683333,-0.333333
33550,64.11,264,44.716667,-0.416667
33550,64.11,264,44.683333,-0.366667
33550,64.11,264,44.716667,-0.4
33550,64.11,264,44.683333,-0.383333
33550,64.11,264,44.7,-0.383333
33550,64.11,264,44.733333,-0.383333
33550,64.11,264,44.7,-0.333333
33550,70.3A,264,44.683333,-0.333333
33550,70.3A,264,44.716667,-0.416667
33550,70.3A,264,44.683333,-0.366667
33550,70.3A,264,44.716667,-0.4
33550,70.3A,264,44.683333,-0.383333
33550,70.3A,264,44.7,-0.383333
33550,70.3A,264,44.733333,-0.383333
33550,70.3A,264,44.7,-0.333333
33550,61.10Z,32,44.683333,-0.333333
33550,61.10Z,32,44.716667,-0.416667
33550,61.10Z,32,44.683333,-0.366667
33550,61.10Z,32,44.716667,-0.4
33550,61.10Z,32,44.683333,-0.383333
33550,61.10Z,32,44.7,-0.383333
33550,61.10Z,32,44.733333,-0.383333
33550,61.10Z,32,44.7,-0.333333
33550,93.0A,8,44.683333,-0.333333
33550,93.0A,8,44.716667,-0.416667
33550,93.0A,8,44.683333,-0.366667
33550,93.0A,8,44.716667,-0.4
33550,93.0A,8,44.683333,-0.383333
33550,93.0A,8,44.7,-0.383333
33550,93.0A,8,44.733333,-0.383333
33550,93.0A,8,44.7,-0.333333
33550,87.30A,16,44.683333,-0.333333
33550,87.30A,16,44.716667,-0.416667
33550,87.30A,16,44.683333,-0.366667
33550,87.30A,16,44.716667,-0.4
33550,87.30A,16,44.683333,-0.383333
33550,87.30A,16,44.7,-0.383333
33550,87.30A,16,44.733333,-0.383333
33550,87.30A,16,44.7,-0.333333
33550,55.3A,288,44.683333,-0.333333
33550,55.3A,288,44.716667,-0.416667
33550,55.3A,288,44.683333,-0.366667
33550,55.3A,288,44.716667,-0.4
33550,55.3A,288,44.683333,-0.383333
33550,55.3A,288,44.7,-0.383333
33550,55.3A,288,44.733333,-0.383333
33550,55.3A,288,44.7,-0.333333
33550,46.45Z,32,44.683333,-0.333333
33550,46.45Z,32,44.716667,-0.416667
33550,46.45Z,32,44.683333,-0.366667
33550,46.45Z,32,44.716667,-0.4
33550,46.45Z,32,44.683333,-0.383333
33550,46.45Z,32,44.7,-0.383333
33550,46.45Z,32,44.733333,-0.383333
33550,46.45Z,32,44.7,-0.333333
33550,65.12Z,48,44.683333,-0.333333
33550,65.12Z,48,44.716667,-0.416667
33550,65.12Z,48,44.683333,-0.366667
33550,65.12Z,48,44.716667,-0.4
33550,65.12Z,48,44.683333,-0.383333
33550,65.12Z,48,44.7,-0.383333
33550,65.12Z,48,44.733333,-0.383333
33550,65.12Z,48,44.7,-0.333333
33550,43.22A,688,44.683333,-0.333333
33550,43.22A,688,44.716667,-0.416667
33550,43.22A,688,44.683333,-0.366667
33550,43.22A,688,44.716667,-0.4
33550,43.22A,688,44.683333,-0.383333
33550,43.22A,688,44.7,-0.383333
33550,43.22A,688,44.733333,-0.383333
33550,43.22A,688,44.7,-0.333333
33550,47.04,16,44.683333,-0.333333
33550,47.04,16,44.716667,-0.416667
33550,47.04,16,44.683333,-0.366667
33550,47.04,16,44.716667,-0.4
33550,47.04,16,44.683333,-0.383333
33550,47.04,16,44.7,-0.383333
33550,47.04,16,44.733333,-0.383333
33550,47.04,16,44.7,-0.333333
33550,95.12Z,8,44.683333,-0.333333
33550,95.12Z,8,44.716667,-0.416667
33550,95.12Z,8,44.683333,-0.366667
33550,95.12Z,8,44.716667,-0.4
33550,95.12Z,8,44.683333,-0.383333
33550,95.12Z,8,44.7,-0.383333
33550,95.12Z,8,44.733333,-0.383333
33550,95.12Z,8,44.7,-0.333333
33550,51.9B,16,44.683333,-0.333333
33550,51.9B,16,44.716667,-0.416667
33550,51.9B,16,44.683333,-0.366667
33550,51.9B,16,44.716667,-0.4
33550,51.9B,16,44.683333,-0.383333
33550,51.9B,16,44.7,-0.383333
33550,51.9B,16,44.733333,-0.383333
33550,51.9B,16,44.7,-0.333333
33550,22.1E,16,44.683333,-0.333333
33550,22.1E,16,44.716667,-0.416667
33550,22.1E,16,44.683333,-0.366667
33550,22.1E,16,44.716667,-0.4
33550,22.1E,16,44.683333,-0.383333
33550,22.1E,16,44.7,-0.383333
33550,22.1E,16,44.733333,-0.383333
33550,22.1E,16,44.7,-0.333333
33550,41.10A,208,44.683333,-0.333333
33550,41.10A,208,44.716667,-0.416667
33550,41.10A,208,44.683333,-0.366667
33550,41.10A,208,44.716667,-0.4
33550,41.10A,208,44.683333,-0.383333
33550,41.10A,208,44.7,-0.383333
33550,41.10A,208,44.733333,-0.383333
33550,41.10A,208,44.7,-0.333333
33550,67.05,32,44.683333,-0.333333
33550,67.05,32,44.716667,-0.416667
33550,67.05,32,44.683333,-0.366667
33550,67.05,32,44.716667,-0.4
33550,67.05,32,44.683333,-0.383333
33550,67.05,32,44.7,-0.383333
33550,67.05,32,44.733333,-0.383333
33550,67.05,32,44.7,-0.333333
33550,64.40,16,44.683333,-0.333333
33550,64.40,16,44.716667,-0.416667
33550,64.40,16,44.683333,-0.366667
33550,64.40,16,44.716667,-0.4
33550,64.40,16,44.683333,-0.383333
33550,64.40,16,44.7,-0.383333
33550,64.40,16,44.733333,-0.383333
33550,64.40,16,44.7,-0.333333
33550,93.0D,200,44.683333,-0.333333
