codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
34170,43.22A,1,43.633333,3.9
34170,31.01Z,1,43.633333,3.9
34170,95.29Z,2,43.633333,3.9
34170,68.20A,2,43.633333,3.9
34170,55.60,1,43.633333,3.9
34170,62.11,1,43.633333,3.9
34170,43.34Z,3,43.633333,3.9
34170,46.73B,1,43.633333,3.9
34170,15.9G,2,43.633333,3.9
34170,74.90A,2,43.633333,3.9
34170,74.10Z,1,43.633333,3.9
34170,84.11Z,4,43.633333,3.9
34170,01.21Z,63,43.633333,3.9
34170,01.3Z,3,43.633333,3.9
34170,47.11B,1,43.633333,3.9
34170,64.19Z,1,43.633333,3.9
34170,01.24Z,1,43.633333,3.9
34170,86.90D,5,43.633333,3.9
34170,46.19B,1,43.633333,3.9
34170,55.3B,1,43.633333,3.9
34170,69.12,1,43.633333,3.9
34170,94.99Z,1,43.633333,3.9
34170,23.41Z,1,43.633333,3.9
34170,00.00Z,1,43.633333,3.9
34170,01.1G,14,43.633333,3.9
34170,46.18Z,1,43.633333,3.9
34170,01.50Z,1,43.633333,3.9
34170,10.71B,1,43.633333,3.9
34170,23.69Z,1,43.633333,3.9
34170,81.21,1,43.633333,3.9
34170,85.53Z,1,43.633333,3.9
34170,43.31Z,1,43.633333,3.9
34170,90.03A,1,43.633333,3.9
34170,46.61Z,2,43.633333,3.9
34170,64.48,1,43.633333,3.9
34170,68.31Z,1,43.633333,3.9
34170,01.26Z,2,43.633333,3.9
34170,85.59B,1,43.633333,3.9
34170,85.59A,1,43.633333,3.9
34170,22.02,1,43.633333,3.9
34170,43.99C,3,43.633333,3.9
34170,55.10Z,1,43.633333,3.9
34170,96.09Z,1,43.633333,3.9
34170,81.21Z,1,43.633333,3.9
34170,89.03,1,43.633333,3.9
34170,01.13Z,2,43.633333,3.9
34170,74.2A,1,43.633333,3.9
34170,78.30Z,1,43.633333,3.9
34170,86.90F,2,43.633333,3.9
34170,88.99B,1,43.633333,3.9
34170,93.29Z,1,43.633333,3.9
34170,69.10Z,1,43.633333,3.9
34170,47.89Z,1,43.633333,3.9
34170,45.2V,1,43.633333,3.9
34170,85.51Z,1,43.633333,3.9
34170,52.1B,3,43.633333,3.9
34170,43.21A,1,43.633333,3.9
34170,66.19A,1,43.633333,3.9
34170,74.90B,2,43.633333,3.9
34170,68.20B,9,43.633333,3.9
