codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
34240,47.99A,10,43.6,3.066667
34240,47.99A,10,43.6,3.066667
34240,33.20A,6,43.6,3.066667
34240,33.20A,6,43.6,3.066667
34240,25.73B,2,43.6,3.066667
34240,25.73B,2,43.6,3.066667
34240,64.11,2,43.6,3.066667
34240,64.11,2,43.6,3.066667
34240,70.3A,8,43.6,3.066667
34240,70.3A,8,43.6,3.066667
34240,61.10Z,2,43.6,3.066667
34240,61.10Z,2,43.6,3.066667
34240,93.21,2,43.6,3.066667
34240,93.21,2,43.6,3.066667
34240,55.3A,12,43.6,3.066667
34240,55.3A,12,43.6,3.066667
34240,46.45Z,6,43.6,3.066667
34240,46.45Z,6,43.6,3.066667
34240,43.22A,52,43.6,3.066667
34240,43.22A,52,43.6,3.066667
34240,71.1A,2,43.6,3.066667
34240,71.1A,2,43.6,3.066667
34240,41.10A,12,43.6,3.066667
34240,41.10A,12,43.6,3.066667
34240,93.0D,2,43.6,3.066667
34240,93.0D,2,43.6,3.066667
34240,01.11Z,8,43.6,3.066667
34240,01.11Z,8,43.6,3.066667
34240,52.3A,2,43.6,3.066667
34240,52.3A,2,43.6,3.066667
34240,47.79Z,4,43.6,3.066667
34240,47.79Z,4,43.6,3.066667
34240,49.41A,6,43.6,3.066667
34240,49.41A,6,43.6,3.066667
34240,77.01,2,43.6,3.066667
34240,77.01,2,43.6,3.066667
34240,95.29Z,4,43.6,3.066667
34240,95.29Z,4,43.6,3.066667
34240,52.4Z,10,43.6,3.066667
34240,52.4Z,10,43.6,3.066667
34240,92.3A,4,43.6,3.066667
34240,92.3A,4,43.6,3.066667
34240,47.65Z,2,43.6,3.066667
34240,47.65Z,2,43.6,3.066667
34240,43.99A,4,43.6,3.066667
34240,43.99A,4,43.6,3.066667
34240,68.20A,50,43.6,3.066667
34240,68.20A,50,43.6,3.066667
34240,05.0A,2,43.6,3.066667
34240,05.0A,2,43.6,3.066667
34240,85.1E,2,43.6,3.066667
34240,85.1E,2,43.6,3.066667
34240,64.49,2,43.6,3.066667
34240,64.49,2,43.6,3.066667
34240,45.3E,6,43.6,3.066667
34240,45.3E,6,43.6,3.066667
34240,49.32Z,6,43.6,3.066667
34240,49.32Z,6,43.6,3.066667
34240,46.46Z,10,43.6,3.066667
34240,46.46Z,10,43.6,3.066667
34240,60.2E,4,43.6,3.066667
34240,60.2E,4,43.6,3.066667
34240,55.60,14,43.6,3.066667
34240,55.60,14,43.6,3.066667
34240,56.30Z,14,43.6,3.066667
34240,56.30Z,14,43.6,3.066667
34240,15.8D,2,43.6,3.066667
34240,15.8D,2,43.6,3.066667
34240,86.22A,2,43.6,3.066667
