codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
34280,47.99A,4,43.566667,4.083333
34280,45.20B,1,43.566667,4.083333
34280,43.22A,4,43.566667,4.083333
34280,01.1F,5,43.566667,4.083333
34280,01.11Z,6,43.566667,4.083333
34280,95.29Z,1,43.566667,4.083333
34280,92.3A,1,43.566667,4.083333
34280,01.50,1,43.566667,4.083333
34280,64.49,1,43.566667,4.083333
34280,68.20A,5,43.566667,4.083333
34280,49.32Z,1,43.566667,4.083333
34280,60.2E,1,43.566667,4.083333
34280,46.11Z,1,43.566667,4.083333
34280,56.21Z,2,43.566667,4.083333
34280,46.49Z,1,43.566667,4.083333
34280,45.4J,1,43.566667,4.083333
34280,43.34Z,5,43.566667,4.083333
34280,93.19Z,1,43.566667,4.083333
34280,46.13Z,1,43.566667,4.083333
34280,25.12Z,2,43.566667,4.083333
34280,90.01Z,2,43.566667,4.083333
34280,01.43Z,1,43.566667,4.083333
34280,59.13,1,43.566667,4.083333
34280,43.32B,3,43.566667,4.083333
34280,47.82Z,1,43.566667,4.083333
34280,01.07,1,43.566667,4.083333
34280,47.75Z,1,43.566667,4.083333
34280,74.10Z,2,43.566667,4.083333
34280,56.10C,4,43.566667,4.083333
34280,15.9G,1,43.566667,4.083333
34280,93.13Z,1,43.566667,4.083333
34280,81.30Z,2,43.566667,4.083333
34280,43.99B,1,43.566667,4.083333
34280,84.11Z,4,43.566667,4.083333
34280,46.12B,1,43.566667,4.083333
34280,66.30Z,2,43.566667,4.083333
34280,01.21Z,7,43.566667,4.083333
34280,33.11Z,1,43.566667,4.083333
34280,43.39Z,3,43.566667,4.083333
34280,93.12Z,2,43.566667,4.083333
34280,43.22B,1,43.566667,4.083333
34280,43.32A,3,43.566667,4.083333
34280,47.11B,1,43.566667,4.083333
34280,47.11C,1,43.566667,4.083333
34280,01.24Z,10,43.566667,4.083333
34280,52.6E,2,43.566667,4.083333
34280,26.7Z,1,43.566667,4.083333
34280,43.33Z,2,43.566667,4.083333
34280,74.20Z,1,43.566667,4.083333
34280,56.10A,2,43.566667,4.083333
34280,64.30Z,2,43.566667,4.083333
34280,86.90D,3,43.566667,4.083333
34280,96.02A,3,43.566667,4.083333
34280,46.19B,6,43.566667,4.083333
34280,31.09B,2,43.566667,4.083333
34280,94.12Z,1,43.566667,4.083333
34280,94.99Z,6,43.566667,4.083333
34280,47.21Z,1,43.566667,4.083333
34280,47.59A,1,43.566667,4.083333
34280,45.3F,1,43.566667,4.083333
34280,33.15Z,1,43.566667,4.083333
34280,51.1T,1,43.566667,4.083333
34280,47.52B,1,43.566667,4.083333
34280,67.01,1,43.566667,4.083333
34280,66.19B,2,43.566667,4.083333
34280,47.78C,1,43.566667,4.083333
34280,00.00Z,1,43.566667,4.083333
34280,01.1G,2,43.566667,4.083333
34280,74.7Z,1,43.566667,4.083333
34280,82.30Z,3,43.566667,4.083333
34280,46.34Z,1,43.566667,4.083333
34280,55.71,1,43.566667,4.083333
34280,45.2T,1,43.566667,4.083333
34280,47.71Z,1,43.566667,4.083333
34280,90.03A,2,43.566667,4.083333
34280,45.1A,1,43.566667,4.083333
34280,16.29Z,2,43.566667,4.083333
34280,45.31Z,1,43.566667,4.083333
34280,96.02B,3,43.566667,4.083333
34280,86.21Z,1,43.566667,4.083333
34280,45.32Z,1,43.566667,4.083333
34280,01.2C,1,43.566667,4.083333
34280,74.8K,1,43.566667,4.083333
34280,47.81Z,3,43.566667,4.083333
34280,68.31Z,4,43.566667,4.083333
34280,01.42Z,6,43.566667,4.083333
34280,85.59A,1,43.566667,4.083333
34280,85.59B,1,43.566667,4.083333
34280,43.99C,11,43.566667,4.083333
34280,70.21Z,2,43.566667,4.083333
34280,45.20A,1,43.566667,4.083333
34280,96.09Z,3,43.566667,4.083333
34280,60.09,2,43.566667,4.083333
34280,33.12Z,3,43.566667,4.083333
34280,81.21Z,2,43.566667,4.083333
34280,74.2C,2,43.566667,4.083333
34280,35.11Z,3,43.566667,4.083333
34280,43.12A,1,43.566667,4.083333
34280,51.8J,1,43.566667,4.083333
34280,47.91A,2,43.566667,4.083333
34280,46.73A,2,43.566667,4.083333
34280,01.13Z,2,43.566667,4.083333
34280,45.11Z,4,43.566667,4.083333
34280,14.19Z,1,43.566667,4.083333
34280,01.1A,3,43.566667,4.083333
34280,84.12,1,43.566667,4.083333
34280,52.4H,1,43.566667,4.083333
34280,41.20B,1,43.566667,4.083333
34280,90.02Z,1,43.566667,4.083333
34280,86.90F,1,43.566667,4.083333
34280,70.22Z,3,43.566667,4.083333
34280,01.62Z,3,43.566667,4.083333
34280,33.16Z,1,43.566667,4.083333
34280,46.51Z,2,43.566667,4.083333
34280,66.22Z,1,43.566667,4.083333
34280,62.46,1,43.566667,4.083333
34280,47.91B,1,43.566667,4.083333
34280,75.00Z,1,43.566667,4.083333
34280,62.02A,1,43.566667,4.083333
34280,86.09,1,43.566667,4.083333
34280,88.99B,1,43.566667,4.083333
34280,93.29Z,5,43.566667,4.083333
34280,73.11Z,1,43.566667,4.083333
34280,47.89Z,4,43.566667,4.083333
34280,85.51Z,8,43.566667,4.083333
34280,45.2V,1,43.566667,4.083333
34280,32.12Z,1,43.566667,4.083333
34280,43.21A,2,43.566667,4.083333
34280,70.2A,1,43.566667,4.083333
34280,60.2M,1,43.566667,4.083333
34280,18.13Z,1,43.566667,4.083333
34280,52.4P,1,43.566667,4.083333
34280,52.6D,2,43.566667,4.083333
34280,68.20B,39,43.566667,4.083333
