codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
35230,47.99A,10,48.016667,-1.583333
35230,47.99A,10,48.016667,-1.65
35230,47.99A,10,48,-1.666667
35230,47.99A,10,"",""
35230,47.99A,10,48,-1.616667
35230,43.22A,10,48.016667,-1.583333
35230,43.22A,10,48.016667,-1.65
35230,43.22A,10,48,-1.666667
35230,43.22A,10,"",""
35230,43.22A,10,48,-1.616667
35230,01.11Z,30,48.016667,-1.583333
35230,01.11Z,30,48.016667,-1.65
35230,01.11Z,30,48,-1.666667
35230,01.11Z,30,"",""
35230,01.11Z,30,48,-1.616667
35230,46.23Z,5,48.016667,-1.583333
35230,46.23Z,5,48.016667,-1.65
35230,46.23Z,5,48,-1.666667
35230,46.23Z,5,"",""
35230,46.23Z,5,48,-1.616667
35230,55.60,5,48.016667,-1.583333
35230,55.60,5,48.016667,-1.65
35230,55.60,5,48,-1.666667
35230,55.60,5,"",""
35230,55.60,5,48,-1.616667
35230,56.30Z,5,48.016667,-1.583333
35230,56.30Z,5,48.016667,-1.65
35230,56.30Z,5,48,-1.666667
35230,56.30Z,5,"",""
35230,56.30Z,5,48,-1.616667
35230,01.2E,5,48.016667,-1.583333
35230,01.2E,5,48.016667,-1.65
35230,01.2E,5,48,-1.666667
35230,01.2E,5,"",""
35230,01.2E,5,48,-1.616667
35230,50.2Z,10,48.016667,-1.583333
35230,50.2Z,10,48.016667,-1.65
35230,50.2Z,10,48,-1.666667
35230,50.2Z,10,"",""
35230,50.2Z,10,48,-1.616667
35230,01.47Z,30,48.016667,-1.583333
35230,01.47Z,30,48.016667,-1.65
35230,01.47Z,30,48,-1.666667
35230,01.47Z,30,"",""
35230,01.47Z,30,48,-1.616667
35230,93.19Z,5,48.016667,-1.583333
35230,93.19Z,5,48.016667,-1.65
35230,93.19Z,5,48,-1.666667
35230,93.19Z,5,"",""
35230,93.19Z,5,48,-1.616667
35230,64.20Z,5,48.016667,-1.583333
35230,64.20Z,5,48.016667,-1.65
35230,64.20Z,5,48,-1.666667
35230,64.20Z,5,"",""
35230,64.20Z,5,48,-1.616667
35230,85.31Z,5,48.016667,-1.583333
35230,85.31Z,5,48.016667,-1.65
35230,85.31Z,5,48,-1.666667
35230,85.31Z,5,"",""
35230,85.31Z,5,48,-1.616667
35230,01.43Z,5,48.016667,-1.583333
35230,01.43Z,5,48.016667,-1.65
35230,01.43Z,5,48,-1.666667
35230,01.43Z,5,"",""
35230,01.43Z,5,48,-1.616667
35230,38.11Z,5,48.016667,-1.583333
35230,38.11Z,5,48.016667,-1.65
35230,38.11Z,5,48,-1.666667
35230,38.11Z,5,"",""
35230,38.11Z,5,48,-1.616667
35230,01.07,10,48.016667,-1.583333
35230,01.07,10,48.016667,-1.65
35230,01.07,10,48,-1.666667
35230,01.07,10,"",""
35230,01.07,10,48,-1.616667
35230,56.10C,10,48.016667,-1.583333
35230,56.10C,10,48.016667,-1.65
35230,56.10C,10,48,-1.666667
35230,56.10C,10,"",""
35230,56.10C,10,48,-1.616667
35230,81.30Z,5,48.016667,-1.583333
35230,81.30Z,5,48.016667,-1.65
35230,81.30Z,5,48,-1.666667
35230,81.30Z,5,"",""
35230,81.30Z,5,48,-1.616667
35230,84.11Z,10,48.016667,-1.583333
35230,84.11Z,10,48.016667,-1.65
35230,84.11Z,10,48,-1.666667
35230,84.11Z,10,"",""
35230,84.11Z,10,48,-1.616667
35230,70.2B,5,48.016667,-1.583333
