codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
38121,64.11,2,45.466667,4.833333
38121,64.11,2,45.466667,4.816667
38121,01.1F,2,45.466667,4.833333
38121,01.1F,2,45.466667,4.816667
38121,64.23,2,45.466667,4.833333
38121,64.23,2,45.466667,4.816667
38121,53.05,2,45.466667,4.833333
38121,53.05,2,45.466667,4.816667
38121,55.60,2,45.466667,4.833333
38121,55.60,2,45.466667,4.816667
38121,62.11,4,45.466667,4.833333
38121,62.11,4,45.466667,4.816667
38121,48.07,2,45.466667,4.833333
38121,48.07,2,45.466667,4.816667
38121,28.5A,2,45.466667,4.833333
38121,28.5A,2,45.466667,4.816667
38121,01.3Z,2,45.466667,4.833333
38121,01.3Z,2,45.466667,4.816667
38121,55.4B,2,45.466667,4.833333
38121,55.4B,2,45.466667,4.816667
38121,52.6E,2,45.466667,4.833333
38121,52.6E,2,45.466667,4.816667
38121,86.08,2,45.466667,4.833333
38121,86.08,2,45.466667,4.816667
38121,78.02,2,45.466667,4.833333
38121,78.02,2,45.466667,4.816667
38121,67.2Z,2,45.466667,4.833333
38121,67.2Z,2,45.466667,4.816667
38121,92.21,2,45.466667,4.833333
38121,92.21,2,45.466667,4.816667
38121,67.01,2,45.466667,4.833333
38121,67.01,2,45.466667,4.816667
38121,69.23,2,45.466667,4.833333
38121,69.23,2,45.466667,4.816667
38121,55.71,2,45.466667,4.833333
38121,55.71,2,45.466667,4.816667
38121,70.2C,2,45.466667,4.833333
38121,70.2C,2,45.466667,4.816667
38121,67.07,2,45.466667,4.833333
38121,67.07,2,45.466667,4.816667
38121,01.2A,2,45.466667,4.833333
38121,01.2A,2,45.466667,4.816667
38121,45.32Z,2,45.466667,4.833333
38121,45.32Z,2,45.466667,4.816667
38121,20.5A,2,45.466667,4.833333
38121,20.5A,2,45.466667,4.816667
38121,57.10,2,45.466667,4.833333
38121,57.10,2,45.466667,4.816667
38121,22.02,2,45.466667,4.833333
38121,22.02,2,45.466667,4.816667
38121,01.2J,2,45.466667,4.833333
38121,01.2J,2,45.466667,4.816667
38121,67.04,2,45.466667,4.833333
38121,67.04,2,45.466667,4.816667
38121,60.09,2,45.466667,4.833333
38121,60.09,2,45.466667,4.816667
38121,74.8J,2,45.466667,4.833333
38121,74.8J,2,45.466667,4.816667
38121,91.3A,2,45.466667,4.833333
38121,91.3A,2,45.466667,4.816667
38121,01.1A,10,45.466667,4.833333
38121,01.1A,10,45.466667,4.816667
38121,51.2E,2,45.466667,4.833333
38121,51.2E,2,45.466667,4.816667
38121,00.0Z,2,45.466667,4.833333
38121,00.0Z,2,45.466667,4.816667
38121,22.2G,2,45.466667,4.833333
38121,22.2G,2,45.466667,4.816667
38121,92.6C,2,45.466667,4.833333
38121,92.6C,2,45.466667,4.816667
38121,60.2M,2,45.466667,4.833333
38121,60.2M,2,45.466667,4.816667
38121,52.6D,2,45.466667,4.833333
38121,52.6D,2,45.466667,4.816667
