codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
38190,47.99A,170,45.233333,5.883333
38190,47.99A,170,45.216667,5.933333
38190,47.99A,170,45.233333,5.916667
38190,47.99A,170,45.266667,5.966667
38190,47.99A,170,45.283333,5.933333
38190,47.99A,170,45.25,5.933333
38190,47.99A,170,45.233333,5.9
38190,47.99A,170,45.266667,5.916667
38190,47.99A,170,45.283333,5.883333
38190,47.99A,170,45.266667,5.866667
38190,33.20A,30,45.233333,5.883333
38190,33.20A,30,45.216667,5.933333
38190,33.20A,30,45.233333,5.916667
38190,33.20A,30,45.266667,5.966667
38190,33.20A,30,45.283333,5.933333
38190,33.20A,30,45.25,5.933333
38190,33.20A,30,45.233333,5.9
38190,33.20A,30,45.266667,5.916667
38190,33.20A,30,45.283333,5.883333
38190,33.20A,30,45.266667,5.866667
38190,70.3A,20,45.233333,5.883333
38190,70.3A,20,45.216667,5.933333
38190,70.3A,20,45.233333,5.916667
38190,70.3A,20,45.266667,5.966667
38190,70.3A,20,45.283333,5.933333
38190,70.3A,20,45.25,5.933333
38190,70.3A,20,45.233333,5.9
38190,70.3A,20,45.266667,5.916667
38190,70.3A,20,45.283333,5.883333
38190,70.3A,20,45.266667,5.866667
38190,64.11,10,45.233333,5.883333
38190,64.11,10,45.216667,5.933333
38190,64.11,10,45.233333,5.916667
38190,64.11,10,45.266667,5.966667
38190,64.11,10,45.283333,5.933333
38190,64.11,10,45.25,5.933333
38190,64.11,10,45.233333,5.9
38190,64.11,10,45.266667,5.916667
38190,64.11,10,45.283333,5.883333
38190,64.11,10,45.266667,5.866667
38190,43.22A,60,45.233333,5.883333
38190,43.22A,60,45.216667,5.933333
38190,43.22A,60,45.233333,5.916667
38190,43.22A,60,45.266667,5.966667
38190,43.22A,60,45.283333,5.933333
38190,43.22A,60,45.25,5.933333
38190,43.22A,60,45.233333,5.9
38190,43.22A,60,45.266667,5.916667
38190,43.22A,60,45.283333,5.883333
38190,43.22A,60,45.266667,5.866667
38190,47.04,10,45.233333,5.883333
38190,47.04,10,45.216667,5.933333
38190,47.04,10,45.233333,5.916667
38190,47.04,10,45.266667,5.966667
38190,47.04,10,45.283333,5.933333
38190,47.04,10,45.25,5.933333
38190,47.04,10,45.233333,5.9
38190,47.04,10,45.266667,5.916667
38190,47.04,10,45.283333,5.883333
38190,47.04,10,45.266667,5.866667
38190,01.1F,10,45.233333,5.883333
38190,01.1F,10,45.216667,5.933333
38190,01.1F,10,45.233333,5.916667
38190,01.1F,10,45.266667,5.966667
38190,01.1F,10,45.283333,5.933333
38190,01.1F,10,45.25,5.933333
38190,01.1F,10,45.233333,5.9
38190,01.1F,10,45.266667,5.916667
38190,01.1F,10,45.283333,5.883333
38190,01.1F,10,45.266667,5.866667
38190,01.11Z,50,45.233333,5.883333
38190,01.11Z,50,45.216667,5.933333
38190,01.11Z,50,45.233333,5.916667
38190,01.11Z,50,45.266667,5.966667
38190,01.11Z,50,45.283333,5.933333
38190,01.11Z,50,45.25,5.933333
38190,01.11Z,50,45.233333,5.9
38190,01.11Z,50,45.266667,5.916667
38190,01.11Z,50,45.283333,5.883333
38190,01.11Z,50,45.266667,5.866667
38190,00.97,10,45.233333,5.883333
38190,00.97,10,45.216667,5.933333
38190,00.97,10,45.233333,5.916667
38190,00.97,10,45.266667,5.966667
38190,00.97,10,45.283333,5.933333
38190,00.97,10,45.25,5.933333
38190,00.97,10,45.233333,5.9
38190,00.97,10,45.266667,5.916667
38190,00.97,10,45.283333,5.883333
38190,00.97,10,45.266667,5.866667
38190,49.41A,30,45.233333,5.883333
38190,49.41A,30,45.216667,5.933333
38190,49.41A,30,45.233333,5.916667
38190,49.41A,30,45.266667,5.966667
38190,49.41A,30,45.283333,5.933333
38190,49.41A,30,45.25,5.933333
38190,49.41A,30,45.233333,5.9
38190,49.41A,30,45.266667,5.916667
38190,49.41A,30,45.283333,5.883333
38190,49.41A,30,45.266667,5.866667
38190,52.4Z,10,45.233333,5.883333
38190,52.4Z,10,45.216667,5.933333
38190,52.4Z,10,45.233333,5.916667
38190,52.4Z,10,45.266667,5.966667
38190,52.4Z,10,45.283333,5.933333
38190,52.4Z,10,45.25,5.933333
38190,52.4Z,10,45.233333,5.9
38190,52.4Z,10,45.266667,5.916667
38190,52.4Z,10,45.283333,5.883333
38190,52.4Z,10,45.266667,5.866667
38190,43.99A,10,45.233333,5.883333
38190,43.99A,10,45.216667,5.933333
38190,43.99A,10,45.233333,5.916667
38190,43.99A,10,45.266667,5.966667
38190,43.99A,10,45.283333,5.933333
38190,43.99A,10,45.25,5.933333
38190,43.99A,10,45.233333,5.9
38190,43.99A,10,45.266667,5.916667
38190,43.99A,10,45.283333,5.883333
38190,43.99A,10,45.266667,5.866667
38190,92.3A,10,45.233333,5.883333
38190,92.3A,10,45.216667,5.933333
38190,92.3A,10,45.233333,5.916667
38190,92.3A,10,45.266667,5.966667
38190,92.3A,10,45.283333,5.933333
38190,92.3A,10,45.25,5.933333
38190,92.3A,10,45.233333,5.9
38190,92.3A,10,45.266667,5.916667
38190,92.3A,10,45.283333,5.883333
38190,92.3A,10,45.266667,5.866667
38190,68.20A,110,45.233333,5.883333
38190,68.20A,110,45.216667,5.933333
38190,68.20A,110,45.233333,5.916667
38190,68.20A,110,45.266667,5.966667
38190,68.20A,110,45.283333,5.933333
38190,68.20A,110,45.25,5.933333
38190,68.20A,110,45.233333,5.9
38190,68.20A,110,45.266667,5.916667
38190,68.20A,110,45.283333,5.883333
38190,68.20A,110,45.266667,5.866667
38190,49.32Z,40,45.233333,5.883333
38190,49.32Z,40,45.216667,5.933333
38190,49.32Z,40,45.233333,5.916667
38190,49.32Z,40,45.266667,5.966667
38190,49.32Z,40,45.283333,5.933333
38190,49.32Z,40,45.25,5.933333
38190,49.32Z,40,45.233333,5.9
38190,49.32Z,40,45.266667,5.916667
38190,49.32Z,40,45.283333,5.883333
38190,49.32Z,40,45.266667,5.866667
38190,60.2E,20,45.233333,5.883333
38190,60.2E,20,45.216667,5.933333
38190,60.2E,20,45.233333,5.916667
38190,60.2E,20,45.266667,5.966667
38190,60.2E,20,45.283333,5.933333
38190,60.2E,20,45.25,5.933333
38190,60.2E,20,45.233333,5.9
38190,60.2E,20,45.266667,5.916667
38190,60.2E,20,45.283333,5.883333
38190,60.2E,20,45.266667,5.866667
38190,55.60,20,45.233333,5.883333
38190,55.60,20,45.216667,5.933333
38190,55.60,20,45.233333,5.916667
38190,55.60,20,45.266667,5.966667
38190,55.60,20,45.283333,5.933333
38190,55.60,20,45.25,5.933333
38190,55.60,20,45.233333,5.9
38190,55.60,20,45.266667,5.916667
38190,55.60,20,45.283333,5.883333
38190,55.60,20,45.266667,5.866667
38190,52.21Z,10,45.233333,5.883333
38190,52.21Z,10,45.216667,5.933333
38190,52.21Z,10,45.233333,5.916667
38190,52.21Z,10,45.266667,5.966667
38190,52.21Z,10,45.283333,5.933333
38190,52.21Z,10,45.25,5.933333
38190,52.21Z,10,45.233333,5.9
38190,52.21Z,10,45.266667,5.916667
38190,52.21Z,10,45.283333,5.883333
38190,52.21Z,10,45.266667,5.866667
38190,56.21Z,10,45.233333,5.883333
38190,56.21Z,10,45.216667,5.933333
38190,56.21Z,10,45.233333,5.916667
38190,56.21Z,10,45.266667,5.966667
38190,56.21Z,10,45.283333,5.933333
38190,56.21Z,10,45.25,5.933333
38190,56.21Z,10,45.233333,5.9
38190,56.21Z,10,45.266667,5.916667
38190,56.21Z,10,45.283333,5.883333
38190,56.21Z,10,45.266667,5.866667
38190,95.11Z,10,45.233333,5.883333
38190,95.11Z,10,45.216667,5.933333
38190,95.11Z,10,45.233333,5.916667
38190,95.11Z,10,45.266667,5.966667
38190,95.11Z,10,45.283333,5.933333
38190,95.11Z,10,45.25,5.933333
38190,95.11Z,10,45.233333,5.9
38190,95.11Z,10,45.266667,5.916667
38190,95.11Z,10,45.283333,5.883333
38190,95.11Z,10,45.266667,5.866667
38190,62.11,10,45.233333,5.883333
38190,62.11,10,45.216667,5.933333
