codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
38420,43.22A,10,45.208333,5.883333
38420,43.22A,10,45.183333,5.866667
38420,43.22A,10,45.183333,5.816667
38420,43.22A,10,45.2,5.866667
38420,43.22A,10,45.2,5.833333
38420,01.1F,5,45.208333,5.883333
38420,01.1F,5,45.183333,5.866667
38420,01.1F,5,45.183333,5.816667
38420,01.1F,5,45.2,5.866667
38420,01.1F,5,45.2,5.833333
38420,02.10Z,5,45.208333,5.883333
38420,02.10Z,5,45.183333,5.866667
38420,02.10Z,5,45.183333,5.816667
38420,02.10Z,5,45.2,5.866667
38420,02.10Z,5,45.2,5.833333
38420,47.79Z,5,45.208333,5.883333
38420,47.79Z,5,45.183333,5.866667
38420,47.79Z,5,45.183333,5.816667
38420,47.79Z,5,45.2,5.866667
38420,47.79Z,5,45.2,5.833333
38420,01.11Z,10,45.208333,5.883333
38420,01.11Z,10,45.183333,5.866667
38420,01.11Z,10,45.183333,5.816667
38420,01.11Z,10,45.2,5.866667
38420,01.11Z,10,45.2,5.833333
38420,55.40,5,45.208333,5.883333
38420,55.40,5,45.183333,5.866667
38420,55.40,5,45.183333,5.816667
38420,55.40,5,45.2,5.866667
38420,55.40,5,45.2,5.833333
38420,95.11Z,5,45.208333,5.883333
38420,95.11Z,5,45.183333,5.866667
38420,95.11Z,5,45.183333,5.816667
38420,95.11Z,5,45.2,5.866667
38420,95.11Z,5,45.2,5.833333
38420,50.2Z,5,45.208333,5.883333
38420,50.2Z,5,45.183333,5.866667
38420,50.2Z,5,45.183333,5.816667
38420,50.2Z,5,45.2,5.866667
38420,50.2Z,5,45.2,5.833333
38420,43.34Z,10,45.208333,5.883333
38420,43.34Z,10,45.183333,5.866667
38420,43.34Z,10,45.183333,5.816667
38420,43.34Z,10,45.2,5.866667
38420,43.34Z,10,45.2,5.833333
38420,93.19Z,5,45.208333,5.883333
38420,93.19Z,5,45.183333,5.866667
38420,93.19Z,5,45.183333,5.816667
38420,93.19Z,5,45.2,5.866667
38420,93.19Z,5,45.2,5.833333
38420,86.90E,5,45.208333,5.883333
38420,86.90E,5,45.183333,5.866667
38420,86.90E,5,45.183333,5.816667
38420,86.90E,5,45.2,5.866667
38420,86.90E,5,45.2,5.833333
38420,01.43Z,5,45.208333,5.883333
38420,01.43Z,5,45.183333,5.866667
38420,01.43Z,5,45.183333,5.816667
38420,01.43Z,5,45.2,5.866667
38420,01.43Z,5,45.2,5.833333
38420,43.32B,5,45.208333,5.883333
38420,43.32B,5,45.183333,5.866667
38420,43.32B,5,45.183333,5.816667
38420,43.32B,5,45.2,5.866667
38420,43.32B,5,45.2,5.833333
38420,74.90A,5,45.208333,5.883333
38420,74.90A,5,45.183333,5.866667
38420,74.90A,5,45.183333,5.816667
38420,74.90A,5,45.2,5.866667
38420,74.90A,5,45.2,5.833333
38420,82.11Z,10,45.208333,5.883333
38420,82.11Z,10,45.183333,5.866667
38420,82.11Z,10,45.183333,5.816667
38420,82.11Z,10,45.2,5.866667
38420,82.11Z,10,45.2,5.833333
38420,43.91A,5,45.208333,5.883333
38420,43.91A,5,45.183333,5.866667
38420,43.91A,5,45.183333,5.816667
38420,43.91A,5,45.2,5.866667
38420,43.91A,5,45.2,5.833333
38420,84.11Z,5,45.208333,5.883333
38420,84.11Z,5,45.183333,5.866667
38420,84.11Z,5,45.183333,5.816667
38420,84.11Z,5,45.2,5.866667
38420,84.11Z,5,45.2,5.833333
38420,43.39Z,5,45.208333,5.883333
38420,43.39Z,5,45.183333,5.866667
38420,43.39Z,5,45.183333,5.816667
38420,43.39Z,5,45.2,5.866667
38420,43.39Z,5,45.2,5.833333
38420,93.12Z,5,45.208333,5.883333
38420,93.12Z,5,45.183333,5.866667
38420,93.12Z,5,45.183333,5.816667
38420,93.12Z,5,45.2,5.866667
38420,93.12Z,5,45.2,5.833333
38420,43.32A,5,45.208333,5.883333
38420,43.32A,5,45.183333,5.866667
38420,43.32A,5,45.183333,5.816667
38420,43.32A,5,45.2,5.866667
38420,43.32A,5,45.2,5.833333
38420,46.66Z,5,45.208333,5.883333
38420,46.66Z,5,45.183333,5.866667
38420,46.66Z,5,45.183333,5.816667
38420,46.66Z,5,45.2,5.866667
38420,46.66Z,5,45.2,5.833333
38420,45.2L,5,45.208333,5.883333
38420,45.2L,5,45.183333,5.866667
38420,45.2L,5,45.183333,5.816667
38420,45.2L,5,45.2,5.866667
38420,45.2L,5,45.2,5.833333
38420,51.5H,5,45.208333,5.883333
38420,51.5H,5,45.183333,5.866667
38420,51.5H,5,45.183333,5.816667
38420,51.5H,5,45.2,5.866667
38420,51.5H,5,45.2,5.833333
38420,02.20Z,5,45.208333,5.883333
38420,02.20Z,5,45.183333,5.866667
38420,02.20Z,5,45.183333,5.816667
38420,02.20Z,5,45.2,5.866667
38420,02.20Z,5,45.2,5.833333
38420,55.4B,10,45.208333,5.883333
38420,55.4B,10,45.183333,5.866667
38420,55.4B,10,45.183333,5.816667
38420,55.4B,10,45.2,5.866667
38420,55.4B,10,45.2,5.833333
38420,43.33Z,5,45.208333,5.883333
38420,43.33Z,5,45.183333,5.866667
38420,43.33Z,5,45.183333,5.816667
38420,43.33Z,5,45.2,5.866667
38420,43.33Z,5,45.2,5.833333
38420,46.19B,5,45.208333,5.883333
38420,46.19B,5,45.183333,5.866667
38420,46.19B,5,45.183333,5.816667
38420,46.19B,5,45.2,5.866667
38420,46.19B,5,45.2,5.833333
38420,94.99Z,20,45.208333,5.883333
38420,94.99Z,20,45.183333,5.866667
38420,94.99Z,20,45.183333,5.816667
38420,94.99Z,20,45.2,5.866667
38420,94.99Z,20,45.2,5.833333
38420,02.20,5,45.208333,5.883333
38420,02.20,5,45.183333,5.866667
38420,02.20,5,45.183333,5.816667
38420,02.20,5,45.2,5.866667
38420,02.20,5,45.2,5.833333
38420,51.6N,5,45.208333,5.883333
38420,51.6N,5,45.183333,5.866667
38420,51.6N,5,45.183333,5.816667
38420,51.6N,5,45.2,5.866667
38420,51.6N,5,45.2,5.833333
38420,59.11B,5,45.208333,5.883333
38420,59.11B,5,45.183333,5.866667
38420,59.11B,5,45.183333,5.816667
38420,59.11B,5,45.2,5.866667
38420,59.11B,5,45.2,5.833333
38420,67.01,5,45.208333,5.883333
38420,67.01,5,45.183333,5.866667
38420,67.01,5,45.183333,5.816667
38420,67.01,5,45.2,5.866667
38420,67.01,5,45.2,5.833333
38420,46.18Z,5,45.208333,5.883333
38420,46.18Z,5,45.183333,5.866667
38420,46.18Z,5,45.183333,5.816667
38420,46.18Z,5,45.2,5.866667
38420,46.18Z,5,45.2,5.833333
38420,01.50Z,5,45.208333,5.883333
38420,01.50Z,5,45.183333,5.866667
38420,01.50Z,5,45.183333,5.816667
38420,01.50Z,5,45.2,5.866667
38420,01.50Z,5,45.2,5.833333
38420,81.21,5,45.208333,5.883333
38420,81.21,5,45.183333,5.866667
38420,81.21,5,45.183333,5.816667
38420,81.21,5,45.2,5.866667
38420,81.21,5,45.2,5.833333
38420,01.45Z,5,45.208333,5.883333
38420,01.45Z,5,45.183333,5.866667
38420,01.45Z,5,45.183333,5.816667
38420,01.45Z,5,45.2,5.866667
38420,01.45Z,5,45.2,5.833333
38420,96.02B,5,45.208333,5.883333
38420,96.02B,5,45.183333,5.866667
38420,96.02B,5,45.183333,5.816667
38420,96.02B,5,45.2,5.866667
38420,96.02B,5,45.2,5.833333
38420,85.52Z,10,45.208333,5.883333
38420,85.52Z,10,45.183333,5.866667
38420,85.52Z,10,45.183333,5.816667
38420,85.52Z,10,45.2,5.866667
38420,85.52Z,10,45.2,5.833333
38420,48.01,5,45.208333,5.883333
38420,48.01,5,45.183333,5.866667
38420,48.01,5,45.183333,5.816667
38420,48.01,5,45.2,5.866667
38420,48.01,5,45.2,5.833333
