codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
39274,47.99A,3,46.383333,5.966667
39274,02.10Z,7,46.383333,5.966667
39274,01.11Z,1,46.383333,5.966667
39274,52.4Z,1,46.383333,5.966667
39274,68.20A,5,46.383333,5.966667
39274,32.99Z,1,46.383333,5.966667
39274,62.11,3,46.383333,5.966667
39274,45.4J,1,46.383333,5.966667
39274,43.34Z,2,46.383333,5.966667
39274,93.19Z,2,46.383333,5.966667
39274,01.43Z,2,46.383333,5.966667
39274,86.90E,2,46.383333,5.966667
39274,48.07,1,46.383333,5.966667
39274,74.90A,1,46.383333,5.966667
39274,56.10C,1,46.383333,5.966667
39274,74.10Z,2,46.383333,5.966667
39274,43.91A,2,46.383333,5.966667
39274,81.30Z,2,46.383333,5.966667
39274,84.11Z,7,46.383333,5.966667
39274,15.5C,1,46.383333,5.966667
39274,95.22Z,1,46.383333,5.966667
39274,01.4A,1,46.383333,5.966667
39274,55.20Z,7,46.383333,5.966667
39274,93.12Z,3,46.383333,5.966667
39274,94.11Z,3,46.383333,5.966667
39274,93.11Z,1,46.383333,5.966667
39274,74.1G,1,46.383333,5.966667
39274,13.92Z,1,46.383333,5.966667
39274,02.20Z,3,46.383333,5.966667
39274,52.6E,1,46.383333,5.966667
39274,56.10A,2,46.383333,5.966667
39274,48.05,1,46.383333,5.966667
39274,86.11,1,46.383333,5.966667
39274,94.99Z,5,46.383333,5.966667
39274,47.76Z,1,46.383333,5.966667
39274,10.51A,1,46.383333,5.966667
39274,86.12,2,46.383333,5.966667
39274,47.64Z,3,46.383333,5.966667
39274,55.73,1,46.383333,5.966667
39274,77.21Z,1,46.383333,5.966667
39274,62.01Z,1,46.383333,5.966667
39274,42.99Z,1,46.383333,5.966667
39274,01.45Z,1,46.383333,5.966667
39274,55.2E,2,46.383333,5.966667
39274,47.26Z,1,46.383333,5.966667
39274,91.3E,1,46.383333,5.966667
39274,70.2C,1,46.383333,5.966667
39274,95.24Z,1,46.383333,5.966667
39274,82.05,1,46.383333,5.966667
39274,16.29Z,1,46.383333,5.966667
39274,01.2A,1,46.383333,5.966667
39274,96.02B,1,46.383333,5.966667
39274,44.31,1,46.383333,5.966667
39274,71.11Z,1,46.383333,5.966667
39274,47.73Z,1,46.383333,5.966667
39274,01.41Z,4,46.383333,5.966667
39274,68.31Z,2,46.383333,5.966667
39274,01.42Z,2,46.383333,5.966667
39274,85.59A,1,46.383333,5.966667
39274,55.10Z,1,46.383333,5.966667
39274,96.09Z,1,46.383333,5.966667
39274,91.04Z,1,46.383333,5.966667
39274,81.21Z,1,46.383333,5.966667
39274,47.91A,1,46.383333,5.966667
39274,01.49Z,1,46.383333,5.966667
39274,45.11Z,1,46.383333,5.966667
39274,01.1A,2,46.383333,5.966667
39274,16.24Z,1,46.383333,5.966667
39274,86.90F,1,46.383333,5.966667
39274,68.32A,1,46.383333,5.966667
39274,90.02Z,1,46.383333,5.966667
39274,84.13Z,11,46.383333,5.966667
39274,70.22Z,2,46.383333,5.966667
39274,52.4W,1,46.383333,5.966667
39274,90.11,1,46.383333,5.966667
39274,62.02A,1,46.383333,5.966667
39274,88.99B,1,46.383333,5.966667
39274,93.29Z,2,46.383333,5.966667
39274,47.89Z,1,46.383333,5.966667
39274,92.6C,4,46.383333,5.966667
39274,85.51Z,12,46.383333,5.966667
39274,70.2A,1,46.383333,5.966667
39274,53.10Z,1,46.383333,5.966667
39274,74.90B,1,46.383333,5.966667
39274,10.51C,2,46.383333,5.966667
39274,71.12B,1,46.383333,5.966667
39274,68.20B,5,46.383333,5.966667
