codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
41110,47.99A,12,47.233333,1.4
41110,47.99A,12,47.266667,1.383333
41110,47.99A,12,47.316667,1.3
41110,47.99A,12,47.283333,1.333333
41110,47.99A,12,47.233333,1.433333
41110,47.99A,12,47.216667,1.383333
41110,64.11,6,47.233333,1.4
41110,64.11,6,47.266667,1.383333
41110,64.11,6,47.316667,1.3
41110,64.11,6,47.283333,1.333333
41110,64.11,6,47.233333,1.433333
41110,64.11,6,47.216667,1.383333
41110,55.3A,18,47.233333,1.4
41110,55.3A,18,47.266667,1.383333
41110,55.3A,18,47.316667,1.3
41110,55.3A,18,47.283333,1.333333
41110,55.3A,18,47.233333,1.433333
41110,55.3A,18,47.216667,1.383333
41110,67.05,6,47.233333,1.4
41110,67.05,6,47.266667,1.383333
41110,67.05,6,47.316667,1.3
41110,67.05,6,47.283333,1.333333
41110,67.05,6,47.233333,1.433333
41110,67.05,6,47.216667,1.383333
41110,02.10Z,24,47.233333,1.4
41110,02.10Z,24,47.266667,1.383333
41110,02.10Z,24,47.316667,1.3
41110,02.10Z,24,47.283333,1.333333
41110,02.10Z,24,47.233333,1.433333
41110,02.10Z,24,47.216667,1.383333
41110,01.11Z,42,47.233333,1.4
41110,01.11Z,42,47.266667,1.383333
41110,01.11Z,42,47.316667,1.3
41110,01.11Z,42,47.283333,1.333333
41110,01.11Z,42,47.233333,1.433333
41110,01.11Z,42,47.216667,1.383333
41110,47.79Z,6,47.233333,1.4
41110,47.79Z,6,47.266667,1.383333
41110,47.79Z,6,47.316667,1.3
41110,47.79Z,6,47.283333,1.333333
41110,47.79Z,6,47.233333,1.433333
41110,47.79Z,6,47.216667,1.383333
41110,49.41A,6,47.233333,1.4
41110,49.41A,6,47.266667,1.383333
41110,49.41A,6,47.316667,1.3
41110,49.41A,6,47.283333,1.333333
41110,49.41A,6,47.233333,1.433333
41110,49.41A,6,47.216667,1.383333
41110,95.29Z,6,47.233333,1.4
41110,95.29Z,6,47.266667,1.383333
41110,95.29Z,6,47.316667,1.3
41110,95.29Z,6,47.283333,1.333333
41110,95.29Z,6,47.233333,1.433333
41110,95.29Z,6,47.216667,1.383333
41110,49.32Z,6,47.233333,1.4
41110,49.32Z,6,47.266667,1.383333
41110,49.32Z,6,47.316667,1.3
41110,49.32Z,6,47.283333,1.333333
41110,49.32Z,6,47.233333,1.433333
41110,49.32Z,6,47.216667,1.383333
41110,45.3E,6,47.233333,1.4
41110,45.3E,6,47.266667,1.383333
41110,45.3E,6,47.316667,1.3
41110,45.3E,6,47.283333,1.333333
41110,45.3E,6,47.233333,1.433333
41110,45.3E,6,47.216667,1.383333
41110,55.60,6,47.233333,1.4
41110,55.60,6,47.266667,1.383333
41110,55.60,6,47.316667,1.3
41110,55.60,6,47.283333,1.333333
41110,55.60,6,47.233333,1.433333
41110,55.60,6,47.216667,1.383333
41110,56.30Z,30,47.233333,1.4
41110,56.30Z,30,47.266667,1.383333
41110,56.30Z,30,47.316667,1.3
41110,56.30Z,30,47.283333,1.333333
41110,56.30Z,30,47.233333,1.433333
41110,56.30Z,30,47.216667,1.383333
41110,36.00Z,6,47.233333,1.4
41110,36.00Z,6,47.266667,1.383333
41110,36.00Z,6,47.316667,1.3
41110,36.00Z,6,47.283333,1.333333
41110,36.00Z,6,47.233333,1.433333
41110,36.00Z,6,47.216667,1.383333
41110,95.11Z,6,47.233333,1.4
41110,95.11Z,6,47.266667,1.383333
41110,95.11Z,6,47.316667,1.3
41110,95.11Z,6,47.283333,1.333333
41110,95.11Z,6,47.233333,1.433333
41110,95.11Z,6,47.216667,1.383333
41110,56.21Z,6,47.233333,1.4
41110,56.21Z,6,47.266667,1.383333
41110,56.21Z,6,47.316667,1.3
41110,56.21Z,6,47.283333,1.333333
41110,56.21Z,6,47.233333,1.433333
41110,56.21Z,6,47.216667,1.383333
41110,50.2Z,6,47.233333,1.4
41110,50.2Z,6,47.266667,1.383333
41110,50.2Z,6,47.316667,1.3
41110,50.2Z,6,47.283333,1.333333
41110,50.2Z,6,47.233333,1.433333
41110,50.2Z,6,47.216667,1.383333
41110,43.34Z,12,47.233333,1.4
41110,43.34Z,12,47.266667,1.383333
41110,43.34Z,12,47.316667,1.3
41110,43.34Z,12,47.283333,1.333333
41110,43.34Z,12,47.233333,1.433333
41110,43.34Z,12,47.216667,1.383333
41110,22.1G,6,47.233333,1.4
41110,22.1G,6,47.266667,1.383333
41110,22.1G,6,47.316667,1.3
41110,22.1G,6,47.283333,1.333333
41110,22.1G,6,47.233333,1.433333
41110,22.1G,6,47.216667,1.383333
41110,93.19Z,6,47.233333,1.4
41110,93.19Z,6,47.266667,1.383333
41110,93.19Z,6,47.316667,1.3
41110,93.19Z,6,47.283333,1.333333
41110,93.19Z,6,47.233333,1.433333
41110,93.19Z,6,47.216667,1.383333
41110,25.12Z,6,47.233333,1.4
41110,25.12Z,6,47.266667,1.383333
41110,25.12Z,6,47.316667,1.3
41110,25.12Z,6,47.283333,1.333333
41110,25.12Z,6,47.233333,1.433333
41110,25.12Z,6,47.216667,1.383333
41110,90.01Z,6,47.233333,1.4
41110,90.01Z,6,47.266667,1.383333
41110,90.01Z,6,47.316667,1.3
41110,90.01Z,6,47.283333,1.333333
41110,90.01Z,6,47.233333,1.433333
41110,90.01Z,6,47.216667,1.383333
41110,47.82Z,6,47.233333,1.4
41110,47.82Z,6,47.266667,1.383333
41110,47.82Z,6,47.316667,1.3
41110,47.82Z,6,47.283333,1.333333
41110,47.82Z,6,47.233333,1.433333
41110,47.82Z,6,47.216667,1.383333
41110,40.1Z,6,47.233333,1.4
41110,40.1Z,6,47.266667,1.383333
41110,40.1Z,6,47.316667,1.3
41110,40.1Z,6,47.283333,1.333333
41110,40.1Z,6,47.233333,1.433333
41110,40.1Z,6,47.216667,1.383333
41110,56.10C,12,47.233333,1.4
41110,56.10C,12,47.266667,1.383333
41110,56.10C,12,47.316667,1.3
41110,56.10C,12,47.283333,1.333333
41110,56.10C,12,47.233333,1.433333
41110,56.10C,12,47.216667,1.383333
41110,43.91A,18,47.233333,1.4
41110,43.91A,18,47.266667,1.383333
41110,43.91A,18,47.316667,1.3
41110,43.91A,18,47.283333,1.333333
41110,43.91A,18,47.233333,1.433333
41110,43.91A,18,47.216667,1.383333
41110,81.30Z,24,47.233333,1.4
41110,81.30Z,24,47.266667,1.383333
41110,81.30Z,24,47.316667,1.3
41110,81.30Z,24,47.283333,1.333333
41110,81.30Z,24,47.233333,1.433333
41110,81.30Z,24,47.216667,1.383333
41110,49.05,6,47.233333,1.4
41110,49.05,6,47.266667,1.383333
41110,49.05,6,47.316667,1.3
41110,49.05,6,47.283333,1.333333
41110,49.05,6,47.233333,1.433333
41110,49.05,6,47.216667,1.383333
41110,29.3D,6,47.233333,1.4
41110,29.3D,6,47.266667,1.383333
41110,29.3D,6,47.316667,1.3
41110,29.3D,6,47.283333,1.333333
41110,29.3D,6,47.233333,1.433333
41110,29.3D,6,47.216667,1.383333
41110,84.11Z,30,47.233333,1.4
41110,84.11Z,30,47.266667,1.383333
41110,84.11Z,30,47.316667,1.3
41110,84.11Z,30,47.283333,1.333333
41110,84.11Z,30,47.233333,1.433333
41110,84.11Z,30,47.216667,1.383333
41110,43.99B,6,47.233333,1.4
