codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
41120,47.99A,65,47.466667,1.266667
41120,47.99A,65,"",""
41120,47.99A,65,47.433333,1.3
41120,47.99A,65,47.466667,1.316667
41120,47.99A,65,47.466667,1.3
41120,47.99A,65,47.5,1.3
41120,47.99A,65,47.45,1.35
41120,47.99A,65,47.433333,1.35
41120,47.99A,65,47.483333,1.4
41120,47.99A,65,47.5,1.366667
41120,47.99A,65,47.55,1.316667
41120,47.99A,65,47.533333,1.383333
41120,47.99A,65,47.5,1.25
41120,35.4A,13,47.466667,1.266667
41120,35.4A,13,"",""
41120,35.4A,13,47.433333,1.3
41120,35.4A,13,47.466667,1.316667
41120,35.4A,13,47.466667,1.3
41120,35.4A,13,47.5,1.3
41120,35.4A,13,47.45,1.35
41120,35.4A,13,47.433333,1.35
41120,35.4A,13,47.483333,1.4
41120,35.4A,13,47.5,1.366667
41120,35.4A,13,47.55,1.316667
41120,35.4A,13,47.533333,1.383333
41120,35.4A,13,47.5,1.25
41120,55.3A,52,47.466667,1.266667
41120,55.3A,52,"",""
41120,55.3A,52,47.433333,1.3
41120,55.3A,52,47.466667,1.316667
41120,55.3A,52,47.466667,1.3
41120,55.3A,52,47.5,1.3
41120,55.3A,52,47.45,1.35
41120,55.3A,52,47.433333,1.35
41120,55.3A,52,47.483333,1.4
41120,55.3A,52,47.5,1.366667
41120,55.3A,52,47.55,1.316667
41120,55.3A,52,47.533333,1.383333
41120,55.3A,52,47.5,1.25
41120,43.22A,26,47.466667,1.266667
41120,43.22A,26,"",""
41120,43.22A,26,47.433333,1.3
41120,43.22A,26,47.466667,1.316667
41120,43.22A,26,47.466667,1.3
41120,43.22A,26,47.5,1.3
41120,43.22A,26,47.45,1.35
41120,43.22A,26,47.433333,1.35
41120,43.22A,26,47.483333,1.4
41120,43.22A,26,47.5,1.366667
41120,43.22A,26,47.55,1.316667
41120,43.22A,26,47.533333,1.383333
41120,43.22A,26,47.5,1.25
41120,41.10A,13,47.466667,1.266667
