codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
41240,56.10C,9,47.866667,1.533333
41240,56.10C,9,47.95,1.433333
41240,56.10C,9,47.95,1.483333
41240,56.10C,9,47.85,1.45
41240,56.10C,9,47.966667,1.533333
41240,56.10C,9,47.916667,1.533333
41240,56.10C,9,47.983333,1.466667
41240,56.10C,9,47.9,1.466667
41240,56.10C,9,47.883333,1.416667
41240,77.14,9,47.866667,1.533333
41240,77.14,9,47.95,1.433333
41240,77.14,9,47.95,1.483333
41240,77.14,9,47.85,1.45
41240,77.14,9,47.966667,1.533333
41240,77.14,9,47.916667,1.533333
41240,77.14,9,47.983333,1.466667
41240,77.14,9,47.9,1.466667
41240,77.14,9,47.883333,1.416667
41240,01.80,18,47.866667,1.533333
41240,01.80,18,47.95,1.433333
41240,01.80,18,47.95,1.483333
41240,01.80,18,47.85,1.45
41240,01.80,18,47.966667,1.533333
41240,01.80,18,47.916667,1.533333
41240,01.80,18,47.983333,1.466667
41240,01.80,18,47.9,1.466667
41240,01.80,18,47.883333,1.416667
41240,36.1K,9,47.866667,1.533333
41240,36.1K,9,47.95,1.433333
41240,36.1K,9,47.95,1.483333
41240,36.1K,9,47.85,1.45
41240,36.1K,9,47.966667,1.533333
41240,36.1K,9,47.916667,1.533333
41240,36.1K,9,47.983333,1.466667
41240,36.1K,9,47.9,1.466667
41240,36.1K,9,47.883333,1.416667
41240,01.90,9,47.866667,1.533333
41240,01.90,9,47.95,1.433333
41240,01.90,9,47.95,1.483333
41240,01.90,9,47.85,1.45
41240,01.90,9,47.966667,1.533333
41240,01.90,9,47.916667,1.533333
41240,01.90,9,47.983333,1.466667
41240,01.90,9,47.9,1.466667
41240,01.90,9,47.883333,1.416667
41240,67.01,18,47.866667,1.533333
41240,67.01,18,47.95,1.433333
41240,67.01,18,47.95,1.483333
41240,67.01,18,47.85,1.45
41240,67.01,18,47.966667,1.533333
41240,67.01,18,47.916667,1.533333
41240,67.01,18,47.983333,1.466667
41240,67.01,18,47.9,1.466667
41240,67.01,18,47.883333,1.416667
41240,55.2E,9,47.866667,1.533333
41240,55.2E,9,47.95,1.433333
41240,55.2E,9,47.95,1.483333
41240,55.2E,9,47.85,1.45
41240,55.2E,9,47.966667,1.533333
41240,55.2E,9,47.916667,1.533333
41240,55.2E,9,47.983333,1.466667
41240,55.2E,9,47.9,1.466667
41240,55.2E,9,47.883333,1.416667
41240,70.2C,9,47.866667,1.533333
41240,70.2C,9,47.95,1.433333
41240,70.2C,9,47.95,1.483333
41240,70.2C,9,47.85,1.45
41240,70.2C,9,47.966667,1.533333
41240,70.2C,9,47.916667,1.533333
41240,70.2C,9,47.983333,1.466667
41240,70.2C,9,47.9,1.466667
41240,70.2C,9,47.883333,1.416667
41240,55.1A,9,47.866667,1.533333
41240,55.1A,9,47.95,1.433333
41240,55.1A,9,47.95,1.483333
41240,55.1A,9,47.85,1.45
41240,55.1A,9,47.966667,1.533333
41240,55.1A,9,47.916667,1.533333
41240,55.1A,9,47.983333,1.466667
41240,55.1A,9,47.9,1.466667
41240,55.1A,9,47.883333,1.416667
41240,01.1A,18,47.866667,1.533333
41240,01.1A,18,47.95,1.433333
41240,01.1A,18,47.95,1.483333
41240,01.1A,18,47.85,1.45
41240,01.1A,18,47.966667,1.533333
41240,01.1A,18,47.916667,1.533333
41240,01.1A,18,47.983333,1.466667
41240,01.1A,18,47.9,1.466667
41240,01.1A,18,47.883333,1.416667
41240,79.04,9,47.866667,1.533333
41240,79.04,9,47.95,1.433333
41240,79.04,9,47.95,1.483333
41240,79.04,9,47.85,1.45
41240,79.04,9,47.966667,1.533333
41240,79.04,9,47.916667,1.533333
41240,79.04,9,47.983333,1.466667
41240,79.04,9,47.9,1.466667
41240,79.04,9,47.883333,1.416667
41240,86.90F,9,47.866667,1.533333
41240,86.90F,9,47.95,1.433333
41240,86.90F,9,47.95,1.483333
41240,86.90F,9,47.85,1.45
41240,86.90F,9,47.966667,1.533333
41240,86.90F,9,47.916667,1.533333
41240,86.90F,9,47.983333,1.466667
41240,86.90F,9,47.9,1.466667
41240,86.90F,9,47.883333,1.416667
