codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
42123,33.20A,5,45.95,4.066667
42123,47.99A,14,45.95,4.066667
42123,71.3E,1,45.95,4.066667
42123,70.3A,4,45.95,4.066667
42123,87.30A,1,45.95,4.066667
42123,64.11,8,45.95,4.066667
42123,55.3A,7,45.95,4.066667
42123,43.22A,9,45.95,4.066667
42123,47.04,2,45.95,4.066667
42123,67.05,1,45.95,4.066667
42123,93.0D,4,45.95,4.066667
42123,43.11Z,1,45.95,4.066667
42123,00.97,13,45.95,4.066667
42123,47.79Z,2,45.95,4.066667
42123,01.11Z,2,45.95,4.066667
42123,49.41A,11,45.95,4.066667
42123,77.01,2,45.95,4.066667
42123,92.3A,1,45.95,4.066667
42123,95.29Z,1,45.95,4.066667
42123,52.4Z,3,45.95,4.066667
42123,64.23,1,45.95,4.066667
42123,60.01,1,45.95,4.066667
42123,68.20A,15,45.95,4.066667
42123,85.1E,4,45.95,4.066667
42123,64.49,4,45.95,4.066667
42123,55.40,3,45.95,4.066667
42123,49.32Z,8,45.95,4.066667
42123,45.3E,4,45.95,4.066667
42123,55.60,7,45.95,4.066667
42123,45.2J,3,45.95,4.066667
42123,36.6E,1,45.95,4.066667
42123,56.30Z,3,45.95,4.066667
42123,15.8D,1,45.95,4.066667
42123,21.08,6,45.95,4.066667
42123,36.00Z,1,45.95,4.066667
42123,49.01,1,45.95,4.066667
42123,52.21Z,1,45.95,4.066667
42123,56.21Z,3,45.95,4.066667
42123,95.11Z,2,45.95,4.066667
42123,52.29A,1,45.95,4.066667
42123,62.11,4,45.95,4.066667
42123,85.1C,1,45.95,4.066667
42123,50.2Z,5,45.95,4.066667
42123,54.04,2,45.95,4.066667
42123,46.49Z,1,45.95,4.066667
42123,45.4J,5,45.95,4.066667
42123,47.52A,3,45.95,4.066667
42123,81.22Z,1,45.95,4.066667
42123,43.34Z,14,45.95,4.066667
42123,81.29B,1,45.95,4.066667
42123,93.19Z,4,45.95,4.066667
42123,28.11Z,2,45.95,4.066667
42123,93.0N,1,45.95,4.066667
42123,25.61Z,2,45.95,4.066667
42123,64.20Z,10,45.95,4.066667
42123,86.90E,19,45.95,4.066667
42123,90.01Z,7,45.95,4.066667
42123,52.29B,1,45.95,4.066667
42123,31.13,3,45.95,4.066667
42123,25.01,1,45.95,4.066667
42123,71.20A,1,45.95,4.066667
42123,47.82Z,7,45.95,4.066667
42123,43.32B,1,45.95,4.066667
42123,42.22Z,1,45.95,4.066667
42123,74.10Z,7,45.95,4.066667
42123,56.10C,21,45.95,4.066667
42123,01.16,1,45.95,4.066667
42123,74.90A,1,45.95,4.066667
42123,10.32Z,1,45.95,4.066667
42123,43.91A,1,45.95,4.066667
42123,82.11Z,1,45.95,4.066667
42123,93.13Z,2,45.95,4.066667
42123,81.30Z,11,45.95,4.066667
42123,10.73Z,1,45.95,4.066667
42123,28.5A,2,45.95,4.066667
42123,84.11Z,11,45.95,4.066667
42123,43.99B,2,45.95,4.066667
42123,20.42Z,1,45.95,4.066667
42123,25.2G,1,45.95,4.066667
42123,50.1Z,3,45.95,4.066667
42123,33.3Z,1,45.95,4.066667
42123,66.30Z,2,45.95,4.066667
42123,60.04,2,45.95,4.066667
42123,95.22Z,1,45.95,4.066667
42123,45.4D,2,45.95,4.066667
42123,"",6,45.95,4.066667
42123,23.20Z,1,45.95,4.066667
42123,85.1G,2,45.95,4.066667
42123,59.05,1,45.95,4.066667
42123,43.39Z,4,45.95,4.066667
42123,87.01,1,45.95,4.066667
42123,93.12Z,12,45.95,4.066667
42123,43.22B,8,45.95,4.066667
42123,43.29B,1,45.95,4.066667
42123,29.1F,1,45.95,4.066667
42123,43.32A,5,45.95,4.066667
42123,00.10,1,45.95,4.066667
42123,44.42,1,45.95,4.066667
42123,25.62B,7,45.95,4.066667
42123,93.11Z,1,45.95,4.066667
42123,74.1G,2,45.95,4.066667
42123,72.5Z,1,45.95,4.066667
42123,74.30Z,1,45.95,4.066667
42123,47.11B,5,45.95,4.066667
42123,36.1G,2,45.95,4.066667
42123,38.32Z,5,45.95,4.066667
42123,96.03Z,2,45.95,4.066667
42123,47.11C,1,45.95,4.066667
42123,52.2A,1,45.95,4.066667
42123,65.06,5,45.95,4.066667
42123,46.41Z,1,45.95,4.066667
42123,01.24Z,1,45.95,4.066667
42123,55.70,2,45.95,4.066667
42123,86.23Z,2,45.95,4.066667
42123,49.39A,1,45.95,4.066667
42123,37.00Z,1,45.95,4.066667
42123,55.4B,2,45.95,4.066667
42123,62.42,2,45.95,4.066667
42123,52.6E,13,45.95,4.066667
42123,25.03,2,45.95,4.066667
42123,10.85Z,2,45.95,4.066667
42123,43.33Z,18,45.95,4.066667
42123,68.32B,1,45.95,4.066667
42123,74.1J,4,45.95,4.066667
42123,64.12,1,45.95,4.066667
42123,37.2Z,1,45.95,4.066667
42123,74.20Z,2,45.95,4.066667
42123,16.10B,1,45.95,4.066667
42123,47.22Z,1,45.95,4.066667
42123,47.11D,3,45.95,4.066667
42123,56.10A,6,45.95,4.066667
42123,64.30Z,4,45.95,4.066667
42123,46.72Z,1,45.95,4.066667
42123,86.90D,28,45.95,4.066667
42123,96.02A,14,45.95,4.066667
42123,82.19Z,7,45.95,4.066667
42123,51.1R,1,45.95,4.066667
42123,46.19B,4,45.95,4.066667
42123,31.09B,1,45.95,4.066667
42123,78.02,1,45.95,4.066667
42123,47.23Z,1,45.95,4.066667
42123,69.12,2,45.95,4.066667
42123,46.69B,4,45.95,4.066667
42123,85.20Z,2,45.95,4.066667
42123,45.3A,1,45.95,4.066667
42123,64.24,1,45.95,4.066667
42123,46.76Z,1,45.95,4.066667
42123,58.11,1,45.95,4.066667
42123,61.01,1,45.95,4.066667
42123,43.91B,4,45.95,4.066667
42123,67.2Z,2,45.95,4.066667
42123,94.99Z,14,45.95,4.066667
42123,70.10Z,2,45.95,4.066667
42123,49.31Z,3,45.95,4.066667
42123,62.45,1,45.95,4.066667
42123,47.76Z,3,45.95,4.066667
42123,14.13Z,2,45.95,4.066667
42123,82.06,1,45.95,4.066667
42123,82.99Z,3,45.95,4.066667
42123,47.21Z,1,45.95,4.066667
42123,80.4A,2,45.95,4.066667
42123,48.02,1,45.95,4.066667
42123,86.06,1,45.95,4.066667
42123,45.3F,2,45.95,4.066667
42123,39.02,1,45.95,4.066667
42123,56.29A,1,45.95,4.066667
42123,28.12Z,1,45.95,4.066667
42123,20.59Z,1,45.95,4.066667
42123,51.1T,1,45.95,4.066667
42123,25.50B,1,45.95,4.066667
42123,58.12Z,1,45.95,4.066667
42123,50.3B,2,45.95,4.066667
42123,86.22C,1,45.95,4.066667
42123,47.52B,1,45.95,4.066667
42123,96.15,1,45.95,4.066667
42123,67.01,9,45.95,4.066667
42123,52.2J,1,45.95,4.066667
42123,13.10Z,1,45.95,4.066667
42123,46.63Z,2,45.95,4.066667
42123,66.19B,2,45.95,4.066667
42123,92.3H,1,45.95,4.066667
42123,47.78C,2,45.95,4.066667
42123,64.14,2,45.95,4.066667
42123,87.03,3,45.95,4.066667
42123,51.6J,1,45.95,4.066667
42123,00.00Z,1,45.95,4.066667
42123,69.23,2,45.95,4.066667
42123,74.7Z,2,45.95,4.066667
42123,45.4A,1,45.95,4.066667
42123,62.43,4,45.95,4.066667
42123,47.64Z,1,45.95,4.066667
42123,55.73,5,45.95,4.066667
42123,77.03,1,45.95,4.066667
42123,62.01Z,6,45.95,4.066667
42123,55.71,4,45.95,4.066667
42123,43.29A,4,45.95,4.066667
42123,42.99Z,1,45.95,4.066667
42123,10.82Z,1,45.95,4.066667
42123,62.41,5,45.95,4.066667
42123,46.18Z,1,45.95,4.066667
42123,29.20Z,1,45.95,4.066667
42123,81.21,4,45.95,4.066667
42123,64.30,1,45.95,4.066667
42123,01.1C,1,45.95,4.066667
42123,49.04,1,45.95,4.066667
42123,47.26Z,2,45.95,4.066667
42123,85.53Z,1,45.95,4.066667
42123,91.3E,4,45.95,4.066667
42123,43.31Z,17,45.95,4.066667
42123,47.62Z,1,45.95,4.066667
42123,28.3C,4,45.95,4.066667
42123,45.4C,2,45.95,4.066667
42123,43.99D,4,45.95,4.066667
42123,70.2C,13,45.95,4.066667
42123,47.24Z,1,45.95,4.066667
42123,77.06,1,45.95,4.066667
42123,47.71Z,3,45.95,4.066667
42123,90.03A,10,45.95,4.066667
42123,45.1A,2,45.95,4.066667
42123,18.2C,1,45.95,4.066667
42123,16.29Z,1,45.95,4.066667
42123,77.39Z,1,45.95,4.066667
42123,46.61Z,2,45.95,4.066667
42123,81.10Z,2,45.95,4.066667
42123,86.07,1,45.95,4.066667
42123,46.90Z,5,45.95,4.066667
42123,67.07,1,45.95,4.066667
42123,45.31Z,1,45.95,4.066667
42123,96.02B,11,45.95,4.066667
42123,86.21Z,12,45.95,4.066667
42123,55.10,2,45.95,4.066667
42123,85.52Z,6,45.95,4.066667
42123,34.06,1,45.95,4.066667
42123,64.48,1,45.95,4.066667
42123,93.0E,1,45.95,4.066667
42123,47.73Z,3,45.95,4.066667
42123,52.1A,1,45.95,4.066667
42123,45.32Z,7,45.95,4.066667
42123,15.1E,1,45.95,4.066667
42123,47.81Z,8,45.95,4.066667
42123,86.90A,1,45.95,4.066667
42123,46.14Z,1,45.95,4.066667
42123,68.31Z,12,45.95,4.066667
42123,25.11Z,4,45.95,4.066667
42123,25.93Z,1,45.95,4.066667
42123,60.02,1,45.95,4.066667
42123,46.69A,1,45.95,4.066667
42123,64.22,1,45.95,4.066667
42123,85.59A,3,45.95,4.066667
42123,93.0H,1,45.95,4.066667
42123,85.59B,2,45.95,4.066667
42123,37.1Z,1,45.95,4.066667
42123,28.6F,1,45.95,4.066667
42123,33.14Z,2,45.95,4.066667
42123,22.02,1,45.95,4.066667
42123,43.99C,22,45.95,4.066667
42123,49.41B,8,45.95,4.066667
42123,52.5Z,2,45.95,4.066667
42123,15.1F,2,45.95,4.066667
42123,10.71C,4,45.95,4.066667
42123,82.92Z,1,45.95,4.066667
42123,01.61Z,1,45.95,4.066667
42123,56.02,2,45.95,4.066667
42123,45.20A,23,45.95,4.066667
42123,62.03Z,1,45.95,4.066667
42123,33.20B,1,45.95,4.066667
42123,67.04,1,45.95,4.066667
42123,66.21Z,1,45.95,4.066667
42123,64.21,1,45.95,4.066667
42123,96.09Z,10,45.95,4.066667
42123,60.09,2,45.95,4.066667
42123,31.12,1,45.95,4.066667
42123,33.2B,1,45.95,4.066667
42123,33.12Z,5,45.95,4.066667
42123,81.21Z,13,45.95,4.066667
42123,24.08,3,45.95,4.066667
42123,28.22Z,2,45.95,4.066667
42123,74.2C,4,45.95,4.066667
42123,30.0C,1,45.95,4.066667
42123,43.12A,6,45.95,4.066667
42123,74.10,1,45.95,4.066667
42123,84.30C,1,45.95,4.066667
42123,10.11Z,2,45.95,4.066667
42123,47.91A,4,45.95,4.066667
42123,91.3A,2,45.95,4.066667
42123,37.04,1,45.95,4.066667
42123,46.73A,1,45.95,4.066667
42123,45.40Z,1,45.95,4.066667
42123,31.15,1,45.95,4.066667
42123,55.1A,1,45.95,4.066667
42123,33.1B,1,45.95,4.066667
42123,29.2F,1,45.95,4.066667
42123,41.10D,6,45.95,4.066667
42123,90.03B,1,45.95,4.066667
42123,01.49Z,9,45.95,4.066667
42123,45.11Z,6,45.95,4.066667
42123,74.2A,1,45.95,4.066667
42123,14.19Z,1,45.95,4.066667
42123,15.1A,1,45.95,4.066667
42123,47.30Z,1,45.95,4.066667
42123,51.6E,1,45.95,4.066667
42123,08.12Z,1,45.95,4.066667
42123,53.20Z,2,45.95,4.066667
42123,01.1A,1,45.95,4.066667
42123,64.46,1,45.95,4.066667
42123,28.14Z,1,45.95,4.066667
42123,47.99B,8,45.95,4.066667
42123,84.12,2,45.95,4.066667
42123,41.20B,1,45.95,4.066667
42123,86.90F,8,45.95,4.066667
42123,90.02Z,4,45.95,4.066667
42123,17.1K,3,45.95,4.066667
42123,68.32A,3,45.95,4.066667
42123,22.1C,1,45.95,4.066667
42123,56.01,1,45.95,4.066667
42123,28.92Z,1,45.95,4.066667
42123,45.4F,3,45.95,4.066667
42123,74.1C,1,45.95,4.066667
42123,68.10Z,4,45.95,4.066667
42123,15.03,1,45.95,4.066667
42123,84.13Z,1,45.95,4.066667
42123,50.5Z,1,45.95,4.066667
42123,70.22Z,20,45.95,4.066667
42123,62.09Z,1,45.95,4.066667
42123,58.14Z,1,45.95,4.066667
42123,64.25,1,45.95,4.066667
42123,66.22Z,1,45.95,4.066667
42123,47.11F,1,45.95,4.066667
42123,58.11Z,1,45.95,4.066667
42123,46.48Z,1,45.95,4.066667
42123,25.99B,1,45.95,4.066667
42123,52.4A,2,45.95,4.066667
42123,62.46,3,45.95,4.066667
42123,47.59B,2,45.95,4.066667
42123,47.25Z,1,45.95,4.066667
42123,47.42Z,1,45.95,4.066667
42123,47.91B,4,45.95,4.066667
42123,51.6C,1,45.95,4.066667
42123,62.02A,5,45.95,4.066667
42123,52.1D,1,45.95,4.066667
42123,66.01,1,45.95,4.066667
42123,32.13Z,2,45.95,4.066667
42123,69.20Z,2,45.95,4.066667
42123,88.99B,4,45.95,4.066667
42123,92.7C,1,45.95,4.066667
42123,52.4N,1,45.95,4.066667
42123,28.5D,5,45.95,4.066667
42123,93.29Z,10,45.95,4.066667
42123,52.4T,1,45.95,4.066667
42123,29.5C,1,45.95,4.066667
42123,88.91A,3,45.95,4.066667
42123,69.11,1,45.95,4.066667
42123,47.89Z,36,45.95,4.066667
42123,46.77Z,2,45.95,4.066667
42123,92.6C,1,45.95,4.066667
42123,55.4A,1,45.95,4.066667
42123,85.51Z,8,45.95,4.066667
42123,45.2V,6,45.95,4.066667
42123,65.03,1,45.95,4.066667
42123,43.21A,17,45.95,4.066667
42123,52.1B,3,45.95,4.066667
42123,66.19A,4,45.95,4.066667
42123,64.43,1,45.95,4.066667
42123,80.1Z,1,45.95,4.066667
42123,52.6H,1,45.95,4.066667
42123,51.6K,2,45.95,4.066667
42123,70.2A,3,45.95,4.066667
42123,53.10Z,5,45.95,4.066667
42123,21.03,1,45.95,4.066667
42123,60.2M,2,45.95,4.066667
42123,27.12Z,1,45.95,4.066667
42123,18.13Z,2,45.95,4.066667
42123,23.02,1,45.95,4.066667
42123,71.12B,7,45.95,4.066667
42123,55.72,2,45.95,4.066667
42123,52.6D,6,45.95,4.066667
42123,25.50A,1,45.95,4.066667
42123,68.20B,117,45.95,4.066667
42123,15.8C,5,45.95,4.066667
42123,60.2L,3,45.95,4.066667
42123,51.8G,1,45.95,4.066667
42123,01.10,2,45.95,4.066667
42123,74.8F,1,45.95,4.066667
