codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
42210,64.11,10,45.6,4.216667
42210,64.11,10,45.65,4.266667
42210,64.11,10,45.633333,4.233333
42210,64.11,10,45.6,4.2
42210,64.11,10,45.583333,4.233333
42210,64.11,10,45.616667,4.2
42210,64.11,10,45.65,4.3
42210,64.11,10,45.683333,4.2
42210,64.11,10,45.683333,4.3
42210,64.11,10,45.666667,4.2
42210,55.3A,20,45.6,4.216667
42210,55.3A,20,45.65,4.266667
42210,55.3A,20,45.633333,4.233333
42210,55.3A,20,45.6,4.2
42210,55.3A,20,45.583333,4.233333
42210,55.3A,20,45.616667,4.2
42210,55.3A,20,45.65,4.3
42210,55.3A,20,45.683333,4.2
42210,55.3A,20,45.683333,4.3
42210,55.3A,20,45.666667,4.2
42210,43.22A,20,45.6,4.216667
42210,43.22A,20,45.65,4.266667
42210,43.22A,20,45.633333,4.233333
42210,43.22A,20,45.6,4.2
42210,43.22A,20,45.583333,4.233333
42210,43.22A,20,45.616667,4.2
42210,43.22A,20,45.65,4.3
42210,43.22A,20,45.683333,4.2
42210,43.22A,20,45.683333,4.3
42210,43.22A,20,45.666667,4.2
42210,74.09,10,45.6,4.216667
42210,74.09,10,45.65,4.266667
42210,74.09,10,45.633333,4.233333
42210,74.09,10,45.6,4.2
42210,74.09,10,45.583333,4.233333
42210,74.09,10,45.616667,4.2
42210,74.09,10,45.65,4.3
42210,74.09,10,45.683333,4.2
42210,74.09,10,45.683333,4.3
42210,74.09,10,45.666667,4.2
42210,51.9B,10,45.6,4.216667
42210,51.9B,10,45.65,4.266667
42210,51.9B,10,45.633333,4.233333
42210,51.9B,10,45.6,4.2
42210,51.9B,10,45.583333,4.233333
42210,51.9B,10,45.616667,4.2
42210,51.9B,10,45.65,4.3
42210,51.9B,10,45.683333,4.2
42210,51.9B,10,45.683333,4.3
42210,51.9B,10,45.666667,4.2
42210,01.1F,40,45.6,4.216667
42210,01.1F,40,45.65,4.266667
42210,01.1F,40,45.633333,4.233333
42210,01.1F,40,45.6,4.2
42210,01.1F,40,45.583333,4.233333
42210,01.1F,40,45.616667,4.2
42210,01.1F,40,45.65,4.3
42210,01.1F,40,45.683333,4.2
42210,01.1F,40,45.683333,4.3
42210,01.1F,40,45.666667,4.2
42210,00.97,20,45.6,4.216667
42210,00.97,20,45.65,4.266667
42210,00.97,20,45.633333,4.233333
42210,00.97,20,45.6,4.2
42210,00.97,20,45.583333,4.233333
42210,00.97,20,45.616667,4.2
42210,00.97,20,45.65,4.3
42210,00.97,20,45.683333,4.2
42210,00.97,20,45.683333,4.3
42210,00.97,20,45.666667,4.2
42210,01.11Z,30,45.6,4.216667
42210,01.11Z,30,45.65,4.266667
42210,01.11Z,30,45.633333,4.233333
42210,01.11Z,30,45.6,4.2
42210,01.11Z,30,45.583333,4.233333
42210,01.11Z,30,45.616667,4.2
42210,01.11Z,30,45.65,4.3
42210,01.11Z,30,45.683333,4.2
42210,01.11Z,30,45.683333,4.3
42210,01.11Z,30,45.666667,4.2
42210,49.41A,10,45.6,4.216667
42210,49.41A,10,45.65,4.266667
42210,49.41A,10,45.633333,4.233333
42210,49.41A,10,45.6,4.2
42210,49.41A,10,45.583333,4.233333
42210,49.41A,10,45.616667,4.2
42210,49.41A,10,45.65,4.3
42210,49.41A,10,45.683333,4.2
42210,49.41A,10,45.683333,4.3
42210,49.41A,10,45.666667,4.2
42210,68.20A,10,45.6,4.216667
42210,68.20A,10,45.65,4.266667
42210,68.20A,10,45.633333,4.233333
42210,68.20A,10,45.6,4.2
42210,68.20A,10,45.583333,4.233333
42210,68.20A,10,45.616667,4.2
42210,68.20A,10,45.65,4.3
42210,68.20A,10,45.683333,4.2
42210,68.20A,10,45.683333,4.3
42210,68.20A,10,45.666667,4.2
42210,55.60,20,45.6,4.216667
42210,55.60,20,45.65,4.266667
42210,55.60,20,45.633333,4.233333
42210,55.60,20,45.6,4.2
42210,55.60,20,45.583333,4.233333
42210,55.60,20,45.616667,4.2
42210,55.60,20,45.65,4.3
42210,55.60,20,45.683333,4.2
42210,55.60,20,45.683333,4.3
42210,55.60,20,45.666667,4.2
42210,32.99Z,10,45.6,4.216667
42210,32.99Z,10,45.65,4.266667
42210,32.99Z,10,45.633333,4.233333
42210,32.99Z,10,45.6,4.2
42210,32.99Z,10,45.583333,4.233333
42210,32.99Z,10,45.616667,4.2
42210,32.99Z,10,45.65,4.3
42210,32.99Z,10,45.683333,4.2
42210,32.99Z,10,45.683333,4.3
42210,32.99Z,10,45.666667,4.2
42210,62.11,30,45.6,4.216667
42210,62.11,30,45.65,4.266667
42210,62.11,30,45.633333,4.233333
42210,62.11,30,45.6,4.2
42210,62.11,30,45.583333,4.233333
42210,62.11,30,45.616667,4.2
42210,62.11,30,45.65,4.3
42210,62.11,30,45.683333,4.2
42210,62.11,30,45.683333,4.3
42210,62.11,30,45.666667,4.2
42210,93.0N,10,45.6,4.216667
42210,93.0N,10,45.65,4.266667
42210,93.0N,10,45.633333,4.233333
42210,93.0N,10,45.6,4.2
42210,93.0N,10,45.583333,4.233333
42210,93.0N,10,45.616667,4.2
42210,93.0N,10,45.65,4.3
42210,93.0N,10,45.683333,4.2
42210,93.0N,10,45.683333,4.3
42210,93.0N,10,45.666667,4.2
42210,25.61Z,10,45.6,4.216667
42210,25.61Z,10,45.65,4.266667
42210,25.61Z,10,45.633333,4.233333
42210,25.61Z,10,45.6,4.2
42210,25.61Z,10,45.583333,4.233333
42210,25.61Z,10,45.616667,4.2
42210,25.61Z,10,45.65,4.3
42210,25.61Z,10,45.683333,4.2
42210,25.61Z,10,45.683333,4.3
42210,25.61Z,10,45.666667,4.2
42210,01.43Z,50,45.6,4.216667
42210,01.43Z,50,45.65,4.266667
42210,01.43Z,50,45.633333,4.233333
42210,01.43Z,50,45.6,4.2
42210,01.43Z,50,45.583333,4.233333
42210,01.43Z,50,45.616667,4.2
42210,01.43Z,50,45.65,4.3
42210,01.43Z,50,45.683333,4.2
42210,01.43Z,50,45.683333,4.3
42210,01.43Z,50,45.666667,4.2
42210,86.90E,20,45.6,4.216667
42210,86.90E,20,45.65,4.266667
42210,86.90E,20,45.633333,4.233333
42210,86.90E,20,45.6,4.2
42210,86.90E,20,45.583333,4.233333
42210,86.90E,20,45.616667,4.2
42210,86.90E,20,45.65,4.3
42210,86.90E,20,45.683333,4.2
42210,86.90E,20,45.683333,4.3
42210,86.90E,20,45.666667,4.2
42210,90.01Z,10,45.6,4.216667
42210,90.01Z,10,45.65,4.266667
42210,90.01Z,10,45.633333,4.233333
42210,90.01Z,10,45.6,4.2
42210,90.01Z,10,45.583333,4.233333
42210,90.01Z,10,45.616667,4.2
42210,90.01Z,10,45.65,4.3
42210,90.01Z,10,45.683333,4.2
42210,90.01Z,10,45.683333,4.3
42210,90.01Z,10,45.666667,4.2
42210,29.3C,20,45.6,4.216667
42210,29.3C,20,45.65,4.266667
42210,29.3C,20,45.633333,4.233333
42210,29.3C,20,45.6,4.2
42210,29.3C,20,45.583333,4.233333
42210,29.3C,20,45.616667,4.2
42210,29.3C,20,45.65,4.3
42210,29.3C,20,45.683333,4.2
42210,29.3C,20,45.683333,4.3
42210,29.3C,20,45.666667,4.2
42210,43.32B,10,45.6,4.216667
42210,43.32B,10,45.65,4.266667
42210,43.32B,10,45.633333,4.233333
42210,43.32B,10,45.6,4.2
42210,43.32B,10,45.583333,4.233333
42210,43.32B,10,45.616667,4.2
42210,43.32B,10,45.65,4.3
42210,43.32B,10,45.683333,4.2
42210,43.32B,10,45.683333,4.3
42210,43.32B,10,45.666667,4.2
42210,56.10C,40,45.6,4.216667
42210,56.10C,40,45.65,4.266667
42210,56.10C,40,45.633333,4.233333
42210,56.10C,40,45.6,4.2
42210,56.10C,40,45.583333,4.233333
42210,56.10C,40,45.616667,4.2
42210,56.10C,40,45.65,4.3
42210,56.10C,40,45.683333,4.2
42210,56.10C,40,45.683333,4.3
42210,56.10C,40,45.666667,4.2
42210,74.90A,10,45.6,4.216667
42210,74.90A,10,45.65,4.266667
42210,74.90A,10,45.633333,4.233333
42210,74.90A,10,45.6,4.2
42210,74.90A,10,45.583333,4.233333
42210,74.90A,10,45.616667,4.2
42210,74.90A,10,45.65,4.3
42210,74.90A,10,45.683333,4.2
42210,74.90A,10,45.683333,4.3
42210,74.90A,10,45.666667,4.2
