codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
42290,47.99A,2,45.483333,4.45
42290,55.3A,2,45.483333,4.45
42290,43.22A,2,45.483333,4.45
42290,46.23Z,1,45.483333,4.45
42290,68.20A,2,45.483333,4.45
42290,64.49,1,45.483333,4.45
42290,45.3E,1,45.483333,4.45
42290,55.60,1,45.483333,4.45
42290,56.30Z,1,45.483333,4.45
42290,32.99Z,1,45.483333,4.45
42290,62.11,1,45.483333,4.45
42290,92.3J,1,45.483333,4.45
42290,43.34Z,1,45.483333,4.45
42290,64.20Z,1,45.483333,4.45
42290,86.90E,1,45.483333,4.45
42290,90.01Z,1,45.483333,4.45
42290,38.11Z,1,45.483333,4.45
42290,47.82Z,2,45.483333,4.45
42290,74.10Z,1,45.483333,4.45
42290,82.11Z,1,45.483333,4.45
42290,81.30Z,1,45.483333,4.45
42290,84.11Z,3,45.483333,4.45
42290,66.30Z,1,45.483333,4.45
42290,01.3Z,1,45.483333,4.45
42290,01.4A,1,45.483333,4.45
42290,55.20Z,1,45.483333,4.45
42290,93.12Z,1,45.483333,4.45
42290,43.22B,1,45.483333,4.45
42290,74.1G,1,45.483333,4.45
42290,38.32Z,1,45.483333,4.45
42290,74.1J,1,45.483333,4.45
42290,01.80,2,45.483333,4.45
42290,74.20Z,1,45.483333,4.45
42290,64.30Z,1,45.483333,4.45
42290,96.02A,2,45.483333,4.45
42290,86.90D,2,45.483333,4.45
42290,31.09B,1,45.483333,4.45
42290,94.99Z,1,45.483333,4.45
42290,62.45,1,45.483333,4.45
42290,82.99Z,1,45.483333,4.45
42290,24.03,1,45.483333,4.45
42290,47.78C,1,45.483333,4.45
42290,00.00Z,2,45.483333,4.45
42290,46.21Z,1,45.483333,4.45
42290,55.73,1,45.483333,4.45
42290,62.01Z,2,45.483333,4.45
42290,43.29A,1,45.483333,4.45
42290,01.50Z,1,45.483333,4.45
42290,62.41,1,45.483333,4.45
42290,70.2C,1,45.483333,4.45
42290,90.03A,3,45.483333,4.45
42290,01.2A,5,45.483333,4.45
42290,67.07,3,45.483333,4.45
42290,47.81Z,1,45.483333,4.45
42290,01.41Z,6,45.483333,4.45
42290,68.31Z,1,45.483333,4.45
42290,01.42Z,3,45.483333,4.45
42290,43.99C,2,45.483333,4.45
42290,01.61Z,1,45.483333,4.45
42290,96.09Z,1,45.483333,4.45
42290,33.12Z,1,45.483333,4.45
42290,81.21Z,2,45.483333,4.45
42290,74.2C,1,45.483333,4.45
42290,35.11Z,4,45.483333,4.45
42290,10.11Z,1,45.483333,4.45
42290,51.11,1,45.483333,4.45
42290,01.49Z,1,45.483333,4.45
42290,01.1A,2,45.483333,4.45
42290,47.99B,1,45.483333,4.45
42290,45.4F,1,45.483333,4.45
42290,70.22Z,2,45.483333,4.45
42290,46.51Z,1,45.483333,4.45
42290,66.22Z,1,45.483333,4.45
42290,47.59B,1,45.483333,4.45
42290,88.99B,1,45.483333,4.45
42290,93.29Z,1,45.483333,4.45
42290,71.12B,1,45.483333,4.45
42290,68.20B,14,45.483333,4.45
