codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
42300,47.99A,18,"",""
42300,47.99A,18,"46,04","4,07"
42300,47.99A,18,46.083333,4.066667
42300,64.11,3,"",""
42300,64.11,3,"46,04","4,07"
42300,64.11,3,46.083333,4.066667
42300,55.3A,3,"",""
42300,55.3A,3,"46,04","4,07"
42300,55.3A,3,46.083333,4.066667
42300,02.10Z,15,"",""
42300,02.10Z,15,"46,04","4,07"
42300,02.10Z,15,46.083333,4.066667
42300,00.97,3,"",""
42300,00.97,3,"46,04","4,07"
42300,00.97,3,46.083333,4.066667
42300,01.11Z,3,"",""
42300,01.11Z,3,"46,04","4,07"
42300,01.11Z,3,46.083333,4.066667
42300,68.20A,12,"",""
42300,68.20A,12,"46,04","4,07"
42300,68.20A,12,46.083333,4.066667
42300,55.60,12,"",""
42300,55.60,12,"46,04","4,07"
42300,55.60,12,46.083333,4.066667
42300,62.11,3,"",""
42300,62.11,3,"46,04","4,07"
42300,62.11,3,46.083333,4.066667
42300,01.47Z,3,"",""
42300,01.47Z,3,"46,04","4,07"
42300,01.47Z,3,46.083333,4.066667
42300,13.30Z,3,"",""
42300,13.30Z,3,"46,04","4,07"
42300,13.30Z,3,46.083333,4.066667
42300,45.4J,12,"",""
42300,45.4J,12,"46,04","4,07"
42300,45.4J,12,46.083333,4.066667
42300,43.34Z,12,"",""
42300,43.34Z,12,"46,04","4,07"
42300,43.34Z,12,46.083333,4.066667
42300,44.32,3,"",""
42300,44.32,3,"46,04","4,07"
42300,44.32,3,46.083333,4.066667
42300,64.20Z,15,"",""
42300,64.20Z,15,"46,04","4,07"
42300,64.20Z,15,46.083333,4.066667
42300,46.73B,3,"",""
42300,46.73B,3,"46,04","4,07"
42300,46.73B,3,46.083333,4.066667
42300,42.22Z,6,"",""
42300,42.22Z,6,"46,04","4,07"
42300,42.22Z,6,46.083333,4.066667
42300,74.10Z,3,"",""
42300,74.10Z,3,"46,04","4,07"
42300,74.10Z,3,46.083333,4.066667
42300,56.10C,3,"",""
42300,56.10C,3,"46,04","4,07"
42300,56.10C,3,46.083333,4.066667
42300,43.91A,9,"",""
42300,43.91A,9,"46,04","4,07"
42300,43.91A,9,46.083333,4.066667
42300,81.30Z,3,"",""
42300,81.30Z,3,"46,04","4,07"
42300,81.30Z,3,46.083333,4.066667
42300,64.42,3,"",""
42300,64.42,3,"46,04","4,07"
42300,64.42,3,46.083333,4.066667
42300,84.11Z,15,"",""
42300,84.11Z,15,"46,04","4,07"
42300,84.11Z,15,46.083333,4.066667
42300,"",3,"",""
42300,"",3,"46,04","4,07"
42300,"",3,46.083333,4.066667
42300,45.4D,3,"",""
42300,45.4D,3,"46,04","4,07"
42300,45.4D,3,46.083333,4.066667
42300,43.39Z,3,"",""
42300,43.39Z,3,"46,04","4,07"
42300,43.39Z,3,46.083333,4.066667
42300,55.20Z,9,"",""
42300,55.20Z,9,"46,04","4,07"
42300,55.20Z,9,46.083333,4.066667
42300,93.12Z,6,"",""
42300,93.12Z,6,"46,04","4,07"
42300,93.12Z,6,46.083333,4.066667
42300,43.32A,3,"",""
42300,43.32A,3,"46,04","4,07"
42300,43.32A,3,46.083333,4.066667
42300,46.22Z,3,"",""
42300,46.22Z,3,"46,04","4,07"
42300,46.22Z,3,46.083333,4.066667
42300,74.1G,3,"",""
42300,74.1G,3,"46,04","4,07"
42300,74.1G,3,46.083333,4.066667
42300,38.32Z,3,"",""
42300,38.32Z,3,"46,04","4,07"
42300,38.32Z,3,46.083333,4.066667
42300,52.2A,3,"",""
42300,52.2A,3,"46,04","4,07"
42300,52.2A,3,46.083333,4.066667
42300,45.2L,3,"",""
42300,45.2L,3,"46,04","4,07"
42300,45.2L,3,46.083333,4.066667
42300,01.24Z,6,"",""
42300,01.24Z,6,"46,04","4,07"
42300,01.24Z,6,46.083333,4.066667
42300,13.92Z,3,"",""
42300,13.92Z,3,"46,04","4,07"
42300,13.92Z,3,46.083333,4.066667
42300,46.62Z,3,"",""
42300,46.62Z,3,"46,04","4,07"
42300,46.62Z,3,46.083333,4.066667
42300,55.4B,3,"",""
42300,55.4B,3,"46,04","4,07"
42300,55.4B,3,46.083333,4.066667
42300,22.2J,3,"",""
42300,22.2J,3,"46,04","4,07"
42300,22.2J,3,46.083333,4.066667
42300,43.33Z,3,"",""
42300,43.33Z,3,"46,04","4,07"
42300,43.33Z,3,46.083333,4.066667
42300,56.10A,9,"",""
42300,56.10A,9,"46,04","4,07"
42300,56.10A,9,46.083333,4.066667
42300,96.02A,6,"",""
42300,96.02A,6,"46,04","4,07"
42300,96.02A,6,46.083333,4.066667
42300,82.19Z,3,"",""
42300,82.19Z,3,"46,04","4,07"
42300,82.19Z,3,46.083333,4.066667
42300,46.19B,3,"",""
42300,46.19B,3,"46,04","4,07"
42300,46.19B,3,46.083333,4.066667
42300,31.09B,3,"",""
42300,31.09B,3,"46,04","4,07"
42300,31.09B,3,46.083333,4.066667
42300,77.31Z,3,"",""
42300,77.31Z,3,"46,04","4,07"
42300,77.31Z,3,46.083333,4.066667
42300,46.64Z,3,"",""
42300,46.64Z,3,"46,04","4,07"
42300,46.64Z,3,46.083333,4.066667
42300,94.99Z,9,"",""
42300,94.99Z,9,"46,04","4,07"
42300,94.99Z,9,46.083333,4.066667
42300,47.21Z,3,"",""
42300,47.21Z,3,"46,04","4,07"
42300,47.21Z,3,46.083333,4.066667
42300,67.01,12,"",""
42300,67.01,12,"46,04","4,07"
42300,67.01,12,46.083333,4.066667
42300,02.0B,3,"",""
42300,02.0B,3,"46,04","4,07"
42300,02.0B,3,46.083333,4.066667
42300,47.64Z,3,"",""
42300,47.64Z,3,"46,04","4,07"
42300,47.64Z,3,46.083333,4.066667
42300,46.18Z,6,"",""
42300,46.18Z,6,"46,04","4,07"
42300,46.18Z,6,46.083333,4.066667
42300,62.41,6,"",""
42300,62.41,6,"46,04","4,07"
42300,62.41,6,46.083333,4.066667
42300,01.45Z,3,"",""
42300,01.45Z,3,"46,04","4,07"
42300,01.45Z,3,46.083333,4.066667
42300,81.21,3,"",""
42300,81.21,3,"46,04","4,07"
42300,81.21,3,46.083333,4.066667
42300,43.31Z,3,"",""
42300,43.31Z,3,"46,04","4,07"
42300,43.31Z,3,46.083333,4.066667
42300,45.4C,3,"",""
42300,45.4C,3,"46,04","4,07"
42300,45.4C,3,46.083333,4.066667
42300,70.2C,3,"",""
42300,70.2C,3,"46,04","4,07"
42300,70.2C,3,46.083333,4.066667
42300,66.0G,3,"",""
42300,66.0G,3,"46,04","4,07"
42300,66.0G,3,46.083333,4.066667
42300,67.07,3,"",""
42300,67.07,3,"46,04","4,07"
42300,67.07,3,46.083333,4.066667
42300,96.02B,3,"",""
42300,96.02B,3,"46,04","4,07"
42300,96.02B,3,46.083333,4.066667
42300,85.52Z,3,"",""
42300,85.52Z,3,"46,04","4,07"
42300,85.52Z,3,46.083333,4.066667
