codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
42330,47.99A,162,45.583333,4.316667
42330,47.99A,162,45.55,4.333333
42330,47.99A,162,45.616667,4.266667
42330,47.99A,162,45.583333,4.316667
42330,47.99A,162,45.566667,4.383333
42330,47.99A,162,45.6,4.366667
42330,33.20A,12,45.583333,4.316667
42330,33.20A,12,45.55,4.333333
42330,33.20A,12,45.616667,4.266667
42330,33.20A,12,45.583333,4.316667
42330,33.20A,12,45.566667,4.383333
42330,33.20A,12,45.6,4.366667
42330,64.11,60,45.583333,4.316667
42330,64.11,60,45.55,4.333333
42330,64.11,60,45.616667,4.266667
42330,64.11,60,45.583333,4.316667
42330,64.11,60,45.566667,4.383333
42330,64.11,60,45.6,4.366667
42330,70.3A,18,45.583333,4.316667
42330,70.3A,18,45.55,4.333333
42330,70.3A,18,45.616667,4.266667
42330,70.3A,18,45.583333,4.316667
42330,70.3A,18,45.566667,4.383333
42330,70.3A,18,45.6,4.366667
42330,63.99Z,6,45.583333,4.316667
42330,63.99Z,6,45.55,4.333333
42330,63.99Z,6,45.616667,4.266667
42330,63.99Z,6,45.583333,4.316667
42330,63.99Z,6,45.566667,4.383333
42330,63.99Z,6,45.6,4.366667
42330,55.3A,36,45.583333,4.316667
42330,55.3A,36,45.55,4.333333
42330,55.3A,36,45.616667,4.266667
42330,55.3A,36,45.583333,4.316667
42330,55.3A,36,45.566667,4.383333
42330,55.3A,36,45.6,4.366667
42330,46.45Z,24,45.583333,4.316667
42330,46.45Z,24,45.55,4.333333
42330,46.45Z,24,45.616667,4.266667
42330,46.45Z,24,45.583333,4.316667
42330,46.45Z,24,45.566667,4.383333
42330,46.45Z,24,45.6,4.366667
42330,43.22A,162,45.583333,4.316667
42330,43.22A,162,45.55,4.333333
42330,43.22A,162,45.616667,4.266667
42330,43.22A,162,45.583333,4.316667
42330,43.22A,162,45.566667,4.383333
42330,43.22A,162,45.6,4.366667
42330,67.05,18,45.583333,4.316667
42330,67.05,18,45.55,4.333333
42330,67.05,18,45.616667,4.266667
42330,67.05,18,45.583333,4.316667
42330,67.05,18,45.566667,4.383333
42330,67.05,18,45.6,4.366667
42330,64.40,6,45.583333,4.316667
42330,64.40,6,45.55,4.333333
42330,64.40,6,45.616667,4.266667
42330,64.40,6,45.583333,4.316667
42330,64.40,6,45.566667,4.383333
42330,64.40,6,45.6,4.366667
42330,93.0D,24,45.583333,4.316667
42330,93.0D,24,45.55,4.333333
42330,93.0D,24,45.616667,4.266667
42330,93.0D,24,45.583333,4.316667
42330,93.0D,24,45.566667,4.383333
42330,93.0D,24,45.6,4.366667
42330,01.1F,6,45.583333,4.316667
42330,01.1F,6,45.55,4.333333
42330,01.1F,6,45.616667,4.266667
42330,01.1F,6,45.583333,4.316667
42330,01.1F,6,45.566667,4.383333
42330,01.1F,6,45.6,4.366667
42330,02.10Z,6,45.583333,4.316667
42330,02.10Z,6,45.55,4.333333
42330,02.10Z,6,45.616667,4.266667
42330,02.10Z,6,45.583333,4.316667
42330,02.10Z,6,45.566667,4.383333
42330,02.10Z,6,45.6,4.366667
42330,00.97,42,45.583333,4.316667
42330,00.97,42,45.55,4.333333
42330,00.97,42,45.616667,4.266667
42330,00.97,42,45.583333,4.316667
42330,00.97,42,45.566667,4.383333
42330,00.97,42,45.6,4.366667
42330,01.11Z,6,45.583333,4.316667
42330,01.11Z,6,45.55,4.333333
42330,01.11Z,6,45.616667,4.266667
42330,01.11Z,6,45.583333,4.316667
42330,01.11Z,6,45.566667,4.383333
42330,01.11Z,6,45.6,4.366667
42330,52.3A,6,45.583333,4.316667
42330,52.3A,6,45.55,4.333333
42330,52.3A,6,45.616667,4.266667
42330,52.3A,6,45.583333,4.316667
42330,52.3A,6,45.566667,4.383333
42330,52.3A,6,45.6,4.366667
42330,77.01,24,45.583333,4.316667
42330,77.01,24,45.55,4.333333
42330,77.01,24,45.616667,4.266667
42330,77.01,24,45.583333,4.316667
42330,77.01,24,45.566667,4.383333
42330,77.01,24,45.6,4.366667
42330,23.01,6,45.583333,4.316667
42330,23.01,6,45.55,4.333333
42330,23.01,6,45.616667,4.266667
42330,23.01,6,45.583333,4.316667
42330,23.01,6,45.566667,4.383333
42330,23.01,6,45.6,4.366667
42330,49.41A,48,45.583333,4.316667
42330,49.41A,48,45.55,4.333333
42330,49.41A,48,45.616667,4.266667
42330,49.41A,48,45.583333,4.316667
42330,49.41A,48,45.566667,4.383333
42330,49.41A,48,45.6,4.366667
42330,64.23,18,45.583333,4.316667
42330,64.23,18,45.55,4.333333
42330,64.23,18,45.616667,4.266667
42330,64.23,18,45.583333,4.316667
42330,64.23,18,45.566667,4.383333
42330,64.23,18,45.6,4.366667
42330,43.99A,30,45.583333,4.316667
42330,43.99A,30,45.55,4.333333
42330,43.99A,30,45.616667,4.266667
42330,43.99A,30,45.583333,4.316667
42330,43.99A,30,45.566667,4.383333
42330,43.99A,30,45.6,4.366667
42330,95.29Z,42,45.583333,4.316667
42330,95.29Z,42,45.55,4.333333
42330,95.29Z,42,45.616667,4.266667
42330,95.29Z,42,45.583333,4.316667
42330,95.29Z,42,45.566667,4.383333
42330,95.29Z,42,45.6,4.366667
42330,46.36Z,6,45.583333,4.316667
42330,46.36Z,6,45.55,4.333333
42330,46.36Z,6,45.616667,4.266667
42330,46.36Z,6,45.583333,4.316667
42330,46.36Z,6,45.566667,4.383333
42330,46.36Z,6,45.6,4.366667
42330,52.4Z,12,45.583333,4.316667
42330,52.4Z,12,45.55,4.333333
42330,52.4Z,12,45.616667,4.266667
42330,52.4Z,12,45.583333,4.316667
42330,52.4Z,12,45.566667,4.383333
42330,52.4Z,12,45.6,4.366667
42330,92.3A,12,45.583333,4.316667
42330,92.3A,12,45.55,4.333333
42330,92.3A,12,45.616667,4.266667
42330,92.3A,12,45.583333,4.316667
42330,92.3A,12,45.566667,4.383333
42330,92.3A,12,45.6,4.366667
42330,64.49,24,45.583333,4.316667
42330,64.49,24,45.55,4.333333
42330,64.49,24,45.616667,4.266667
42330,64.49,24,45.583333,4.316667
42330,64.49,24,45.566667,4.383333
42330,64.49,24,45.6,4.366667
42330,68.20A,264,45.583333,4.316667
42330,68.20A,264,45.55,4.333333
