codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
43240,47.99A,1,45.333333,4.316667
43240,56.30Z,2,45.333333,4.316667
43240,43.34Z,1,45.333333,4.316667
43240,56.10C,1,45.333333,4.316667
43240,84.11Z,2,45.333333,4.316667
43240,90.0A,1,45.333333,4.316667
43240,01.21Z,1,45.333333,4.316667
43240,01.4A,1,45.333333,4.316667
43240,01.2G,1,45.333333,4.316667
43240,55.4B,1,45.333333,4.316667
43240,74.1J,1,45.333333,4.316667
43240,43.33Z,1,45.333333,4.316667
43240,56.10A,1,45.333333,4.316667
43240,86.90D,2,45.333333,4.316667
43240,45.3A,1,45.333333,4.316667
43240,94.99Z,1,45.333333,4.316667
43240,23.41Z,1,45.333333,4.316667
43240,67.01,2,45.333333,4.316667
43240,01.50Z,1,45.333333,4.316667
43240,01.45Z,2,45.333333,4.316667
43240,43.31Z,2,45.333333,4.316667
43240,43.99D,1,45.333333,4.316667
43240,70.2C,1,45.333333,4.316667
43240,01.2A,1,45.333333,4.316667
43240,96.02B,3,45.333333,4.316667
43240,01.41Z,6,45.333333,4.316667
43240,01.42Z,1,45.333333,4.316667
43240,85.59A,1,45.333333,4.316667
43240,43.99C,4,45.333333,4.316667
43240,55.10Z,1,45.333333,4.316667
43240,55.1A,1,45.333333,4.316667
43240,67.08,1,45.333333,4.316667
43240,45.11Z,1,45.333333,4.316667
43240,01.1A,1,45.333333,4.316667
43240,86.90F,1,45.333333,4.316667
43240,45.4F,1,45.333333,4.316667
43240,88.99B,1,45.333333,4.316667
43240,93.29Z,1,45.333333,4.316667
43240,47.89Z,1,45.333333,4.316667
43240,68.20B,7,45.333333,4.316667
