codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
44117,47.99A,18,47.316667,-2.316667
44117,48.04,1,47.316667,-2.316667
44117,55.3A,2,47.316667,-2.316667
44117,43.22A,11,47.316667,-2.316667
44117,47.04,2,47.316667,-2.316667
44117,41.10A,2,47.316667,-2.316667
44117,93.0D,2,47.316667,-2.316667
44117,01.11Z,3,47.316667,-2.316667
44117,52.3A,1,47.316667,-2.316667
44117,47.79Z,1,47.316667,-2.316667
44117,00.97,1,47.316667,-2.316667
44117,49.41A,4,47.316667,-2.316667
44117,77.01,1,47.316667,-2.316667
44117,95.29Z,2,47.316667,-2.316667
44117,52.4Z,1,47.316667,-2.316667
44117,51.3J,2,47.316667,-2.316667
44117,68.20A,19,47.316667,-2.316667
44117,64.49,2,47.316667,-2.316667
44117,55.40,2,47.316667,-2.316667
44117,46.46Z,1,47.316667,-2.316667
44117,45.3E,1,47.316667,-2.316667
44117,55.60,5,47.316667,-2.316667
44117,32.99Z,1,47.316667,-2.316667
44117,36.00Z,2,47.316667,-2.316667
44117,56.21Z,4,47.316667,-2.316667
44117,95.11Z,4,47.316667,-2.316667
44117,17.29Z,1,47.316667,-2.316667
44117,85.1C,1,47.316667,-2.316667
44117,62.11,2,47.316667,-2.316667
44117,50.2Z,2,47.316667,-2.316667
44117,47.77Z,1,47.316667,-2.316667
44117,46.49Z,1,47.316667,-2.316667
44117,45.4J,3,47.316667,-2.316667
44117,73.20Z,1,47.316667,-2.316667
44117,81.22Z,4,47.316667,-2.316667
44117,43.34Z,11,47.316667,-2.316667
44117,80.4D,1,47.316667,-2.316667
44117,95.21Z,2,47.316667,-2.316667
44117,80.20Z,1,47.316667,-2.316667
44117,93.19Z,1,47.316667,-2.316667
44117,93.0N,1,47.316667,-2.316667
44117,64.20Z,12,47.316667,-2.316667
44117,25.12Z,1,47.316667,-2.316667
44117,86.90E,38,47.316667,-2.316667
44117,52.29B,1,47.316667,-2.316667
44117,90.01Z,11,47.316667,-2.316667
44117,43.32B,2,47.316667,-2.316667
44117,77.12Z,1,47.316667,-2.316667
44117,47.75Z,1,47.316667,-2.316667
44117,56.10C,6,47.316667,-2.316667
44117,52.4R,3,47.316667,-2.316667
44117,74.10Z,11,47.316667,-2.316667
44117,33.20C,1,47.316667,-2.316667
44117,43.91A,2,47.316667,-2.316667
44117,82.11Z,1,47.316667,-2.316667
44117,81.30Z,9,47.316667,-2.316667
44117,64.41,1,47.316667,-2.316667
44117,10.73Z,2,47.316667,-2.316667
44117,64.42,1,47.316667,-2.316667
44117,84.11Z,7,47.316667,-2.316667
44117,63.3Z,1,47.316667,-2.316667
44117,52.7C,1,47.316667,-2.316667
44117,77.08,1,47.316667,-2.316667
44117,01.21Z,48,47.316667,-2.316667
44117,66.30Z,2,47.316667,-2.316667
44117,"",1,47.316667,-2.316667
44117,70.2B,1,47.316667,-2.316667
44117,43.39Z,5,47.316667,-2.316667
44117,01.3Z,2,47.316667,-2.316667
44117,55.20Z,2,47.316667,-2.316667
44117,87.01,1,47.316667,-2.316667
44117,43.22B,4,47.316667,-2.316667
44117,93.12Z,4,47.316667,-2.316667
44117,94.11Z,2,47.316667,-2.316667
44117,43.32A,15,47.316667,-2.316667
44117,11.02B,1,47.316667,-2.316667
44117,00.10,1,47.316667,-2.316667
44117,60.07,2,47.316667,-2.316667
44117,25.62B,2,47.316667,-2.316667
44117,74.1G,1,47.316667,-2.316667
44117,74.30Z,1,47.316667,-2.316667
44117,47.11B,2,47.316667,-2.316667
44117,79.11Z,1,47.316667,-2.316667
44117,38.32Z,1,47.316667,-2.316667
44117,64.19Z,1,47.316667,-2.316667
44117,65.06,1,47.316667,-2.316667
44117,59.20Z,1,47.316667,-2.316667
44117,59.13B,1,47.316667,-2.316667
44117,86.23Z,9,47.316667,-2.316667
44117,55.4B,2,47.316667,-2.316667
44117,52.6E,1,47.316667,-2.316667
44117,74.1J,7,47.316667,-2.316667
44117,43.33Z,2,47.316667,-2.316667
44117,47.22Z,3,47.316667,-2.316667
44117,74.20Z,2,47.316667,-2.316667
44117,64.30Z,1,47.316667,-2.316667
44117,56.10A,8,47.316667,-2.316667
44117,86.90D,12,47.316667,-2.316667
44117,96.02A,8,47.316667,-2.316667
44117,82.19Z,5,47.316667,-2.316667
44117,46.19B,5,47.316667,-2.316667
44117,77.31Z,1,47.316667,-2.316667
44117,47.23Z,1,47.316667,-2.316667
44117,31.09B,1,47.316667,-2.316667
44117,28.4A,1,47.316667,-2.316667
44117,45.3A,3,47.316667,-2.316667
44117,46.69B,3,47.316667,-2.316667
44117,85.20Z,2,47.316667,-2.316667
44117,48.05,1,47.316667,-2.316667
44117,60.05,1,47.316667,-2.316667
44117,55.30Z,1,47.316667,-2.316667
44117,26.51A,1,47.316667,-2.316667
44117,94.99Z,23,47.316667,-2.316667
44117,47.76Z,3,47.316667,-2.316667
44117,70.10Z,6,47.316667,-2.316667
44117,62.45,1,47.316667,-2.316667
44117,77.29Z,1,47.316667,-2.316667
44117,14.13Z,1,47.316667,-2.316667
44117,82.99Z,4,47.316667,-2.316667
44117,80.4A,1,47.316667,-2.316667
44117,23.41Z,1,47.316667,-2.316667
44117,36.1K,1,47.316667,-2.316667
44117,79.06,1,47.316667,-2.316667
44117,56.29A,1,47.316667,-2.316667
44117,46.16Z,1,47.316667,-2.316667
44117,49.10Z,1,47.316667,-2.316667
44117,23.70Z,2,47.316667,-2.316667
44117,59.11B,1,47.316667,-2.316667
44117,50.3B,1,47.316667,-2.316667
44117,86.22C,1,47.316667,-2.316667
44117,52.2J,1,47.316667,-2.316667
44117,15.8F,1,47.316667,-2.316667
44117,66.19B,1,47.316667,-2.316667
44117,92.3H,1,47.316667,-2.316667
44117,47.78C,1,47.316667,-2.316667
44117,63.11Z,1,47.316667,-2.316667
44117,01.1G,19,47.316667,-2.316667
44117,45.4A,2,47.316667,-2.316667
44117,46.34Z,5,47.316667,-2.316667
44117,28.29B,1,47.316667,-2.316667
44117,92.12,1,47.316667,-2.316667
44117,74.7Z,1,47.316667,-2.316667
44117,62.43,1,47.316667,-2.316667
44117,77.21Z,1,47.316667,-2.316667
44117,55.73,5,47.316667,-2.316667
44117,62.01Z,3,47.316667,-2.316667
44117,55.71,3,47.316667,-2.316667
44117,43.29A,1,47.316667,-2.316667
44117,46.18Z,1,47.316667,-2.316667
44117,64.30,1,47.316667,-2.316667
44117,95.23Z,1,47.316667,-2.316667
44117,81.21,2,47.316667,-2.316667
44117,46.74B,1,47.316667,-2.316667
44117,77.40Z,1,47.316667,-2.316667
44117,43.31Z,7,47.316667,-2.316667
44117,85.53Z,3,47.316667,-2.316667
44117,47.26Z,1,47.316667,-2.316667
44117,47.62Z,2,47.316667,-2.316667
44117,43.99D,2,47.316667,-2.316667
44117,45.4C,5,47.316667,-2.316667
44117,70.2C,4,47.316667,-2.316667
44117,41.02,1,47.316667,-2.316667
44117,47.24Z,1,47.316667,-2.316667
44117,47.71Z,1,47.316667,-2.316667
44117,90.03A,8,47.316667,-2.316667
44117,45.1A,1,47.316667,-2.316667
44117,16.29Z,1,47.316667,-2.316667
44117,46.61Z,2,47.316667,-2.316667
44117,46.90Z,2,47.316667,-2.316667
44117,96.02B,4,47.316667,-2.316667
44117,86.21Z,13,47.316667,-2.316667
44117,85.52Z,5,47.316667,-2.316667
44117,45.2A,1,47.316667,-2.316667
44117,45.23,1,47.316667,-2.316667
44117,91.01Z,1,47.316667,-2.316667
44117,71.11Z,3,47.316667,-2.316667
