codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
44118,47.99A,12,47.1,-1.616667
44118,70.3A,1,47.1,-1.616667
44118,55.3A,3,47.1,-1.616667
44118,01.56,1,47.1,-1.616667
44118,43.22A,2,47.1,-1.616667
44118,43.11Z,2,47.1,-1.616667
44118,01.11Z,10,47.1,-1.616667
44118,47.79Z,3,47.1,-1.616667
44118,77.01,1,47.1,-1.616667
44118,49.41A,1,47.1,-1.616667
44118,46.23Z,1,47.1,-1.616667
44118,68.20A,6,47.1,-1.616667
44118,55.60,1,47.1,-1.616667
44118,45.2J,2,47.1,-1.616667
44118,56.30Z,2,47.1,-1.616667
44118,64.1C,1,47.1,-1.616667
44118,32.99Z,1,47.1,-1.616667
44118,01.2E,1,47.1,-1.616667
44118,52.21Z,1,47.1,-1.616667
44118,95.11Z,1,47.1,-1.616667
44118,62.11,3,47.1,-1.616667
44118,01.47Z,2,47.1,-1.616667
44118,81.22Z,1,47.1,-1.616667
44118,43.34Z,4,47.1,-1.616667
44118,93.19Z,1,47.1,-1.616667
44118,64.20Z,3,47.1,-1.616667
44118,86.90E,6,47.1,-1.616667
44118,90.01Z,2,47.1,-1.616667
44118,01.43Z,3,47.1,-1.616667
44118,29.3C,1,47.1,-1.616667
44118,01.07,1,47.1,-1.616667
44118,43.32B,1,47.1,-1.616667
44118,47.82Z,1,47.1,-1.616667
44118,74.10Z,2,47.1,-1.616667
44118,56.10C,1,47.1,-1.616667
44118,82.11Z,1,47.1,-1.616667
44118,43.91A,1,47.1,-1.616667
44118,81.30Z,5,47.1,-1.616667
44118,84.11Z,6,47.1,-1.616667
44118,50.1Z,1,47.1,-1.616667
44118,95.22Z,1,47.1,-1.616667
44118,70.2B,1,47.1,-1.616667
44118,43.39Z,1,47.1,-1.616667
44118,01.3Z,8,47.1,-1.616667
44118,01.4A,1,47.1,-1.616667
44118,93.12Z,2,47.1,-1.616667
44118,01.2G,2,47.1,-1.616667
44118,43.32A,2,47.1,-1.616667
44118,56.29B,1,47.1,-1.616667
44118,74.1G,1,47.1,-1.616667
44118,36.1G,1,47.1,-1.616667
44118,47.11B,2,47.1,-1.616667
44118,65.06,1,47.1,-1.616667
44118,13.92Z,1,47.1,-1.616667
44118,71.12A,1,47.1,-1.616667
44118,52.6E,2,47.1,-1.616667
44118,43.33Z,1,47.1,-1.616667
44118,47.22Z,1,47.1,-1.616667
44118,01.80,1,47.1,-1.616667
44118,51.3T,1,47.1,-1.616667
44118,86.90D,10,47.1,-1.616667
44118,96.02A,4,47.1,-1.616667
44118,82.19Z,1,47.1,-1.616667
44118,46.19B,2,47.1,-1.616667
44118,77.31Z,2,47.1,-1.616667
44118,70.1C,1,47.1,-1.616667
44118,43.91B,1,47.1,-1.616667
44118,94.99Z,15,47.1,-1.616667
44118,67.2Z,1,47.1,-1.616667
44118,77.29Z,1,47.1,-1.616667
44118,82.99Z,3,47.1,-1.616667
44118,23.41Z,2,47.1,-1.616667
44118,01.63,1,47.1,-1.616667
44118,92.21,1,47.1,-1.616667
44118,49.10Z,1,47.1,-1.616667
44118,25.50B,1,47.1,-1.616667
44118,46.63Z,1,47.1,-1.616667
44118,71.4B,2,47.1,-1.616667
44118,00.00Z,1,47.1,-1.616667
44118,87.03,3,47.1,-1.616667
44118,92.12,1,47.1,-1.616667
44118,46.21Z,3,47.1,-1.616667
44118,62.43,2,47.1,-1.616667
44118,55.73,1,47.1,-1.616667
44118,52.2L,1,47.1,-1.616667
44118,55.71,5,47.1,-1.616667
44118,43.29A,3,47.1,-1.616667
44118,01.50Z,5,47.1,-1.616667
44118,01.45Z,3,47.1,-1.616667
44118,43.31Z,3,47.1,-1.616667
44118,45.4C,1,47.1,-1.616667
44118,43.99D,1,47.1,-1.616667
44118,90.03A,3,47.1,-1.616667
44118,18.2C,1,47.1,-1.616667
44118,01.2A,9,47.1,-1.616667
44118,96.02B,1,47.1,-1.616667
44118,48.01,1,47.1,-1.616667
44118,85.52Z,2,47.1,-1.616667
44118,45.23,1,47.1,-1.616667
44118,01.2C,1,47.1,-1.616667
44118,74.8K,1,47.1,-1.616667
44118,47.81Z,2,47.1,-1.616667
44118,01.41Z,5,47.1,-1.616667
44118,68.31Z,1,47.1,-1.616667
44118,88.10A,3,47.1,-1.616667
44118,01.42Z,9,47.1,-1.616667
44118,85.59B,2,47.1,-1.616667
44118,22.02,1,47.1,-1.616667
44118,43.99C,2,47.1,-1.616667
44118,46.31Z,1,47.1,-1.616667
44118,10.71C,4,47.1,-1.616667
44118,01.61Z,1,47.1,-1.616667
44118,45.20A,2,47.1,-1.616667
44118,67.04,2,47.1,-1.616667
44118,96.04Z,1,47.1,-1.616667
44118,55.10Z,3,47.1,-1.616667
44118,41.20A,1,47.1,-1.616667
44118,96.09Z,5,47.1,-1.616667
44118,52.6G,2,47.1,-1.616667
44118,13.99Z,1,47.1,-1.616667
44118,20.3Z,1,47.1,-1.616667
44118,35.11Z,7,47.1,-1.616667
44118,43.12A,1,47.1,-1.616667
44118,45.40Z,1,47.1,-1.616667
44118,89.03,1,47.1,-1.616667
44118,01.13Z,2,47.1,-1.616667
44118,01.49Z,2,47.1,-1.616667
44118,45.11Z,3,47.1,-1.616667
44118,90.03B,2,47.1,-1.616667
44118,14.19Z,1,47.1,-1.616667
44118,78.30Z,1,47.1,-1.616667
44118,08.12Z,2,47.1,-1.616667
44118,01.1A,6,47.1,-1.616667
44118,71.3A,1,47.1,-1.616667
44118,41.20B,1,47.1,-1.616667
44118,86.90F,3,47.1,-1.616667
44118,01.46Z,1,47.1,-1.616667
44118,15.03,2,47.1,-1.616667
44118,01.62Z,1,47.1,-1.616667
44118,70.22Z,2,47.1,-1.616667
44118,66.22Z,1,47.1,-1.616667
44118,47.59B,1,47.1,-1.616667
44118,62.02A,1,47.1,-1.616667
44118,88.99B,1,47.1,-1.616667
44118,88.91A,1,47.1,-1.616667
44118,38.40,1,47.1,-1.616667
44118,47.89Z,6,47.1,-1.616667
44118,92.6C,2,47.1,-1.616667
44118,45.2V,3,47.1,-1.616667
44118,43.21A,4,47.1,-1.616667
44118,52.1B,1,47.1,-1.616667
44118,80.1Z,1,47.1,-1.616667
44118,53.10Z,1,47.1,-1.616667
44118,74.90B,1,47.1,-1.616667
44118,55.72,1,47.1,-1.616667
44118,68.20B,33,47.1,-1.616667
44118,01.10,1,47.1,-1.616667
44118,15.8C,1,47.1,-1.616667
