codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
44150,47.99A,48,47.416667,-1.1
44150,47.99A,48,47.366667,-1.2
44150,47.99A,48,47.383333,-1.1
44150,47.99A,48,47.366667,-1.166667
44150,33.20A,4,47.416667,-1.1
44150,33.20A,4,47.366667,-1.2
44150,33.20A,4,47.383333,-1.1
44150,33.20A,4,47.366667,-1.166667
44150,58.19Z,8,47.416667,-1.1
44150,58.19Z,8,47.366667,-1.2
44150,58.19Z,8,47.383333,-1.1
44150,58.19Z,8,47.366667,-1.166667
44150,45.20B,4,47.416667,-1.1
44150,45.20B,4,47.366667,-1.2
44150,45.20B,4,47.383333,-1.1
44150,45.20B,4,47.366667,-1.166667
44150,70.3A,12,47.416667,-1.1
44150,70.3A,12,47.366667,-1.2
44150,70.3A,12,47.383333,-1.1
44150,70.3A,12,47.366667,-1.166667
44150,55.3A,24,47.416667,-1.1
44150,55.3A,24,47.366667,-1.2
44150,55.3A,24,47.383333,-1.1
44150,55.3A,24,47.366667,-1.166667
44150,43.22A,20,47.416667,-1.1
44150,43.22A,20,47.366667,-1.2
44150,43.22A,20,47.383333,-1.1
44150,43.22A,20,47.366667,-1.166667
44150,47.04,4,47.416667,-1.1
44150,47.04,4,47.366667,-1.2
44150,47.04,4,47.383333,-1.1
44150,47.04,4,47.366667,-1.166667
44150,71.1A,4,47.416667,-1.1
44150,71.1A,4,47.366667,-1.2
44150,71.1A,4,47.383333,-1.1
44150,71.1A,4,47.366667,-1.166667
44150,31.01Z,4,47.416667,-1.1
44150,31.01Z,4,47.366667,-1.2
44150,31.01Z,4,47.383333,-1.1
44150,31.01Z,4,47.366667,-1.166667
44150,41.10A,4,47.416667,-1.1
44150,41.10A,4,47.366667,-1.2
44150,41.10A,4,47.383333,-1.1
44150,41.10A,4,47.366667,-1.166667
44150,93.0D,16,47.416667,-1.1
44150,93.0D,16,47.366667,-1.2
44150,93.0D,16,47.383333,-1.1
44150,93.0D,16,47.366667,-1.166667
44150,02.10Z,8,47.416667,-1.1
44150,02.10Z,8,47.366667,-1.2
44150,02.10Z,8,47.383333,-1.1
44150,02.10Z,8,47.366667,-1.166667
44150,28.30Z,4,47.416667,-1.1
44150,28.30Z,4,47.366667,-1.2
44150,28.30Z,4,47.383333,-1.1
44150,28.30Z,4,47.366667,-1.166667
44150,01.11Z,4,47.416667,-1.1
44150,01.11Z,4,47.366667,-1.2
44150,01.11Z,4,47.383333,-1.1
44150,01.11Z,4,47.366667,-1.166667
44150,77.01,4,47.416667,-1.1
44150,77.01,4,47.366667,-1.2
44150,77.01,4,47.383333,-1.1
44150,77.01,4,47.366667,-1.166667
44150,49.41A,56,47.416667,-1.1
44150,49.41A,56,47.366667,-1.2
44150,49.41A,56,47.383333,-1.1
44150,49.41A,56,47.366667,-1.166667
44150,24.3Z,4,47.416667,-1.1
44150,24.3Z,4,47.366667,-1.2
44150,24.3Z,4,47.383333,-1.1
44150,24.3Z,4,47.366667,-1.166667
44150,28.15,4,47.416667,-1.1
44150,28.15,4,47.366667,-1.2
44150,28.15,4,47.383333,-1.1
44150,28.15,4,47.366667,-1.166667
44150,95.29Z,4,47.416667,-1.1
44150,95.29Z,4,47.366667,-1.2
44150,95.29Z,4,47.383333,-1.1
44150,95.29Z,4,47.366667,-1.166667
44150,52.4Z,4,47.416667,-1.1
44150,52.4Z,4,47.366667,-1.2
44150,52.4Z,4,47.383333,-1.1
44150,52.4Z,4,47.366667,-1.166667
44150,92.3A,4,47.416667,-1.1
44150,92.3A,4,47.366667,-1.2
44150,92.3A,4,47.383333,-1.1
44150,92.3A,4,47.366667,-1.166667
44150,68.20A,152,47.416667,-1.1
44150,68.20A,152,47.366667,-1.2
44150,68.20A,152,47.383333,-1.1
44150,68.20A,152,47.366667,-1.166667
44150,55.40,4,47.416667,-1.1
44150,55.40,4,47.366667,-1.2
44150,55.40,4,47.383333,-1.1
