codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
46090,70.3A,20,44.4,1.3
46090,70.3A,20,44.483333,1.566667
46090,70.3A,20,44.516667,1.491667
46090,70.3A,20,44.416667,1.366667
46090,70.3A,20,44.516667,1.433333
46090,70.3A,20,44.483333,1.4
46090,70.3A,20,44.5,1.383333
46090,70.3A,20,44.541667,1.441667
46090,70.3A,20,44.383333,1.45
46090,70.3A,20,44.483333,1.466667
46090,70.3A,20,44.466667,1.483333
46090,70.3A,20,44.4,1.383333
46090,70.3A,20,44.55,1.483333
46090,70.3A,20,44.416667,1.5
46090,70.3A,20,44.5,1.366667
46090,70.3A,20,44.433333,1.616667
46090,70.3A,20,44.516667,1.55
46090,70.3A,20,44.45,1.65
46090,70.3A,20,44.416667,1.566667
46090,70.3A,20,44.45,1.516667
46090,43.22A,20,44.4,1.3
46090,43.22A,20,44.483333,1.566667
46090,43.22A,20,44.516667,1.491667
46090,43.22A,20,44.416667,1.366667
46090,43.22A,20,44.516667,1.433333
46090,43.22A,20,44.483333,1.4
46090,43.22A,20,44.5,1.383333
46090,43.22A,20,44.541667,1.441667
46090,43.22A,20,44.383333,1.45
46090,43.22A,20,44.483333,1.466667
46090,43.22A,20,44.466667,1.483333
46090,43.22A,20,44.4,1.383333
46090,43.22A,20,44.55,1.483333
46090,43.22A,20,44.416667,1.5
46090,43.22A,20,44.5,1.366667
46090,43.22A,20,44.433333,1.616667
46090,43.22A,20,44.516667,1.55
46090,43.22A,20,44.45,1.65
46090,43.22A,20,44.416667,1.566667
46090,43.22A,20,44.45,1.516667
46090,01.11Z,20,44.4,1.3
46090,01.11Z,20,44.483333,1.566667
46090,01.11Z,20,44.516667,1.491667
46090,01.11Z,20,44.416667,1.366667
46090,01.11Z,20,44.516667,1.433333
46090,01.11Z,20,44.483333,1.4
46090,01.11Z,20,44.5,1.383333
46090,01.11Z,20,44.541667,1.441667
46090,01.11Z,20,44.383333,1.45
46090,01.11Z,20,44.483333,1.466667
46090,01.11Z,20,44.466667,1.483333
