codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
46110,47.04,8,44.95,1.7
46110,47.04,8,44.983333,1.65
46110,47.04,8,44.983333,1.683333
46110,47.04,8,"",""
46110,47.04,8,44.991667,1.666667
46110,47.04,8,"",""
46110,47.04,8,44.916667,1.733333
46110,47.04,8,44.95,1.733333
46110,01.3Z,8,44.95,1.7
46110,01.3Z,8,44.983333,1.65
46110,01.3Z,8,44.983333,1.683333
46110,01.3Z,8,"",""
46110,01.3Z,8,44.991667,1.666667
46110,01.3Z,8,"",""
46110,01.3Z,8,44.916667,1.733333
46110,01.3Z,8,44.95,1.733333
46110,01.00,8,44.95,1.7
46110,01.00,8,44.983333,1.65
46110,01.00,8,44.983333,1.683333
46110,01.00,8,"",""
46110,01.00,8,44.991667,1.666667
46110,01.00,8,"",""
46110,01.00,8,44.916667,1.733333
46110,01.00,8,44.95,1.733333
46110,22.02,8,44.95,1.7
46110,22.02,8,44.983333,1.65
46110,22.02,8,44.983333,1.683333
46110,22.02,8,"",""
46110,22.02,8,44.991667,1.666667
46110,22.02,8,"",""
46110,22.02,8,44.916667,1.733333
46110,22.02,8,44.95,1.733333
46110,45.2V,8,44.95,1.7
46110,45.2V,8,44.983333,1.65
46110,45.2V,8,44.983333,1.683333
46110,45.2V,8,"",""
46110,45.2V,8,44.991667,1.666667
46110,45.2V,8,"",""
46110,45.2V,8,44.916667,1.733333
46110,45.2V,8,44.95,1.733333
