codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
46150,01.3Z,15,44.6,1.316667
46150,01.3Z,15,"",""
46150,01.3Z,15,44.566667,1.383333
46150,01.3Z,15,44.55,1.283333
46150,01.3Z,15,44.533333,1.366667
46150,01.3Z,15,44.566667,1.283333
46150,01.3Z,15,44.566667,1.483333
46150,01.3Z,15,44.566667,1.241667
46150,01.3Z,15,44.533333,1.25
46150,01.3Z,15,44.516667,1.283333
46150,01.3Z,15,44.583333,1.433333
46150,01.3Z,15,44.5,1.316667
46150,01.3Z,15,44.55,1.333333
46150,01.3Z,15,44.516667,1.383333
46150,01.3Z,15,44.533333,1.4
46150,01.80,15,44.6,1.316667
46150,01.80,15,"",""
46150,01.80,15,44.566667,1.383333
46150,01.80,15,44.55,1.283333
46150,01.80,15,44.533333,1.366667
46150,01.80,15,44.566667,1.283333
46150,01.80,15,44.566667,1.483333
46150,01.80,15,44.566667,1.241667
46150,01.80,15,44.533333,1.25
46150,01.80,15,44.516667,1.283333
46150,01.80,15,44.583333,1.433333
46150,01.80,15,44.5,1.316667
46150,01.80,15,44.55,1.333333
46150,01.80,15,44.516667,1.383333
46150,01.80,15,44.533333,1.4
46150,55.71,30,44.6,1.316667
46150,55.71,30,"",""
46150,55.71,30,44.566667,1.383333
46150,55.71,30,44.55,1.283333
46150,55.71,30,44.533333,1.366667
46150,55.71,30,44.566667,1.283333
46150,55.71,30,44.566667,1.483333
46150,55.71,30,44.566667,1.241667
46150,55.71,30,44.533333,1.25
46150,55.71,30,44.516667,1.283333
46150,55.71,30,44.583333,1.433333
46150,55.71,30,44.5,1.316667
46150,55.71,30,44.55,1.333333
46150,55.71,30,44.516667,1.383333
46150,55.71,30,44.533333,1.4
46150,01.2A,30,44.6,1.316667
46150,01.2A,30,"",""
46150,01.2A,30,44.566667,1.383333
46150,01.2A,30,44.55,1.283333
46150,01.2A,30,44.533333,1.366667
46150,01.2A,30,44.566667,1.283333
46150,01.2A,30,44.566667,1.483333
46150,01.2A,30,44.566667,1.241667
46150,01.2A,30,44.533333,1.25
46150,01.2A,30,44.516667,1.283333
46150,01.2A,30,44.583333,1.433333
46150,01.2A,30,44.5,1.316667
46150,01.2A,30,44.55,1.333333
46150,01.2A,30,44.516667,1.383333
46150,01.2A,30,44.533333,1.4
46150,67.08,30,44.6,1.316667
46150,67.08,30,"",""
46150,67.08,30,44.566667,1.383333
46150,67.08,30,44.55,1.283333
46150,67.08,30,44.533333,1.366667
46150,67.08,30,44.566667,1.283333
46150,67.08,30,44.566667,1.483333
46150,67.08,30,44.566667,1.241667
46150,67.08,30,44.533333,1.25
46150,67.08,30,44.516667,1.283333
46150,67.08,30,44.583333,1.433333
46150,67.08,30,44.5,1.316667
46150,67.08,30,44.55,1.333333
46150,67.08,30,44.516667,1.383333
46150,67.08,30,44.533333,1.4
46150,01.1A,15,44.6,1.316667
46150,01.1A,15,"",""
46150,01.1A,15,44.566667,1.383333
46150,01.1A,15,44.55,1.283333
46150,01.1A,15,44.533333,1.366667
46150,01.1A,15,44.566667,1.283333
46150,01.1A,15,44.566667,1.483333
46150,01.1A,15,44.566667,1.241667
46150,01.1A,15,44.533333,1.25
46150,01.1A,15,44.516667,1.283333
46150,01.1A,15,44.583333,1.433333
46150,01.1A,15,44.5,1.316667
46150,01.1A,15,44.55,1.333333
46150,01.1A,15,44.516667,1.383333
46150,01.1A,15,44.533333,1.4
