codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
46310,01.11Z,14,44.583333,1.383333
46310,01.11Z,14,44.65,1.433333
46310,01.11Z,14,44.683333,1.466667
46310,01.11Z,14,44.616667,1.416667
46310,01.11Z,14,"",""
46310,01.11Z,14,44.666667,1.483333
46310,01.11Z,14,44.666667,1.4
46310,68.20A,7,44.583333,1.383333
46310,68.20A,7,44.65,1.433333
46310,68.20A,7,44.683333,1.466667
46310,68.20A,7,44.616667,1.416667
46310,68.20A,7,"",""
46310,68.20A,7,44.666667,1.483333
46310,68.20A,7,44.666667,1.4
46310,55.60,7,44.583333,1.383333
46310,55.60,7,44.65,1.433333
46310,55.60,7,44.683333,1.466667
46310,55.60,7,44.616667,1.416667
46310,55.60,7,"",""
46310,55.60,7,44.666667,1.483333
46310,55.60,7,44.666667,1.4
46310,21.08,14,44.583333,1.383333
46310,21.08,14,44.65,1.433333
46310,21.08,14,44.683333,1.466667
46310,21.08,14,44.616667,1.416667
46310,21.08,14,"",""
46310,21.08,14,44.666667,1.483333
46310,21.08,14,44.666667,1.4
46310,93.19Z,7,44.583333,1.383333
46310,93.19Z,7,44.65,1.433333
46310,93.19Z,7,44.683333,1.466667
46310,93.19Z,7,44.616667,1.416667
46310,93.19Z,7,"",""
46310,93.19Z,7,44.666667,1.483333
46310,93.19Z,7,44.666667,1.4
46310,86.90E,7,44.583333,1.383333
46310,86.90E,7,44.65,1.433333
46310,86.90E,7,44.683333,1.466667
46310,86.90E,7,44.616667,1.416667
46310,86.90E,7,"",""
46310,86.90E,7,44.666667,1.483333
46310,86.90E,7,44.666667,1.4
46310,90.01Z,7,44.583333,1.383333
46310,90.01Z,7,44.65,1.433333
46310,90.01Z,7,44.683333,1.466667
46310,90.01Z,7,44.616667,1.416667
46310,90.01Z,7,"",""
46310,90.01Z,7,44.666667,1.483333
46310,90.01Z,7,44.666667,1.4
46310,56.10C,7,44.583333,1.383333
46310,56.10C,7,44.65,1.433333
46310,56.10C,7,44.683333,1.466667
46310,56.10C,7,44.616667,1.416667
46310,56.10C,7,"",""
46310,56.10C,7,44.666667,1.483333
46310,56.10C,7,44.666667,1.4
46310,84.11Z,14,44.583333,1.383333
46310,84.11Z,14,44.65,1.433333
46310,84.11Z,14,44.683333,1.466667
46310,84.11Z,14,44.616667,1.416667
46310,84.11Z,14,"",""
46310,84.11Z,14,44.666667,1.483333
46310,84.11Z,14,44.666667,1.4
46310,01.3Z,7,44.583333,1.383333
46310,01.3Z,7,44.65,1.433333
46310,01.3Z,7,44.683333,1.466667
46310,01.3Z,7,44.616667,1.416667
46310,01.3Z,7,"",""
46310,01.3Z,7,44.666667,1.483333
46310,01.3Z,7,44.666667,1.4
46310,55.20Z,14,44.583333,1.383333
46310,55.20Z,14,44.65,1.433333
46310,55.20Z,14,44.683333,1.466667
46310,55.20Z,14,44.616667,1.416667
46310,55.20Z,14,"",""
46310,55.20Z,14,44.666667,1.483333
46310,55.20Z,14,44.666667,1.4
46310,57.02,7,44.583333,1.383333
46310,57.02,7,44.65,1.433333
46310,57.02,7,44.683333,1.466667
46310,57.02,7,44.616667,1.416667
46310,57.02,7,"",""
46310,57.02,7,44.666667,1.483333
46310,57.02,7,44.666667,1.4
46310,45.2L,7,44.583333,1.383333
46310,45.2L,7,44.65,1.433333
46310,45.2L,7,44.683333,1.466667
46310,45.2L,7,44.616667,1.416667
46310,45.2L,7,"",""
46310,45.2L,7,44.666667,1.483333
46310,45.2L,7,44.666667,1.4
46310,43.32C,7,44.583333,1.383333
46310,43.32C,7,44.65,1.433333
