codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
47260,45.20B,7,44.383333,0.466667
47260,45.20B,7,44.533333,0.4
47260,45.20B,7,44.466667,0.416667
47260,45.20B,7,44.383333,0.45
47260,45.20B,7,44.466667,0.483333
47260,45.20B,7,44.4,0.5
47260,45.20B,7,44.45,0.433333
47260,47.99A,21,44.383333,0.466667
47260,47.99A,21,44.533333,0.4
47260,47.99A,21,44.466667,0.416667
47260,47.99A,21,44.383333,0.45
47260,47.99A,21,44.466667,0.483333
47260,47.99A,21,44.4,0.5
47260,47.99A,21,44.45,0.433333
47260,55.3A,14,44.383333,0.466667
47260,55.3A,14,44.533333,0.4
47260,55.3A,14,44.466667,0.416667
47260,55.3A,14,44.383333,0.45
47260,55.3A,14,44.466667,0.483333
47260,55.3A,14,44.4,0.5
47260,55.3A,14,44.45,0.433333
47260,43.22A,21,44.383333,0.466667
47260,43.22A,21,44.533333,0.4
47260,43.22A,21,44.466667,0.416667
47260,43.22A,21,44.383333,0.45
47260,43.22A,21,44.466667,0.483333
47260,43.22A,21,44.4,0.5
47260,43.22A,21,44.45,0.433333
47260,01.1F,7,44.383333,0.466667
47260,01.1F,7,44.533333,0.4
47260,01.1F,7,44.466667,0.416667
47260,01.1F,7,44.383333,0.45
47260,01.1F,7,44.466667,0.483333
47260,01.1F,7,44.4,0.5
47260,01.1F,7,44.45,0.433333
47260,01.11Z,175,44.383333,0.466667
47260,01.11Z,175,44.533333,0.4
47260,01.11Z,175,44.466667,0.416667
47260,01.11Z,175,44.383333,0.45
47260,01.11Z,175,44.466667,0.483333
47260,01.11Z,175,44.4,0.5
47260,01.11Z,175,44.45,0.433333
47260,00.97,14,44.383333,0.466667
47260,00.97,14,44.533333,0.4
47260,00.97,14,44.466667,0.416667
47260,00.97,14,44.383333,0.45
47260,00.97,14,44.466667,0.483333
47260,00.97,14,44.4,0.5
47260,00.97,14,44.45,0.433333
47260,47.79Z,7,44.383333,0.466667
47260,47.79Z,7,44.533333,0.4
47260,47.79Z,7,44.466667,0.416667
47260,47.79Z,7,44.383333,0.45
47260,47.79Z,7,44.466667,0.483333
47260,47.79Z,7,44.4,0.5
47260,47.79Z,7,44.45,0.433333
47260,49.41A,7,44.383333,0.466667
47260,49.41A,7,44.533333,0.4
47260,49.41A,7,44.466667,0.416667
47260,49.41A,7,44.383333,0.45
47260,49.41A,7,44.466667,0.483333
47260,49.41A,7,44.4,0.5
47260,49.41A,7,44.45,0.433333
47260,65.02,7,44.383333,0.466667
47260,65.02,7,44.533333,0.4
47260,65.02,7,44.466667,0.416667
47260,65.02,7,44.383333,0.45
47260,65.02,7,44.466667,0.483333
47260,65.02,7,44.4,0.5
47260,65.02,7,44.45,0.433333
47260,68.20A,49,44.383333,0.466667
47260,68.20A,49,44.533333,0.4
47260,68.20A,49,44.466667,0.416667
47260,68.20A,49,44.383333,0.45
47260,68.20A,49,44.466667,0.483333
47260,68.20A,49,44.4,0.5
47260,68.20A,49,44.45,0.433333
47260,64.49,7,44.383333,0.466667
47260,64.49,7,44.533333,0.4
47260,64.49,7,44.466667,0.416667
47260,64.49,7,44.383333,0.45
47260,64.49,7,44.466667,0.483333
47260,64.49,7,44.4,0.5
47260,64.49,7,44.45,0.433333
47260,55.60,7,44.383333,0.466667
47260,55.60,7,44.533333,0.4
47260,55.60,7,44.466667,0.416667
47260,55.60,7,44.383333,0.45
47260,55.60,7,44.466667,0.483333
47260,55.60,7,44.4,0.5
47260,55.60,7,44.45,0.433333
47260,21.08,14,44.383333,0.466667
47260,21.08,14,44.533333,0.4
47260,21.08,14,44.466667,0.416667
47260,21.08,14,44.383333,0.45
47260,21.08,14,44.466667,0.483333
47260,21.08,14,44.4,0.5
47260,21.08,14,44.45,0.433333
47260,36.00Z,7,44.383333,0.466667
47260,36.00Z,7,44.533333,0.4
47260,36.00Z,7,44.466667,0.416667
47260,36.00Z,7,44.383333,0.45
47260,36.00Z,7,44.466667,0.483333
47260,36.00Z,7,44.4,0.5
47260,36.00Z,7,44.45,0.433333
47260,95.11Z,7,44.383333,0.466667
47260,95.11Z,7,44.533333,0.4
47260,95.11Z,7,44.466667,0.416667
47260,95.11Z,7,44.383333,0.45
47260,95.11Z,7,44.466667,0.483333
47260,95.11Z,7,44.4,0.5
47260,95.11Z,7,44.45,0.433333
47260,85.1C,7,44.383333,0.466667
47260,85.1C,7,44.533333,0.4
47260,85.1C,7,44.466667,0.416667
47260,85.1C,7,44.383333,0.45
47260,85.1C,7,44.466667,0.483333
