codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
49122,49.01,2,47.133333,-0.9
49122,49.01,2,47.15,-0.933333
49122,62.11,2,47.133333,-0.9
49122,62.11,2,47.15,-0.933333
49122,"",2,47.133333,-0.9
49122,"",2,47.15,-0.933333
49122,01.3Z,2,47.133333,-0.9
49122,01.3Z,2,47.15,-0.933333
49122,36.1G,2,47.133333,-0.9
49122,36.1G,2,47.15,-0.933333
49122,01.80,2,47.133333,-0.9
49122,01.80,2,47.15,-0.933333
49122,01.00,2,47.133333,-0.9
49122,01.00,2,47.15,-0.933333
49122,55.73,2,47.133333,-0.9
49122,55.73,2,47.15,-0.933333
49122,55.71,2,47.133333,-0.9
49122,55.71,2,47.15,-0.933333
49122,01.1C,2,47.133333,-0.9
49122,01.1C,2,47.15,-0.933333
49122,01.2A,4,47.133333,-0.9
49122,01.2A,4,47.15,-0.933333
49122,48.01,2,47.133333,-0.9
49122,48.01,2,47.15,-0.933333
49122,22.02,2,47.133333,-0.9
49122,22.02,2,47.15,-0.933333
49122,01.2J,2,47.133333,-0.9
49122,01.2J,2,47.15,-0.933333
49122,01.1A,2,47.133333,-0.9
49122,01.1A,2,47.15,-0.933333
49122,15.03,2,47.133333,-0.9
49122,15.03,2,47.15,-0.933333
49122,57.03,2,47.133333,-0.9
49122,57.03,2,47.15,-0.933333
49122,62.46,2,47.133333,-0.9
49122,62.46,2,47.15,-0.933333
49122,45.2V,2,47.133333,-0.9
49122,45.2V,2,47.15,-0.933333
