codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
49380,67.05,6,47.266667,-0.5
49380,67.05,6,47.3,-0.466667
49380,67.05,6,47.283333,-0.516667
49380,67.05,6,47.25,-0.5
49380,67.05,6,47.266667,-0.466667
49380,67.05,6,47.266667,-0.583333
49380,01.1F,6,47.266667,-0.5
49380,01.1F,6,47.3,-0.466667
49380,01.1F,6,47.283333,-0.516667
49380,01.1F,6,47.25,-0.5
49380,01.1F,6,47.266667,-0.466667
49380,01.1F,6,47.266667,-0.583333
49380,60.2E,6,47.266667,-0.5
49380,60.2E,6,47.3,-0.466667
49380,60.2E,6,47.283333,-0.516667
49380,60.2E,6,47.25,-0.5
49380,60.2E,6,47.266667,-0.466667
49380,60.2E,6,47.266667,-0.583333
49380,62.11,12,47.266667,-0.5
49380,62.11,12,47.3,-0.466667
49380,62.11,12,47.283333,-0.516667
49380,62.11,12,47.25,-0.5
49380,62.11,12,47.266667,-0.466667
49380,62.11,12,47.266667,-0.583333
49380,50.2Z,6,47.266667,-0.5
49380,50.2Z,6,47.3,-0.466667
49380,50.2Z,6,47.283333,-0.516667
49380,50.2Z,6,47.25,-0.5
49380,50.2Z,6,47.266667,-0.466667
49380,50.2Z,6,47.266667,-0.583333
49380,52.4Y,6,47.266667,-0.5
49380,52.4Y,6,47.3,-0.466667
49380,52.4Y,6,47.283333,-0.516667
49380,52.4Y,6,47.25,-0.5
49380,52.4Y,6,47.266667,-0.466667
49380,52.4Y,6,47.266667,-0.583333
49380,50.1Z,6,47.266667,-0.5
49380,50.1Z,6,47.3,-0.466667
49380,50.1Z,6,47.283333,-0.516667
49380,50.1Z,6,47.25,-0.5
49380,50.1Z,6,47.266667,-0.466667
49380,50.1Z,6,47.266667,-0.583333
49380,01.3Z,30,47.266667,-0.5
49380,01.3Z,30,47.3,-0.466667
49380,01.3Z,30,47.283333,-0.516667
49380,01.3Z,30,47.25,-0.5
49380,01.3Z,30,47.266667,-0.466667
49380,01.3Z,30,47.266667,-0.583333
49380,01.4A,6,47.266667,-0.5
49380,01.4A,6,47.3,-0.466667
49380,01.4A,6,47.283333,-0.516667
49380,01.4A,6,47.25,-0.5
49380,01.4A,6,47.266667,-0.466667
49380,01.4A,6,47.266667,-0.583333
49380,28.4A,6,47.266667,-0.5
49380,28.4A,6,47.3,-0.466667
49380,28.4A,6,47.283333,-0.516667
49380,28.4A,6,47.25,-0.5
49380,28.4A,6,47.266667,-0.466667
49380,28.4A,6,47.266667,-0.583333
49380,02.20,12,47.266667,-0.5
49380,02.20,12,47.3,-0.466667
49380,02.20,12,47.283333,-0.516667
49380,02.20,12,47.25,-0.5
49380,02.20,12,47.266667,-0.466667
49380,02.20,12,47.266667,-0.583333
49380,36.1K,6,47.266667,-0.5
49380,36.1K,6,47.3,-0.466667
49380,36.1K,6,47.283333,-0.516667
49380,36.1K,6,47.25,-0.5
49380,36.1K,6,47.266667,-0.466667
49380,36.1K,6,47.266667,-0.583333
49380,87.03,6,47.266667,-0.5
49380,87.03,6,47.3,-0.466667
49380,87.03,6,47.283333,-0.516667
49380,87.03,6,47.25,-0.5
49380,87.03,6,47.266667,-0.466667
49380,87.03,6,47.266667,-0.583333
49380,45.4A,6,47.266667,-0.5
49380,45.4A,6,47.3,-0.466667
49380,45.4A,6,47.283333,-0.516667
49380,45.4A,6,47.25,-0.5
49380,45.4A,6,47.266667,-0.466667
49380,45.4A,6,47.266667,-0.583333
49380,55.71,6,47.266667,-0.5
49380,55.71,6,47.3,-0.466667
49380,55.71,6,47.283333,-0.516667
49380,55.71,6,47.25,-0.5
49380,55.71,6,47.266667,-0.466667
49380,55.71,6,47.266667,-0.583333
49380,01.2A,12,47.266667,-0.5
49380,01.2A,12,47.3,-0.466667
49380,01.2A,12,47.283333,-0.516667
49380,01.2A,12,47.25,-0.5
49380,01.2A,12,47.266667,-0.466667
49380,01.2A,12,47.266667,-0.583333
49380,55.10,6,47.266667,-0.5
49380,55.10,6,47.3,-0.466667
49380,55.10,6,47.283333,-0.516667
49380,55.10,6,47.25,-0.5
49380,55.10,6,47.266667,-0.466667
49380,55.10,6,47.266667,-0.583333
49380,97.23,6,47.266667,-0.5
49380,97.23,6,47.3,-0.466667
49380,97.23,6,47.283333,-0.516667
49380,97.23,6,47.25,-0.5
49380,97.23,6,47.266667,-0.466667
49380,97.23,6,47.266667,-0.583333
49380,67.04,6,47.266667,-0.5
49380,67.04,6,47.3,-0.466667
49380,67.04,6,47.283333,-0.516667
49380,67.04,6,47.25,-0.5
49380,67.04,6,47.266667,-0.466667
49380,67.04,6,47.266667,-0.583333
49380,01.1A,6,47.266667,-0.5
49380,01.1A,6,47.3,-0.466667
49380,01.1A,6,47.283333,-0.516667
49380,01.1A,6,47.25,-0.5
