codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
50190,01.11Z,36,49.183333,-1.366667
50190,01.11Z,36,49.233333,-1.433333
50190,01.11Z,36,49.166667,-1.35
50190,01.11Z,36,49.216667,-1.366667
50190,01.11Z,36,49.183333,-1.416667
50190,01.11Z,36,49.233333,-1.366667
50190,01.11Z,36,49.183333,-1.466667
50190,01.11Z,36,49.183333,-1.283333
50190,01.11Z,36,49.183333,-1.483333
50190,01.11Z,36,49.266667,-1.4
50190,01.11Z,36,49.233333,-1.4
50190,01.11Z,36,49.15,-1.316667
50190,00.97,12,49.183333,-1.366667
50190,00.97,12,49.233333,-1.433333
50190,00.97,12,49.166667,-1.35
50190,00.97,12,49.216667,-1.366667
50190,00.97,12,49.183333,-1.416667
50190,00.97,12,49.233333,-1.366667
50190,00.97,12,49.183333,-1.466667
50190,00.97,12,49.183333,-1.283333
50190,00.97,12,49.183333,-1.483333
50190,00.97,12,49.266667,-1.4
50190,00.97,12,49.233333,-1.4
50190,00.97,12,49.15,-1.316667
50190,46.23Z,24,49.183333,-1.366667
50190,46.23Z,24,49.233333,-1.433333
50190,46.23Z,24,49.166667,-1.35
50190,46.23Z,24,49.216667,-1.366667
50190,46.23Z,24,49.183333,-1.416667
50190,46.23Z,24,49.233333,-1.366667
50190,46.23Z,24,49.183333,-1.466667
50190,46.23Z,24,49.183333,-1.283333
50190,46.23Z,24,49.183333,-1.483333
50190,46.23Z,24,49.266667,-1.4
50190,46.23Z,24,49.233333,-1.4
50190,46.23Z,24,49.15,-1.316667
50190,95.29Z,12,49.183333,-1.366667
50190,95.29Z,12,49.233333,-1.433333
50190,95.29Z,12,49.166667,-1.35
50190,95.29Z,12,49.216667,-1.366667
50190,95.29Z,12,49.183333,-1.416667
50190,95.29Z,12,49.233333,-1.366667
50190,95.29Z,12,49.183333,-1.466667
50190,95.29Z,12,49.183333,-1.283333
50190,95.29Z,12,49.183333,-1.483333
50190,95.29Z,12,49.266667,-1.4
50190,95.29Z,12,49.233333,-1.4
50190,95.29Z,12,49.15,-1.316667
50190,68.20A,36,49.183333,-1.366667
50190,68.20A,36,49.233333,-1.433333
50190,68.20A,36,49.166667,-1.35
50190,68.20A,36,49.216667,-1.366667
50190,68.20A,36,49.183333,-1.416667
50190,68.20A,36,49.233333,-1.366667
50190,68.20A,36,49.183333,-1.466667
50190,68.20A,36,49.183333,-1.283333
50190,68.20A,36,49.183333,-1.483333
50190,68.20A,36,49.266667,-1.4
50190,68.20A,36,49.233333,-1.4
50190,68.20A,36,49.15,-1.316667
50190,55.60,12,49.183333,-1.366667
50190,55.60,12,49.233333,-1.433333
50190,55.60,12,49.166667,-1.35
50190,55.60,12,49.216667,-1.366667
50190,55.60,12,49.183333,-1.416667
50190,55.60,12,49.233333,-1.366667
50190,55.60,12,49.183333,-1.466667
50190,55.60,12,49.183333,-1.283333
50190,55.60,12,49.183333,-1.483333
50190,55.60,12,49.266667,-1.4
50190,55.60,12,49.233333,-1.4
50190,55.60,12,49.15,-1.316667
50190,45.2J,12,49.183333,-1.366667
50190,45.2J,12,49.233333,-1.433333
50190,45.2J,12,49.166667,-1.35
50190,45.2J,12,49.216667,-1.366667
50190,45.2J,12,49.183333,-1.416667
50190,45.2J,12,49.233333,-1.366667
50190,45.2J,12,49.183333,-1.466667
50190,45.2J,12,49.183333,-1.283333
50190,45.2J,12,49.183333,-1.483333
50190,45.2J,12,49.266667,-1.4
50190,45.2J,12,49.233333,-1.4
50190,45.2J,12,49.15,-1.316667
50190,01.47Z,12,49.183333,-1.366667
50190,01.47Z,12,49.233333,-1.433333
50190,01.47Z,12,49.166667,-1.35
50190,01.47Z,12,49.216667,-1.366667
50190,01.47Z,12,49.183333,-1.416667
50190,01.47Z,12,49.233333,-1.366667
50190,01.47Z,12,49.183333,-1.466667
50190,01.47Z,12,49.183333,-1.283333
50190,01.47Z,12,49.183333,-1.483333
50190,01.47Z,12,49.266667,-1.4
50190,01.47Z,12,49.233333,-1.4
50190,01.47Z,12,49.15,-1.316667
50190,43.34Z,12,49.183333,-1.366667
50190,43.34Z,12,49.233333,-1.433333
50190,43.34Z,12,49.166667,-1.35
50190,43.34Z,12,49.216667,-1.366667
50190,43.34Z,12,49.183333,-1.416667
50190,43.34Z,12,49.233333,-1.366667
50190,43.34Z,12,49.183333,-1.466667
50190,43.34Z,12,49.183333,-1.283333
50190,43.34Z,12,49.183333,-1.483333
50190,43.34Z,12,49.266667,-1.4
50190,43.34Z,12,49.233333,-1.4
50190,43.34Z,12,49.15,-1.316667
50190,93.19Z,12,49.183333,-1.366667
50190,93.19Z,12,49.233333,-1.433333
50190,93.19Z,12,49.166667,-1.35
50190,93.19Z,12,49.216667,-1.366667
50190,93.19Z,12,49.183333,-1.416667
50190,93.19Z,12,49.233333,-1.366667
50190,93.19Z,12,49.183333,-1.466667
50190,93.19Z,12,49.183333,-1.283333
50190,93.19Z,12,49.183333,-1.483333
50190,93.19Z,12,49.266667,-1.4
50190,93.19Z,12,49.233333,-1.4
50190,93.19Z,12,49.15,-1.316667
50190,01.43Z,24,49.183333,-1.366667
50190,01.43Z,24,49.233333,-1.433333
50190,01.43Z,24,49.166667,-1.35
50190,01.43Z,24,49.216667,-1.366667
50190,01.43Z,24,49.183333,-1.416667
50190,01.43Z,24,49.233333,-1.366667
50190,01.43Z,24,49.183333,-1.466667
50190,01.43Z,24,49.183333,-1.283333
50190,01.43Z,24,49.183333,-1.483333
50190,01.43Z,24,49.266667,-1.4
50190,01.43Z,24,49.233333,-1.4
50190,01.43Z,24,49.15,-1.316667
50190,86.90E,12,49.183333,-1.366667
50190,86.90E,12,49.233333,-1.433333
50190,86.90E,12,49.166667,-1.35
50190,86.90E,12,49.216667,-1.366667
50190,86.90E,12,49.183333,-1.416667
50190,86.90E,12,49.233333,-1.366667
50190,86.90E,12,49.183333,-1.466667
50190,86.90E,12,49.183333,-1.283333
50190,86.90E,12,49.183333,-1.483333
50190,86.90E,12,49.266667,-1.4
50190,86.90E,12,49.233333,-1.4
50190,86.90E,12,49.15,-1.316667
50190,84.11Z,12,49.183333,-1.366667
50190,84.11Z,12,49.233333,-1.433333
50190,84.11Z,12,49.166667,-1.35
50190,84.11Z,12,49.216667,-1.366667
50190,84.11Z,12,49.183333,-1.416667
50190,84.11Z,12,49.233333,-1.366667
50190,84.11Z,12,49.183333,-1.466667
50190,84.11Z,12,49.183333,-1.283333
50190,84.11Z,12,49.183333,-1.483333
50190,84.11Z,12,49.266667,-1.4
50190,84.11Z,12,49.233333,-1.4
50190,84.11Z,12,49.15,-1.316667
50190,70.2B,12,49.183333,-1.366667
50190,70.2B,12,49.233333,-1.433333
50190,70.2B,12,49.166667,-1.35
50190,70.2B,12,49.216667,-1.366667
50190,70.2B,12,49.183333,-1.416667
50190,70.2B,12,49.233333,-1.366667
50190,70.2B,12,49.183333,-1.466667
50190,70.2B,12,49.183333,-1.283333
50190,70.2B,12,49.183333,-1.483333
50190,70.2B,12,49.266667,-1.4
50190,70.2B,12,49.233333,-1.4
50190,70.2B,12,49.15,-1.316667
50190,85.1G,12,49.183333,-1.366667
50190,85.1G,12,49.233333,-1.433333
50190,85.1G,12,49.166667,-1.35
50190,85.1G,12,49.216667,-1.366667
50190,85.1G,12,49.183333,-1.416667
50190,85.1G,12,49.233333,-1.366667
50190,85.1G,12,49.183333,-1.466667
50190,85.1G,12,49.183333,-1.283333
50190,85.1G,12,49.183333,-1.483333
50190,85.1G,12,49.266667,-1.4
50190,85.1G,12,49.233333,-1.4
50190,85.1G,12,49.15,-1.316667
50190,01.4A,12,49.183333,-1.366667
50190,01.4A,12,49.233333,-1.433333
50190,01.4A,12,49.166667,-1.35
50190,01.4A,12,49.216667,-1.366667
50190,01.4A,12,49.183333,-1.416667
50190,01.4A,12,49.233333,-1.366667
50190,01.4A,12,49.183333,-1.466667
50190,01.4A,12,49.183333,-1.283333
50190,01.4A,12,49.183333,-1.483333
50190,01.4A,12,49.266667,-1.4
50190,01.4A,12,49.233333,-1.4
50190,01.4A,12,49.15,-1.316667
50190,55.20Z,48,49.183333,-1.366667
50190,55.20Z,48,49.233333,-1.433333
50190,55.20Z,48,49.166667,-1.35
50190,55.20Z,48,49.216667,-1.366667
50190,55.20Z,48,49.183333,-1.416667
50190,55.20Z,48,49.233333,-1.366667
50190,55.20Z,48,49.183333,-1.466667
50190,55.20Z,48,49.183333,-1.283333
50190,55.20Z,48,49.183333,-1.483333
50190,55.20Z,48,49.266667,-1.4
50190,55.20Z,48,49.233333,-1.4
50190,55.20Z,48,49.15,-1.316667
50190,43.22B,12,49.183333,-1.366667
50190,43.22B,12,49.233333,-1.433333
50190,43.22B,12,49.166667,-1.35
50190,43.22B,12,49.216667,-1.366667
50190,43.22B,12,49.183333,-1.416667
50190,43.22B,12,49.233333,-1.366667
50190,43.22B,12,49.183333,-1.466667
50190,43.22B,12,49.183333,-1.283333
50190,43.22B,12,49.183333,-1.483333
50190,43.22B,12,49.266667,-1.4
50190,43.22B,12,49.233333,-1.4
50190,43.22B,12,49.15,-1.316667
50190,93.12Z,12,49.183333,-1.366667
50190,93.12Z,12,49.233333,-1.433333
50190,93.12Z,12,49.166667,-1.35
50190,93.12Z,12,49.216667,-1.366667
50190,93.12Z,12,49.183333,-1.416667
50190,93.12Z,12,49.233333,-1.366667
50190,93.12Z,12,49.183333,-1.466667
50190,93.12Z,12,49.183333,-1.283333
50190,93.12Z,12,49.183333,-1.483333
50190,93.12Z,12,49.266667,-1.4
50190,93.12Z,12,49.233333,-1.4
50190,93.12Z,12,49.15,-1.316667
50190,57.02,12,49.183333,-1.366667
50190,57.02,12,49.233333,-1.433333
50190,57.02,12,49.166667,-1.35
50190,57.02,12,49.216667,-1.366667
50190,57.02,12,49.183333,-1.416667
50190,57.02,12,49.233333,-1.366667
50190,57.02,12,49.183333,-1.466667
50190,57.02,12,49.183333,-1.283333
50190,57.02,12,49.183333,-1.483333
50190,57.02,12,49.266667,-1.4
50190,57.02,12,49.233333,-1.4
50190,57.02,12,49.15,-1.316667
50190,74.1J,12,49.183333,-1.366667
50190,74.1J,12,49.233333,-1.433333
50190,74.1J,12,49.166667,-1.35
50190,74.1J,12,49.216667,-1.366667
50190,74.1J,12,49.183333,-1.416667
50190,74.1J,12,49.233333,-1.366667
50190,74.1J,12,49.183333,-1.466667
50190,74.1J,12,49.183333,-1.283333
50190,74.1J,12,49.183333,-1.483333
50190,74.1J,12,49.266667,-1.4
50190,74.1J,12,49.233333,-1.4
50190,74.1J,12,49.15,-1.316667
50190,01.80,12,49.183333,-1.366667
50190,01.80,12,49.233333,-1.433333
50190,01.80,12,49.166667,-1.35
50190,01.80,12,49.216667,-1.366667
50190,01.80,12,49.183333,-1.416667
50190,01.80,12,49.233333,-1.366667
50190,01.80,12,49.183333,-1.466667
50190,01.80,12,49.183333,-1.283333
50190,01.80,12,49.183333,-1.483333
50190,01.80,12,49.266667,-1.4
50190,01.80,12,49.233333,-1.4
