codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
50590,47.99A,3,49.016667,-1.55
50590,47.99A,3,48.983333,-1.516667
50590,47.99A,3,48.983333,-1.533333
50590,55.3A,6,49.016667,-1.55
50590,55.3A,6,48.983333,-1.516667
50590,55.3A,6,48.983333,-1.533333
50590,01.1F,3,49.016667,-1.55
50590,01.1F,3,48.983333,-1.516667
50590,01.1F,3,48.983333,-1.533333
50590,01.11Z,18,49.016667,-1.55
50590,01.11Z,18,48.983333,-1.516667
50590,01.11Z,18,48.983333,-1.533333
50590,46.23Z,3,49.016667,-1.55
50590,46.23Z,3,48.983333,-1.516667
50590,46.23Z,3,48.983333,-1.533333
50590,95.29Z,3,49.016667,-1.55
50590,95.29Z,3,48.983333,-1.516667
50590,95.29Z,3,48.983333,-1.533333
50590,92.3A,3,49.016667,-1.55
50590,92.3A,3,48.983333,-1.516667
50590,92.3A,3,48.983333,-1.533333
50590,68.20A,12,49.016667,-1.55
50590,68.20A,12,48.983333,-1.516667
50590,68.20A,12,48.983333,-1.533333
50590,55.60,3,49.016667,-1.55
50590,55.60,3,48.983333,-1.516667
50590,55.60,3,48.983333,-1.533333
50590,46.49Z,3,49.016667,-1.55
50590,46.49Z,3,48.983333,-1.516667
50590,46.49Z,3,48.983333,-1.533333
50590,01.47Z,3,49.016667,-1.55
50590,01.47Z,3,48.983333,-1.516667
50590,01.47Z,3,48.983333,-1.533333
50590,43.34Z,6,49.016667,-1.55
50590,43.34Z,6,48.983333,-1.516667
50590,43.34Z,6,48.983333,-1.533333
50590,64.20Z,3,49.016667,-1.55
50590,64.20Z,3,48.983333,-1.516667
50590,64.20Z,3,48.983333,-1.533333
50590,01.43Z,18,49.016667,-1.55
50590,01.43Z,18,48.983333,-1.516667
50590,01.43Z,18,48.983333,-1.533333
50590,90.01Z,3,49.016667,-1.55
50590,90.01Z,3,48.983333,-1.516667
50590,90.01Z,3,48.983333,-1.533333
50590,47.82Z,3,49.016667,-1.55
50590,47.82Z,3,48.983333,-1.516667
50590,47.82Z,3,48.983333,-1.533333
50590,43.91A,3,49.016667,-1.55
50590,43.91A,3,48.983333,-1.516667
50590,43.91A,3,48.983333,-1.533333
50590,84.11Z,6,49.016667,-1.55
50590,84.11Z,6,48.983333,-1.516667
50590,84.11Z,6,48.983333,-1.533333
50590,55.5A,3,49.016667,-1.55
50590,55.5A,3,48.983333,-1.516667
50590,55.5A,3,48.983333,-1.533333
50590,01.3Z,3,49.016667,-1.55
50590,01.3Z,3,48.983333,-1.516667
50590,01.3Z,3,48.983333,-1.533333
50590,43.32A,9,49.016667,-1.55
50590,43.32A,9,48.983333,-1.516667
50590,43.32A,9,48.983333,-1.533333
50590,57.02,3,49.016667,-1.55
50590,57.02,3,48.983333,-1.516667
50590,57.02,3,48.983333,-1.533333
50590,01.24Z,3,49.016667,-1.55
50590,01.24Z,3,48.983333,-1.516667
50590,01.24Z,3,48.983333,-1.533333
50590,74.20Z,3,49.016667,-1.55
50590,74.20Z,3,48.983333,-1.516667
50590,74.20Z,3,48.983333,-1.533333
50590,96.02A,3,49.016667,-1.55
50590,96.02A,3,48.983333,-1.516667
50590,96.02A,3,48.983333,-1.533333
50590,86.90D,9,49.016667,-1.55
50590,86.90D,9,48.983333,-1.516667
50590,86.90D,9,48.983333,-1.533333
50590,31.09B,3,49.016667,-1.55
50590,31.09B,3,48.983333,-1.516667
50590,31.09B,3,48.983333,-1.533333
50590,45.3A,3,49.016667,-1.55
50590,45.3A,3,48.983333,-1.516667
50590,45.3A,3,48.983333,-1.533333
50590,43.91B,9,49.016667,-1.55
50590,43.91B,9,48.983333,-1.516667
50590,43.91B,9,48.983333,-1.533333
50590,94.99Z,6,49.016667,-1.55
50590,94.99Z,6,48.983333,-1.516667
