codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
50630,55.3A,9,49.616667,-1.35
50630,55.3A,9,49.566667,-1.366667
50630,55.3A,9,49.583333,-1.383333
50630,55.3A,9,49.6,-1.3
50630,55.3A,9,"",""
50630,55.3A,9,49.566667,-1.3
50630,55.3A,9,49.616667,-1.3
50630,55.3A,9,49.55,-1.333333
50630,55.3A,9,49.533333,-1.316667
50630,49.41A,9,49.616667,-1.35
50630,49.41A,9,49.566667,-1.366667
50630,49.41A,9,49.583333,-1.383333
50630,49.41A,9,49.6,-1.3
50630,49.41A,9,"",""
50630,49.41A,9,49.566667,-1.3
50630,49.41A,9,49.616667,-1.3
50630,49.41A,9,49.55,-1.333333
50630,49.41A,9,49.533333,-1.316667
50630,45.2J,9,49.616667,-1.35
50630,45.2J,9,49.566667,-1.366667
50630,45.2J,9,49.583333,-1.383333
50630,45.2J,9,49.6,-1.3
50630,45.2J,9,"",""
50630,45.2J,9,49.566667,-1.3
50630,45.2J,9,49.616667,-1.3
50630,45.2J,9,49.55,-1.333333
50630,45.2J,9,49.533333,-1.316667
50630,55.60,9,49.616667,-1.35
50630,55.60,9,49.566667,-1.366667
50630,55.60,9,49.583333,-1.383333
50630,55.60,9,49.6,-1.3
50630,55.60,9,"",""
50630,55.60,9,49.566667,-1.3
50630,55.60,9,49.616667,-1.3
50630,55.60,9,49.55,-1.333333
50630,55.60,9,49.533333,-1.316667
50630,59.13,9,49.616667,-1.35
50630,59.13,9,49.566667,-1.366667
50630,59.13,9,49.583333,-1.383333
50630,59.13,9,49.6,-1.3
50630,59.13,9,"",""
50630,59.13,9,49.566667,-1.3
50630,59.13,9,49.616667,-1.3
50630,59.13,9,49.55,-1.333333
50630,59.13,9,49.533333,-1.316667
50630,01.4B,9,49.616667,-1.35
50630,01.4B,9,49.566667,-1.366667
50630,01.4B,9,49.583333,-1.383333
50630,01.4B,9,49.6,-1.3
50630,01.4B,9,"",""
50630,01.4B,9,49.566667,-1.3
50630,01.4B,9,49.616667,-1.3
50630,01.4B,9,49.55,-1.333333
50630,01.4B,9,49.533333,-1.316667
50630,01.3Z,18,49.616667,-1.35
50630,01.3Z,18,49.566667,-1.366667
50630,01.3Z,18,49.583333,-1.383333
50630,01.3Z,18,49.6,-1.3
50630,01.3Z,18,"",""
50630,01.3Z,18,49.566667,-1.3
50630,01.3Z,18,49.616667,-1.3
50630,01.3Z,18,49.55,-1.333333
50630,01.3Z,18,49.533333,-1.316667
50630,55.4B,18,49.616667,-1.35
50630,55.4B,18,49.566667,-1.366667
50630,55.4B,18,49.583333,-1.383333
50630,55.4B,18,49.6,-1.3
50630,55.4B,18,"",""
50630,55.4B,18,49.566667,-1.3
50630,55.4B,18,49.616667,-1.3
50630,55.4B,18,49.55,-1.333333
50630,55.4B,18,49.533333,-1.316667
50630,20.1A,18,49.616667,-1.35
50630,20.1A,18,49.566667,-1.366667
50630,20.1A,18,49.583333,-1.383333
50630,20.1A,18,49.6,-1.3
50630,20.1A,18,"",""
50630,20.1A,18,49.566667,-1.3
50630,20.1A,18,49.616667,-1.3
50630,20.1A,18,49.55,-1.333333
50630,20.1A,18,49.533333,-1.316667
50630,55.71,9,49.616667,-1.35
50630,55.71,9,49.566667,-1.366667
50630,55.71,9,49.583333,-1.383333
50630,55.71,9,49.6,-1.3
50630,55.71,9,"",""
50630,55.71,9,49.566667,-1.3
50630,55.71,9,49.616667,-1.3
50630,55.71,9,49.55,-1.333333
50630,55.71,9,49.533333,-1.316667
50630,81.21,9,49.616667,-1.35
50630,81.21,9,49.566667,-1.366667
50630,81.21,9,49.583333,-1.383333
50630,81.21,9,49.6,-1.3
50630,81.21,9,"",""
50630,81.21,9,49.566667,-1.3
50630,81.21,9,49.616667,-1.3
50630,81.21,9,49.55,-1.333333
50630,81.21,9,49.533333,-1.316667
50630,45.4C,9,49.616667,-1.35
50630,45.4C,9,49.566667,-1.366667
50630,45.4C,9,49.583333,-1.383333
50630,45.4C,9,49.6,-1.3
50630,45.4C,9,"",""
50630,45.4C,9,49.566667,-1.3
50630,45.4C,9,49.616667,-1.3
50630,45.4C,9,49.55,-1.333333
50630,45.4C,9,49.533333,-1.316667
50630,70.2C,18,49.616667,-1.35
50630,70.2C,18,49.566667,-1.366667
50630,70.2C,18,49.583333,-1.383333
50630,70.2C,18,49.6,-1.3
50630,70.2C,18,"",""
50630,70.2C,18,49.566667,-1.3
50630,70.2C,18,49.616667,-1.3
50630,70.2C,18,49.55,-1.333333
50630,70.2C,18,49.533333,-1.316667
50630,01.2A,9,49.616667,-1.35
50630,01.2A,9,49.566667,-1.366667
50630,01.2A,9,49.583333,-1.383333
50630,01.2A,9,49.6,-1.3
50630,01.2A,9,"",""
50630,01.2A,9,49.566667,-1.3
50630,01.2A,9,49.616667,-1.3
50630,01.2A,9,49.55,-1.333333
50630,01.2A,9,49.533333,-1.316667
50630,46.73A,9,49.616667,-1.35
50630,46.73A,9,49.566667,-1.366667
50630,46.73A,9,49.583333,-1.383333
50630,46.73A,9,49.6,-1.3
50630,46.73A,9,"",""
50630,46.73A,9,49.566667,-1.3
50630,46.73A,9,49.616667,-1.3
50630,46.73A,9,49.55,-1.333333
50630,46.73A,9,49.533333,-1.316667
50630,01.1A,18,49.616667,-1.35
50630,01.1A,18,49.566667,-1.366667
50630,01.1A,18,49.583333,-1.383333
50630,01.1A,18,49.6,-1.3
50630,01.1A,18,"",""
50630,01.1A,18,49.566667,-1.3
50630,01.1A,18,49.616667,-1.3
50630,01.1A,18,49.55,-1.333333
50630,01.1A,18,49.533333,-1.316667
50630,38.40,9,49.616667,-1.35
50630,38.40,9,49.566667,-1.366667
50630,38.40,9,49.583333,-1.383333
50630,38.40,9,49.6,-1.3
50630,38.40,9,"",""
50630,38.40,9,49.566667,-1.3
50630,38.40,9,49.616667,-1.3
50630,38.40,9,49.55,-1.333333
50630,38.40,9,49.533333,-1.316667
50630,21.01,9,49.616667,-1.35
50630,21.01,9,49.566667,-1.366667
50630,21.01,9,49.583333,-1.383333
50630,21.01,9,49.6,-1.3
50630,21.01,9,"",""
50630,21.01,9,49.566667,-1.3
50630,21.01,9,49.616667,-1.3
50630,21.01,9,49.55,-1.333333
50630,21.01,9,49.533333,-1.316667
