codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
51110,47.99A,12,49.35,4.216667
51110,47.99A,12,49.383333,4.1
51110,47.99A,12,49.333333,4.15
51110,47.99A,12,49.316667,4.166667
51110,47.99A,12,49.35,4.2
51110,47.99A,12,"",""
51110,47.99A,12,49.333333,4.1
51110,47.99A,12,49.3,4.15
51110,47.99A,12,49.35,4.066667
51110,47.99A,12,49.366667,4.15
51110,47.99A,12,49.366667,4.166667
51110,47.99A,12,"",""
51110,02.10Z,12,49.35,4.216667
51110,02.10Z,12,49.383333,4.1
51110,02.10Z,12,49.333333,4.15
51110,02.10Z,12,49.316667,4.166667
51110,02.10Z,12,49.35,4.2
51110,02.10Z,12,"",""
51110,02.10Z,12,49.333333,4.1
51110,02.10Z,12,49.3,4.15
51110,02.10Z,12,49.35,4.066667
51110,02.10Z,12,49.366667,4.15
51110,02.10Z,12,49.366667,4.166667
51110,02.10Z,12,"",""
51110,01.11Z,12,49.35,4.216667
51110,01.11Z,12,49.383333,4.1
51110,01.11Z,12,49.333333,4.15
51110,01.11Z,12,49.316667,4.166667
51110,01.11Z,12,49.35,4.2
51110,01.11Z,12,"",""
51110,01.11Z,12,49.333333,4.1
51110,01.11Z,12,49.3,4.15
51110,01.11Z,12,49.35,4.066667
51110,01.11Z,12,49.366667,4.15
51110,01.11Z,12,49.366667,4.166667
51110,01.11Z,12,"",""
51110,32.99Z,12,49.35,4.216667
51110,32.99Z,12,49.383333,4.1
51110,32.99Z,12,49.333333,4.15
51110,32.99Z,12,49.316667,4.166667
51110,32.99Z,12,49.35,4.2
51110,32.99Z,12,"",""
51110,32.99Z,12,49.333333,4.1
51110,32.99Z,12,49.3,4.15
51110,32.99Z,12,49.35,4.066667
51110,32.99Z,12,49.366667,4.15
51110,32.99Z,12,49.366667,4.166667
51110,32.99Z,12,"",""
51110,64.20Z,12,49.35,4.216667
51110,64.20Z,12,49.383333,4.1
51110,64.20Z,12,49.333333,4.15
51110,64.20Z,12,49.316667,4.166667
51110,64.20Z,12,49.35,4.2
51110,64.20Z,12,"",""
51110,64.20Z,12,49.333333,4.1
51110,64.20Z,12,49.3,4.15
51110,64.20Z,12,49.35,4.066667
51110,64.20Z,12,49.366667,4.15
51110,64.20Z,12,49.366667,4.166667
51110,64.20Z,12,"",""
51110,84.11Z,12,49.35,4.216667
51110,84.11Z,12,49.383333,4.1
51110,84.11Z,12,49.333333,4.15
51110,84.11Z,12,49.316667,4.166667
51110,84.11Z,12,49.35,4.2
51110,84.11Z,12,"",""
51110,84.11Z,12,49.333333,4.1
51110,84.11Z,12,49.3,4.15
51110,84.11Z,12,49.35,4.066667
51110,84.11Z,12,49.366667,4.15
51110,84.11Z,12,49.366667,4.166667
51110,84.11Z,12,"",""
51110,01.21Z,168,49.35,4.216667
51110,01.21Z,168,49.383333,4.1
51110,01.21Z,168,49.333333,4.15
51110,01.21Z,168,49.316667,4.166667
51110,01.21Z,168,49.35,4.2
51110,01.21Z,168,"",""
51110,01.21Z,168,49.333333,4.1
51110,01.21Z,168,49.3,4.15
51110,01.21Z,168,49.35,4.066667
51110,01.21Z,168,49.366667,4.15
51110,01.21Z,168,49.366667,4.166667
51110,01.21Z,168,"",""
51110,01.3Z,12,49.35,4.216667
51110,01.3Z,12,49.383333,4.1
51110,01.3Z,12,49.333333,4.15
51110,01.3Z,12,49.316667,4.166667
51110,01.3Z,12,49.35,4.2
51110,01.3Z,12,"",""
51110,01.3Z,12,49.333333,4.1
51110,01.3Z,12,49.3,4.15
51110,01.3Z,12,49.35,4.066667
51110,01.3Z,12,49.366667,4.15
51110,01.3Z,12,49.366667,4.166667
51110,01.3Z,12,"",""
51110,43.32A,12,49.35,4.216667
51110,43.32A,12,49.383333,4.1
51110,43.32A,12,49.333333,4.15
51110,43.32A,12,49.316667,4.166667
51110,43.32A,12,49.35,4.2
51110,43.32A,12,"",""
51110,43.32A,12,49.333333,4.1
51110,43.32A,12,49.3,4.15
51110,43.32A,12,49.35,4.066667
51110,43.32A,12,49.366667,4.15
51110,43.32A,12,49.366667,4.166667
51110,43.32A,12,"",""
51110,74.30Z,12,49.35,4.216667
51110,74.30Z,12,49.383333,4.1
51110,74.30Z,12,49.333333,4.15
51110,74.30Z,12,49.316667,4.166667
51110,74.30Z,12,49.35,4.2
51110,74.30Z,12,"",""
51110,74.30Z,12,49.333333,4.1
51110,74.30Z,12,49.3,4.15
51110,74.30Z,12,49.35,4.066667
51110,74.30Z,12,49.366667,4.15
51110,74.30Z,12,49.366667,4.166667
51110,74.30Z,12,"",""
51110,02.20Z,12,49.35,4.216667
51110,02.20Z,12,49.383333,4.1
51110,02.20Z,12,49.333333,4.15
51110,02.20Z,12,49.316667,4.166667
51110,02.20Z,12,49.35,4.2
51110,02.20Z,12,"",""
51110,02.20Z,12,49.333333,4.1
51110,02.20Z,12,49.3,4.15
51110,02.20Z,12,49.35,4.066667
51110,02.20Z,12,49.366667,4.15
51110,02.20Z,12,49.366667,4.166667
51110,02.20Z,12,"",""
51110,45.3A,12,49.35,4.216667
51110,45.3A,12,49.383333,4.1
51110,45.3A,12,49.333333,4.15
51110,45.3A,12,49.316667,4.166667
51110,45.3A,12,49.35,4.2
51110,45.3A,12,"",""
51110,45.3A,12,49.333333,4.1
51110,45.3A,12,49.3,4.15
51110,45.3A,12,49.35,4.066667
51110,45.3A,12,49.366667,4.15
51110,45.3A,12,49.366667,4.166667
51110,45.3A,12,"",""
51110,02.0B,12,49.35,4.216667
51110,02.0B,12,49.383333,4.1
51110,02.0B,12,49.333333,4.15
51110,02.0B,12,49.316667,4.166667
51110,02.0B,12,49.35,4.2
51110,02.0B,12,"",""
51110,02.0B,12,49.333333,4.1
51110,02.0B,12,49.3,4.15
51110,02.0B,12,49.35,4.066667
51110,02.0B,12,49.366667,4.15
51110,02.0B,12,49.366667,4.166667
51110,02.0B,12,"",""
51110,01.1G,12,49.35,4.216667
51110,01.1G,12,49.383333,4.1
51110,01.1G,12,49.333333,4.15
51110,01.1G,12,49.316667,4.166667
51110,01.1G,12,49.35,4.2
51110,01.1G,12,"",""
51110,01.1G,12,49.333333,4.1
51110,01.1G,12,49.3,4.15
51110,01.1G,12,49.35,4.066667
51110,01.1G,12,49.366667,4.15
51110,01.1G,12,49.366667,4.166667
51110,01.1G,12,"",""
51110,02.40Z,12,49.35,4.216667
51110,02.40Z,12,49.383333,4.1
51110,02.40Z,12,49.333333,4.15
51110,02.40Z,12,49.316667,4.166667
51110,02.40Z,12,49.35,4.2
51110,02.40Z,12,"",""
51110,02.40Z,12,49.333333,4.1
51110,02.40Z,12,49.3,4.15
51110,02.40Z,12,49.35,4.066667
51110,02.40Z,12,49.366667,4.15
51110,02.40Z,12,49.366667,4.166667
51110,02.40Z,12,"",""
51110,96.02B,12,49.35,4.216667
51110,96.02B,12,49.383333,4.1
51110,96.02B,12,49.333333,4.15
51110,96.02B,12,49.316667,4.166667
51110,96.02B,12,49.35,4.2
51110,96.02B,12,"",""
51110,96.02B,12,49.333333,4.1
51110,96.02B,12,49.3,4.15
51110,96.02B,12,49.35,4.066667
51110,96.02B,12,49.366667,4.15
51110,96.02B,12,49.366667,4.166667
51110,96.02B,12,"",""
51110,85.52Z,12,49.35,4.216667
51110,85.52Z,12,49.383333,4.1
51110,85.52Z,12,49.333333,4.15
51110,85.52Z,12,49.316667,4.166667
51110,85.52Z,12,49.35,4.2
51110,85.52Z,12,"",""
51110,85.52Z,12,49.333333,4.1
51110,85.52Z,12,49.3,4.15
51110,85.52Z,12,49.35,4.066667
51110,85.52Z,12,49.366667,4.15
51110,85.52Z,12,49.366667,4.166667
51110,85.52Z,12,"",""
51110,67.04,12,49.35,4.216667
51110,67.04,12,49.383333,4.1
51110,67.04,12,49.333333,4.15
51110,67.04,12,49.316667,4.166667
51110,67.04,12,49.35,4.2
51110,67.04,12,"",""
51110,67.04,12,49.333333,4.1
51110,67.04,12,49.3,4.15
51110,67.04,12,49.35,4.066667
51110,67.04,12,49.366667,4.15
51110,67.04,12,49.366667,4.166667
51110,67.04,12,"",""
51110,45.11Z,12,49.35,4.216667
51110,45.11Z,12,49.383333,4.1
51110,45.11Z,12,49.333333,4.15
51110,45.11Z,12,49.316667,4.166667
51110,45.11Z,12,49.35,4.2
51110,45.11Z,12,"",""
51110,45.11Z,12,49.333333,4.1
51110,45.11Z,12,49.3,4.15
51110,45.11Z,12,49.35,4.066667
51110,45.11Z,12,49.366667,4.15
51110,45.11Z,12,49.366667,4.166667
51110,45.11Z,12,"",""
51110,01.1A,12,49.35,4.216667
51110,01.1A,12,49.383333,4.1
51110,01.1A,12,49.333333,4.15
51110,01.1A,12,49.316667,4.166667
51110,01.1A,12,49.35,4.2
51110,01.1A,12,"",""
51110,01.1A,12,49.333333,4.1
51110,01.1A,12,49.3,4.15
51110,01.1A,12,49.35,4.066667
51110,01.1A,12,49.366667,4.15
51110,01.1A,12,49.366667,4.166667
51110,01.1A,12,"",""
51110,70.22Z,24,49.35,4.216667
51110,70.22Z,24,49.383333,4.1
51110,70.22Z,24,49.333333,4.15
51110,70.22Z,24,49.316667,4.166667
51110,70.22Z,24,49.35,4.2
51110,70.22Z,24,"",""
