codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
51310,47.99A,13,48.766667,3.45
51310,47.99A,13,48.666667,3.466667
51310,47.99A,13,48.75,3.45
51310,47.99A,13,48.75,3.516667
51310,47.99A,13,48.666667,3.55
51310,47.99A,13,"",""
51310,47.99A,13,48.766667,3.516667
51310,47.99A,13,48.733333,3.566667
51310,47.99A,13,48.7,3.516667
51310,47.99A,13,48.7,3.483333
51310,47.99A,13,48.7,3.583333
51310,47.99A,13,48.783333,3.55
51310,47.99A,13,"",""
51310,51.3J,13,48.766667,3.45
51310,51.3J,13,48.666667,3.466667
51310,51.3J,13,48.75,3.45
51310,51.3J,13,48.75,3.516667
51310,51.3J,13,48.666667,3.55
51310,51.3J,13,"",""
51310,51.3J,13,48.766667,3.516667
51310,51.3J,13,48.733333,3.566667
51310,51.3J,13,48.7,3.516667
51310,51.3J,13,48.7,3.483333
51310,51.3J,13,48.7,3.583333
51310,51.3J,13,48.783333,3.55
51310,51.3J,13,"",""
51310,64.20Z,13,48.766667,3.45
51310,64.20Z,13,48.666667,3.466667
51310,64.20Z,13,48.75,3.45
51310,64.20Z,13,48.75,3.516667
51310,64.20Z,13,48.666667,3.55
51310,64.20Z,13,"",""
51310,64.20Z,13,48.766667,3.516667
51310,64.20Z,13,48.733333,3.566667
51310,64.20Z,13,48.7,3.516667
51310,64.20Z,13,48.7,3.483333
51310,64.20Z,13,48.7,3.583333
51310,64.20Z,13,48.783333,3.55
51310,64.20Z,13,"",""
51310,84.11Z,26,48.766667,3.45
51310,84.11Z,26,48.666667,3.466667
51310,84.11Z,26,48.75,3.45
51310,84.11Z,26,48.75,3.516667
51310,84.11Z,26,48.666667,3.55
51310,84.11Z,26,"",""
51310,84.11Z,26,48.766667,3.516667
51310,84.11Z,26,48.733333,3.566667
51310,84.11Z,26,48.7,3.516667
51310,84.11Z,26,48.7,3.483333
51310,84.11Z,26,48.7,3.583333
51310,84.11Z,26,48.783333,3.55
51310,84.11Z,26,"",""
51310,01.21Z,1027,48.766667,3.45
51310,01.21Z,1027,48.666667,3.466667
51310,01.21Z,1027,48.75,3.45
51310,01.21Z,1027,48.75,3.516667
51310,01.21Z,1027,48.666667,3.55
51310,01.21Z,1027,"",""
51310,01.21Z,1027,48.766667,3.516667
51310,01.21Z,1027,48.733333,3.566667
51310,01.21Z,1027,48.7,3.516667
51310,01.21Z,1027,48.7,3.483333
51310,01.21Z,1027,48.7,3.583333
51310,01.21Z,1027,48.783333,3.55
51310,01.21Z,1027,"",""
51310,66.30Z,13,48.766667,3.45
51310,66.30Z,13,48.666667,3.466667
51310,66.30Z,13,48.75,3.45
51310,66.30Z,13,48.75,3.516667
51310,66.30Z,13,48.666667,3.55
51310,66.30Z,13,"",""
51310,66.30Z,13,48.766667,3.516667
51310,66.30Z,13,48.733333,3.566667
51310,66.30Z,13,48.7,3.516667
51310,66.30Z,13,48.7,3.483333
51310,66.30Z,13,48.7,3.583333
51310,66.30Z,13,48.783333,3.55
51310,66.30Z,13,"",""
51310,60.04,13,48.766667,3.45
51310,60.04,13,48.666667,3.466667
51310,60.04,13,48.75,3.45
51310,60.04,13,48.75,3.516667
51310,60.04,13,48.666667,3.55
51310,60.04,13,"",""
51310,60.04,13,48.766667,3.516667
51310,60.04,13,48.733333,3.566667
51310,60.04,13,48.7,3.516667
51310,60.04,13,48.7,3.483333
51310,60.04,13,48.7,3.583333
51310,60.04,13,48.783333,3.55
51310,60.04,13,"",""
51310,70.2B,13,48.766667,3.45
51310,70.2B,13,48.666667,3.466667
51310,70.2B,13,48.75,3.45
51310,70.2B,13,48.75,3.516667
51310,70.2B,13,48.666667,3.55
51310,70.2B,13,"",""
51310,70.2B,13,48.766667,3.516667
51310,70.2B,13,48.733333,3.566667
51310,70.2B,13,48.7,3.516667
51310,70.2B,13,48.7,3.483333
51310,70.2B,13,48.7,3.583333
51310,70.2B,13,48.783333,3.55
